City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ahmedabad,,168,"PM
2.5",,2015-05-01
Ahmedabad,,225,"PM
2.5",,2015-05-02
Ahmedabad,,304,"O
3",,2015-05-03
Ahmedabad,,146,"PM
2.5",,2015-05-04
Ahmedabad,,193,"O
3",,2015-05-05
Ahmedabad,,90,"PM
2.5",,2015-05-06
Ahmedabad,,101,"PM
2.5",,2015-05-07
Ahmedabad,,66,"PM
2.5",,2015-05-08
Ahmedabad,,92,"PM
2.5",,2015-05-09
Ahmedabad,,101,"PM
2.5",,2015-05-10
Ahmedabad,,91,"PM
2.5",,2015-05-11
Ahmedabad,,123,"PM
2.5",,2015-05-12
Ahmedabad,,164,"PM
2.5",,2015-05-13
Ahmedabad,,146,"PM
2.5",,2015-05-14
Ahmedabad,,237,"PM
2.5",1,2015-05-15
Ahmedabad,,231,"PM
2.5",1,2015-05-16
Ahmedabad,,225,"PM
2.5",1,2015-05-17
Ahmedabad,,161,"PM
2.5",1,2015-05-18
Ahmedabad,,143,"PM
2.5",1,2015-05-19
Ahmedabad,,98,CO,1,2015-05-23
Ahmedabad,,72,"PM
2.5",1,2015-05-24
Ahmedabad,,110,"PM
2.5",1,2015-05-25
Ahmedabad,,93,"PM
2.5",1,2015-05-26
Ahmedabad,,69,"PM
2.5",1,2015-05-27
Ahmedabad,,79,"PM
2.5",1,2015-05-29
Ahmedabad,,138,"PM
2.5",1,2015-05-30
Ahmedabad,,101,"PM
2.5",1,2015-05-31
Ahmedabad,,113,"PM
2.5",1,2015-06-01
Ahmedabad,,80,"PM
2.5",1,2015-06-02
Ahmedabad,,172,"PM
2.5",1,2015-06-03
Ahmedabad,,66,"O
3",1,2015-06-04
Ahmedabad,,157,"PM
2.5",1,2015-06-05
Ahmedabad,,184,"PM
2.5",1,2015-06-06
Ahmedabad,,149,"PM
2.5",1,2015-06-07
Ahmedabad,,112,"PM
2.5",1,2015-06-08
Ahmedabad,,59,"PM
2.5",1,2015-06-09
Ahmedabad,,76,"PM
2.5",1,2015-06-10
Ahmedabad,,67,"PM
2.5",1,2015-06-11
Ahmedabad,,79,"PM
2.5",1,2015-06-13
Ahmedabad,,80,"PM
2.5",1,2015-06-15
Ahmedabad,,65,"PM
2.5",1,2015-06-16
Ahmedabad,,51,"PM
2.5",1,2015-06-17
Ahmedabad,,58,"PM
2.5",1,2015-06-18
Ahmedabad,,53,"PM
2.5",1,2015-06-19
Ahmedabad,,55,"PM
2.5",1,2015-06-20
Ahmedabad,,36,"PM
2.5",1,2015-06-21
Ahmedabad,,42,"PM
2.5",1,2015-06-22
Ahmedabad,,53,CO,1,2015-06-23
Ahmedabad,,45,CO,1,2015-06-24
Ahmedabad,,70,"PM
2.5",1,2015-06-25
Ahmedabad,,141,"PM
2.5",1,2015-06-26
Ahmedabad,,115,"PM
2.5",1,2015-06-27
Ahmedabad,,88,"PM
2.5",1,2015-06-28
Ahmedabad,,15,"NO
2",1,2015-07-01
Ahmedabad,,63,"PM
2.5",1,2015-07-02
Ahmedabad,,86,"PM
2.5",1,2015-07-03
Ahmedabad,,79,"PM
2.5",1,2015-07-04
Ahmedabad,,71,"PM
2.5",1,2015-07-05
Ahmedabad,,89,"PM
2.5",1,2015-07-06
Ahmedabad,,87,"PM
2.5",1,2015-07-07
Ahmedabad,,66,"PM
2.5",1,2015-07-08
Ahmedabad,,75,"PM
2.5",1,2015-07-09
Ahmedabad,,75,"PM
2.5",1,2015-07-10
Ahmedabad,,169,"PM
2.5",1,2015-07-11
Ahmedabad,,241,"PM
2.5",1,2015-07-12
Ahmedabad,,195,"PM
2.5",1,2015-07-13
Ahmedabad,,149,"PM
2.5",1,2015-07-15
Ahmedabad,,112,"PM
2.5",1,2015-07-16
Ahmedabad,,89,"PM
2.5",1,2015-07-17
Ahmedabad,,93,"PM
2.5",1,2015-07-18
Ahmedabad,,60,"PM
2.5",1,2015-07-19
Ahmedabad,,91,"PM
2.5",1,2015-07-22
Ahmedabad,,81,"PM
2.5",1,2015-07-23
Ahmedabad,,45,"PM
2.5",1,2015-07-24
Ahmedabad,,53,"PM
2.5",1,2015-07-25
Ahmedabad,,107,"PM
2.5",1,2015-07-26
Ahmedabad,,37,"PM
2.5",1,2015-07-27
Ahmedabad,,34,"PM
2.5",1,2015-07-28
Ahmedabad,,37,"PM
2.5",1,2015-07-29
Ahmedabad,,73,"PM
2.5",1,2015-07-30
Ahmedabad,,64,"PM
2.5",1,2015-07-31
Ahmedabad,,70,"PM
2.5",1,2015-08-01
Ahmedabad,,68,"PM
2.5",1,2015-08-02
Ahmedabad,,66,"PM
2.5",1,2015-08-03
Ahmedabad,,53,"PM
2.5",1,2015-08-04
Ahmedabad,,67,"PM
2.5",1,2015-08-06
Ahmedabad,Satisfactory,80,"PM
2.5",1,2015-08-07
