City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ahmednagar,Moderate,144,"PM
10",1/1,2024-03-01
Ahmednagar,Moderate,109,"PM
10",1/1,2024-03-02
Ahmednagar,Satisfactory,63,"O
3",1/1,2024-03-03
Ahmednagar,Satisfactory,84,"PM
10",1/1,2024-03-04
Ahmednagar,Moderate,105,"O
3",1/1,2024-03-05
Ahmednagar,Moderate,106,"O
3",1/1,2024-03-06
Ahmednagar,Moderate,118,"O
3",1/1,2024-03-07
Ahmednagar,Moderate,113,"PM
10",1/1,2024-03-08
Ahmednagar,Moderate,102,"PM
2.5",1/1,2024-03-09
Ahmednagar,Moderate,108,"PM
10",1/1,2024-03-10
Ahmednagar,Satisfactory,95,"PM
10",1/1,2024-03-11
Ahmednagar,Moderate,168,"O
3",1/1,2024-03-12
Ahmednagar,Moderate,115,"PM
10",1/1,2024-03-13
Ahmednagar,Moderate,130,"PM
10",1/1,2024-03-16
Ahmednagar,Moderate,157,"O
3",1/1,2024-03-17
Ahmednagar,Moderate,122,"O
3",1/1,2024-03-18
Ahmednagar,Poor,213,"O
3",1/1,2024-03-19
Ahmednagar,Moderate,161,"O
3",1/1,2024-03-20
Ahmednagar,Poor,204,"O
3",1/1,2024-03-22
Ahmednagar,Moderate,194,"O
3",1/1,2024-03-23
Ahmednagar,Moderate,179,"O
3",1/1,2024-03-24
Ahmednagar,Moderate,175,"O
3",1/1,2024-03-25
Ahmednagar,Moderate,165,"O
3",1/1,2024-03-26
Ahmednagar,Poor,217,"O
3",1/1,2024-03-27
Ahmednagar,Moderate,166,"O
3",1/1,2024-03-28
Ahmednagar,Moderate,165,"O
3",1/1,2024-03-29
Ahmednagar,Moderate,150,"O
3",1/1,2024-03-30
Ahmednagar,Moderate,155,"O
3",1/1,2024-03-31
Ahmednagar,Satisfactory,99,"O
3",1/1,2024-04-01
Ahmednagar,Satisfactory,91,"O
3",1/1,2024-04-02
Ahmednagar,Satisfactory,99,"O
3",1/1,2024-04-03
Ahmednagar,Moderate,117,"PM
10",1/1,2024-04-05
Ahmednagar,Moderate,103,"PM
10",1/1,2024-04-06
Ahmednagar,Satisfactory,93,"PM
10",1/1,2024-04-07
Ahmednagar,Satisfactory,95,"O
3",1/1,2024-04-08
Ahmednagar,Moderate,122,"PM
10",1/1,2024-04-09
Ahmednagar,Moderate,104,"O
3",1/1,2024-04-11
Ahmednagar,Satisfactory,88,"PM
10",1/1,2024-04-12
Ahmednagar,Satisfactory,82,"PM
10",1/1,2024-04-13
Ahmednagar,Satisfactory,94,"O
3",1/1,2024-04-14
Ahmednagar,Moderate,101,"PM
10",1/1,2024-04-15
Ahmednagar,Moderate,106,"PM
10",1/1,2024-04-16
Ahmednagar,Moderate,162,"O
3",1/1,2024-04-17
Ahmednagar,Moderate,105,"PM
10",1/1,2024-04-18
Ahmednagar,Moderate,121,"PM
10",1/1,2024-04-19
Ahmednagar,Moderate,140,"PM
2.5",1/1,2024-04-20
Ahmednagar,Satisfactory,85,"PM
10",1/1,2024-04-21
