City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ajmer,Moderate,116,"PM
10",1,2017-10-26
Ajmer,Moderate,123,"PM
10",1,2017-10-27
Ajmer,Moderate,125,"PM
10",1,2017-10-28
Ajmer,Moderate,112,"PM
10",1,2017-10-29
Ajmer,Moderate,129,"PM
10",1,2017-10-30
Ajmer,Moderate,117,"PM
10",1,2017-10-31
Ajmer,Moderate,129,"PM
10",1,2017-11-01
Ajmer,Moderate,125,"PM
10",1,2017-11-02
Ajmer,Moderate,131,"PM
10",1,2017-11-03
Ajmer,Moderate,139,"PM
10",1#,2017-11-04
Ajmer,Moderate,116,"O
3",1,2017-11-05
Ajmer,Moderate,161,"O
3",1,2017-11-06
Ajmer,Moderate,137,"PM
10",1,2017-11-07
Ajmer,Moderate,136,"PM
10",1,2017-11-08
Ajmer,Moderate,117,"PM
10",1#,2017-11-09
Ajmer,Moderate,136,"PM
10",1,2017-11-10
Ajmer,Moderate,139,"PM
10",1,2017-11-11
Ajmer,Moderate,139,"PM
10",1,2017-11-12
Ajmer,Moderate,149,"PM
10",1,2017-11-13
Ajmer,Moderate,123,"PM
10",1#,2017-11-14
Ajmer,Moderate,157,"PM
10",1,2017-11-15
Ajmer,Moderate,156,"PM
10",1,2017-11-16
Ajmer,Poor,255,"PM
2.5",1,2017-11-17
Ajmer,Moderate,189,"PM
2.5",1,2017-11-18
Ajmer,Poor,263,"PM
2.5",1,2017-11-19
Ajmer,Satisfactory,93,"PM
10",1,2017-11-20
Ajmer,Moderate,143,"PM
2.5",1,2017-11-22
Ajmer,Moderate,112,"O
3",1,2017-11-23
Ajmer,Moderate,128,"PM
10",1,2017-11-24
Ajmer,Moderate,115,"PM
10",1,2017-11-25
Ajmer,Moderate,142,"PM
10",1,2017-11-26
Ajmer,Moderate,112,"PM
10",1,2017-11-27
Ajmer,Moderate,109,"PM
10",1,2017-11-28
Ajmer,Satisfactory,89,"O
3",1#,2017-11-29
Ajmer,Moderate,133,"PM
2.5",1,2017-12-07
Ajmer,Moderate,174,"PM
10",1,2017-12-09
Ajmer,Satisfactory,85,"PM
10",1,2017-12-10
Ajmer,Moderate,140,"PM
2.5",1,2017-12-17
Ajmer,Satisfactory,87,"PM
10",1,2017-12-18
Ajmer,Satisfactory,83,"PM
10",1,2017-12-19
Ajmer,Moderate,115,"PM
10",1#,2017-12-20
Ajmer,Poor,237,"PM
2.5",1,2017-12-21
Ajmer,Satisfactory,76,"PM
10",1,2017-12-22
Ajmer,Satisfactory,87,"PM
10",1#,2017-12-23
Ajmer,Moderate,112,"PM
10",1,2017-12-24
Ajmer,Moderate,124,"PM
10",1#,2017-12-25
Ajmer,Moderate,101,"PM
2.5",1#,2017-12-26
Ajmer,Moderate,118,"PM
10",1#,2017-12-27
Ajmer,Moderate,105,"PM
10",1,2017-12-28
Ajmer,Moderate,111,"PM
10",1,2017-12-29
Ajmer,Moderate,127,"PM
10",1,2017-12-30
Ajmer,Moderate,127,"PM
10",1,2017-12-31
Ajmer,Satisfactory,60,"O
3",1,2018-01-01
Ajmer,Moderate,125,"PM
2.5",1,2018-01-02
Ajmer,Moderate,115,"PM
10",1,2018-01-03
Ajmer,Moderate,105,"PM
10",1,2018-01-04
Ajmer,Moderate,127,"PM
10",1#,2018-01-05
Ajmer,Moderate,125,"PM
10",1,2018-01-06
Ajmer,Moderate,130,"PM
2.5",1,2018-01-07
Ajmer,Moderate,116,"PM
10",1#,2018-01-08
Ajmer,Moderate,128,"PM
10",1,2018-01-09
Ajmer,Moderate,155,"PM
2.5",1,2018-01-10
Ajmer,Moderate,140,"PM
10",1,2018-01-11
Ajmer,Moderate,119,"PM
2.5",1,2018-01-12
Ajmer,Moderate,156,"PM
2.5",1,2018-01-13
Ajmer,Moderate,124,"PM
10",1#,2018-01-14
Ajmer,Satisfactory,88,"PM
10",1,2018-01-15
Ajmer,Satisfactory,95,"PM
10",1,2018-01-16
Ajmer,Moderate,109,"PM
10",1,2018-01-17
Ajmer,Moderate,144,"PM
2.5",1,2018-01-18
Ajmer,Moderate,136,"PM
2.5",1,2018-01-19
Ajmer,Moderate,118,"PM
10",1,2018-01-20
Ajmer,Moderate,119,"PM
10",1#,2018-01-21
Ajmer,Moderate,127,"PM
10",1,2018-01-22
Ajmer,Moderate,119,"PM
10",1,2018-01-23
Ajmer,Moderate,170,"PM
2.5",1,2018-01-24
Ajmer,Moderate,136,"PM
2.5",1#,2018-01-25
Ajmer,Moderate,150,"PM
10",1,2018-01-26
Ajmer,Moderate,133,"PM
2.5",1,2018-01-27
Ajmer,Moderate,132,"PM
10",1,2018-01-28
Ajmer,Moderate,127,PM2.5,1,2018-01-29
Ajmer,Moderate,134,PM10,1,2018-01-30
Ajmer,Moderate,114,"PM
10",1,2018-01-31
Ajmer,Moderate,135,"PM
10",1,2018-02-01
Ajmer,Moderate,122,"PM
10",1,2018-02-02
Ajmer,Moderate,115,"PM
10",1,2018-02-03
Ajmer,Satisfactory,93,OZONE,1,2018-02-04
Ajmer,Moderate,101,"PM
10",1,2018-02-05
Ajmer,Moderate,105,"PM
10",1,2018-02-06
Ajmer,Moderate,114,"PM
10",1,2018-02-07
Ajmer,Moderate,151,"PM
10",1,2018-02-08
Ajmer,Moderate,107,"PM
10",1,2018-02-09
Ajmer,Moderate,111,"PM
10",1,2018-02-10
Ajmer,Moderate,117,"PM
10",1,2018-02-11
Ajmer,Moderate,109,"PM
10",1,2018-02-12
Ajmer,Moderate,101,"PM
10",1,2018-02-13
Ajmer,Satisfactory,82,"PM
10",1,2018-02-14
Ajmer,Moderate,113,"PM
2.5",1,2018-02-16
Ajmer,Moderate,107,"PM
10",1,2018-02-28
Ajmer,Moderate,116,"PM
10",1,2018-03-01
Ajmer,Satisfactory,99,"PM
10",1,2018-03-02
Ajmer,Satisfactory,99,"PM
10",1,2018-03-03
Ajmer,Satisfactory,66,"PM
2.5",1,2018-03-05
Ajmer,Satisfactory,55,"PM
2.5",1,2018-03-06
Ajmer,Satisfactory,76,"PM
10",1,2018-03-07
Ajmer,Moderate,105,"PM
10",1,2018-03-08
Ajmer,Satisfactory,72,"PM
10",1,2018-03-09
Ajmer,Satisfactory,84,"PM
10",1,2018-03-10
Ajmer,Moderate,103,"PM
10",1,2018-03-11
Ajmer,Moderate,117,"PM
10",1,2018-03-12
Ajmer,Moderate,107,"PM
10",1,2018-03-13
Ajmer,Moderate,103,"PM
10",1,2018-03-14
Ajmer,Moderate,128,"PM
10",1,2018-03-15
Ajmer,Moderate,143,"PM
10",1,2018-03-16
Ajmer,Satisfactory,93,"PM
10",1,2018-03-17
Ajmer,Satisfactory,94,"PM
10",1,2018-03-18
