City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Akola,Satisfactory,73,"PM
10",1,2023-06-13
Akola,Satisfactory,78,"PM
10",1,2023-06-14
Akola,Satisfactory,92,"PM
10",1,2023-06-15
Akola,Moderate,101,"PM
10",1,2023-06-16
Akola,Moderate,104,"PM
10",1,2023-06-17
Akola,Moderate,114,"PM
10",1,2023-06-18
Akola,Moderate,127,"PM
10",1,2023-06-19
Akola,Moderate,109,"PM
10",1,2023-06-20
Akola,Moderate,101,"PM
10",1,2023-06-21
Akola,Satisfactory,92,"PM
10",1,2023-06-22
Akola,Satisfactory,84,"PM
10",1,2023-06-23
Akola,Satisfactory,95,"PM
10",1,2023-06-27
Akola,Good,39,"PM
10",1,2023-07-01
Akola,Good,40,"PM
10",1,2023-07-02
Akola,Good,43,"PM
10",1,2023-07-03
Akola,Satisfactory,85,"PM
10",1,2023-07-04
Akola,Good,39,"PM
10",1,2023-07-05
Akola,Good,31,"PM
10",1,2023-07-06
Akola,Good,37,"PM
10",1,2023-07-07
Akola,Good,48,"PM
10",1,2023-07-08
Akola,Satisfactory,61,"PM
10",1,2023-07-09
Akola,Satisfactory,53,"PM
10",1,2023-07-10
Akola,Satisfactory,71,"PM
10",1,2023-07-11
Akola,Good,48,"PM
10",1,2023-07-12
Akola,Good,47,"PM
10",1,2023-07-13
Akola,Satisfactory,68,"PM
10",1,2023-07-14
Akola,Satisfactory,53,"PM
10",1,2023-07-15
Akola,Good,48,"PM
10",1,2023-07-16
Akola,Good,46,"PM
10",1,2023-07-17
Akola,Good,50,"PM
10",1,2023-07-18
Akola,Good,40,"PM
10",1,2023-07-19
Akola,Good,31,"PM
10",1,2023-07-20
Akola,Good,47,"PM
10",1,2023-07-21
Akola,Good,36,"PM
10",1,2023-07-22
Akola,Good,32,CO,1,2023-07-23
Akola,Good,34,"PM
10",1,2023-07-24
Akola,Good,37,"PM
10",1,2023-07-25
Akola,Good,48,"PM
10",1,2023-07-26
Akola,Good,47,"PM
10",1,2023-07-27
Akola,Good,40,"PM
10",1,2023-07-28
Akola,Good,45,"PM
10",1,2023-07-29
Akola,Good,49,"PM
10",1,2023-07-30
Akola,Satisfactory,53,"PM
10",1,2023-07-31
Akola,Good,49,"PM
10",1,2023-08-01
Akola,Good,46,"PM
10",1,2023-08-02
Akola,Good,50,"PM
10",1,2023-08-03
Akola,Satisfactory,55,"PM
10",1,2023-08-04
Akola,Satisfactory,57,"PM
10",1,2023-08-05
Akola,Good,47,"PM
10",1,2023-08-06
Akola,Satisfactory,60,"PM
10",1,2023-08-07
Akola,Satisfactory,76,"PM
10",1,2023-08-08
Akola,Moderate,103,"PM
10",1,2023-08-09
Akola,Satisfactory,83,"PM
10",1,2023-08-10
Akola,Satisfactory,68,"PM
10",1,2023-08-11
Akola,Satisfactory,71,"PM
10",1,2023-08-12
Akola,Satisfactory,62,"PM
10",1,2023-08-13
Akola,Satisfactory,67,"PM
10",1,2023-08-14
Akola,Satisfactory,78,"PM
10",1,2023-08-15
Akola,Satisfactory,71,"PM
10",1,2023-08-16
Akola,Satisfactory,85,"PM
10",1,2023-08-17
Akola,Satisfactory,81,"PM
10",1,2023-08-18
Akola,Satisfactory,66,"PM
10",1,2023-08-19
Akola,Satisfactory,51,"PM
10",1,2023-08-20
Akola,Satisfactory,63,"PM
10",1,2023-08-21
Akola,Satisfactory,82,"PM
10",1,2023-08-22
Akola,Good,47,"PM
10",1,2023-08-23
Akola,Good,49,"PM
10",1,2023-08-24
Akola,Satisfactory,51,"PM
10",1,2023-08-25
Akola,Satisfactory,55,"PM
10",1,2023-08-26
Akola,Good,46,"PM
10",1,2023-08-27
Akola,Moderate,115,"PM
10",1,2023-08-29
Akola,Moderate,114,"PM
10",1,2023-08-30
Akola,Moderate,124,"PM
10",1,2023-08-31
Akola,Moderate,110,"PM
10",1,2023-09-01
Akola,Moderate,120,"PM
10",1,2023-09-02
Akola,Moderate,110,"PM
10",1,2023-09-03
Akola,Satisfactory,94,"PM
10",1,2023-09-04
Akola,Satisfactory,88,"PM
10",1,2023-09-05
Akola,Satisfactory,83,"PM
10",1,2023-09-06
Akola,Good,46,"PM
10",1,2023-09-07
