City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Alwar,Poor,288,"PM
2.5",1,2017-10-19
Alwar,Moderate,180,"PM
2.5",1,2017-10-20
Alwar,Poor,217,"PM
10",1,2017-10-21
Alwar,Poor,245,"PM
10",1,2017-10-22
Alwar,Moderate,178,"PM
10",1,2017-10-23
Alwar,Moderate,176,"PM
10",1,2017-10-24
Alwar,Poor,214,"PM
2.5",1,2017-10-25
Alwar,Poor,202,"PM
2.5",1,2017-10-26
Alwar,Poor,262,"PM
10",1,2017-10-27
Alwar,Moderate,197,"PM
10",1,2017-10-29
Alwar,Poor,214,"PM
2.5",1,2017-10-30
Alwar,Moderate,128,"PM
2.5",1,2017-10-31
Alwar,Very Poor,301,"PM
10",1,2017-11-01
Alwar,Moderate,192,"PM
10",1,2017-11-02
Alwar,Satisfactory,94,"O
3",1,2017-11-03
Alwar,Poor,221,"PM
10",1,2017-11-04
Alwar,Satisfactory,87,"O
3",1#,2017-11-05
Alwar,Satisfactory,91,"O
3",1,2017-11-06
Alwar,Moderate,191,"PM
10",1#,2017-11-07
Alwar,Poor,293,"PM
2.5",1,2017-11-08
Alwar,Very Poor,336,"PM
2.5",1,2017-11-10
Alwar,Very Poor,355,"PM
2.5",1,2017-11-11
Alwar,Very Poor,326,"PM
2.5",1,2017-11-12
Alwar,Very Poor,306,"PM
2.5",1,2017-11-13
Alwar,Poor,268,"PM
2.5",1,2017-11-14
Alwar,Very Poor,304,"PM
2.5",1,2017-11-15
Alwar,Very Poor,312,"PM
2.5",1,2017-11-16
Alwar,Poor,278,"PM
2.5",1,2017-11-17
Alwar,Moderate,134,"PM
2.5",1#,2017-11-18
Alwar,Poor,280,"PM
2.5",1,2017-11-19
Alwar,Moderate,159,"PM
10",1,2017-11-20
Alwar,Moderate,120,"PM
10",1,2017-11-21
Alwar,Poor,234,"PM
2.5",1,2017-11-22
Alwar,Moderate,168,"PM
10",1,2017-11-23
Alwar,Moderate,173,"PM
2.5",1,2017-11-24
Alwar,Poor,217,"PM
2.5",1,2017-11-25
Alwar,Poor,221,"PM
2.5",1#,2017-11-26
Alwar,Moderate,124,"PM
10",1,2017-12-19
Alwar,Moderate,194,"PM
2.5",1#,2017-12-20
Alwar,Moderate,181,"PM
2.5",1,2017-12-21
Alwar,Moderate,173,"PM
2.5",1,2017-12-22
Alwar,Moderate,123,"PM
10",1,2017-12-23
Alwar,Moderate,148,"PM
10",1#,2017-12-24
Alwar,Moderate,146,"PM
2.5",1,2017-12-25
Alwar,Moderate,175,"PM
10",1#,2017-12-26
Alwar,Poor,219,"PM
2.5",1,2017-12-27
Alwar,Moderate,174,"PM
2.5",1,2017-12-28
Alwar,Moderate,187,"PM
2.5",1,2017-12-29
Alwar,Poor,215,"PM
2.5",1,2017-12-30
Alwar,Poor,232,"PM
2.5",1,2017-12-31
Alwar,Very Poor,322,"PM
2.5",1,2018-01-01
Alwar,Very Poor,341,"PM
2.5",1,2018-01-02
Alwar,Very Poor,317,"PM
2.5",1,2018-01-03
Alwar,Poor,255,"PM
2.5",1,2018-01-04
Alwar,Poor,266,"PM
2.5",1,2018-01-05
Alwar,Poor,298,"PM
2.5",1#,2018-01-06
Alwar,Moderate,190,"PM
10",1,2018-01-09
Alwar,Moderate,192,"PM
10",1,2018-01-10
Alwar,Poor,221,"PM
2.5",1#,2018-01-11
Alwar,Poor,213,"PM
10",1,2018-01-12
Alwar,Poor,204,"PM
2.5",1#,2018-01-13
Alwar,Poor,220,"PM
10",1#,2018-01-15
Alwar,Poor,264,"PM
10",1,2018-01-16
Alwar,Moderate,197,"PM
10",1,2018-01-17
Alwar,Poor,296,"PM
2.5",1,2018-01-18
Alwar,Poor,244,"PM
2.5",1,2018-01-19
Alwar,Poor,204,"PM
2.5",1,2018-01-20
Alwar,Moderate,177,"PM
2.5",1#,2018-01-21
Alwar,Poor,221,"PM
2.5",1,2018-01-22
Alwar,Poor,290,"PM
2.5",1,2018-01-23
Alwar,Moderate,183,"PM
2.5",1#,2018-01-24
Alwar,Satisfactory,95,"PM
2.5",1#,2018-01-25
Alwar,Satisfactory,99,"PM
2.5",1,2018-01-26
Alwar,Moderate,145,"PM
2.5",1#,2018-01-27
Alwar,Satisfactory,71,"O
3",1#,2018-01-28
Alwar,Satisfactory,56,NO2,1,2018-01-29
Alwar,Satisfactory,79,NO2,1,2018-01-30
Alwar,Moderate,130,"PM
2.5",1,2018-01-31
Alwar,Moderate,135,"PM
2.5",1,2018-02-01
Alwar,Moderate,179,"PM
2.5",1,2018-02-02
Alwar,Moderate,172,"PM
2.5",1,2018-02-05
Alwar,Satisfactory,69,"PM
2.5",1,2018-02-14
Alwar,Moderate,165,"PM
2.5",1,2018-03-01
Alwar,Moderate,120,"PM
10",1,2018-03-04
Alwar,Moderate,110,"PM
10",1,2018-03-05
Alwar,Satisfactory,97,"PM
10",1,2018-03-06
Alwar,Moderate,122,OZONE,1,2018-03-07
Alwar,Moderate,106,"PM
10",1,2018-03-08
Alwar,Satisfactory,79,"PM
10",1,2018-03-11
Alwar,Satisfactory,84,"PM
10",1,2018-03-12
Alwar,Satisfactory,90,"PM
10",1,2018-03-13
Alwar,Moderate,136,"PM
10",1,2018-03-14
Alwar,Satisfactory,78,"PM
10",1,2018-03-15
Alwar,Satisfactory,78,"PM
10",1,2018-03-16
Alwar,Satisfactory,74,"PM
10",1,2018-03-17
Alwar,Poor,218,"PM
2.5",1,2018-03-30
Alwar,Satisfactory,99,"PM
10",1,2018-03-31
Alwar,Satisfactory,59,"PM
10",1,2018-04-01
Alwar,Satisfactory,51,"PM
10",1,2018-04-02
Alwar,Satisfactory,97,"PM
2.5",1,2018-04-03
Alwar,Satisfactory,60,"PM
10",1,2018-04-04
Alwar,Satisfactory,60,"PM
10",1,2018-04-05
Alwar,Satisfactory,96,"PM
10",1,2018-04-10
Alwar,Good,45,"PM
10",1,2018-04-12
Alwar,Satisfactory,68,"PM
10",1,2018-04-13
Alwar,Satisfactory,72,"PM
10",1,2018-04-14
Alwar,Satisfactory,85,"PM
10",1,2018-04-15
Alwar,Satisfactory,92,"PM
2.5",1,2018-04-16
Alwar,Satisfactory,74,"PM
10",1,2018-04-17
Alwar,Satisfactory,84,"PM
10",1,2018-04-22
Alwar,Satisfactory,74,"PM
10",1,2018-04-23
Alwar,Satisfactory,79,"PM
10",1,2018-04-25
Alwar,Satisfactory,85,"PM
10",1,2018-04-26
Alwar,Satisfactory,91,"PM
10",1,2018-04-27
Alwar,Good,46,"NO
2",1,2018-04-28
Alwar,Satisfactory,55,"PM
2.5",1,2018-04-29
Alwar,Moderate,146,"PM
2.5",1,2018-04-30
Alwar,Satisfactory,87,"PM
10",1,2018-05-01
Alwar,Satisfactory,76,"PM
10",1,2018-05-02
Alwar,Satisfactory,68,"PM
10",1,2018-05-08
Alwar,Moderate,104,"PM
2.5",1,2018-05-09
Alwar,Satisfactory,82,"PM
2.5",1,2018-05-10
Alwar,Moderate,174,"PM
2.5",1,2018-05-11
Alwar,Satisfactory,83,"PM
10",1,2018-05-12
Alwar,Moderate,114,"PM
2.5",1,2018-05-13
Alwar,Moderate,139,OZONE,1,2018-05-14
Alwar,Satisfactory,96,"PM
10",1,2018-05-15
Alwar,Moderate,121,"PM
2.5",1,2018-05-17
Alwar,Satisfactory,85,"PM
10",1,2018-05-18
Alwar,Moderate,159,OZONE,1,2018-05-19
Alwar,Satisfactory,55,"PM
10",1,2018-05-20
Alwar,Satisfactory,64,"PM
10",1,2018-05-21
Alwar,Moderate,162,OZONE,1,2018-05-24
Alwar,Moderate,129,OZONE,1,2018-05-25
Alwar,Moderate,128,OZONE,1,2018-05-26
Alwar,Moderate,127,"PM
2.5",1,2018-05-27
Alwar,Moderate,185,OZONE,1,2018-05-28
Alwar,Moderate,124,OZONE,1,2018-05-29
Alwar,Satisfactory,78,OZONE,1,2018-05-31
Alwar,Moderate,127,"PM
2.5",1,2018-06-01
Alwar,Moderate,175,"PM
10",1,2018-06-02
Alwar,Moderate,108,"PM
2.5",1,2018-06-03
Alwar,Satisfactory,95,"PM
10",1,2018-06-04
Alwar,Moderate,101,"PM
10",1,2018-06-05
Alwar,Moderate,177,"PM
2.5",1,2018-06-06
Alwar,Satisfactory,89,"PM
10",1,2018-06-07
Alwar,Satisfactory,68,"PM
10",1,2018-06-09
Alwar,Satisfactory,80,"PM
10",1,2018-06-10
Alwar,Satisfactory,64,OZONE,1,2018-06-11
Alwar,Moderate,103,"PM
10",1,2018-06-12
Alwar,Moderate,165,"PM
10",1,2018-06-13
Alwar,Moderate,125,"PM
10",1,2018-06-14
Alwar,Satisfactory,84,"PM
2.5",1,2018-06-15
Alwar,Satisfactory,79,"PM
10",1,2018-06-16
Alwar,Satisfactory,72,"PM
10",1,2018-06-17
Alwar,Satisfactory,90,"PM
10",1,2018-06-18
Alwar,Satisfactory,73,"PM
10",1,2018-06-19
Alwar,Satisfactory,73,OZONE,1,2018-06-20
Alwar,Moderate,145,"PM
2.5",1,2018-06-21
Alwar,Satisfactory,94,"PM
10",1,2018-06-22
Alwar,Moderate,112,"PM
2.5",1,2018-06-23
Alwar,Satisfactory,96,"PM
10",1,2018-06-24
Alwar,Satisfactory,68,"PM
10",1,2018-06-25
Alwar,Satisfactory,55,"PM
10",1,2018-06-26
Alwar,Satisfactory,72,"PM
10",1,2018-06-27
Alwar,Good,43,"PM
10",1,2018-06-29
Alwar,Satisfactory,66,"PM
10",1,2018-06-30
Alwar,Moderate,111,"PM
10",1,2018-07-01
Alwar,Moderate,104,"PM
10",1,2018-07-03
Alwar,Moderate,105,"PM
10",1,2018-07-04
Alwar,Moderate,122,"PM
10",1,2018-07-05
Alwar,Satisfactory,93,"PM
10",1,2018-07-06
Alwar,Satisfactory,99,"PM
2.5",1,2018-07-07
Alwar,Moderate,137,"PM
2.5",1,2018-07-08
Alwar,Moderate,134,"PM
2.5",1,2018-07-09
Alwar,Moderate,151,"PM
10",1,2018-07-11
Alwar,Poor,292,"PM
10",1,2018-07-12
Alwar,Satisfactory,82,"PM
10",1,2018-07-13
Alwar,Satisfactory,64,"PM
10",1,2018-07-14
Alwar,Satisfactory,66,"PM
10",1,2018-07-15
Alwar,Satisfactory,73,"PM
10",1,2018-07-16
Alwar,Satisfactory,80,"PM
10",1,2018-07-17
Alwar,Satisfactory,80,"PM
10",1,2018-07-18
Alwar,Satisfactory,69,"PM
10",1,2018-07-19
Alwar,Satisfactory,83,"PM
2.5",1,2018-07-21
Alwar,Satisfactory,71,"PM
10",1,2018-07-22
Alwar,Satisfactory,68,"PM
10",1,2018-07-23
Alwar,Satisfactory,72,"PM
10",1,2018-07-24
Alwar,Satisfactory,67,"PM
10",1,2018-07-25
Alwar,Satisfactory,95,"PM
2.5",1,2018-07-26
Alwar,Moderate,116,"PM
2.5",1,2018-07-27
Alwar,Satisfactory,66,"PM
2.5",1,2018-07-28
Alwar,Satisfactory,74,"PM
2.5",1,2018-07-29
Alwar,Satisfactory,98,"PM
2.5",1,2018-07-30
Alwar,Moderate,101,"PM
2.5",1,2018-07-31
Alwar,Moderate,134,"PM
2.5",1,2018-08-01
Alwar,Moderate,160,"PM
2.5",1,2018-08-02
Alwar,Moderate,145,"PM
2.5",1,2018-08-03
Alwar,Moderate,138,"PM
2.5",1,2018-08-04
Alwar,Moderate,143,"PM
2.5",1,2018-08-05
Alwar,Satisfactory,97,"PM
10",1,2018-08-06
Alwar,Satisfactory,94,"PM
10",1,2018-08-07
Alwar,Satisfactory,83,"PM
2.5",1,2018-08-08
Alwar,Satisfactory,62,"PM
10",1,2018-08-09
Alwar,Satisfactory,76,"PM
10",1,2018-08-10
Alwar,Satisfactory,70,"PM
2.5",1,2018-08-11
Alwar,Satisfactory,74,"PM
2.5",1,2018-08-12
Alwar,Satisfactory,74,"PM
2.5",1,2018-08-13
Alwar,Satisfactory,86,"PM
10",1,2018-08-14
Alwar,Moderate,158,"PM
2.5",1,2018-08-15
Alwar,Satisfactory,88,"PM
2.5",1,2018-08-16
Alwar,Satisfactory,81,"PM
10",1,2018-08-17
Alwar,Satisfactory,94,"PM
2.5",1,2018-08-18
Alwar,Satisfactory,93,"PM
10",1,2018-08-19
Alwar,Moderate,107,"PM
2.5",1,2018-08-20
Alwar,Moderate,105,"PM
2.5",1,2018-08-21
Alwar,Moderate,137,"PM
10",1,2018-08-22
Alwar,Moderate,108,"PM
2.5",1,2018-08-23
Alwar,Satisfactory,86,"PM
10",1,2018-08-24
Alwar,Satisfactory,70,"PM
10",1,2018-08-26
Alwar,Satisfactory,87,"PM
10",1,2018-08-27
Alwar,Satisfactory,88,"PM
10",1,2018-08-28
Alwar,Satisfactory,73,"PM
10",1,2018-08-29
Alwar,Satisfactory,68,"PM
10",1,2018-08-30
Alwar,Moderate,102,"PM
10",1,2018-08-31
Alwar,Satisfactory,68,"PM
2.5",1,2018-09-01
Alwar,Satisfactory,79,"PM
10",1,2018-09-02
Alwar,Satisfactory,98,"PM
10",1,2018-09-03
Alwar,Satisfactory,81,"PM
10",1,2018-09-04
Alwar,Satisfactory,77,"PM
10",1,2018-09-05
Alwar,Satisfactory,98,"PM
10",1,2018-09-06
Alwar,Satisfactory,82,"PM
10",1,2018-09-07
Alwar,Satisfactory,51,"PM
2.5",1,2018-09-08
Alwar,Satisfactory,54,"PM
10",1,2018-09-09
Alwar,Satisfactory,70,"PM
10",1,2018-09-10
Alwar,Good,47,"PM
2.5",1,2018-09-11
Alwar,Satisfactory,75,"PM
10",1,2018-09-12
Alwar,Satisfactory,51,"PM
10",1,2018-09-13
Alwar,Good,49,"PM
10",1,2018-09-14
Alwar,Satisfactory,52,"PM
10",1,2018-09-15
Alwar,Satisfactory,50,"PM
10",1,2018-09-16
Alwar,Satisfactory,61,"PM
10",1,2018-09-17
Alwar,Satisfactory,72,"PM
2.5",1,2018-09-18
Alwar,Satisfactory,78,"PM
2.5",1,2018-09-19
Alwar,Satisfactory,74,"PM
10",1,2018-09-20
Alwar,Satisfactory,78,"PM
10",1,2018-09-21
Alwar,Good,28,CO,1,2018-09-22
Alwar,Good,44,"PM
10",1,2018-09-23
Alwar,Good,38,"PM
10",1,2018-09-24
Alwar,Good,36,"PM
10",1,2018-09-25
