City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ambala,Satisfactory,70,"PM
10",1,2019-01-23
Ambala,Moderate,121,"PM
10",1,2019-01-24
Ambala,Moderate,109,"PM
10",1,2019-01-26
Ambala,Satisfactory,91,"PM
10",1,2019-01-27
Ambala,Moderate,103,"PM
10",1,2019-01-28
Ambala,Moderate,121,"PM
10",1,2019-01-29
Ambala,Moderate,132,"PM
10",1,2019-01-30
Ambala,Moderate,181,"PM
10",1,2019-01-31
Ambala,Moderate,124,"PM
10",1,2019-02-01
Ambala,Moderate,112,"PM
10",1,2019-02-02
Ambala,Satisfactory,85,"PM
10",1,2019-02-03
Ambala,Moderate,156,"PM
2.5",1,2019-02-04
Ambala,Moderate,186,"PM
10",1,2019-02-05
Ambala,Moderate,178,"PM
10",1,2019-02-06
Ambala,Satisfactory,96,"PM
10",1,2019-02-07
Ambala,Good,43,OZONE,1,2019-02-08
Ambala,Satisfactory,75,"PM
10",1,2019-02-09
Ambala,Moderate,126,"PM
10",1,2019-02-10
Ambala,Moderate,124,"PM
10",1,2019-02-11
Ambala,Moderate,152,"PM
10",1,2019-02-12
Ambala,Moderate,166,OZONE,1,2019-02-13
Ambala,Moderate,176,"PM
10",1,2019-02-14
Ambala,Satisfactory,54,"PM
10",1,2019-02-15
Ambala,Satisfactory,87,"PM
10",1,2019-02-16
Ambala,Satisfactory,90,"PM
10",1,2019-02-17
Ambala,Moderate,113,"PM
10",1,2019-02-18
Ambala,Satisfactory,71,"SO
2",1,2019-02-19
Ambala,Satisfactory,100,"PM
10",1,2019-02-20
Ambala,Satisfactory,69,"PM
10",1,2019-02-21
Ambala,Satisfactory,97,"PM
10",1,2019-02-22
Ambala,Satisfactory,71,"PM
10",1,2019-02-23
Ambala,Moderate,103,"PM
10",1,2019-02-24
Ambala,Moderate,121,"PM
10",1,2019-02-25
Ambala,Moderate,113,"PM
10",1,2019-02-26
Ambala,Satisfactory,68,"PM
10",1,2019-02-28
Ambala,Satisfactory,88,"PM
10",1,2019-03-01
Ambala,Moderate,101,"PM
10",1,2019-03-02
Ambala,Satisfactory,69,"PM
10",1,2019-03-03
Ambala,Satisfactory,74,"PM
10",1,2019-03-04
Ambala,Satisfactory,79,"PM
10",1,2019-03-05
Ambala,Moderate,106,"PM
10",1,2019-03-06
Ambala,Satisfactory,94,"PM
10",1,2019-03-07
Ambala,Satisfactory,98,"PM
10",1,2019-03-08
Ambala,Satisfactory,98,"PM
10",1,2019-03-09
Ambala,Moderate,153,OZONE,1,2019-03-10
Ambala,Moderate,111,"PM
10",1,2019-03-11
Ambala,Satisfactory,75,OZONE,1,2019-03-12
Ambala,Moderate,133,"PM
10",1,2019-03-13
Ambala,Satisfactory,73,"PM
10",1,2019-03-15
Ambala,Satisfactory,94,"PM
10",1,2019-03-16
Ambala,Satisfactory,99,"PM
10",1,2019-03-17
Ambala,Moderate,111,"PM
10",1,2019-03-18
Ambala,Moderate,106,"PM
10",1,2019-03-19
Ambala,Moderate,119,"PM
10",1,2019-03-20
Ambala,Moderate,113,"PM
10",1,2019-03-21
Ambala,Satisfactory,80,"PM
10",1,2019-03-22
Ambala,Satisfactory,100,"PM
10",1,2019-03-23
Ambala,Satisfactory,96,"PM
10",1,2019-03-24
Ambala,Moderate,110,"PM
10",1,2019-03-25
Ambala,Satisfactory,93,"PM
10",1,2019-03-26
