City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Amritsar,Satisfactory,72,"PM
2.5",1#,2017-03-07
Amritsar,Satisfactory,71,"PM
2.5",1#,2017-03-08
Amritsar,Satisfactory,53,"PM
2.5",1,2017-03-09
Amritsar,Satisfactory,62,"PM
2.5",1#,2017-03-10
Amritsar,Satisfactory,52,"PM
2.5",1,2017-03-11
Amritsar,Satisfactory,56,"PM
10",1,2017-03-12
Amritsar,Satisfactory,76,"PM
10",1,2017-03-13
Amritsar,Satisfactory,81,"PM
2.5",1,2017-03-14
Amritsar,Satisfactory,92,"PM
2.5",1,2017-03-15
Amritsar,Satisfactory,78,"PM
10",1,2017-03-16
Amritsar,Moderate,163,"PM
2.5",1,2017-03-17
Amritsar,Moderate,151,"PM
2.5",1,2017-03-19
Amritsar,Moderate,134,"PM
2.5",1,2017-03-20
Amritsar,Moderate,105,"PM
2.5",1,2017-03-21
Amritsar,Satisfactory,99,"PM
2.5",1#,2017-03-22
Amritsar,Satisfactory,79,"PM
10",1#,2017-03-23
Amritsar,Satisfactory,71,"PM
10",1#,2017-03-24
Amritsar,Moderate,114,"PM
2.5",1,2017-03-25
Amritsar,Satisfactory,84,"PM
2.5",1,2017-03-26
Amritsar,Satisfactory,74,"PM
10",1#,2017-03-27
Amritsar,Moderate,116,"PM
2.5",1,2017-03-28
Amritsar,Satisfactory,70,"PM
2.5",1,2017-03-29
Amritsar,Satisfactory,73,"PM
10",1,2017-03-30
Amritsar,Moderate,114,"PM
2.5",1,2017-03-31
Amritsar,Good,49,CO,1#,2017-04-01
Amritsar,Good,40,"NO
2",1,2017-04-02
Amritsar,Satisfactory,83,"PM
10",1#,2017-04-03
Amritsar,Satisfactory,72,"PM
2.5",1,2017-04-04
Amritsar,Satisfactory,58,"PM
10",1,2017-04-05
Amritsar,Satisfactory,53,"NO
2",1,2017-04-09
Amritsar,Satisfactory,54,"PM
10",1,2017-04-10
Amritsar,Satisfactory,72,"PM
2.5",1,2017-04-11
Amritsar,Satisfactory,51,"PM
2.5",1#,2017-04-14
Amritsar,Good,46,CO,1,2017-04-15
Amritsar,Good,46,CO,1,2017-04-16
Amritsar,Satisfactory,87,"PM
10",1,2017-04-17
Amritsar,Poor,206,"PM
2.5",1,2017-04-18
Amritsar,Satisfactory,97,"PM
10",1,2017-04-19
Amritsar,Good,42,"PM
2.5",1,2017-04-25
Amritsar,Good,47,"PM
2.5",1,2017-04-26
Amritsar,Good,42,"PM
2.5",1,2017-04-27
Amritsar,Good,43,"PM
2.5",1,2017-04-28
Amritsar,Good,46,"PM
2.5",1,2017-04-29
Amritsar,Good,43,"PM
2.5",1,2017-04-30
