City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ankleshwar,Poor,207,"PM
2.5",1,2019-02-05
Ankleshwar,Moderate,185,"PM
2.5",1,2019-02-06
Ankleshwar,Satisfactory,94,"PM
10",1,2019-02-07
Ankleshwar,Moderate,175,"PM
10",1,2019-02-08
Ankleshwar,Poor,230,"PM
10",1,2019-02-09
Ankleshwar,Moderate,133,"PM
10",1,2019-02-10
Ankleshwar,Moderate,133,"PM
2.5",1,2019-02-11
Ankleshwar,Moderate,184,"PM
2.5",1,2019-02-12
Ankleshwar,Poor,203,"PM
2.5",1,2019-02-13
Ankleshwar,Moderate,102,"PM
10",1,2019-02-14
Ankleshwar,Moderate,190,"PM
2.5",1,2019-02-15
Ankleshwar,Moderate,135,"PM
2.5",1,2019-02-16
Ankleshwar,Moderate,126,"PM
2.5",1,2019-02-17
Ankleshwar,Poor,214,"PM
2.5",1,2019-02-18
Ankleshwar,Moderate,200,"PM
2.5",1,2019-02-20
Ankleshwar,Moderate,183,"PM
2.5",1,2019-02-21
Ankleshwar,Moderate,160,"PM
2.5",1,2019-02-22
Ankleshwar,Moderate,116,"PM
10",1,2019-02-23
Ankleshwar,Moderate,117,"PM
10",1,2019-02-24
Ankleshwar,Moderate,151,"PM
2.5",1,2019-02-25
Ankleshwar,Moderate,121,"PM
2.5",1,2019-02-26
Ankleshwar,Moderate,110,"PM
10",1,2019-02-27
Ankleshwar,Moderate,123,"PM
10",1,2019-02-28
Ankleshwar,Moderate,121,"PM
10",1,2019-03-01
Ankleshwar,Moderate,127,"PM
10",1,2019-03-02
Ankleshwar,Moderate,106,"PM
10",1,2019-03-03
Ankleshwar,Satisfactory,86,"PM
10",1,2019-03-04
Ankleshwar,Moderate,115,"PM
10",1,2019-03-05
Ankleshwar,Moderate,129,"PM
10",1,2019-03-06
Ankleshwar,Moderate,137,"PM
2.5",1,2019-03-07
Ankleshwar,Moderate,139,"PM
2.5",1,2019-03-08
Ankleshwar,Moderate,115,"PM
10",1,2019-03-09
Ankleshwar,Moderate,141,"PM
10",1,2019-03-10
Ankleshwar,Moderate,103,"PM
10",1,2019-03-11
Ankleshwar,Moderate,122,"PM
2.5",1,2019-03-12
Ankleshwar,Moderate,124,"PM
10",1,2019-03-13
Ankleshwar,Moderate,101,"PM
10",1,2019-03-14
Ankleshwar,Moderate,171,"PM
10",1,2019-03-15
Ankleshwar,Moderate,134,"PM
10",1,2019-03-16
Ankleshwar,Moderate,126,"PM
10",1,2019-03-17
Ankleshwar,Moderate,170,"PM
2.5",1,2019-03-18
Ankleshwar,Moderate,143,"PM
2.5",1,2019-03-19
Ankleshwar,Moderate,114,"PM
10",1,2019-03-20
Ankleshwar,Satisfactory,95,"PM
2.5",1,2019-03-21
Ankleshwar,Satisfactory,89,"PM
10",1,2019-03-22
Ankleshwar,Moderate,134,"PM
2.5",1,2019-03-23
Ankleshwar,Moderate,184,"PM
2.5",1,2019-03-24
Ankleshwar,Poor,206,"PM
2.5",1,2019-03-25
Ankleshwar,Moderate,148,"PM
10",1,2019-03-26
Ankleshwar,Moderate,184,"PM
2.5",1,2019-03-27
Ankleshwar,Moderate,115,"PM
10",1,2019-03-28
Ankleshwar,Moderate,119,"PM
10",1,2019-03-29
Ankleshwar,Moderate,115,"PM
10",1,2019-03-30
Ankleshwar,Moderate,113,"PM
10",1,2019-04-02
Ankleshwar,Moderate,103,"PM
10",1,2019-04-03
Ankleshwar,Moderate,111,"PM
10",1,2019-04-04
Ankleshwar,Satisfactory,100,"PM
10",1,2019-04-05
Ankleshwar,Satisfactory,83,"PM
10",1,2019-04-06
Ankleshwar,Satisfactory,79,"PM
10",1,2019-04-07
Ankleshwar,Satisfactory,84,"PM
10",1,2019-04-09
Ankleshwar,Satisfactory,81,"PM
10",1,2019-04-10
Ankleshwar,Satisfactory,91,"PM
10",1,2019-04-11
Ankleshwar,Moderate,106,"PM
10",1,2019-04-12
Ankleshwar,Moderate,106,"PM
10",1,2019-04-13
Ankleshwar,Satisfactory,96,"PM
10",1,2019-04-14
Ankleshwar,Satisfactory,78,"PM
2.5",1,2019-04-15
Ankleshwar,Poor,292,"PM
2.5",1,2019-04-16
Ankleshwar,Moderate,137,"PM
2.5",1,2019-04-17
Ankleshwar,Satisfactory,54,"PM
2.5",1,2019-04-18
Ankleshwar,Moderate,121,"PM
10",1,2019-04-19
Ankleshwar,Moderate,111,"PM
10",1,2019-04-20
Ankleshwar,Satisfactory,79,"PM
10",1,2019-04-21
Ankleshwar,Satisfactory,86,"PM
10",1,2019-04-22
Ankleshwar,Satisfactory,93,"PM
10",1,2019-04-23
Ankleshwar,Satisfactory,88,"PM
10",1,2019-04-24
Ankleshwar,Satisfactory,96,"PM
10",1,2019-04-25
Ankleshwar,Moderate,123,"PM
10",1,2019-04-27
Ankleshwar,Moderate,148,"PM
10",1,2019-04-28
Ankleshwar,Moderate,118,"PM
10",1,2019-04-29
Ankleshwar,Moderate,109,"PM
10",1,2019-04-30
Ankleshwar,Moderate,111,"PM
10",1,2019-05-01
Ankleshwar,Moderate,138,"PM
10",1,2019-05-02
Ankleshwar,Moderate,103,"PM
10",1,2019-05-03
Ankleshwar,Satisfactory,97,"PM
10",1,2019-05-04
Ankleshwar,Satisfactory,92,"PM
10",1,2019-05-05
Ankleshwar,Satisfactory,80,"PM
10",1,2019-05-06
Ankleshwar,Satisfactory,90,"PM
10",1,2019-05-07
Ankleshwar,Satisfactory,78,"PM
10",1,2019-05-08
Ankleshwar,Satisfactory,61,"PM
10",1,2019-05-09
Ankleshwar,Satisfactory,66,"PM
10",1,2019-05-10
Ankleshwar,Satisfactory,85,"PM
10",1,2019-05-11
Ankleshwar,Satisfactory,82,"PM
10",1,2019-05-12
Ankleshwar,Satisfactory,90,"PM
10",1,2019-05-13
Ankleshwar,Satisfactory,93,"PM
10",1,2019-05-14
Ankleshwar,Satisfactory,88,"PM
10",1,2019-05-15
Ankleshwar,Satisfactory,78,"PM
10",1,2019-05-16
Ankleshwar,Satisfactory,90,"PM
10",1,2019-05-17
Ankleshwar,Moderate,110,"PM
10",1,2019-05-18
Ankleshwar,Satisfactory,97,"PM
10",1,2019-05-19
Ankleshwar,Satisfactory,82,"PM
10",1,2019-05-20
Ankleshwar,Satisfactory,92,"PM
10",1,2019-05-21
Ankleshwar,Satisfactory,82,"PM
10",1,2019-05-22
Ankleshwar,Satisfactory,86,"PM
10",1,2019-05-23
Ankleshwar,Moderate,105,"PM
10",1,2019-05-24
Ankleshwar,Satisfactory,93,"PM
10",1,2019-05-25
