City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Araria,Poor,255,"PM
2.5",1,2021-12-17
Araria,Poor,239,"PM
2.5",1,2021-12-18
Araria,Poor,208,"PM
2.5",1,2021-12-19
Araria,Poor,291,"PM
2.5",1,2021-12-20
Araria,Very Poor,332,"PM
2.5",1,2021-12-21
Araria,Poor,253,"PM
2.5",1,2021-12-22
Araria,Poor,260,"PM
2.5",1,2021-12-24
Araria,Poor,251,"PM
2.5",1,2021-12-25
Araria,Poor,274,"PM
2.5",1,2021-12-26
Araria,Poor,263,"PM
2.5",1,2021-12-27
Araria,Poor,230,"PM
2.5",1,2021-12-28
Araria,Satisfactory,98,"PM
2.5",1,2021-12-29
Araria,Satisfactory,87,"NO
2",1,2021-12-30
Araria,Moderate,145,"PM
2.5",1,2021-12-31
Araria,Moderate,142,"PM
2.5",1,2022-01-01
Araria,Moderate,137,"PM
2.5",1,2022-01-02
Araria,Moderate,170,"PM
2.5",1,2022-01-03
Araria,Moderate,172,"PM
2.5",1,2022-01-04
Araria,Poor,265,"PM
2.5",1,2022-01-05
Araria,Poor,235,"PM
2.5",1,2022-01-06
Araria,Poor,297,"PM
2.5",1,2022-01-07
Araria,Moderate,183,"PM
2.5",1,2022-01-08
Araria,Poor,213,"PM
2.5",1,2022-01-09
Araria,Moderate,165,"PM
2.5",1,2022-01-10
Araria,Poor,239,"PM
2.5",1,2022-01-11
Araria,Poor,285,"PM
2.5",1,2022-01-12
Araria,Moderate,158,"PM
2.5",1,2022-01-13
Araria,Moderate,194,"PM
2.5",1,2022-01-14
Araria,Poor,268,"PM
2.5",1,2022-01-15
Araria,Moderate,176,"PM
2.5",1,2022-01-16
Araria,Poor,211,"PM
2.5",1,2022-01-17
Araria,Moderate,172,"PM
2.5",1,2022-01-18
Araria,Moderate,190,"PM
2.5",1,2022-01-19
Araria,Moderate,199,"PM
2.5",1,2022-01-20
Araria,Poor,289,"PM
2.5",1,2022-01-21
Araria,Poor,270,"PM
2.5",1,2022-01-22
Araria,Poor,235,"PM
2.5",1,2022-01-25
Araria,Poor,222,"PM
2.5",1,2022-01-26
Araria,Moderate,122,"PM
2.5",1,2022-01-27
Araria,Poor,226,"PM
2.5",1,2022-01-28
Araria,Poor,266,"PM
2.5",1,2022-01-29
Araria,Poor,280,"PM
2.5",1,2022-01-30
Araria,Poor,279,"PM
2.5",1,2022-02-02
Araria,Moderate,191,"PM
2.5",1,2022-02-03
Araria,Moderate,110,"O
3",1,2022-02-04
Araria,Moderate,124,"PM
2.5",1,2022-02-06
Araria,Poor,222,"PM
2.5",1,2022-02-07
Araria,Poor,264,"PM
2.5",1,2022-02-08
Araria,Poor,230,"PM
2.5",1,2022-02-09
Araria,Poor,217,"PM
2.5",1,2022-02-10
Araria,Poor,219,"PM
2.5",1,2022-02-11
Araria,Poor,207,"PM
2.5",1,2022-02-12
Araria,Poor,260,"PM
2.5",1,2022-02-13
Araria,Poor,256,"PM
2.5",1,2022-02-14
Araria,Poor,241,"PM
2.5",1,2022-02-16
