City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ariyalur,Moderate,157,CO,1,2022-12-21
Ariyalur,Moderate,146,CO,1,2022-12-22
Ariyalur,Moderate,148,"PM
2.5",1,2022-12-23
Ariyalur,Moderate,143,"PM
2.5",1,2022-12-24
Ariyalur,Satisfactory,78,"PM
2.5",1,2022-12-25
Ariyalur,Good,29,"NO
2",1,2022-12-26
Ariyalur,Good,37,"NO
2",1,2022-12-27
Ariyalur,Good,38,"NO
2",1,2022-12-28
Ariyalur,Good,36,"PM
10",1,2022-12-29
Ariyalur,Good,41,"PM
10",1,2022-12-30
Ariyalur,Good,43,"PM
2.5",1,2022-12-31
Ariyalur,Good,46,"PM
10",1,2023-01-01
Ariyalur,Satisfactory,57,"PM
2.5",1,2023-01-02
Ariyalur,Moderate,120,CO,1,2023-01-03
Ariyalur,Satisfactory,73,"PM
10",1,2023-01-04
Ariyalur,Satisfactory,86,"PM
2.5",1,2023-01-05
Ariyalur,Satisfactory,87,"PM
2.5",1,2023-01-06
Ariyalur,Satisfactory,74,"PM
2.5",1,2023-01-07
Ariyalur,Moderate,176,"PM
2.5",1,2023-01-08
Ariyalur,Moderate,163,"PM
2.5",1,2023-01-09
Ariyalur,Satisfactory,71,"PM
2.5",1,2023-01-10
Ariyalur,Moderate,103,"PM
2.5",1,2023-01-12
Ariyalur,Satisfactory,79,"PM
2.5",1,2023-01-13
Ariyalur,Satisfactory,56,"PM
2.5",1,2023-01-14
Ariyalur,Satisfactory,64,"PM
2.5",1,2023-01-15
Ariyalur,Good,48,"PM
2.5",1,2023-01-16
Ariyalur,Moderate,110,"PM
2.5",1,2023-01-17
Ariyalur,Good,44,"PM
2.5",1,2023-01-18
Ariyalur,Satisfactory,68,"PM
2.5",1,2023-01-20
Ariyalur,Satisfactory,94,"PM
2.5",1,2023-01-22
Ariyalur,Satisfactory,87,"PM
2.5",1,2023-01-23
Ariyalur,Good,49,"PM
2.5",1,2023-01-24
Ariyalur,Satisfactory,54,"NO
2",1,2023-01-25
Ariyalur,Moderate,102,"PM
2.5",1,2023-01-26
Ariyalur,Moderate,115,"PM
2.5",1,2023-01-27
Ariyalur,Satisfactory,58,"PM
2.5",1,2023-01-28
Ariyalur,Moderate,118,"PM
2.5",1,2023-01-29
