City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Arrah,Very Poor,334,"PM
2.5",1,2021-12-17
Arrah,Very Poor,324,"PM
2.5",1,2021-12-18
Arrah,Very Poor,310,"PM
2.5",1,2021-12-19
Arrah,Very Poor,370,"PM
2.5",1,2021-12-20
Arrah,Severe,420,"PM
2.5",1,2021-12-21
Arrah,Severe,414,"PM
2.5",1,2021-12-22
Arrah,Very Poor,389,"PM
2.5",1,2021-12-23
Arrah,Very Poor,376,"PM
2.5",1,2021-12-24
Arrah,Very Poor,335,"PM
2.5",1,2021-12-25
Arrah,Very Poor,353,"PM
2.5",1,2021-12-26
Arrah,Very Poor,307,"PM
2.5",1,2021-12-27
Arrah,Poor,238,"PM
2.5",1,2021-12-28
Arrah,Moderate,104,"NO
2",1,2021-12-29
Arrah,Moderate,106,"NO
2",1,2021-12-30
Arrah,Satisfactory,84,"NO
2",1,2021-12-31
Arrah,Moderate,148,"PM
2.5",1,2022-01-01
Arrah,Poor,279,"PM
2.5",1,2022-01-04
Arrah,Very Poor,305,"PM
2.5",1,2022-01-05
Arrah,Very Poor,302,"PM
2.5",1,2022-01-06
Arrah,Poor,262,"PM
2.5",1,2022-01-07
Arrah,Moderate,155,"NO
2",1,2022-01-08
Arrah,Moderate,151,"NO
2",1,2022-01-09
Arrah,Moderate,132,"NO
2",1,2022-01-10
Arrah,Moderate,154,"PM
2.5",1,2022-01-11
Arrah,Moderate,145,"NO
2",1,2022-01-12
Arrah,Moderate,130,"NO
2",1,2022-01-13
Arrah,Moderate,179,"O
3",1,2022-01-14
Arrah,Moderate,191,"PM
2.5",1,2022-01-15
Arrah,Moderate,186,"O
3",1,2022-01-16
Arrah,Poor,263,"PM
2.5",1,2022-01-18
Arrah,Poor,282,"PM
2.5",1,2022-01-19
Arrah,Poor,294,"PM
2.5",1,2022-01-20
Arrah,Very Poor,326,"PM
2.5",1,2022-01-21
Arrah,Very Poor,319,"PM
2.5",1,2022-01-22
Arrah,Poor,271,"PM
2.5",1,2022-01-23
Arrah,Moderate,128,"NO
2",1,2022-01-24
Arrah,Poor,205,"PM
2.5",1,2022-01-25
Arrah,Moderate,186,"O
3",1,2022-01-26
Arrah,Moderate,143,"PM
2.5",1,2022-01-27
Arrah,Poor,275,"PM
2.5",1,2022-01-28
Arrah,Poor,236,"PM
2.5",1,2022-01-29
Arrah,Poor,225,"PM
2.5",1,2022-02-01
Arrah,Poor,289,"PM
2.5",1,2022-02-02
