City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Aurangabad,Satisfactory,63,"PM
10",1#,2016-09-07
Aurangabad,Satisfactory,66,"PM
10",1#,2016-09-08
Aurangabad,Satisfactory,55,"O
3",1,2016-09-09
Aurangabad,Satisfactory,74,"PM
10",1,2016-09-10
Aurangabad,Satisfactory,88,"PM
10",1,2016-09-13
Aurangabad,Satisfactory,90,"PM
10",1,2016-09-14
Aurangabad,Moderate,150,"PM
10",1,2016-09-15
Aurangabad,Satisfactory,53,"O
3",1,2016-09-16
Aurangabad,Good,44,"O
3",1,2016-09-17
Aurangabad,Good,48,"PM
10",1,2016-09-18
Aurangabad,Satisfactory,57,"O
3",1,2016-09-19
Aurangabad,Satisfactory,55,"PM
10",1,2016-09-20
Aurangabad,Satisfactory,71,"PM
10",1,2016-09-21
Aurangabad,Satisfactory,72,"PM
10",1,2016-09-22
Aurangabad,Moderate,102,"PM
10",1,2016-09-23
Aurangabad,Satisfactory,59,"PM
10",1,2016-09-24
Aurangabad,Satisfactory,81,"O
3",1,2016-09-25
Aurangabad,Satisfactory,80,"PM
10",1,2016-09-26
Aurangabad,Moderate,110,"PM
10",1#,2016-09-27
Aurangabad,Satisfactory,97,"PM
10",1,2016-09-28
Aurangabad,Satisfactory,84,"PM
10",1,2016-09-29
Aurangabad,Satisfactory,85,"PM
10",1,2016-09-30
Aurangabad,Satisfactory,88,"PM
10",1,2016-10-01
Aurangabad,Satisfactory,51,"PM
10",1,2016-10-02
Aurangabad,Satisfactory,53,"PM
10",1,2016-10-03
Aurangabad,Satisfactory,69,"PM
10",1,2016-10-04
Aurangabad,Good,43,"PM
10",1#,2016-10-05
Aurangabad,Satisfactory,66,"PM
10",1,2016-10-06
Aurangabad,Moderate,121,"PM
10",1,2016-10-10
Aurangabad,Moderate,106,"PM
10",1,2016-10-11
Aurangabad,Moderate,117,"PM
10",1,2016-10-13
Aurangabad,Moderate,147,"PM
10",1,2016-10-14
Aurangabad,Moderate,160,"PM
10",1,2016-10-16
Aurangabad,Moderate,123,"PM
10",1,2016-10-17
Aurangabad,Moderate,157,"PM
10",1,2016-10-18
Aurangabad,Moderate,148,"PM
10",1,2016-10-19
Aurangabad,Moderate,154,"PM
10",1,2016-10-20
Aurangabad,Moderate,177,"PM
10",1,2016-10-21
Aurangabad,Moderate,137,"PM
10",1,2016-10-22
Aurangabad,Moderate,133,"PM
10",1,2016-10-23
Aurangabad,Moderate,139,"PM
10",1,2016-10-24
Aurangabad,Moderate,156,"PM
10",1,2016-10-25
Aurangabad,Moderate,105,"PM
10",1,2016-10-26
Aurangabad,Moderate,173,"PM
10",1,2016-10-30
Aurangabad,Moderate,143,"PM
10",1,2016-10-31
Aurangabad,Moderate,120,"PM
10",1,2016-11-01
Aurangabad,Poor,269,"PM
2.5",1,2016-11-03
Aurangabad,Satisfactory,94,"O
3",1#,2016-11-04
Aurangabad,Poor,226,"PM
2.5",1,2016-11-07
Aurangabad,Moderate,126,"O
3",1,2016-11-08
Aurangabad,Moderate,171,"O
3",1#,2016-11-15
Aurangabad,Very Poor,306,"PM
2.5",1,2016-11-17
Aurangabad,Moderate,177,"PM
2.5",1,2016-11-18
Aurangabad,Poor,219,"PM
2.5",1#,2016-11-19
Aurangabad,Poor,216,"PM
2.5",1#,2016-11-20
Aurangabad,Poor,219,"PM
2.5",1#,2016-11-21
Aurangabad,Poor,250,"PM
2.5",1#,2016-11-22
Aurangabad,Poor,253,"PM
10",1#,2016-11-23
Aurangabad,Poor,269,"PM
2.5",1,2016-11-24
Aurangabad,Poor,298,"PM
10",1#,2016-11-25
Aurangabad,Poor,272,"PM
2.5",1,2016-11-26
Aurangabad,Very Poor,328,"PM
2.5",1#,2016-11-27
Aurangabad,Very Poor,339,"PM
2.5",1,2016-11-28
Aurangabad,Poor,237,"PM
2.5",1,2016-11-29
Aurangabad,Poor,218,"PM
2.5",1,2016-11-30
Aurangabad,Poor,253,"PM
10",1,2016-12-01
Aurangabad,Moderate,169,"PM
2.5",1,2016-12-06
Aurangabad,Moderate,185,"PM
10",1,2016-12-07
Aurangabad,Poor,206,"PM
10",1#,2016-12-08
Aurangabad,Poor,211,"PM
10",1#,2016-12-09
Aurangabad,Poor,223,"PM
10",1#,2016-12-10
Aurangabad,Moderate,168,"PM
10",1,2016-12-11
Aurangabad,Moderate,137,"PM
10",1,2016-12-12
Aurangabad,Moderate,137,"PM
10",1,2016-12-13
Aurangabad,Moderate,187,"PM
10",1,2016-12-14
Aurangabad,Moderate,120,"O
3",1#,2016-12-15
Aurangabad,Moderate,159,"PM
10",1,2016-12-16
Aurangabad,Moderate,198,"PM
10",1,2016-12-17
Aurangabad,Moderate,105,"PM
2.5",1#,2016-12-18
Aurangabad,Moderate,147,"O
3",1,2016-12-19
Aurangabad,Moderate,129,"O
3",1,2016-12-20
Aurangabad,Moderate,178,"O
3",1,2016-12-21
Aurangabad,Poor,243,"PM
10",1#,2016-12-22
Aurangabad,Poor,232,"PM
10",1,2016-12-23
Aurangabad,Poor,245,"PM
10",1#,2016-12-24
Aurangabad,Poor,221,"PM
10",1,2016-12-25
Aurangabad,Moderate,195,"O
3",1#,2016-12-26
Aurangabad,Moderate,155,"O
3",1,2016-12-27
Aurangabad,Poor,238,"PM
10",1,2016-12-28
