City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Aurangabad (Maharashtra),Moderate,107,"PM
10",1,2022-05-05
Aurangabad (Maharashtra),Moderate,109,"PM
10",1,2022-05-06
Aurangabad (Maharashtra),Moderate,111,"PM
10",1,2022-05-07
Aurangabad (Maharashtra),Moderate,109,"PM
10",1,2022-05-08
Aurangabad (Maharashtra),Moderate,112,"PM
10",1,2022-05-09
Aurangabad (Maharashtra),Moderate,114,"PM
10",1,2022-05-10
Aurangabad (Maharashtra),Moderate,108,"PM
10",1,2022-05-12
Aurangabad (Maharashtra),Moderate,103,"PM
10",1,2022-05-13
Aurangabad (Maharashtra),Moderate,105,"PM
10",1,2022-05-14
Aurangabad (Maharashtra),Moderate,103,"PM
10",1,2022-05-15
Aurangabad (Maharashtra),Satisfactory,99,"PM
10",1,2022-05-16
Aurangabad (Maharashtra),Satisfactory,89,"PM
10",1,2022-05-17
Aurangabad (Maharashtra),Moderate,154,"PM
2.5",1,2022-05-19
Aurangabad (Maharashtra),Moderate,125,"PM
2.5",1,2022-05-20
Aurangabad (Maharashtra),Satisfactory,88,"PM
10",1,2022-06-01
Aurangabad (Maharashtra),Satisfactory,93,"PM
2.5",1,2022-06-02
Aurangabad (Maharashtra),Satisfactory,84,"PM
10",1,2022-06-03
Aurangabad (Maharashtra),Satisfactory,91,"PM
2.5",1,2022-06-04
Aurangabad (Maharashtra),Moderate,145,"PM
2.5",1,2022-06-07
Aurangabad (Maharashtra),Moderate,173,"PM
2.5",1,2022-06-08
Aurangabad (Maharashtra),Satisfactory,88,"PM
2.5",1,2022-06-09
Aurangabad (Maharashtra),Satisfactory,58,"PM
2.5",1,2022-06-11
Aurangabad (Maharashtra),Good,38,"PM
2.5",1,2022-06-12
Aurangabad (Maharashtra),Satisfactory,73,"PM
2.5",1,2022-06-13
Aurangabad (Maharashtra),Satisfactory,52,"PM
2.5",1,2022-06-14
Aurangabad (Maharashtra),Good,43,"PM
2.5",1,2022-06-15
Aurangabad (Maharashtra),Satisfactory,90,"PM
10",1,2022-06-17
Aurangabad (Maharashtra),Satisfactory,94,"PM
10",1,2022-06-18
Aurangabad (Maharashtra),Satisfactory,91,"PM
10",1,2022-06-19
Aurangabad (Maharashtra),Satisfactory,83,"PM
10",1,2022-06-20
Aurangabad (Maharashtra),Satisfactory,86,"PM
10",1,2022-06-21
Aurangabad (Maharashtra),Satisfactory,95,"PM
10",1,2022-06-22
Aurangabad (Maharashtra),Good,35,"PM
2.5",1,2022-07-17
Aurangabad (Maharashtra),Satisfactory,95,"PM
10",1,2022-07-18
Aurangabad (Maharashtra),Good,40,"PM
2.5",1,2022-07-19
Aurangabad (Maharashtra),Good,40,"PM
2.5",1,2022-07-20
Aurangabad (Maharashtra),Satisfactory,64,CO,1,2022-07-21
Aurangabad (Maharashtra),Satisfactory,53,CO,1,2022-07-22
Aurangabad (Maharashtra),Satisfactory,70,CO,1,2022-07-23
Aurangabad (Maharashtra),Satisfactory,65,CO,1,2022-07-24
Aurangabad (Maharashtra),Satisfactory,59,CO,1,2022-07-25
Aurangabad (Maharashtra),Good,35,"O
3",1,2022-07-26
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-07-27
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-07-28
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-07-29
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-07-30
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-07-31
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-08-01
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-08-02
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-08-03
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-08-04
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-08-05
Aurangabad (Maharashtra),Satisfactory,51,"PM
10",1,2022-08-06
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-08-07
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-08-08
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-08-09
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-08-10
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-08-11
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-08-12
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-08-13
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-08-14
Aurangabad (Maharashtra),Good,50,"PM
10",1,2022-08-15
Aurangabad (Maharashtra),Good,49,"PM
10",1,2022-08-16
Aurangabad (Maharashtra),Good,49,"PM
10",1,2022-08-17
Aurangabad (Maharashtra),Satisfactory,51,CO,1,2022-08-18
Aurangabad (Maharashtra),Satisfactory,88,"PM
10",1,2022-08-22
Aurangabad (Maharashtra),Moderate,104,"PM
10",1,2022-08-23
Aurangabad (Maharashtra),Satisfactory,91,"PM
10",1,2022-08-24
Aurangabad (Maharashtra),Satisfactory,90,"PM
10",1,2022-08-25
Aurangabad (Maharashtra),Satisfactory,95,"PM
10",1,2022-08-26
Aurangabad (Maharashtra),Satisfactory,94,"PM
10",1,2022-08-27
Aurangabad (Maharashtra),Satisfactory,98,"PM
10",1,2022-08-28
Aurangabad (Maharashtra),Moderate,104,"PM
10",1,2022-08-29
Aurangabad (Maharashtra),Satisfactory,93,"PM
10",1,2022-08-30
Aurangabad (Maharashtra),Satisfactory,96,"PM
10",1,2022-08-31
Aurangabad (Maharashtra),Satisfactory,94,"PM
10",1,2022-09-01
Aurangabad (Maharashtra),Satisfactory,81,"PM
10",1,2022-09-02
Aurangabad (Maharashtra),Satisfactory,83,"PM
10",1,2022-09-03
Aurangabad (Maharashtra),Satisfactory,86,"PM
10",1,2022-09-04
Aurangabad (Maharashtra),Satisfactory,84,"PM
10",1,2022-09-05
Aurangabad (Maharashtra),Satisfactory,84,"PM
10",1,2022-09-06
Aurangabad (Maharashtra),Satisfactory,91,"PM
10",1,2022-09-07
Aurangabad (Maharashtra),Satisfactory,88,"PM
10",1,2022-09-08
Aurangabad (Maharashtra),Satisfactory,86,"PM
10",1,2022-09-09
