City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Badlapur,Good,47,"PM
10",1,2023-06-17
Badlapur,Satisfactory,66,"PM
10",1,2023-06-18
Badlapur,Satisfactory,88,"PM
10",1,2023-06-19
Badlapur,Moderate,104,"PM
10",1,2023-06-20
Badlapur,Moderate,141,"PM
10",1,2023-06-21
Badlapur,Satisfactory,93,"PM
10",1,2023-06-22
Badlapur,Satisfactory,89,"PM
10",1,2023-06-23
Badlapur,Good,44,"PM
10",1,2023-06-24
Badlapur,Good,45,CO,1,2023-06-26
Badlapur,Good,37,"PM
2.5",1,2023-06-27
Badlapur,Satisfactory,56,"PM
10",1,2023-06-28
Badlapur,Satisfactory,56,"PM
10",1,2023-06-29
Badlapur,Good,39,"PM
10",1,2023-06-30
Badlapur,Good,44,"PM
10",1,2023-07-01
Badlapur,Good,49,"PM
10",1,2023-07-02
Badlapur,Good,50,"PM
10",1,2023-07-03
Badlapur,Satisfactory,60,"PM
10",1,2023-07-04
Badlapur,Satisfactory,59,"PM
10",1,2023-07-05
Badlapur,Satisfactory,56,"PM
10",1,2023-07-06
Badlapur,Good,36,"PM
10",1,2023-07-07
Badlapur,Good,48,"PM
10",1,2023-07-08
Badlapur,Moderate,147,"PM
10",1,2023-07-09
Badlapur,Satisfactory,98,"PM
10",1,2023-07-10
Badlapur,Moderate,104,"PM
10",1,2023-07-11
Badlapur,Satisfactory,53,"PM
2.5",1,2023-07-12
Badlapur,Good,46,"PM
10",1,2023-07-13
Badlapur,Good,32,"PM
10",1,2023-07-14
Badlapur,Good,33,"PM
10",1,2023-07-16
Badlapur,Good,24,"PM
10",1,2023-07-17
Badlapur,Good,41,"NO
2",1,2023-07-18
Badlapur,Good,33,"PM
10",1,2023-07-21
Badlapur,Satisfactory,64,"PM
10",1,2023-07-22
Badlapur,Satisfactory,70,"PM
10",1,2023-07-23
Badlapur,Satisfactory,70,"PM
10",1,2023-07-24
Badlapur,Satisfactory,69,"PM
10",1,2023-07-25
Badlapur,Good,27,"PM
10",1,2023-07-29
Badlapur,Good,37,"PM
10",1,2023-07-30
Badlapur,Good,43,"PM
10",1,2023-07-31
Badlapur,Good,31,"PM
10",1,2023-08-01
Badlapur,Good,40,"PM
10",1,2023-08-02
Badlapur,Good,31,"PM
10",1,2023-08-03
Badlapur,Good,38,"PM
10",1,2023-08-04
Badlapur,Good,34,"PM
10",1,2023-08-05
Badlapur,Good,43,"PM
10",1,2023-08-06
Badlapur,Good,40,"PM
10",1,2023-08-07
Badlapur,Good,48,"PM
10",1,2023-08-08
Badlapur,Good,46,"PM
10",1,2023-08-09
Badlapur,Satisfactory,53,"PM
10",1,2023-08-10
Badlapur,Satisfactory,54,"PM
10",1,2023-08-11
Badlapur,Good,46,"PM
10",1,2023-08-12
Badlapur,Good,38,"PM
10",1,2023-08-13
Badlapur,Good,40,"PM
10",1,2023-08-14
Badlapur,Good,45,"PM
10",1,2023-08-15
Badlapur,Good,38,"PM
10",1,2023-08-16
Badlapur,Good,40,"PM
10",1,2023-08-17
Badlapur,Good,26,"PM
2.5",1,2023-08-18
Badlapur,Good,31,CO,1,2023-08-20
Badlapur,Good,36,"PM
2.5",1,2023-08-21
Badlapur,Good,39,CO,1,2023-08-22
Badlapur,Good,34,CO,1,2023-08-23
Badlapur,Good,33,"PM
10",1,2023-08-24
Badlapur,Good,36,"PM
10",1,2023-08-25
Badlapur,Good,32,"PM
10",1,2023-08-26
Badlapur,Good,34,"PM
10",1,2023-08-27
Badlapur,Satisfactory,69,"PM
10",1,2023-08-29
Badlapur,Satisfactory,93,"PM
10",1,2023-08-30
Badlapur,Moderate,119,"PM
10",1,2023-08-31
Badlapur,Satisfactory,94,"PM
10",1,2023-09-01
Badlapur,Satisfactory,81,"PM
10",1,2023-09-02
Badlapur,Satisfactory,66,"PM
10",1,2023-09-03
Badlapur,Satisfactory,94,"PM
10",1,2023-09-04
Badlapur,Moderate,116,"PM
10",1,2023-09-05
Badlapur,Moderate,115,"PM
10",1,2023-09-06
Badlapur,Satisfactory,80,"PM
10",1,2023-09-07
Badlapur,Good,40,"PM
10",1,2023-09-08
Badlapur,Good,45,"PM
10",1,2023-09-09
Badlapur,Good,47,"PM
10",1,2023-09-10
Badlapur,Satisfactory,68,"PM
10",1,2023-09-11
Badlapur,Satisfactory,68,"PM
10",1,2023-09-12
Badlapur,Satisfactory,80,"PM
10",1,2023-09-13
Badlapur,Satisfactory,59,"PM
10",1,2023-09-14
Badlapur,Satisfactory,65,"PM
10",1,2023-09-15
Badlapur,Good,49,"PM
10",1,2023-09-16
Badlapur,Good,41,"PM
10",1,2023-09-17
Badlapur,Good,43,"PM
10",1,2023-09-18
Badlapur,Good,42,"PM
10",1,2023-09-19
Badlapur,Good,49,"PM
10",1,2023-09-20
Badlapur,Good,42,"PM
10",1,2023-09-21
Badlapur,Good,40,"PM
10",1,2023-09-22
Badlapur,Good,48,"PM
10",1,2023-09-23
Badlapur,Satisfactory,55,"PM
10",1,2023-09-24
Badlapur,Satisfactory,59,"PM
10",1,2023-09-25
Badlapur,Satisfactory,75,"PM
10",1,2023-09-26
Badlapur,Satisfactory,61,"PM
10",1,2023-09-27
Badlapur,Satisfactory,62,"PM
10",1,2023-09-28
Badlapur,Satisfactory,70,"PM
10",1,2023-09-29
Badlapur,Satisfactory,66,"PM
10",1,2023-09-30
Badlapur,Satisfactory,70,"PM
10",1,2023-10-01
Badlapur,Satisfactory,83,"PM
10",1,2023-10-02
Badlapur,Moderate,128,"PM
10",1,2023-10-03
Badlapur,Moderate,122,"PM
10",1/1,2023-10-04
Badlapur,Moderate,134,"PM
10",1/1,2023-10-05
Badlapur,Moderate,128,"PM
10",1/1,2023-10-06
Badlapur,Moderate,132,"PM
10",1/1,2023-10-07
Badlapur,Moderate,135,"PM
10",1/1,2023-10-08
Badlapur,Moderate,172,"PM
10",1/1,2023-10-09
Badlapur,Moderate,188,"PM
10",1/1,2023-10-10
Badlapur,Moderate,181,"PM
10",1/1,2023-10-11
Badlapur,Moderate,135,"PM
10",1/1,2023-10-12
Badlapur,Moderate,144,"PM
10",1/1,2023-10-13
Badlapur,Moderate,142,"PM
10",1/1,2023-10-14
Badlapur,Moderate,151,"PM
10",1/1,2023-10-15
Badlapur,Moderate,180,"PM
10",1/1,2023-10-16
Badlapur,Poor,219,"PM
10",1/1,2023-10-17
Badlapur,Moderate,146,"PM
2.5",1/1,2023-10-18
Badlapur,Moderate,160,"PM
10",1/1,2023-10-19
Badlapur,Moderate,196,"PM
10",1/1,2023-10-21
Badlapur,Moderate,170,"PM
10",1/1,2023-10-22
Badlapur,Moderate,184,"PM
10",1/1,2023-10-23
Badlapur,Moderate,176,"PM
10",1/1,2023-10-24
Badlapur,Moderate,152,"PM
10",1/1,2023-10-25
Badlapur,Moderate,174,"PM
10",1/1,2023-10-26
Badlapur,Moderate,194,"PM
10",1/1,2023-10-27
Badlapur,Moderate,190,"PM
10",1/1,2023-10-28
Badlapur,Poor,225,"PM
10",1/1,2023-10-29
Badlapur,Poor,233,"PM
10",1/1,2023-10-30
Badlapur,Poor,239,"PM
10",1/1,2023-10-31
Badlapur,Poor,208,"PM
10",1/1,2023-11-02
Badlapur,Poor,241,"PM
10",1/1,2023-11-03
Badlapur,Poor,251,"PM
10",1/1,2023-11-04
Badlapur,Poor,271,"PM
10",1/1,2023-11-05
Badlapur,Poor,243,"PM
2.5",1/1,2023-11-06
Badlapur,Poor,220,"PM
10",1/1,2023-11-07
Badlapur,Poor,262,"PM
10",1/1,2023-11-08
Badlapur,Moderate,149,"PM
10",1/1,2023-11-09
Badlapur,Satisfactory,95,"PM
10",1/1,2023-11-11
Badlapur,Poor,223,"PM
10",1/1,2023-11-12
Badlapur,Poor,229,"PM
2.5",1/1,2023-11-13
Badlapur,Poor,205,"PM
2.5",1/1,2023-11-14
Badlapur,Moderate,183,"PM
2.5",1/1,2023-11-15
Badlapur,Moderate,179,"PM
10",1/1,2023-11-16
Badlapur,Poor,226,"PM
10",1/1,2023-11-17
Badlapur,Poor,219,"PM
10",1/1,2023-11-18
Badlapur,Very Poor,301,"O
3",1/1,2023-11-19
Badlapur,Moderate,165,"PM
10",1/1,2023-11-20
Badlapur,Moderate,168,"PM
10",1/1,2023-11-21
Badlapur,Poor,227,"PM
10",1/1,2023-11-22
Badlapur,Moderate,187,"PM
10",1/1,2023-11-23
Badlapur,Moderate,194,"PM
10",1/1,2023-11-24
Badlapur,Moderate,169,"PM
10",1/1,2023-11-25
Badlapur,Moderate,146,"PM
10",1/1,2023-11-26
Badlapur,Satisfactory,60,"PM
10",1/1,2023-11-27
Badlapur,Satisfactory,83,"PM
10",1/1,2023-11-28
Badlapur,Very Poor,303,"O
3",1/1,2023-11-29
Badlapur,Moderate,127,"PM
10",1/1,2023-11-30
Badlapur,Poor,236,"O
3",1/1,2023-12-01
Badlapur,Moderate,141,"PM
10",1/1,2023-12-02
Badlapur,Moderate,178,"PM
10",1/1,2023-12-03
Badlapur,Moderate,153,"PM
10",1/1,2023-12-05
Badlapur,Moderate,151,"PM
10",1/1,2023-12-06
Badlapur,Moderate,154,"PM
10",1/1,2023-12-07
Badlapur,Poor,220,"PM
10",1/1,2023-12-08
Badlapur,Moderate,152,"PM
10",1/1,2023-12-09
Badlapur,Poor,204,"PM
10",1/1,2023-12-10
Badlapur,Poor,206,"PM
10",1/1,2023-12-12
Badlapur,Moderate,174,"PM
10",1/1,2023-12-13
Badlapur,Poor,256,"PM
10",1/1,2023-12-14
Badlapur,Moderate,195,"PM
10",1/1,2023-12-15
Badlapur,Moderate,130,"PM
10",1/1,2023-12-16
Badlapur,Moderate,130,"PM
2.5",1/1,2023-12-17
Badlapur,Moderate,178,"PM
10",1/1,2023-12-19
Badlapur,Moderate,159,"PM
10",1/1,2023-12-20
Badlapur,Poor,210,"PM
10",1/1,2023-12-21
Badlapur,Poor,217,"PM
10",1/1,2023-12-22
Badlapur,Moderate,179,"PM
2.5",1/1,2023-12-23
Badlapur,Poor,227,"PM
2.5",1/1,2023-12-24
Badlapur,Poor,209,"PM
2.5",1/1,2023-12-25
Badlapur,Poor,241,"PM
2.5",1/1,2023-12-26
Badlapur,Poor,240,"PM
2.5",1/1,2023-12-27
Badlapur,Poor,251,"PM
2.5",1/1,2023-12-28
Badlapur,Poor,239,"PM
10",1/1,2023-12-29
Badlapur,Poor,210,"PM
2.5",1/1,2023-12-30
Badlapur,Moderate,196,"PM
2.5",1/1,2024-01-01
Badlapur,Poor,203,"PM
2.5",1/1,2024-01-02
Badlapur,Poor,218,"PM
2.5",1/1,2024-01-03
Badlapur,Poor,259,"PM
2.5",1/1,2024-01-04
Badlapur,Moderate,171,"PM
2.5",1/1,2024-01-05
Badlapur,Poor,215,"PM
2.5",1/1,2024-01-06
Badlapur,Moderate,185,"PM
2.5",1/1,2024-01-08
Badlapur,Moderate,186,"PM
10",1/1,2024-01-11
Badlapur,Moderate,182,"PM
10",1/1,2024-01-12
Badlapur,Moderate,142,"PM
10",1/1,2024-01-13
Badlapur,Moderate,152,"PM
2.5",1/1,2024-01-14
Badlapur,Moderate,119,"PM
10",1/1,2024-01-15
Badlapur,Poor,236,"O
3",1/1,2024-01-16
Badlapur,Very Poor,301,"O
3",1/1,2024-01-17
Badlapur,Moderate,160,"PM
2.5",1/1,2024-01-18
Badlapur,Moderate,174,"PM
2.5",1/1,2024-01-19
Badlapur,Poor,201,"PM
2.5",1/1,2024-01-20
Badlapur,Moderate,171,"PM
2.5",1/1,2024-01-21
Badlapur,Moderate,182,"O
3",1/1,2024-01-22
Badlapur,Moderate,178,"PM
2.5",1/1,2024-01-23
Badlapur,Moderate,151,"PM
10",1/1,2024-01-24
Badlapur,Moderate,168,"PM
10",1/1,2024-01-25
Badlapur,Moderate,179,"PM
2.5",1/1,2024-01-26
Badlapur,Moderate,175,"PM
2.5",1/1,2024-01-27
