City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Baghpat,Poor,278,"PM
10",1,2018-08-02
Baghpat,Poor,290,"PM
10",1,2018-08-03
Baghpat,Poor,284,"PM
10",1,2018-08-04
Baghpat,Poor,261,"PM
10",1,2018-08-05
Baghpat,Moderate,166,"PM
2.5",1,2018-08-06
Baghpat,Severe,410,"PM
2.5",1,2018-08-07
Baghpat,Satisfactory,54,CO,1,2018-08-08
Baghpat,Satisfactory,52,CO,1,2018-08-09
Baghpat,Satisfactory,92,"PM
10",1,2018-08-10
Baghpat,Moderate,120,"PM
10",1,2018-08-11
Baghpat,Satisfactory,73,"PM
10",1,2018-08-12
Baghpat,Moderate,101,"PM
10",1,2018-08-13
Baghpat,Satisfactory,95,"PM
10",1,2018-08-14
Baghpat,Moderate,139,"PM
10",1,2018-08-15
Baghpat,Satisfactory,78,"PM
10",1,2018-08-16
Baghpat,Satisfactory,73,"PM
2.5",1,2018-08-17
Baghpat,Satisfactory,65,"PM
10",1,2018-08-18
Baghpat,Satisfactory,64,CO,1,2018-08-19
Baghpat,Moderate,150,"PM
2.5",1,2018-08-20
Baghpat,Satisfactory,63,"PM
10",1,2018-08-21
Baghpat,Satisfactory,71,"PM
10",1,2018-08-22
Baghpat,Satisfactory,51,CO,1,2018-08-23
Baghpat,Satisfactory,67,"PM
10",1,2018-08-24
Baghpat,Satisfactory,82,"PM
10",1,2018-08-25
Baghpat,Satisfactory,76,"PM
10",1,2018-08-26
Baghpat,Satisfactory,60,CO,1,2018-08-27
Baghpat,Satisfactory,63,CO,1,2018-08-28
Baghpat,Satisfactory,57,CO,1,2018-08-29
Baghpat,Satisfactory,63,CO,1,2018-08-30
Baghpat,Moderate,128,"PM
10",1,2018-08-31
Baghpat,Satisfactory,85,"PM
10",1,2018-09-01
Baghpat,Satisfactory,85,"PM
10",1,2018-09-02
Baghpat,Satisfactory,62,CO,1,2018-09-03
Baghpat,Satisfactory,67,CO,1,2018-09-04
Baghpat,Satisfactory,86,"PM
10",1,2018-09-05
Baghpat,Moderate,113,"PM
10",1,2018-09-06
Baghpat,Satisfactory,61,CO,1,2018-09-07
Baghpat,Satisfactory,57,"PM
10",1,2018-09-08
Baghpat,Good,46,CO,1,2018-09-09
Baghpat,Satisfactory,67,"PM
10",1,2018-09-10
Baghpat,Satisfactory,79,"PM
10",1,2018-09-11
Baghpat,Satisfactory,79,"PM
10",1,2018-09-12
Baghpat,Satisfactory,84,"PM
10",1,2018-09-13
Baghpat,Satisfactory,95,"PM
10",1,2018-09-14
Baghpat,Moderate,114,"PM
10",1,2018-09-15
Baghpat,Moderate,111,"PM
10",1,2018-09-16
Baghpat,Moderate,136,"PM
10",1,2018-09-17
Baghpat,Moderate,146,"PM
10",1,2018-09-18
Baghpat,Moderate,156,"PM
10",1,2018-09-19
Baghpat,Moderate,174,"PM
10",1,2018-09-20
Baghpat,Moderate,140,"PM
2.5",1,2018-09-21
Baghpat,Satisfactory,54,CO,1,2018-09-22
Baghpat,Satisfactory,53,CO,1,2018-09-23
Baghpat,Satisfactory,57,CO,1,2018-09-24
Baghpat,Satisfactory,54,CO,1,2018-09-25
Baghpat,Satisfactory,56,"PM
10",1,2018-09-26
Baghpat,Moderate,128,"PM
10",1,2018-09-27
Baghpat,Moderate,170,"PM
10",1,2018-09-28
