City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Bahadurgarh,Very Poor,311,"PM
2.5",1,2019-01-07
Bahadurgarh,Very Poor,348,"PM
2.5",1,2019-01-08
Bahadurgarh,Very Poor,304,"PM
2.5",1,2019-01-09
Bahadurgarh,Very Poor,329,"PM
2.5",1,2019-01-11
Bahadurgarh,Severe,437,"PM
2.5",1,2019-01-12
Bahadurgarh,Very Poor,392,"PM
2.5",1,2019-01-13
Bahadurgarh,Poor,253,"PM
2.5",1,2019-01-14
Bahadurgarh,Severe,476,"PM
2.5",1,2019-01-17
Bahadurgarh,Very Poor,332,"PM
2.5",1,2019-01-18
Bahadurgarh,Very Poor,367,"PM
2.5",1,2019-01-19
Bahadurgarh,Severe,401,"PM
2.5",1,2019-01-20
Bahadurgarh,Poor,289,"PM
2.5",1,2019-01-21
Bahadurgarh,Satisfactory,78,"PM
10",1,2019-01-22
Bahadurgarh,Satisfactory,97,"PM
2.5",1,2019-01-23
Bahadurgarh,Poor,253,"PM
2.5",1,2019-01-24
Bahadurgarh,Satisfactory,97,"PM
2.5",1,2019-01-25
Bahadurgarh,Moderate,142,"PM
2.5",1,2019-01-26
Bahadurgarh,Moderate,146,"PM
2.5",1,2019-01-27
Bahadurgarh,Moderate,120,"PM
2.5",1,2019-01-28
Bahadurgarh,Moderate,134,"PM
2.5",1,2019-01-29
Bahadurgarh,Moderate,192,"PM
2.5",1,2019-01-30
Bahadurgarh,Poor,289,"PM
2.5",1,2019-01-31
Bahadurgarh,Moderate,190,"PM
2.5",1,2019-02-01
Bahadurgarh,Moderate,194,"PM
2.5",1,2019-02-02
Bahadurgarh,Moderate,184,"PM
2.5",1,2019-02-03
Bahadurgarh,Moderate,191,"PM
10",1,2019-02-04
Bahadurgarh,Poor,297,"PM
2.5",1,2019-02-05
Bahadurgarh,Poor,254,"PM
2.5",1,2019-02-06
Bahadurgarh,Satisfactory,100,"PM
2.5",1,2019-02-07
Bahadurgarh,Satisfactory,89,"PM
10",1,2019-02-08
Bahadurgarh,Satisfactory,94,"PM
10",1,2019-02-09
Bahadurgarh,Moderate,178,"PM
2.5",1,2019-02-10
