City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Balasore,Good,38,"O
3",1/1,2023-10-24
Balasore,Satisfactory,68,"O
3",1/1,2023-10-25
Balasore,Moderate,103,"PM
10",1/1,2023-10-26
Balasore,Moderate,146,"PM
2.5",1/1,2023-10-28
Balasore,Moderate,151,"PM
10",1/1,2023-10-29
Balasore,Moderate,131,"PM
2.5",1/1,2023-10-30
Balasore,Moderate,179,"PM
10",1/1,2023-10-31
Balasore,Moderate,141,"PM
10",1/1,2023-11-02
Balasore,Moderate,108,"PM
10",1/1,2023-11-03
Balasore,Satisfactory,60,"PM
10",1/1,2023-11-04
Balasore,Satisfactory,73,"PM
10",1/1,2023-11-05
Balasore,Moderate,174,"PM
2.5",1/1,2023-11-06
Balasore,Moderate,182,"PM
2.5",1/1,2023-11-07
Balasore,Moderate,155,"PM
2.5",1/1,2023-11-08
Balasore,Moderate,183,"PM
2.5",1/1,2023-11-09
Balasore,Poor,201,"PM
2.5",1/1,2023-11-10
Balasore,Poor,226,"PM
2.5",1/1,2023-11-11
Balasore,Poor,292,"PM
2.5",1/1,2023-11-12
Balasore,Very Poor,357,"PM
2.5",1/1,2023-11-13
Balasore,Poor,232,"PM
2.5",1/1,2023-11-14
Balasore,Moderate,175,"PM
2.5",1/1,2023-11-15
Balasore,Moderate,116,"PM
10",1/1,2023-11-16
Balasore,Satisfactory,81,"PM
10",1/1,2023-11-17
Balasore,Satisfactory,93,"PM
10",1/1,2023-11-18
Balasore,Satisfactory,98,"PM
10",1/1,2023-11-19
Balasore,Moderate,116,"PM
10",1/1,2023-11-20
Balasore,Moderate,150,"PM
2.5",1/1,2023-11-21
Balasore,Poor,209,"PM
2.5",1/1,2023-11-22
Balasore,Very Poor,317,"PM
2.5",1/1,2023-11-23
Balasore,Very Poor,307,"PM
2.5",1/1,2023-11-24
Balasore,Poor,297,"PM
2.5",1/1,2023-11-25
Balasore,Poor,257,"PM
2.5",1/1,2023-11-26
Balasore,Moderate,189,"PM
2.5",1/1,2023-11-27
Balasore,Moderate,169,"PM
2.5",1/1,2023-11-28
Balasore,Moderate,183,"PM
2.5",1/1,2023-11-29
Balasore,Poor,214,"PM
2.5",1/1,2023-11-30
Balasore,Moderate,184,"PM
10",1/1,2023-12-01
Balasore,Poor,223,"PM
2.5",1/1,2023-12-02
Balasore,Poor,293,"PM
2.5",1/1,2023-12-03
Balasore,Moderate,188,"PM
2.5",1/1,2023-12-05
Balasore,Satisfactory,77,CO,1/1,2023-12-06
Balasore,Satisfactory,85,CO,1/1,2023-12-07
Balasore,Satisfactory,65,CO,1/1,2023-12-08
Balasore,Satisfactory,88,"PM
10",1/1,2023-12-09
Balasore,Satisfactory,89,"PM
10",1/1,2023-12-10
Balasore,Moderate,144,"PM
10",1/1,2023-12-11
Balasore,Moderate,159,"PM
2.5",1/1,2023-12-12
Balasore,Moderate,180,"PM
2.5",1/1,2023-12-13
Balasore,Moderate,188,"PM
2.5",1/1,2023-12-14
Balasore,Poor,222,"PM
2.5",1/1,2023-12-15
Balasore,Poor,233,"PM
2.5",1/1,2023-12-16
Balasore,Poor,239,"PM
2.5",1/1,2023-12-17
Balasore,Poor,236,"PM
2.5",1/1,2023-12-18
Balasore,Poor,278,"PM
2.5",1/1,2023-12-19
Balasore,Poor,261,"PM
2.5",1/1,2023-12-20
Balasore,Poor,222,"PM
2.5",1/1,2023-12-21
Balasore,Poor,218,"PM
2.5",1/1,2023-12-22
Balasore,Poor,256,"PM
2.5",1/1,2023-12-23
Balasore,Poor,231,"PM
2.5",1/1,2023-12-24
Balasore,Moderate,176,"PM
2.5",1/1,2023-12-25
Balasore,Poor,222,"PM
2.5",1/1,2023-12-26
Balasore,Poor,263,"PM
2.5",1/1,2023-12-27
Balasore,Very Poor,314,"PM
2.5",1/1,2023-12-28
Balasore,Very Poor,326,"PM
2.5",1/1,2023-12-29
Balasore,Poor,293,"PM
2.5",1/1,2023-12-30
Balasore,Very Poor,304,"PM
2.5",1/1,2023-12-31
Balasore,Very Poor,336,"PM
2.5",1/1,2024-01-01
Balasore,Very Poor,334,"PM
2.5",1/1,2024-01-02
Balasore,Very Poor,312,"PM
2.5",1/1,2024-01-03
Balasore,Very Poor,304,"PM
2.5",1/1,2024-01-04
Balasore,Very Poor,314,"PM
2.5",1/1,2024-01-05
Balasore,Very Poor,348,"PM
2.5",1/1,2024-01-06
Balasore,Very Poor,334,"PM
2.5",1/1,2024-01-07
Balasore,Very Poor,334,"PM
2.5",1/1,2024-01-08
Balasore,Very Poor,338,"PM
2.5",1/1,2024-01-09
Balasore,Very Poor,309,"PM
2.5",1/1,2024-01-10
Balasore,Poor,259,"PM
2.5",1/1,2024-01-11
Balasore,Poor,223,"PM
2.5",1/1,2024-01-12
Balasore,Moderate,164,"PM
2.5",1/1,2024-01-13
Balasore,Very Poor,315,"PM
2.5",1/1,2024-01-14
