City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ballabgarh,Poor,217,"PM
2.5",1,2019-01-29
Ballabgarh,Poor,255,"PM
2.5",1,2019-01-30
Ballabgarh,Moderate,172,"PM
2.5",1,2019-01-31
Ballabgarh,Moderate,116,"PM
2.5",1,2019-02-01
Ballabgarh,Poor,211,"PM
2.5",1,2019-02-02
Ballabgarh,Poor,231,"PM
2.5",1,2019-02-03
Ballabgarh,Poor,293,"PM
2.5",1,2019-02-05
Ballabgarh,Satisfactory,72,"PM
10",1,2019-02-07
Ballabgarh,Moderate,113,CO,1,2019-02-08
Ballabgarh,Poor,244,"PM
2.5",1,2019-02-10
Ballabgarh,Poor,225,"PM
2.5",1,2019-02-11
Ballabgarh,Poor,267,"PM
2.5",1,2019-02-12
Ballabgarh,Poor,300,"PM
2.5",1,2019-02-13
Ballabgarh,Poor,212,"PM
2.5",1,2019-02-14
Ballabgarh,Moderate,108,"PM
2.5",1,2019-02-15
Ballabgarh,Moderate,126,"PM
10",1,2019-02-16
Ballabgarh,Moderate,122,"PM
10",1,2019-02-17
Ballabgarh,Moderate,140,"PM
10",1,2019-02-18
Ballabgarh,Satisfactory,88,"PM
10",1,2019-02-19
Ballabgarh,Moderate,126,"PM
10",1,2019-02-20
Ballabgarh,Satisfactory,78,"PM
10",1,2019-02-21
Ballabgarh,Moderate,136,"PM
10",1,2019-02-22
Ballabgarh,Moderate,133,"PM
10",1,2019-02-23
Ballabgarh,Poor,289,"PM
2.5",1,2019-02-24
Ballabgarh,Poor,253,"PM
2.5",1,2019-02-25
Ballabgarh,Moderate,115,"PM
10",1,2019-02-26
Ballabgarh,Satisfactory,86,"PM
10",1,2019-02-27
Ballabgarh,Poor,236,"PM
10",1,2019-02-28
Ballabgarh,Poor,250,"PM
2.5",1,2019-03-01
Ballabgarh,Poor,228,"PM
10",1,2019-03-02
Ballabgarh,Satisfactory,86,"PM
10",1,2019-03-03
Ballabgarh,Moderate,183,"PM
2.5",1,2019-03-04
Ballabgarh,Moderate,173,"PM
10",1,2019-03-05
Ballabgarh,Very Poor,328,"PM
10",1,2019-03-06
Ballabgarh,Very Poor,315,"PM
10",1,2019-03-07
Ballabgarh,Poor,299,"PM
10",1,2019-03-08
Ballabgarh,Moderate,188,"PM
10",1,2019-03-09
Ballabgarh,Poor,256,"PM
2.5",1,2019-03-10
Ballabgarh,Moderate,168,"PM
10",1,2019-03-11
Ballabgarh,Moderate,160,"PM
10",1,2019-03-12
Ballabgarh,Poor,228,"PM
2.5",1,2019-03-13
Ballabgarh,Very Poor,376,"PM
10",1,2019-03-14
Ballabgarh,Poor,273,"PM
2.5",1,2019-03-19
Ballabgarh,Moderate,196,"PM
2.5",1,2019-03-20
Ballabgarh,Moderate,149,"PM
2.5",1,2019-03-21
Ballabgarh,Moderate,161,"PM
10",1,2019-03-22
Ballabgarh,Poor,210,"PM
10",1,2019-03-24
Ballabgarh,Moderate,162,"PM
10",1,2019-03-25
Ballabgarh,Poor,212,"PM
2.5",1,2019-03-26
Ballabgarh,Poor,277,"PM
2.5",1,2019-03-27
