City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Baran,Satisfactory,89,"PM
10",1,2023-06-20
Baran,Satisfactory,85,"PM
2.5",1,2023-06-21
Baran,Satisfactory,80,"PM
10",1,2023-06-22
Baran,Satisfactory,99,"PM
10",1,2023-06-23
Baran,Moderate,107,"PM
10",1,2023-06-24
Baran,Satisfactory,82,"O
3",1,2023-06-25
Baran,Satisfactory,77,"PM
10",1,2023-06-27
Baran,Satisfactory,77,"PM
10",1,2023-06-28
Baran,Satisfactory,90,"PM
10",1,2023-06-29
Baran,Satisfactory,85,"O
3",1,2023-06-30
Baran,Satisfactory,60,"O
3",1,2023-07-01
Baran,Satisfactory,56,"O
3",1,2023-07-02
Baran,Satisfactory,62,"PM
10",1,2023-07-03
Baran,Satisfactory,87,"PM
10",1,2023-07-04
Baran,Moderate,103,"PM
10",1,2023-07-05
Baran,Satisfactory,66,"O
3",1,2023-07-07
Baran,Satisfactory,54,"O
3",1,2023-07-08
Baran,Satisfactory,58,"PM
10",1,2023-07-09
Baran,Satisfactory,"70
* AQ","PM
10
I is not calculated for today's bullet","1
in for Ahmednagar, Asansol,",2023-07-10
Baran,Moderate,119,"PM
2.5",1,2023-07-11
Baran,Moderate,159,"PM
10",1,2023-07-12
Baran,Moderate,128,"PM
10",1,2023-07-13
Baran,Moderate,117,"PM
10",1,2023-07-14
Baran,Moderate,160,"PM
10",1,2023-07-15
Baran,Moderate,173,"PM
2.5",1,2023-07-16
Baran,Moderate,"129
* AQ","PM
10
I is not calculated for today's bullet","1
in for Ahmednagar, Ariyalur,",2023-07-17
Baran,Poor,202,"PM
10",1,2023-07-18
Baran,Poor,257,"PM
2.5",1,2023-07-19
Baran,Poor,233,"PM
2.5",1,2023-07-20
Baran,Moderate,146,"PM
2.5",1,2023-07-21
Baran,Satisfactory,90,"PM
10",1,2023-07-22
Baran,Good,42,"O
3",1,2023-07-23
Baran,Satisfactory,71,"PM
10",1,2023-07-24
Baran,Satisfactory,64,"PM
10",1,2023-07-25
Baran,Satisfactory,94,"PM
10",1,2023-07-26
Baran,Satisfactory,81,"PM
10",1,2023-07-27
