City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Barbil,Moderate,122,"PM
10",1/1,2023-11-03
Barbil,Satisfactory,89,"PM
10",1/1,2023-11-04
Barbil,Satisfactory,93,"PM
10",1/1,2023-11-05
Barbil,Moderate,140,"PM
2.5",1/1,2023-11-06
Barbil,Moderate,139,"PM
10",1/1,2023-11-07
Barbil,Moderate,143,"PM
10",1/1,2023-11-08
Barbil,Moderate,167,"PM
10",1/1,2023-11-09
Barbil,Moderate,195,"PM
10",1/1,2023-11-10
Barbil,Moderate,153,"PM
10",1/1,2023-11-11
Barbil,Moderate,150,"PM
10",1/1,2023-11-12
Barbil,Poor,285,"PM
2.5",1/1,2023-11-13
Barbil,Poor,214,"PM
2.5",1/1,2023-11-14
Barbil,Moderate,164,"O
3",1/1,2023-11-15
Barbil,Moderate,184,"O
3",1/1,2023-11-16
Barbil,Moderate,118,"PM
10",1/1,2023-11-17
Barbil,Satisfactory,96,"PM
10",1/1,2023-11-18
Barbil,Moderate,109,"PM
10",1/1,2023-11-19
Barbil,Moderate,164,"O
3",1/1,2023-11-20
Barbil,Moderate,138,"PM
10",1/1,2023-11-21
Barbil,Moderate,129,"PM
10",1/1,2023-11-22
Barbil,Moderate,177,"PM
2.5",1/1,2023-11-23
Barbil,Poor,203,"PM
2.5",1/1,2023-11-24
Barbil,Poor,213,"PM
2.5",1/1,2023-11-25
Barbil,Poor,223,"PM
2.5",1/1,2023-11-26
Barbil,Moderate,175,"PM
2.5",1/1,2023-11-27
Barbil,Moderate,164,"PM
2.5",1/1,2023-11-28
Barbil,Moderate,159,"PM
10",1/1,2023-11-29
Barbil,Moderate,149,"PM
10",1/1,2023-11-30
Barbil,Poor,225,"O
3",1/1,2023-12-01
Barbil,Poor,261,"PM
2.5",1/1,2023-12-02
Barbil,Poor,225,"PM
2.5",1/1,2023-12-03
Barbil,Moderate,125,"PM
2.5",1/1,2023-12-05
Barbil,Good,47,CO,1/1,2023-12-06
Barbil,Satisfactory,54,CO,1/1,2023-12-07
Barbil,Satisfactory,56,"O
3",1/1,2023-12-08
Barbil,Moderate,111,"PM
10",1/1,2023-12-09
Barbil,Satisfactory,97,"PM
10",1/1,2023-12-10
Barbil,Satisfactory,95,"PM
10",1/1,2023-12-11
Barbil,Moderate,125,"PM
10",1/1,2023-12-12
Barbil,Moderate,141,"PM
10",1/1,2023-12-13
Barbil,Moderate,123,"PM
10",1/1,2023-12-15
Barbil,Moderate,127,"PM
10",1/1,2023-12-16
Barbil,Moderate,161,"O
3",1/1,2023-12-17
Barbil,Moderate,172,"PM
2.5",1/1,2023-12-18
Barbil,Moderate,182,"PM
2.5",1/1,2023-12-19
Barbil,Moderate,158,"PM
2.5",1/1,2023-12-20
Barbil,Moderate,186,"PM
2.5",1/1,2023-12-21
Barbil,Moderate,173,"PM
2.5",1/1,2023-12-22
Barbil,Poor,207,"PM
2.5",1/1,2023-12-23
Barbil,Moderate,192,"PM
2.5",1/1,2023-12-24
Barbil,Moderate,139,"PM
2.5",1/1,2023-12-25
Barbil,Moderate,170,"PM
2.5",1/1,2023-12-26
Barbil,Moderate,190,"PM
2.5",1/1,2023-12-27
Barbil,Poor,240,"PM
2.5",1/1,2023-12-28
Barbil,Poor,255,"PM
2.5",1/1,2023-12-29
Barbil,Poor,247,"PM
2.5",1/1,2023-12-30
Barbil,Poor,286,"PM
2.5",1/1,2023-12-31
Barbil,Very Poor,304,"PM
2.5",1/1,2024-01-01
Barbil,Moderate,200,"PM
2.5",1/1,2024-01-02
