City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Bareilly,Poor,208,"PM
10",1,2022-06-03
Bareilly,Moderate,153,"PM
10",1,2022-06-04
Bareilly,Moderate,158,"PM
10",1,2022-06-05
Bareilly,Moderate,180,"PM
10",1,2022-06-06
Bareilly,Moderate,181,"PM
10",1,2022-06-07
Bareilly,Poor,242,"PM
10",1,2022-06-08
Bareilly,Moderate,185,"PM
10",1,2022-06-09
Bareilly,Satisfactory,100,"PM
2.5",1,2022-06-10
Bareilly,Satisfactory,96,"PM
2.5",1,2022-06-11
Bareilly,Satisfactory,74,"PM
10",1,2022-06-12
Bareilly,Moderate,120,"PM
2.5",1,2022-06-13
Bareilly,Moderate,146,"PM
10",1,2022-06-15
Bareilly,Moderate,118,"PM
10",1,2022-06-17
Bareilly,Moderate,104,"PM
10",1,2022-06-18
Bareilly,Satisfactory,90,"PM
10",1,2022-06-19
Bareilly,Moderate,149,"PM
2.5",1,2022-06-20
Bareilly,Moderate,113,"PM
10",1,2022-06-21
Bareilly,Moderate,103,"PM
10",1,2022-06-22
Bareilly,Moderate,165,"PM
2.5",1,2022-06-23
Bareilly,Moderate,160,"PM
10",1,2022-06-25
Bareilly,Satisfactory,89,"PM
10",1,2022-06-26
Bareilly,Satisfactory,92,"PM
10",1,2022-06-27
Bareilly,Satisfactory,91,"PM
10",1,2022-06-28
Bareilly,Satisfactory,94,"PM
10",1,2022-06-29
Bareilly,Good,29,"PM
2.5",1,2022-07-01
Bareilly,Satisfactory,73,"PM
10",1,2022-07-02
Bareilly,Good,50,"PM
2.5",1,2022-07-03
Bareilly,Moderate,106,"PM
2.5",1,2022-07-04
Bareilly,Satisfactory,65,"PM
10",1,2022-07-05
Bareilly,Satisfactory,59,"PM
10",1,2022-07-06
Bareilly,Satisfactory,69,"PM
10",1,2022-07-08
Bareilly,Good,40,"PM
10",1,2022-07-09
Bareilly,Good,33,"PM
10",1,2022-07-10
Bareilly,Satisfactory,57,"PM
10",1,2022-07-11
Bareilly,Satisfactory,63,"PM
10",1,2022-07-12
Bareilly,Satisfactory,63,"PM
10",1,2022-07-14
Bareilly,Satisfactory,51,"PM
10",1,2022-07-15
Bareilly,Good,45,"PM
10",1,2022-07-16
Bareilly,Good,44,"PM
10",1,2022-07-17
