City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Baripada,Moderate,143,"PM
10",1,2022-11-27
Baripada,Moderate,199,"PM
2.5",1,2022-11-28
Baripada,Poor,218,"PM
2.5",1,2022-11-29
Baripada,Moderate,175,"PM
2.5",1,2022-11-30
Baripada,Moderate,154,"PM
2.5",1,2022-12-01
Baripada,Poor,241,"PM
2.5",1,2022-12-02
Baripada,Poor,288,"PM
2.5",1,2022-12-03
Baripada,Very Poor,302,"PM
2.5",1,2022-12-04
Baripada,Very Poor,306,"PM
2.5",1,2022-12-05
Baripada,Poor,274,"PM
2.5",1,2022-12-06
Baripada,Poor,275,"PM
2.5",1,2022-12-07
Baripada,Poor,228,"PM
2.5",1,2022-12-08
Baripada,Moderate,186,"PM
2.5",1,2022-12-09
Baripada,Poor,262,"PM
2.5",1,2022-12-10
Baripada,Poor,257,"PM
2.5",1,2022-12-11
Baripada,Poor,259,"PM
2.5",1,2022-12-12
Baripada,Moderate,199,"PM
2.5",1,2022-12-13
Baripada,Moderate,143,"PM
10",1,2022-12-14
Baripada,Moderate,155,"O
3",1,2022-12-15
Baripada,Moderate,158,"O
3",1,2022-12-16
Baripada,Moderate,174,"PM
2.5",1,2022-12-17
Baripada,Moderate,193,"PM
2.5",1,2022-12-18
Baripada,Poor,226,"PM
2.5",1,2022-12-19
Baripada,Poor,206,"PM
2.5",1,2022-12-20
Baripada,Poor,252,"PM
2.5",1,2022-12-21
Baripada,Poor,295,"PM
2.5",1,2022-12-22
Baripada,Moderate,180,"PM
2.5",1,2022-12-23
Baripada,Moderate,179,"O
3",1,2022-12-24
Baripada,Moderate,197,"PM
2.5",1,2022-12-25
Baripada,Moderate,108,"O
3",1,2022-12-26
Baripada,Moderate,129,"PM
2.5",1,2022-12-27
Baripada,Poor,253,"PM
2.5",1,2022-12-28
Baripada,Moderate,179,"PM
2.5",1,2022-12-30
Baripada,Moderate,144,"PM
2.5",1,2022-12-31
Baripada,Poor,246,"PM
2.5",1,2023-01-01
Baripada,Very Poor,310,"PM
2.5",1,2023-01-02
Baripada,Very Poor,319,"PM
2.5",1,2023-01-03
Baripada,Very Poor,321,"PM
2.5",1,2023-01-04
Baripada,Poor,299,"PM
2.5",1,2023-01-05
Baripada,Poor,261,"PM
2.5",1,2023-01-06
Baripada,Moderate,132,"PM
10",1,2023-01-07
Baripada,Moderate,120,"PM
10",1,2023-01-08
Baripada,Moderate,115,"PM
10",1,2023-01-09
Baripada,Moderate,162,"O
3",1,2023-01-10
Baripada,Poor,219,"PM
2.5",1,2023-01-12
Baripada,Poor,261,"PM
2.5",1,2023-01-13
Baripada,Poor,245,"PM
2.5",1,2023-01-14
Baripada,Poor,246,"PM
2.5",1,2023-01-15
Baripada,Poor,257,"PM
2.5",1,2023-01-16
Baripada,Poor,264,"PM
2.5",1,2023-01-17
Baripada,Poor,281,"PM
2.5",1,2023-01-18
Baripada,Poor,272,"PM
2.5",1,2023-01-19
Baripada,Very Poor,309,"PM
2.5",1,2023-01-20
Baripada,Poor,275,"PM
2.5",1,2023-01-22
Baripada,Moderate,200,"PM
2.5",1,2023-01-23
Baripada,Poor,217,"PM
2.5",1,2023-01-24
Baripada,Moderate,190,"PM
2.5",1,2023-01-25
Baripada,Poor,211,"O
3",1,2023-01-26
