City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Barmer,Moderate,147,"O
3",1,2023-03-13
Barmer,Moderate,192,"O
3",1,2023-03-14
Barmer,Moderate,179,"O
3",1,2023-03-15
Barmer,Moderate,139,"O
3",1,2023-03-16
Barmer,Moderate,172,"PM
10",1,2023-03-17
Barmer,Satisfactory,96,"O
3",1,2023-03-18
Barmer,Satisfactory,88,"O
3",1,2023-03-19
Barmer,Satisfactory,77,"O
3",1,2023-03-20
Barmer,Satisfactory,84,"O
3",1,2023-03-21
Barmer,Satisfactory,69,"O
3",1,2023-03-22
Barmer,Satisfactory,64,"O
3",1,2023-03-23
Barmer,Satisfactory,85,"O
3",1,2023-03-24
Barmer,Moderate,129,"PM
10",1,2023-03-25
Barmer,Moderate,130,"PM
10",1,2023-03-26
Barmer,Moderate,115,"PM
10",1,2023-03-27
Barmer,Moderate,114,"PM
10",1,2023-03-28
Barmer,Moderate,103,"PM
10",1,2023-03-29
Barmer,Satisfactory,87,"PM
10",1,2023-03-30
Barmer,Satisfactory,82,"O
3",1,2023-03-31
Barmer,Satisfactory,93,"O
3",1,2023-04-01
Barmer,Satisfactory,78,"O
3",1,2023-04-02
Barmer,Satisfactory,82,"PM
10",1,2023-04-03
Barmer,Satisfactory,89,"PM
10",1,2023-04-04
Barmer,Satisfactory,97,"PM
10",1,2023-04-05
Barmer,Satisfactory,97,"O
3",1,2023-04-06
Barmer,Moderate,121,"PM
10",1,2023-04-07
Barmer,Moderate,117,"PM
10",1,2023-04-08
Barmer,Satisfactory,99,"O
3",1,2023-04-09
Barmer,Moderate,130,"PM
10",1,2023-04-10
Barmer,Satisfactory,85,"PM
10",1,2023-04-11
Barmer,Moderate,118,"PM
10",1,2023-04-12
Barmer,Satisfactory,100,"PM
10",1,2023-04-13
Barmer,Moderate,111,"PM
10",1,2023-04-14
Barmer,Satisfactory,87,"PM
10",1,2023-04-15
Barmer,Moderate,104,"PM
10",1,2023-04-16
Barmer,Moderate,115,"PM
10",1,2023-04-17
Barmer,Moderate,119,"PM
10",1,2023-04-18
Barmer,Moderate,197,"PM
10",1,2023-04-19
Barmer,Moderate,150,"PM
10",1,2023-04-20
Barmer,Moderate,107,"PM
10",1,2023-04-21
Barmer,Satisfactory,99,"PM
10",1,2023-04-22
Barmer,Moderate,169,"PM
10",1,2023-04-23
Barmer,Moderate,113,"O
3",1,2023-04-24
Barmer,Moderate,161,"O
3",1,2023-04-25
Barmer,Moderate,166,"O
3",1,2023-04-26
Barmer,Moderate,113,"PM
10",1,2023-04-27
Barmer,Satisfactory,64,"PM
10",1,2023-04-28
Barmer,Satisfactory,64,"O
3",1,2023-04-29
Barmer,Satisfactory,60,"O
3",1,2023-04-30
Barmer,Satisfactory,73,"O
3",1,2023-05-01
Barmer,Satisfactory,74,"O
3",1,2023-05-02
Barmer,Moderate,153,"O
3",1,2023-05-03
Barmer,Satisfactory,99,"O
3",1,2023-05-04
Barmer,Moderate,119,"PM
10",1,2023-05-05
Barmer,Moderate,108,"O
3",1,2023-05-06
Barmer,Satisfactory,75,"O
3",1,2023-05-07
Barmer,Moderate,118,"PM
10",1,2023-05-08
Barmer,Moderate,102,"O
3",1,2023-05-09
Barmer,Moderate,104,"O
3",1,2023-05-10
Barmer,Moderate,112,"O
3",1,2023-05-11
Barmer,Moderate,133,"O
3",1,2023-05-12
Barmer,Satisfactory,92,"PM
10",1,2023-05-13
Barmer,Satisfactory,87,"PM
10",1,2023-05-14
Barmer,Satisfactory,92,"PM
10",1,2023-05-15
Barmer,Satisfactory,85,"PM
10",1,2023-05-16
Barmer,Satisfactory,81,"PM
10",1,2023-05-17
