City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Barrackpore,Poor,224,"PM
2.5",1/1,2023-12-02
Barrackpore,Very Poor,320,"PM
2.5",1/1,2023-12-03
Barrackpore,Poor,210,"PM
2.5",1/1,2023-12-05
Barrackpore,Satisfactory,94,"PM
2.5",1/1,2023-12-07
Barrackpore,Good,32,"PM
2.5",1/1,2023-12-08
Barrackpore,Moderate,105,"PM
2.5",1/1,2023-12-09
Barrackpore,Moderate,173,"PM
2.5",1/1,2023-12-10
Barrackpore,Poor,225,"PM
2.5",1/1,2023-12-11
Barrackpore,Poor,249,"PM
2.5",1/1,2023-12-12
Barrackpore,Poor,218,"PM
2.5",1/1,2023-12-13
Barrackpore,Poor,276,"PM
2.5",1/1,2023-12-14
Barrackpore,Very Poor,301,"PM
2.5",1/1,2023-12-15
Barrackpore,Poor,293,"PM
2.5",1/1,2023-12-16
Barrackpore,Poor,277,"PM
2.5",1/1,2023-12-17
Barrackpore,Poor,288,"PM
2.5",1/1,2023-12-18
Barrackpore,Poor,268,"PM
2.5",1/1,2023-12-19
Barrackpore,Poor,258,"PM
2.5",1/1,2023-12-20
Barrackpore,Moderate,141,"PM
10",1/1,2023-12-21
Barrackpore,Poor,243,"PM
2.5",1/1,2023-12-22
Barrackpore,Moderate,198,"PM
2.5",1/1,2023-12-24
Barrackpore,Poor,212,"PM
2.5",1/1,2023-12-25
Barrackpore,Poor,230,"PM
2.5",1/1,2023-12-26
Barrackpore,Poor,203,"PM
2.5",1/1,2023-12-27
Barrackpore,Moderate,183,"PM
2.5",1/1,2023-12-28
Barrackpore,Poor,205,"PM
2.5",1/1,2023-12-29
Barrackpore,Moderate,194,"PM
2.5",1/1,2023-12-30
Barrackpore,Moderate,190,"PM
2.5",1/1,2023-12-31
Barrackpore,Poor,201,"PM
2.5",1/1,2024-01-01
Barrackpore,Moderate,194,"PM
2.5",1/1,2024-01-02
Barrackpore,Moderate,187,"PM
2.5",1/1,2024-01-03
Barrackpore,Poor,234,"PM
2.5",1/1,2024-01-09
Barrackpore,Poor,284,"PM
2.5",1/1,2024-01-11
Barrackpore,Poor,243,"PM
2.5",1/1,2024-01-12
Barrackpore,Poor,223,"PM
2.5",1/1,2024-01-13
Barrackpore,Poor,281,"PM
2.5",1/1,2024-01-14
Barrackpore,Poor,273,"PM
2.5",1/1,2024-01-15
Barrackpore,Poor,250,"PM
2.5",1/1,2024-01-16
Barrackpore,Poor,239,"PM
2.5",1/1,2024-01-17
Barrackpore,Poor,216,"PM
2.5",1/1,2024-01-18
Barrackpore,Moderate,175,"PM
2.5",1/1,2024-01-19
Barrackpore,Very Poor,312,"PM
2.5",1/1,2024-01-21
Barrackpore,Poor,291,"PM
2.5",1/1,2024-01-22
Barrackpore,Poor,231,"PM
2.5",1/1,2024-01-23
Barrackpore,Poor,295,"PM
2.5",1/1,2024-01-24
Barrackpore,Poor,262,"PM
2.5",1/1,2024-01-25
Barrackpore,Poor,253,"PM
2.5",1/1,2024-01-26
Barrackpore,Poor,266,"PM
2.5",1/1,2024-01-27
Barrackpore,Poor,222,"PM
2.5",1/1,2024-01-29
Barrackpore,Poor,248,"PM
10",1/1,2024-01-30
Barrackpore,Moderate,128,"PM
10",1/1,2024-01-31
Barrackpore,Moderate,200,"PM
2.5",1/1,2024-02-01
Barrackpore,Moderate,179,"PM
2.5",1/1,2024-02-02
Barrackpore,Poor,202,"PM
2.5",1/1,2024-02-03
Barrackpore,Poor,212,"PM
2.5",1/1,2024-02-04
Barrackpore,Poor,201,"PM
2.5",1/1,2024-02-05
Barrackpore,Poor,210,"PM
2.5",1/1,2024-02-06
Barrackpore,Moderate,172,"PM
2.5",1/1,2024-02-07
Barrackpore,Moderate,127,"PM
10",1/1,2024-02-08
Barrackpore,Moderate,126,"PM
10",1/1,2024-02-09
Barrackpore,Moderate,151,"PM
2.5",1/1,2024-02-10
Barrackpore,Moderate,190,"PM
2.5",1/1,2024-02-11
Barrackpore,Poor,203,"PM
2.5",1/1,2024-02-12
Barrackpore,Poor,291,"PM
2.5",1/1,2024-02-13
Barrackpore,Poor,217,"PM
2.5",1/1,2024-02-14
Barrackpore,Poor,231,"PM
2.5",1/1,2024-02-15
Barrackpore,Moderate,188,"PM
2.5",1/1,2024-02-16
Barrackpore,Poor,213,"PM
2.5",1/1,2024-02-17
Barrackpore,Poor,258,"PM
2.5",1/1,2024-02-18
Barrackpore,Moderate,165,"PM
2.5",1/1,2024-02-19
Barrackpore,Moderate,162,"PM
2.5",1/1,2024-02-20
Barrackpore,Moderate,164,"PM
2.5",1/1,2024-02-22
Barrackpore,Moderate,137,"PM
2.5",1/1,2024-02-23
Barrackpore,Moderate,126,"PM
10",1/1,2024-02-24
Barrackpore,Moderate,115,"PM
10",1/1,2024-02-25
Barrackpore,Moderate,116,"PM
2.5",1/1,2024-02-26
Barrackpore,Moderate,160,"PM
2.5",1/1,2024-02-27
Barrackpore,Moderate,149,"PM
2.5",1/1,2024-02-28
Barrackpore,Moderate,174,"PM
2.5",1/1,2024-02-29
Barrackpore,Moderate,178,"PM
2.5",1/1,2024-03-01
Barrackpore,Moderate,162,"O
3",1/1,2024-03-02
Barrackpore,Moderate,179,"PM
2.5",1/1,2024-03-03
Barrackpore,Moderate,153,"PM
2.5",1/1,2024-03-04
Barrackpore,Moderate,129,"PM
2.5",1/1,2024-03-05
Barrackpore,Moderate,123,"PM
2.5",1/1,2024-03-06
Barrackpore,Moderate,137,"PM
10",1/1,2024-03-07
Barrackpore,Moderate,170,"PM
2.5",1/1,2024-03-08
Barrackpore,Moderate,137,"PM
2.5",1/1,2024-03-09
Barrackpore,Moderate,148,"PM
10",1/1,2024-03-10
Barrackpore,Moderate,132,"PM
10",1/1,2024-03-11
Barrackpore,Satisfactory,70,"PM
10",1/1,2024-03-17
Barrackpore,Satisfactory,67,"PM
10",1/1,2024-03-21
Barrackpore,Satisfactory,89,"PM
10",1/1,2024-03-22
Barrackpore,Moderate,151,"PM
2.5",1/1,2024-03-23
Barrackpore,Satisfactory,87,"PM
10",1/1,2024-03-24
Barrackpore,Satisfactory,91,"PM
10",1/1,2024-03-25
Barrackpore,Satisfactory,63,"PM
10",1/1,2024-03-26
Barrackpore,Satisfactory,76,"PM
10",1/1,2024-03-27
Barrackpore,Moderate,109,"PM
10",1/1,2024-03-29
Barrackpore,Satisfactory,78,"PM
10",1/1,2024-03-30
Barrackpore,Satisfactory,100,"PM
10",1/1,2024-03-31
Barrackpore,Moderate,104,"PM
10",1/1,2024-04-01
Barrackpore,Moderate,129,"PM
10",1/1,2024-04-02
Barrackpore,Moderate,111,"PM
10",1/1,2024-04-04
Barrackpore,Satisfactory,99,"PM
10",1/1,2024-04-05
Barrackpore,Moderate,157,"PM
2.5",1/1,2024-04-06
Barrackpore,Satisfactory,98,"PM
10",1/1,2024-04-07
Barrackpore,Satisfactory,98,"PM
10",1/1,2024-04-08
Barrackpore,Satisfactory,92,"PM
10",1/1,2024-04-09
Barrackpore,Moderate,120,"PM
2.5",1/1,2024-04-12
Barrackpore,Poor,208,"PM
2.5",1/1,2024-04-13
Barrackpore,Moderate,157,"PM
2.5",1/1,2024-04-14
Barrackpore,Moderate,141,"PM
2.5",1/1,2024-04-15
Barrackpore,Moderate,126,"PM
2.5",1/1,2024-04-17
Barrackpore,Moderate,124,"PM
10",1/1,2024-04-18
Barrackpore,Moderate,147,"PM
10",1/1,2024-04-19
Barrackpore,Moderate,110,"PM
10",1/1,2024-04-20
Barrackpore,Satisfactory,99,"PM
10",1/1,2024-04-21
Barrackpore,Moderate,135,"PM
10",1/1,2024-04-23
Barrackpore,Moderate,116,"PM
10",1/1,2024-04-25
Barrackpore,Moderate,116,"PM
10",1/1,2024-04-26
Barrackpore,Satisfactory,95,"PM
10",1/1,2024-04-27
Barrackpore,Moderate,102,"PM
10",1/1,2024-04-28
Barrackpore,Moderate,125,"PM
10",1/1,2024-04-29
Barrackpore,Moderate,121,"PM
10",1/1,2024-04-30
Barrackpore,Moderate,136,"PM
10",1/1,2024-05-01
Barrackpore,Moderate,111,"PM
10",1/1,2024-05-02
Barrackpore,Moderate,115,"PM
10",1/1,2024-05-03
Barrackpore,Moderate,109,"PM
10",1/1,2024-05-04
Barrackpore,Satisfactory,79,"PM
10",1/1,2024-05-05
Barrackpore,Satisfactory,79,"PM
10",1/1,2024-05-06
Barrackpore,Satisfactory,53,"O
3",1/1,2024-05-07
Barrackpore,Good,45,"PM
10",1/1,2024-05-08
Barrackpore,Satisfactory,52,"PM
10",1/1,2024-05-09
Barrackpore,Good,43,"PM
10",1/1,2024-05-10
Barrackpore,Satisfactory,54,"PM
10",1/1,2024-05-11
Barrackpore,Good,50,"PM
10",1/1,2024-05-12
Barrackpore,Satisfactory,58,"PM
10",1/1,2024-05-13
Barrackpore,Satisfactory,73,"PM
10",1/1,2024-05-14
Barrackpore,Satisfactory,59,"PM
10",1/1,2024-05-15
Barrackpore,Satisfactory,58,"PM
10",1/1,2024-05-16
Barrackpore,Satisfactory,71,"PM
10",1/1,2024-05-18
Barrackpore,Satisfactory,70,"PM
10",1/1,2024-05-19
Barrackpore,Good,44,"PM
10",1/1,2024-05-20
Barrackpore,Good,43,"PM
10",1/1,2024-05-21
Barrackpore,Good,43,"PM
10",1/1,2024-05-22
Barrackpore,Satisfactory,51,"PM
10",1/1,2024-05-23
Barrackpore,Good,44,"PM
10",1/1,2024-05-24
Barrackpore,Satisfactory,52,"PM
10",1/1,2024-05-25
Barrackpore,Good,28,"PM
10",1/1,2024-05-26
Barrackpore,Good,43,"O
3",1/1,2024-05-27
Barrackpore,Good,45,"PM
10",1/1,2024-05-28
Barrackpore,Satisfactory,100,"PM
10",1/1,2024-05-29
Barrackpore,Satisfactory,89,"PM
10",1/1,2024-05-30
Barrackpore,Satisfactory,61,"PM
10",1/1,2024-05-31
Barrackpore,Satisfactory,77,"PM
10",1/1,2024-06-01
Barrackpore,Satisfactory,65,"PM
10",1/1,2024-06-02
Barrackpore,Satisfactory,54,"PM
10",1/1,2024-06-03
Barrackpore,Satisfactory,64,"PM
10",1/1,2024-06-04
Barrackpore,Satisfactory,71,"PM
10",1/1,2024-06-05
Barrackpore,Satisfactory,91,"PM
10",1/1,2024-06-06
Barrackpore,Moderate,107,"PM
10",1/1,2024-06-07
Barrackpore,Satisfactory,82,"PM
10",1/1,2024-06-08
Barrackpore,Satisfactory,75,"PM
10",1/1,2024-06-09
Barrackpore,Satisfactory,89,"PM
10",1/1,2024-06-10
Barrackpore,Satisfactory,73,"PM
10",1/1,2024-06-11
Barrackpore,Satisfactory,69,"PM
10",1/1,2024-06-12
Barrackpore,Satisfactory,77,"PM
10",1/1,2024-06-13
Barrackpore,Satisfactory,89,"PM
10",1/1,2024-06-14
Barrackpore,Satisfactory,93,"PM
10",1/1,2024-06-15
Barrackpore,Satisfactory,76,"PM
10",1/1,2024-06-16
Barrackpore,Satisfactory,70,"PM
10",1/1,2024-06-17
Barrackpore,Satisfactory,76,"PM
10",1/1,2024-06-18
Barrackpore,Satisfactory,76,"PM
10",1/1,2024-06-19
Barrackpore,Good,49,"PM
10",1/1,2024-06-21
Barrackpore,Good,50,"PM
10",1/1,2024-06-22
Barrackpore,Good,47,"PM
10",1/1,2024-06-23
Barrackpore,Good,46,"O
3",1/1,2024-06-24
Barrackpore,Satisfactory,63,"PM
10",1/1,2024-06-25
Barrackpore,Good,47,"PM
10",1/1,2024-06-26
Barrackpore,Good,23,"PM
10",1/1,2024-06-27
Barrackpore,Good,36,"PM
10",1/1,2024-06-28
Barrackpore,Good,35,CO,1/1,2024-06-29
Barrackpore,Satisfactory,53,"PM
10",1/1,2024-06-30
Barrackpore,Satisfactory,57,"PM
10",1/1,2024-07-01
Barrackpore,Satisfactory,52,"PM
10",1/1,2024-07-02
Barrackpore,Good,42,"PM
10",1/1,2024-07-03
Barrackpore,Satisfactory,52,"PM
10",1/1,2024-07-04
Barrackpore,Satisfactory,61,"PM
10",1/1,2024-07-05
Barrackpore,Satisfactory,57,"PM
10",1/1,2024-07-06
Barrackpore,Good,43,"PM
10",1/1,2024-07-07
Barrackpore,Good,39,"PM
10",1/1,2024-07-08
Barrackpore,Good,36,"PM
10",1/1,2024-07-09
Barrackpore,Good,40,"PM
10",1/1,2024-07-10
Barrackpore,Satisfactory,53,"PM
10",1/1,2024-07-12
Barrackpore,Satisfactory,52,"PM
10",1/1,2024-07-13
Barrackpore,Good,48,"PM
10",1/1,2024-07-14
Barrackpore,Good,24,CO,1/1,2024-07-15
Barrackpore,Good,35,"PM
10",1/1,2024-07-16
Barrackpore,Good,28,"PM
10",1/1,2024-07-17
Barrackpore,Good,43,"PM
10",1/1,2024-07-18
Barrackpore,Good,43,"PM
10",1/1,2024-07-19
Barrackpore,Good,39,"PM
10",1/1,2024-07-20
