City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Bathinda,Moderate,155,"PM
2.5",1,2018-06-08
Bathinda,Moderate,198,"PM
2.5",1,2018-06-09
Bathinda,Poor,205,"PM
2.5",1,2018-06-10
Bathinda,Poor,234,"PM
2.5",1,2018-06-11
Bathinda,Moderate,144,"PM
10",1,2018-06-12
Bathinda,Moderate,101,"PM
10",1,2018-06-13
Bathinda,Moderate,104,"PM
10",1,2018-06-14
Bathinda,Poor,221,"PM
2.5",1,2018-06-15
Bathinda,Severe,405,"PM
2.5",1,2018-06-16
Bathinda,Moderate,168,"PM
2.5",1,2018-06-18
Bathinda,Moderate,105,"PM
2.5",1,2018-06-19
Bathinda,Moderate,147,"PM
2.5",1,2018-06-20
Bathinda,Moderate,199,"PM
2.5",1,2018-06-21
Bathinda,Moderate,107,"PM
10",1,2018-06-23
Bathinda,Moderate,113,"PM
2.5",1,2018-06-24
Bathinda,Moderate,109,"PM
10",1,2018-06-25
Bathinda,Moderate,105,"PM
10",1,2018-06-26
Bathinda,Moderate,105,"PM
10",1,2018-06-27
Bathinda,Satisfactory,95,"PM
10",1,2018-06-28
Bathinda,Satisfactory,75,"PM
10",1,2018-06-29
Bathinda,Satisfactory,78,"PM
2.5",1,2018-06-30
Bathinda,Moderate,130,"PM
10",1,2018-07-01
Bathinda,Moderate,128,"PM
10",1,2018-07-02
Bathinda,Satisfactory,88,"PM
10",1,2018-07-03
Bathinda,Satisfactory,55,"PM
2.5",1,2018-07-04
Bathinda,Moderate,151,"PM
10",1,2018-07-05
Bathinda,Satisfactory,62,"PM
2.5",1,2018-07-06
Bathinda,Satisfactory,66,"PM
10",1,2018-07-07
Bathinda,Satisfactory,77,"PM
2.5",1,2018-07-09
Bathinda,Satisfactory,73,"PM
2.5",1,2018-07-10
Bathinda,Satisfactory,78,"PM
2.5",1,2018-07-11
Bathinda,Satisfactory,91,"PM
2.5",1,2018-07-12
Bathinda,Satisfactory,90,"PM
2.5",1,2018-07-13
Bathinda,Satisfactory,81,"PM
10",1,2018-07-14
Bathinda,Satisfactory,93,"PM
10",1,2018-07-15
Bathinda,Satisfactory,91,"PM
10",1,2018-07-16
Bathinda,Satisfactory,74,"PM
2.5",1,2018-07-17
Bathinda,Satisfactory,68,"PM
2.5",1,2018-07-18
Bathinda,Satisfactory,75,"PM
10",1,2018-07-19
Bathinda,Satisfactory,73,"PM
10",1,2018-07-20
Bathinda,Satisfactory,66,"PM
10",1,2018-07-21
Bathinda,Satisfactory,66,"PM
10",1,2018-07-22
Bathinda,Satisfactory,72,"PM
10",1,2018-07-23
Bathinda,Satisfactory,82,"PM
10",1,2018-07-24
Bathinda,Satisfactory,81,"PM
10",1,2018-07-25
Bathinda,Satisfactory,77,"PM
10",1,2018-07-26
Bathinda,Satisfactory,74,"PM
10",1,2018-07-27
Bathinda,Moderate,166,"PM
10",1,2018-07-28
Bathinda,Satisfactory,68,"PM
10",1,2018-07-29
Bathinda,Satisfactory,68,"PM
10",1,2018-07-30
Bathinda,Satisfactory,71,"PM
10",1,2018-07-31
Bathinda,Satisfactory,83,"PM
2.5",1,2018-08-01
Bathinda,Satisfactory,68,"PM
10",1,2018-08-02
Bathinda,Satisfactory,67,"PM
10",1,2018-08-03
Bathinda,Satisfactory,68,"PM
10",1,2018-08-04
Bathinda,Satisfactory,68,"PM
10",1,2018-08-05
Bathinda,Satisfactory,72,"PM
10",1,2018-08-06
Bathinda,Satisfactory,84,"PM
10",1,2018-08-07
Bathinda,Satisfactory,84,"PM
10",1,2018-08-08
Bathinda,Satisfactory,80,"PM
10",1,2018-08-09
Bathinda,Satisfactory,59,"PM
2.5",1,2018-08-10
Bathinda,Satisfactory,59,"PM
10",1,2018-08-11
Bathinda,Satisfactory,60,"PM
10",1,2018-08-12
Bathinda,Satisfactory,60,"PM
10",1,2018-08-13
Bathinda,Satisfactory,62,"PM
10",1,2018-08-14
Bathinda,Satisfactory,68,"PM
10",1,2018-08-15
Bathinda,Satisfactory,67,"PM
2.5",1,2018-08-16
Bathinda,Satisfactory,82,"PM
10",1,2018-08-17
Bathinda,Satisfactory,85,"PM
2.5",1,2018-08-20
Bathinda,Satisfactory,72,"PM
2.5",1,2018-08-21
Bathinda,Satisfactory,68,"PM
10",1,2018-08-22
Bathinda,Satisfactory,67,"PM
10",1,2018-08-23
Bathinda,Satisfactory,68,"PM
10",1,2018-08-24
Bathinda,Satisfactory,68,"PM
10",1,2018-08-25
Bathinda,Satisfactory,62,"PM
2.5",1,2018-08-26
Bathinda,Satisfactory,75,"PM
2.5",1,2018-08-27
Bathinda,Satisfactory,78,"PM
2.5",1,2018-08-28
Bathinda,Satisfactory,84,"PM
10",1,2018-08-30
Bathinda,Satisfactory,87,"PM
10",1,2018-08-31
Bathinda,Satisfactory,93,"PM
10",1,2018-09-01
Bathinda,Moderate,144,"PM
10",1,2018-09-02
Bathinda,Satisfactory,66,"PM
2.5",1,2018-09-03
Bathinda,Satisfactory,72,"PM
2.5",1,2018-09-04
Bathinda,Satisfactory,95,"PM
2.5",1,2018-09-05
Bathinda,Satisfactory,98,"PM
2.5",1,2018-09-06
Bathinda,Moderate,111,"PM
2.5",1,2018-09-07
Bathinda,Satisfactory,76,"PM
10",1,2018-09-08
Bathinda,Satisfactory,80,"PM
2.5",1,2018-09-09
Bathinda,Satisfactory,76,"PM
10",1,2018-09-10
Bathinda,Satisfactory,81,"PM
2.5",1,2018-09-11
Bathinda,Satisfactory,78,"PM
2.5",1,2018-09-12
Bathinda,Moderate,100,"PM
2.5",1,2018-09-13
Bathinda,Satisfactory,77,"PM
2.5",1,2018-09-14
Bathinda,Satisfactory,76,"PM
10",1,2018-09-15
Bathinda,Satisfactory,80,"PM
2.5",1,2018-09-16
