City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Begusarai,Moderate,197,"PM
2.5",1,2022-04-05
Begusarai,Moderate,177,"PM
10",1,2022-04-07
Begusarai,Moderate,119,"PM
10",1,2022-04-08
Begusarai,Satisfactory,78,"PM
10",1,2022-04-11
Begusarai,Satisfactory,71,"PM
10",1,2022-05-02
Begusarai,Good,49,"PM
10",1,2022-05-10
Begusarai,Satisfactory,82,"PM
10",1,2022-05-15
Begusarai,Satisfactory,54,"PM
10",1,2022-05-21
Begusarai,Moderate,106,"PM
2.5",1,2022-05-26
Begusarai,Moderate,109,"PM
2.5",1,2022-05-29
Begusarai,Moderate,142,"PM
2.5",1,2022-05-30
Begusarai,Moderate,122,"PM
2.5",1,2022-05-31
Begusarai,Moderate,141,"PM
2.5",1,2022-06-01
Begusarai,Moderate,110,"PM
2.5",1,2022-06-02
Begusarai,Satisfactory,94,"PM
2.5",1,2022-06-03
Begusarai,Moderate,102,"PM
10",1,2022-06-04
Begusarai,Satisfactory,85,"PM
10",1,2022-06-05
Begusarai,Very Poor,397,"PM
2.5",1,2022-06-07
Begusarai,Satisfactory,88,"PM
10",1,2022-06-08
Begusarai,Satisfactory,96,"PM
10",1,2022-06-09
Begusarai,Satisfactory,58,"PM
10",1,2022-06-10
Begusarai,Satisfactory,90,"PM
10",1,2022-06-11
Begusarai,Moderate,125,"PM
2.5",1,2022-06-12
Begusarai,Satisfactory,88,"PM
2.5",1,2022-06-13
Begusarai,Satisfactory,92,"PM
10",1,2022-06-14
Begusarai,Moderate,111,"PM
2.5",1,2022-06-15
Begusarai,Satisfactory,97,"PM
10",1,2022-06-17
Begusarai,Moderate,114,"PM
2.5",1,2022-06-23
Begusarai,Satisfactory,95,"PM
2.5",1,2022-06-24
Begusarai,Satisfactory,51,"PM
2.5",1,2022-06-26
Begusarai,Satisfactory,56,"PM
10",1,2022-06-27
Begusarai,Good,49,"PM
2.5",1,2022-07-02
Begusarai,Satisfactory,64,"PM
2.5",1,2022-07-04
Begusarai,Good,50,"PM
10",1,2022-07-09
Begusarai,Satisfactory,60,"PM
10",1,2022-07-12
Begusarai,Satisfactory,60,"PM
10",1,2022-07-14
Begusarai,Satisfactory,64,"PM
10",1,2022-07-16
Begusarai,Good,44,"PM
10",1,2022-07-17
Begusarai,Satisfactory,51,"PM
10",1,2022-07-18
Begusarai,Satisfactory,56,"O
3",1,2022-07-19
Begusarai,Satisfactory,63,"PM
10",1,2022-07-20
Begusarai,Good,43,"PM
10",1,2022-07-21
Begusarai,Good,32,"PM
2.5",1,2022-07-22
Begusarai,Good,29,"O
3",1,2022-07-23
Begusarai,Good,32,"PM
2.5",1,2022-07-24
Begusarai,Poor,265,"PM
10",1,2022-07-29
Begusarai,Moderate,128,"PM
10",1,2022-07-31
Begusarai,Good,50,"PM
10",1,2022-08-01
Begusarai,Satisfactory,80,"PM
2.5",1,2022-08-06
Begusarai,Good,50,"PM
2.5",1,2022-08-07
Begusarai,Good,46,"PM
2.5",1,2022-08-08
Begusarai,Good,46,"O
3",1,2022-08-12
Begusarai,Satisfactory,85,"O
3",1,2022-08-13
Begusarai,Satisfactory,58,"O
3",1,2022-08-16
Begusarai,Moderate,131,"PM
2.5",1,2022-08-17
Begusarai,Good,35,"PM
2.5",1,2022-08-21
Begusarai,Good,43,"PM
10",1,2022-08-22
Begusarai,Good,35,"O
3",1,2022-08-24
Begusarai,Satisfactory,56,"PM
10",1,2022-08-26
Begusarai,Satisfactory,68,"PM
2.5",1,2022-08-30
Begusarai,Satisfactory,77,"PM
2.5",1,2022-08-31
Begusarai,Satisfactory,52,"PM
10",1,2022-09-06
Begusarai,Good,50,"PM
2.5",1,2022-09-07
Begusarai,Satisfactory,65,"PM
2.5",1,2022-09-08
Begusarai,Good,46,CO,1,2022-09-11
Begusarai,Good,46,CO,1,2022-09-12
Begusarai,Good,35,"O
3",1,2022-09-18
Begusarai,Good,33,CO,1,2022-09-21
Begusarai,Satisfactory,61,"PM
2.5",1,2022-09-23
Begusarai,Satisfactory,68,"PM
10",1,2022-09-24
Begusarai,Moderate,108,"PM
2.5",1,2022-10-03
Begusarai,Satisfactory,87,"PM
2.5",1,2022-10-08
Begusarai,Poor,270,"PM
10",1,2022-10-09
Begusarai,Moderate,140,"PM
2.5",1,2022-10-13
Begusarai,Poor,211,"PM
2.5",1,2022-10-14
Begusarai,Moderate,146,"PM
2.5",1,2022-10-15
Begusarai,Moderate,198,"PM
2.5",1,2022-10-16
Begusarai,Poor,240,"PM
2.5",1,2022-10-17
Begusarai,Poor,250,"PM
2.5",1,2022-10-18
