City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Belagavi,Good,46,CO,1,2022-08-09
Belagavi,Good,50,"PM
10",1,2022-08-10
Belagavi,Good,45,CO,1,2022-08-11
Belagavi,Good,45,CO,1,2022-08-12
Belagavi,Good,46,CO,1,2022-08-13
Belagavi,Good,47,CO,1,2022-08-14
Belagavi,Good,46,CO,1,2022-08-15
Belagavi,Good,47,CO,1,2022-08-16
Belagavi,Good,47,CO,1,2022-08-17
Belagavi,Good,47,CO,1,2022-08-18
Belagavi,Good,50,"PM
10",1,2022-08-19
Belagavi,Good,48,CO,1,2022-08-20
Belagavi,Good,48,CO,1,2022-08-21
Belagavi,Good,48,CO,1,2022-08-22
Belagavi,Good,47,"PM
10",1,2022-08-23
Belagavi,Good,46,CO,1,2022-08-24
Belagavi,Good,48,"PM
2.5",1,2022-08-25
Belagavi,Satisfactory,53,"PM
2.5",1,2022-08-26
Belagavi,Good,47,"PM
2.5",1,2022-08-27
Belagavi,Good,47,CO,1,2022-08-28
Belagavi,Satisfactory,61,"PM
2.5",1,2022-08-29
Belagavi,Satisfactory,70,"PM
2.5",1,2022-08-30
Belagavi,Satisfactory,59,"PM
2.5",1,2022-08-31
Belagavi,Good,46,CO,1,2022-09-01
Belagavi,Good,46,CO,1,2022-09-02
Belagavi,Good,46,CO,1,2022-09-03
Belagavi,Good,49,"PM
2.5",1,2022-09-04
Belagavi,Good,46,CO,1,2022-09-16
Belagavi,Good,47,CO,1,2022-09-17
Belagavi,Good,48,CO,1,2022-09-18
Belagavi,Satisfactory,56,"PM
2.5",1,2022-09-20
Belagavi,Satisfactory,59,"PM
2.5",1,2022-09-21
Belagavi,Good,48,"PM
2.5",1,2022-09-22
Belagavi,Good,48,CO,1,2022-09-25
Belagavi,Good,46,CO,1,2022-09-26
Belagavi,Good,46,CO,1,2022-09-27
Belagavi,Good,48,"PM
2.5",1,2022-09-28
Belagavi,Good,50,"PM
2.5",1,2022-09-29
