City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Belapur,Satisfactory,78,"PM
10",1,2023-06-20
Belapur,Satisfactory,83,"PM
10",1,2023-06-21
Belapur,Satisfactory,73,"PM
10",1,2023-06-22
Belapur,Satisfactory,85,"PM
10",1,2023-06-23
Belapur,Good,47,"PM
10",1,2023-06-24
Belapur,Good,43,CO,1,2023-06-25
Belapur,Good,45,CO,1,2023-06-26
Belapur,Satisfactory,55,CO,1,2023-06-27
Belapur,Satisfactory,73,CO,1,2023-06-28
Belapur,Satisfactory,53,CO,1,2023-06-29
Belapur,Good,32,CO,1,2023-06-30
Belapur,Good,46,CO,1,2023-07-01
Belapur,Good,39,CO,1,2023-07-02
Belapur,Satisfactory,57,CO,1,2023-07-03
Belapur,Satisfactory,58,CO,1,2023-07-04
Belapur,Satisfactory,56,CO,1,2023-07-05
Belapur,Satisfactory,61,CO,1,2023-07-06
Belapur,Good,33,CO,1,2023-07-07
Belapur,Good,36,"PM
10",1,2023-07-08
Belapur,Good,45,"PM
10",1,2023-07-09
Belapur,Good,44,"PM
10",1,2023-07-10
Belapur,Good,45,"PM
10",1,2023-07-11
Belapur,Satisfactory,58,"PM
10",1,2023-07-12
Belapur,Good,50,"PM
10",1,2023-07-13
Belapur,Good,38,"PM
10",1,2023-07-14
Belapur,Good,33,"PM
10",1,2023-07-15
Belapur,Good,38,"PM
10",1,2023-07-16
Belapur,Good,26,"PM
10",1,2023-07-17
Belapur,Good,22,"PM
10",1,2023-07-18
Belapur,Good,27,"PM
10",1,2023-07-19
Belapur,Good,33,"PM
10",1,2023-07-20
Belapur,Good,27,"PM
10",1,2023-07-21
Belapur,Good,25,"PM
10",1,2023-07-22
Belapur,Good,25,"PM
10",1,2023-07-23
Belapur,Good,23,"PM
10",1,2023-07-24
Belapur,Good,30,"PM
10",1,2023-07-25
Belapur,Good,32,CO,1,2023-07-26
Belapur,Good,26,"NH
3",1,2023-07-27
Belapur,Good,25,"PM
10",1,2023-07-28
Belapur,Good,30,"PM
10",1,2023-07-29
Belapur,Good,31,"PM
10",1,2023-07-30
Belapur,Satisfactory,53,"O
3",1,2023-07-31
Belapur,Good,42,"PM
10",1,2023-08-01
Belapur,Good,43,"PM
10",1,2023-08-02
Belapur,Good,47,"PM
10",1,2023-08-03
Belapur,Good,44,"PM
10",1,2023-08-04
Belapur,Good,45,"PM
10",1,2023-08-05
Belapur,Satisfactory,53,"PM
10",1,2023-08-06
Belapur,Satisfactory,63,"PM
10",1,2023-08-07
Belapur,Satisfactory,60,"PM
10",1,2023-08-08
Belapur,Satisfactory,52,"PM
10",1,2023-08-09
Belapur,Satisfactory,57,"PM
10",1,2023-08-10
Belapur,Good,48,"PM
10",1,2023-08-11
Belapur,Good,49,"PM
10",1,2023-08-12
Belapur,Satisfactory,53,"PM
10",1,2023-08-13
Belapur,Satisfactory,54,"PM
10",1,2023-08-14
Belapur,Satisfactory,62,"PM
10",1,2023-08-15
Belapur,Good,43,"PM
10",1,2023-08-16
Belapur,Good,45,"PM
10",1,2023-08-17
Belapur,Good,44,"PM
10",1,2023-08-18
Belapur,Good,47,"PM
10",1,2023-08-19
Belapur,Good,46,"PM
10",1,2023-08-20
Belapur,Good,40,"PM
10",1,2023-08-21
Belapur,Good,36,"PM
10",1,2023-08-22
Belapur,Good,34,"PM
10",1,2023-08-23
Belapur,Good,42,"PM
10",1,2023-08-24
Belapur,Good,31,CO,1,2023-08-25
Belapur,Good,37,"PM
10",1,2023-08-26
Belapur,Good,27,"PM
10",1,2023-08-27
Belapur,Good,44,"PM
10",1,2023-08-29
Belapur,Satisfactory,64,"PM
10",1,2023-08-30
Belapur,Satisfactory,64,"PM
10",1,2023-08-31
Belapur,Satisfactory,66,"PM
10",1,2023-09-01
Belapur,Satisfactory,64,"PM
10",1,2023-09-02
Belapur,Satisfactory,53,"PM
10",1,2023-09-07
Belapur,Good,33,CO,1,2023-09-08
Belapur,Good,33,"PM
10",1,2023-09-09
Belapur,Good,37,"PM
10",1,2023-09-10
Belapur,Good,37,"PM
10",1,2023-09-11
Belapur,Satisfactory,54,"PM
10",1,2023-09-12
Belapur,Satisfactory,58,"PM
10",1,2023-09-13
Belapur,Good,46,"PM
10",1,2023-09-14
Belapur,Good,37,"PM
10",1,2023-09-15
Belapur,Good,50,"PM
10",1,2023-09-16
Belapur,Good,37,"PM
10",1,2023-09-17
Belapur,Good,39,"PM
10",1,2023-09-18
Belapur,Good,37,"PM
10",1,2023-09-19
Belapur,Good,37,"PM
10",1,2023-09-20
Belapur,Good,35,CO,1,2023-09-21
Belapur,Good,30,CO,1,2023-09-22
Belapur,Good,27,"PM
10",1,2023-09-23
Belapur,Satisfactory,56,"PM
10",1,2023-09-26
Belapur,Good,49,"PM
10",1,2023-09-27
Belapur,Satisfactory,60,"PM
10",1,2023-09-28
Belapur,Satisfactory,64,"PM
10",1,2023-09-29
Belapur,Good,44,"PM
10",1,2023-09-30
Belapur,Satisfactory,52,"PM
10",1,2023-10-01
Belapur,Satisfactory,75,"PM
10",1,2023-10-02
Belapur,Satisfactory,92,"PM
10",1,2023-10-03
Belapur,Satisfactory,97,"PM
10",1/1,2023-10-04
Belapur,Moderate,102,"PM
10",1/1,2023-10-05
Belapur,Satisfactory,92,"PM
10",1/1,2023-10-06
Belapur,Moderate,128,"PM
10",1/1,2023-10-13
Belapur,Moderate,126,"PM
10",1/1,2023-10-14
Belapur,Moderate,131,"PM
10",1/1,2023-10-15
Belapur,Moderate,114,"PM
2.5",1/1,2023-10-16
Belapur,Moderate,196,"PM
2.5",1/1,2023-10-17
Belapur,Moderate,128,"PM
10",1/1,2023-10-19
Belapur,Moderate,128,"PM
10",1/1,2023-10-21
Belapur,Moderate,128,"PM
10",1/1,2023-10-22
Belapur,Moderate,133,"PM
10",1/1,2023-10-23
Belapur,Moderate,130,"PM
10",1/1,2023-10-24
Belapur,Moderate,121,"PM
10",1/1,2023-10-25
Belapur,Moderate,125,"PM
10",1/1,2023-10-26
Belapur,Moderate,128,"PM
10",1/1,2023-10-28
Belapur,Moderate,128,"PM
10",1/1,2023-10-29
Belapur,Moderate,129,"PM
10",1/1,2023-10-30
Belapur,Moderate,140,"PM
10",1/1,2023-10-31
Belapur,Moderate,127,"PM
10",1/1,2023-11-02
Belapur,Moderate,135,"PM
10",1/1,2023-11-03
Belapur,Moderate,132,"PM
10",1/1,2023-11-04
Belapur,Moderate,139,"PM
10",1/1,2023-11-05
Belapur,Moderate,138,"PM
10",1/1,2023-11-06
Belapur,Moderate,153,"PM
10",1/1,2023-11-07
Belapur,Moderate,128,"PM
10",1/1,2023-11-08
Belapur,Moderate,159,"O
3",1/1,2023-11-09
Belapur,Satisfactory,57,"O
3",1/1,2023-11-10
Belapur,Satisfactory,66,"O
3",1/1,2023-11-11
Belapur,Moderate,112,"PM
10",1/1,2023-11-12
Belapur,Moderate,186,"PM
10",1/1,2023-11-13
Belapur,Moderate,175,"O
3",1/1,2023-11-14
Belapur,Moderate,141,"PM
10",1/1,2023-11-15
Belapur,Moderate,136,"PM
10",1/1,2023-11-16
Belapur,Moderate,161,"O
3",1/1,2023-11-17
Belapur,Moderate,130,"PM
10",1/1,2023-11-18
Belapur,Poor,243,"O
3",1/1,2023-11-19
Belapur,Moderate,164,"O
3",1/1,2023-11-20
Belapur,Moderate,114,"PM
10",1/1,2023-11-21
Belapur,Moderate,112,"PM
10",1/1,2023-11-22
Belapur,Satisfactory,79,"PM
10",1/1,2023-11-26
Belapur,Good,37,"PM
10",1/1,2023-11-27
Belapur,Satisfactory,55,"O
3",1/1,2023-11-28
Belapur,Poor,204,"O
3",1/1,2023-11-29
Belapur,Satisfactory,89,"PM
10",1/1,2023-11-30
Belapur,Moderate,177,"O
3",1/1,2023-12-01
Belapur,Moderate,159,"O
3",1/1,2023-12-02
Belapur,Moderate,106,"PM
10",1/1,2023-12-03
Belapur,Satisfactory,85,"PM
10",1/1,2023-12-05
