City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Bettiah,Good,49,"PM
10",1,2021-07-18
Bettiah,Satisfactory,74,"PM
10",1,2021-07-19
Bettiah,Satisfactory,80,"PM
10",1,2021-07-20
Bettiah,Satisfactory,82,"PM
10",1,2021-07-21
Bettiah,Satisfactory,52,"PM
10",1,2021-07-22
Bettiah,Satisfactory,65,"PM
10",1,2021-07-23
Bettiah,Satisfactory,65,"PM
10",1,2021-07-24
Bettiah,Satisfactory,66,"PM
10",1,2021-07-25
Bettiah,Satisfactory,73,"PM
10",1,2021-07-26
Bettiah,Satisfactory,85,"PM
10",1,2021-07-27
Bettiah,Satisfactory,58,"PM
10",1,2021-07-28
Bettiah,Satisfactory,65,"PM
10",1,2021-07-29
Bettiah,Satisfactory,62,"PM
10",1,2021-07-30
Bettiah,Good,48,"PM
10",1,2021-07-31
Bettiah,Satisfactory,64,"PM
10",1,2021-08-01
Bettiah,Satisfactory,60,"PM
10",1,2021-08-02
Bettiah,Good,40,"PM
10",1,2021-08-03
Bettiah,Satisfactory,60,"PM
10",1,2021-08-04
Bettiah,Satisfactory,57,"PM
10",1,2021-08-05
Bettiah,Satisfactory,98,"PM
10",1,2021-08-06
Bettiah,Good,18,"NO
2",1,2021-08-10
Bettiah,Very Poor,386,"PM
10",1,2021-11-24
Bettiah,Very Poor,335,"PM
10",1,2021-11-26
Bettiah,Poor,293,"PM
10",1,2021-11-27
Bettiah,Poor,260,"PM
10",1,2021-11-28
Bettiah,Very Poor,320,"PM
10",1,2021-11-29
Bettiah,Very Poor,354,"PM
10",1,2021-11-30
Bettiah,Poor,233,"PM
10",1,2021-12-01
Bettiah,Very Poor,328,"PM
10",1,2021-12-02
Bettiah,Very Poor,387,"PM
10",1,2021-12-03
Bettiah,Moderate,137,"PM
10",1,2021-12-04
Bettiah,Poor,218,"PM
10",1,2021-12-05
Bettiah,Poor,208,"PM
10",1,2021-12-06
Bettiah,Poor,209,"PM
10",1,2021-12-07
Bettiah,Moderate,164,"PM
10",1,2021-12-08
Bettiah,Moderate,194,"PM
10",1,2021-12-09
Bettiah,Poor,240,"PM
10",1,2021-12-10
Bettiah,Very Poor,353,"PM
10",1,2021-12-12
Bettiah,Very Poor,350,"PM
10",1,2021-12-13
Bettiah,Very Poor,311,"PM
10",1,2021-12-14
Bettiah,Poor,292,"PM
10",1,2021-12-15
Bettiah,Poor,296,"PM
10",1,2021-12-16
Bettiah,Poor,280,"PM
10",1,2021-12-17
Bettiah,Very Poor,305,"PM
10",1,2021-12-18
Bettiah,Very Poor,345,"PM
2.5",1,2021-12-19
Bettiah,Severe,421,"PM
2.5",1,2021-12-20
Bettiah,Very Poor,386,"PM
2.5",1,2021-12-21
Bettiah,Very Poor,394,"PM
2.5",1,2021-12-23
Bettiah,Very Poor,320,"PM
10",1,2021-12-24
Bettiah,Poor,282,"PM
10",1,2021-12-25
Bettiah,Poor,279,"PM
10",1,2021-12-26
Bettiah,Very Poor,338,"PM
2.5",1,2021-12-27
Bettiah,Satisfactory,77,"PM
10",1,2021-12-30
Bettiah,Moderate,165,"PM
10",1,2021-12-31
Bettiah,Poor,211,"PM
10",1,2022-01-01
Bettiah,Poor,277,"PM
2.5",1,2022-01-02
Bettiah,Moderate,152,"PM
10",1,2022-01-03
Bettiah,Very Poor,315,"PM
10",1,2022-01-06
Bettiah,Moderate,183,"PM
10",1,2022-01-07
Bettiah,Moderate,117,"PM
10",1,2022-01-08
Bettiah,Moderate,120,"PM
10",1,2022-01-09
Bettiah,Moderate,164,"PM
10",1,2022-01-10
Bettiah,Very Poor,314,"PM
2.5",1,2022-01-11
Bettiah,Moderate,152,"PM
10",1,2022-01-12
Bettiah,Moderate,152,"PM
2.5",1,2022-01-13
Bettiah,Poor,271,"PM
2.5",1,2022-01-14
Bettiah,Moderate,161,"PM
10",1,2022-01-15
Bettiah,Moderate,185,"PM
10",1,2022-01-16
Bettiah,Very Poor,350,"PM
2.5",1,2022-01-23
Bettiah,Poor,274,"PM
2.5",1,2022-01-24
Bettiah,Moderate,180,"PM
10",1,2022-01-25
Bettiah,Moderate,140,"PM
10",1,2022-01-26
Bettiah,Moderate,179,"PM
10",1,2022-01-27
Bettiah,Poor,269,"PM
2.5",1,2022-01-28
Bettiah,Poor,211,"PM
10",1,2022-01-30
Bettiah,Poor,210,"PM
10",1,2022-01-31
Bettiah,Moderate,187,"PM
10",1,2022-02-02
Bettiah,Poor,210,"PM
10",1,2022-02-03
Bettiah,Satisfactory,100,"PM
10",1,2022-02-06
Bettiah,Poor,222,"PM
2.5",1,2022-02-07
Bettiah,Poor,224,"PM
2.5",1,2022-02-08
Bettiah,Poor,206,"PM
10",1,2022-02-09
Bettiah,Moderate,164,"PM
10",1,2022-02-10
Bettiah,Moderate,120,"PM
10",1,2022-02-11
Bettiah,Poor,237,"PM
2.5",1,2022-02-12
Bettiah,Moderate,200,"PM
10",1,2022-02-13
Bettiah,Poor,215,"PM
10",1,2022-02-14
Bettiah,Poor,300,"PM
2.5",1,2022-02-16
Bettiah,Poor,284,"PM
2.5",1,2022-02-17
Bettiah,Very Poor,303,"PM
2.5",1,2022-02-18
Bettiah,Poor,285,"PM
2.5",1,2022-02-19
Bettiah,Moderate,161,"PM
2.5",1,2022-02-20
Bettiah,Moderate,119,"PM
10",1,2022-02-21
Bettiah,Poor,245,"PM
2.5",1,2022-02-22
Bettiah,Poor,251,"PM
2.5",1,2022-02-23
Bettiah,Poor,204,"PM
2.5",1,2022-02-24
Bettiah,Moderate,180,"PM
2.5",1,2022-02-25
Bettiah,Moderate,143,"PM
2.5",1,2022-02-26
Bettiah,Poor,280,"PM
2.5",1,2022-02-27
Bettiah,Moderate,195,"PM
2.5",1,2022-02-28
Bettiah,Moderate,158,"PM
2.5",1,2022-03-01
Bettiah,Poor,217,"PM
2.5",1,2022-03-04
Bettiah,Moderate,126,"PM
2.5",1,2022-03-05
Bettiah,Poor,238,"PM
2.5",1,2022-03-06
Bettiah,Poor,207,"PM
2.5",1,2022-03-08
Bettiah,Poor,241,"PM
2.5",1,2022-03-09
Bettiah,Poor,257,"PM
2.5",1,2022-03-10
Bettiah,Poor,237,"PM
2.5",1,2022-03-11
Bettiah,Poor,238,"PM
2.5",1,2022-03-12
Bettiah,Poor,248,"PM
2.5",1,2022-03-13
Bettiah,Poor,261,"PM
2.5",1,2022-03-15
Bettiah,Poor,293,"PM
2.5",1,2022-03-16
Bettiah,Poor,283,"PM
2.5",1,2022-03-17
Bettiah,Poor,292,"PM
2.5",1,2022-03-20
Bettiah,Poor,288,"PM
2.5",1,2022-03-21
Bettiah,Poor,278,"PM
2.5",1,2022-03-22
Bettiah,Poor,242,"PM
2.5",1,2022-03-23
Bettiah,Poor,288,"PM
2.5",1,2022-03-24
Bettiah,Poor,244,"PM
2.5",1,2022-03-25
Bettiah,Moderate,127,"PM
10",1,2022-03-26
Bettiah,Very Poor,307,"PM
2.5",1,2022-03-28
Bettiah,Poor,256,"PM
2.5",1,2022-03-29
Bettiah,Moderate,138,"PM
10",1,2022-04-03
Bettiah,Moderate,145,"PM
10",1,2022-04-04
Bettiah,Poor,244,"PM
2.5",1,2022-04-05
Bettiah,Moderate,124,"PM
2.5",1,2022-04-08
Bettiah,Satisfactory,55,"PM
2.5",1,2022-04-11
Bettiah,Satisfactory,91,"PM
2.5",1,2022-04-16
Bettiah,Moderate,126,"PM
10",1,2022-04-19
Bettiah,Moderate,151,"PM
2.5",1,2022-04-24
Bettiah,Moderate,141,"PM
2.5",1,2022-04-25
Bettiah,Moderate,180,"PM
2.5",1,2022-04-26
Bettiah,Satisfactory,89,"PM
10",1,2022-04-28
Bettiah,Good,44,"O
3",1,2022-05-02
Bettiah,Moderate,114,"PM
2.5",1,2022-05-12
Bettiah,Moderate,136,"PM
2.5",1,2022-05-13
Bettiah,Moderate,168,"PM
10",1,2022-05-16
Bettiah,Moderate,170,"PM
10",1,2022-05-18
Bettiah,Moderate,163,"PM
10",1,2022-05-20
Bettiah,Moderate,152,"PM
10",1,2022-05-21
Bettiah,Good,42,"PM
2.5",1,2022-05-22
Bettiah,Moderate,187,"PM
10",1,2022-05-23
