City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Bharatpur,Moderate,140,"PM
2.5",1,2023-02-02
Bharatpur,Moderate,151,"PM
2.5",1,2023-02-03
Bharatpur,Moderate,190,"PM
2.5",1,2023-02-04
Bharatpur,Moderate,186,"PM
2.5",1,2023-02-05
Bharatpur,Poor,228,"PM
2.5",1,2023-02-06
Bharatpur,Moderate,166,"PM
2.5",1,2023-02-07
Bharatpur,Moderate,127,"PM
10",1,2023-02-08
Bharatpur,Moderate,137,"PM
2.5",1,2023-02-09
Bharatpur,Moderate,124,"PM
2.5",1,2023-02-10
Bharatpur,Moderate,157,"PM
2.5",1,2023-02-11
Bharatpur,Poor,261,"O
3",1,2023-02-12
Bharatpur,Moderate,133,"PM
10",1,2023-02-13
Bharatpur,Moderate,118,"PM
10",1,2023-02-14
Bharatpur,Moderate,142,"PM
10",1,2023-02-15
Bharatpur,Very Poor,333,"PM
2.5",1,2023-02-17
Bharatpur,Very Poor,364,"PM
2.5",1,2023-02-18
Bharatpur,Very Poor,314,"PM
2.5",1,2023-02-19
Bharatpur,Poor,237,"PM
2.5",1,2023-02-20
Bharatpur,Moderate,132,"PM
10",1,2023-02-21
Bharatpur,Poor,298,"PM
2.5",1,2023-02-22
Bharatpur,Poor,269,"PM
2.5",1,2023-02-23
Bharatpur,Moderate,153,"PM
10",1,2023-02-24
Bharatpur,Poor,215,"PM
2.5",1,2023-02-25
Bharatpur,Poor,224,"PM
2.5",1,2023-02-26
Bharatpur,Moderate,184,"PM
2.5",1,2023-02-27
Bharatpur,Poor,218,"PM
2.5",1,2023-02-28
Bharatpur,Moderate,163,"PM
10",1,2023-03-01
Bharatpur,Moderate,168,"PM
2.5",1,2023-03-02
Bharatpur,Moderate,171,"PM
2.5",1,2023-03-03
Bharatpur,Moderate,158,"PM
10",1,2023-03-04
Bharatpur,Moderate,138,"PM
10",1,2023-03-05
Bharatpur,Moderate,146,"PM
10",1,2023-03-06
Bharatpur,Moderate,185,"PM
2.5",1,2023-03-07
Bharatpur,Poor,236,"PM
2.5",1,2023-03-08
Bharatpur,Satisfactory,77,"PM
10",1,2023-03-09
Bharatpur,Poor,202,"PM
2.5",1,2023-03-11
Bharatpur,Moderate,185,"PM
2.5",1,2023-03-12
Bharatpur,Poor,210,"PM
2.5",1,2023-03-13
Bharatpur,Moderate,198,"PM
10",1,2023-03-14
Bharatpur,Moderate,149,"PM
10",1,2023-03-15
Bharatpur,Moderate,131,"PM
10",1,2023-03-16
Bharatpur,Moderate,139,"PM
10",1,2023-03-17
Bharatpur,Satisfactory,73,"PM
2.5",1,2023-03-18
Bharatpur,Satisfactory,91,"PM
2.5",1,2023-03-19
Bharatpur,Satisfactory,64,"O
3",1,2023-03-20
Bharatpur,Moderate,141,"PM
2.5",1,2023-03-21
Bharatpur,Moderate,103,"PM
2.5",1,2023-03-22
Bharatpur,Satisfactory,92,"PM
2.5",1,2023-03-23
Bharatpur,Satisfactory,68,"PM
10",1,2023-03-24
Bharatpur,Satisfactory,96,"PM
2.5",1,2023-03-25
Bharatpur,Moderate,141,"PM
2.5",1,2023-03-26
Bharatpur,Moderate,162,"PM
10",1,2023-03-27
Bharatpur,Moderate,140,"PM
10",1,2023-03-28
Bharatpur,Moderate,139,"PM
10",1,2023-03-29
Bharatpur,Moderate,150,"PM
10",1,2023-03-30
Bharatpur,Satisfactory,72,"O
3",1,2023-03-31
Bharatpur,Satisfactory,67,"O
3",1,2023-04-01
Bharatpur,Satisfactory,62,"PM
10",1,2023-04-02
Bharatpur,Satisfactory,94,"PM
10",1,2023-04-03
Bharatpur,Satisfactory,93,"PM
10",1,2023-04-04
