City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Bhilai,Satisfactory,64,"PM
10",1,2021-11-18
Bhilai,Satisfactory,74,"PM
10",1,2021-11-19
Bhilai,Satisfactory,74,"PM
10",1,2021-11-25
Bhilai,Satisfactory,67,"PM
10",1,2021-11-26
Bhilai,Satisfactory,73,"PM
10",1,2021-11-27
Bhilai,Satisfactory,77,"PM
10",1,2021-11-28
Bhilai,Satisfactory,74,"PM
10",1,2021-11-29
Bhilai,Satisfactory,75,"PM
10",1,2021-11-30
Bhilai,Satisfactory,79,"PM
10",1,2021-12-01
Bhilai,Satisfactory,65,"PM
10",1,2021-12-02
Bhilai,Satisfactory,60,"PM
10",1,2021-12-03
Bhilai,Satisfactory,60,"PM
10",1,2021-12-04
Bhilai,Satisfactory,53,"PM
10",1,2021-12-05
Bhilai,Good,42,"PM
10",1,2021-12-06
Bhilai,Satisfactory,65,"PM
10",1,2021-12-15
Bhilai,Satisfactory,60,"PM
10",1,2021-12-16
Bhilai,Satisfactory,61,"PM
10",1,2021-12-17
Bhilai,Satisfactory,63,"PM
10",1,2021-12-18
Bhilai,Satisfactory,53,"PM
10",1,2021-12-19
Bhilai,Satisfactory,53,"PM
10",1,2021-12-20
Bhilai,Satisfactory,59,"PM
10",1,2021-12-21
Bhilai,Satisfactory,60,"PM
10",1,2021-12-22
Bhilai,Satisfactory,64,"PM
10",1,2021-12-23
Bhilai,Satisfactory,70,"PM
10",1,2021-12-24
Bhilai,Satisfactory,63,"PM
10",1,2021-12-25
Bhilai,Satisfactory,60,"PM
10",1,2021-12-26
Bhilai,Satisfactory,75,"PM
10",1,2021-12-27
Bhilai,Satisfactory,70,"PM
10",1,2021-12-28
Bhilai,Satisfactory,55,"PM
10",1,2022-01-04
Bhilai,Satisfactory,56,"PM
10",1,2022-01-05
Bhilai,Satisfactory,53,"PM
10",1,2022-01-06
Bhilai,Satisfactory,61,"PM
10",1,2022-01-07
