City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Bhilwara,Moderate,144,"PM
10",1,2023-05-16
Bhilwara,Satisfactory,75,"PM
10",1,2023-05-17
Bhilwara,Satisfactory,88,"PM
10",1,2023-05-18
Bhilwara,Satisfactory,75,"PM
10",1,2023-05-19
Bhilwara,Moderate,111,"PM
10",1,2023-05-20
Bhilwara,Satisfactory,90,"PM
10",1,2023-05-21
Bhilwara,Satisfactory,80,"PM
10",1,2023-05-23
Bhilwara,Satisfactory,68,"PM
10",1,2023-06-06
Bhilwara,Moderate,104,"PM
10",1,2023-06-08
Bhilwara,Moderate,102,"PM
10",1,2023-06-09
Bhilwara,Satisfactory,51,"PM
10",1,2023-06-11
Bhilwara,Satisfactory,65,"PM
10",1,2023-06-12
Bhilwara,Satisfactory,81,CO,1,2023-06-15
Bhilwara,Satisfactory,89,CO,1,2023-06-16
Bhilwara,Satisfactory,68,"PM
10",1,2023-06-17
Bhilwara,Moderate,111,"PM
10",1,2023-06-22
Bhilwara,Moderate,111,"PM
10",1,2023-06-23
Bhilwara,Satisfactory,62,"PM
2.5",1,2023-06-27
Bhilwara,Satisfactory,59,"PM
10",1,2023-07-01
Bhilwara,Satisfactory,60,"PM
10",1,2023-07-02
Bhilwara,Satisfactory,77,"PM
2.5",1,2023-07-07
Bhilwara,Satisfactory,61,"PM
2.5",1,2023-07-08
Bhilwara,Satisfactory,79,"PM
10",1,2023-07-11
Bhilwara,Satisfactory,98,"PM
10",1,2023-07-12
Bhilwara,Moderate,143,"PM
2.5",1,2023-07-13
Bhilwara,Moderate,106,"PM
2.5",1,2023-07-14
Bhilwara,Moderate,115,"PM
10",1,2023-07-18
Bhilwara,Very Poor,315,"O
3",1,2023-07-19
Bhilwara,Moderate,133,"PM
10",1,2023-07-20
Bhilwara,Moderate,128,"PM
10",1,2023-07-21
Bhilwara,Moderate,104,"PM
10",1,2023-07-22
Bhilwara,Satisfactory,93,"PM
2.5",1,2023-07-24
Bhilwara,Satisfactory,58,"PM
2.5",1,2023-07-27
Bhilwara,Satisfactory,87,"PM
10",1,2023-07-28
Bhilwara,Satisfactory,58,"PM
10",1,2023-07-30
Bhilwara,Satisfactory,99,"PM
10",1,2023-07-31
Bhilwara,Moderate,110,"PM
10",1,2023-08-01
Bhilwara,Moderate,109,"PM
10",1,2023-08-02
Bhilwara,Moderate,128,"PM
10",1,2023-08-03
Bhilwara,Moderate,129,"PM
2.5",1,2023-08-08
Bhilwara,Moderate,160,"PM
2.5",1,2023-08-09
Bhilwara,Moderate,145,"PM
2.5",1,2023-08-10
