City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Bhiwadi,Severe,426,"PM
10",1,2017-10-16
Bhiwadi,Severe,453,"PM
10",1#,2017-10-17
Bhiwadi,Severe,446,"PM
10",1#,2017-10-18
Bhiwadi,Severe,425,"PM
2.5",1,2017-10-19
Bhiwadi,Very Poor,318,"PM
2.5",1,2017-10-20
Bhiwadi,Poor,258,"PM
10",1,2017-10-21
Bhiwadi,Very Poor,370,"PM
2.5",1,2017-10-22
Bhiwadi,Very Poor,352,"PM
2.5",1,2017-10-23
Bhiwadi,Very Poor,361,"PM
2.5",1,2017-10-24
Bhiwadi,Very Poor,397,"PM
2.5",1,2017-10-25
Bhiwadi,Very Poor,386,"PM
2.5",1,2017-10-26
Bhiwadi,Very Poor,376,"PM
2.5",1,2017-10-27
Bhiwadi,Very Poor,358,"PM
2.5",1,2017-10-28
Bhiwadi,Very Poor,360,"PM
2.5",1,2017-10-29
Bhiwadi,Very Poor,386,"PM
2.5",1,2017-10-30
Bhiwadi,Severe,404,"PM
2.5",1,2017-10-31
Bhiwadi,Severe,417,"PM
2.5",1,2017-11-01
Bhiwadi,Very Poor,372,"PM
2.5",1#,2017-11-02
Bhiwadi,Severe,401,"PM
2.5",1,2017-11-03
Bhiwadi,Very Poor,369,"PM
2.5",1,2017-11-04
Bhiwadi,Severe,407,"PM
2.5",1#,2017-11-05
Bhiwadi,Severe,439,"PM
2.5",1,2017-11-07
Bhiwadi,Severe,467,"PM
2.5",1,2017-11-08
Bhiwadi,Severe,468,"PM
2.5",1,2017-11-09
Bhiwadi,Severe,463,"PM
2.5",1#,2017-11-10
Bhiwadi,Severe,435,"PM
2.5",1,2017-11-11
Bhiwadi,Severe,447,"PM
2.5",1,2017-11-12
Bhiwadi,Severe,470,"PM
2.5",1,2017-11-13
Bhiwadi,Very Poor,365,"PM
2.5",1,2017-11-14
Bhiwadi,Very Poor,331,"PM
2.5",1,2017-11-15
Bhiwadi,Very Poor,338,"PM
2.5",1,2017-11-16
Bhiwadi,Very Poor,301,"PM
2.5",1,2017-11-17
Bhiwadi,Poor,272,"PM
2.5",1,2017-11-18
Bhiwadi,Very Poor,322,"PM
2.5",1,2017-11-19
Bhiwadi,Very Poor,306,"PM
2.5",1,2017-11-20
Bhiwadi,Poor,261,"PM
2.5",1,2017-11-21
Bhiwadi,Poor,281,"PM
2.5",1#,2017-11-22
Bhiwadi,Poor,300,"PM
2.5",1,2017-11-24
Bhiwadi,Poor,275,"PM
2.5",1,2017-11-25
Bhiwadi,Severe,408,"PM
10",1#,2017-11-26
Bhiwadi,Very Poor,359,"PM
10",1#,2017-11-27
Bhiwadi,Moderate,115,"NO
2",1#,2017-11-28
Bhiwadi,Poor,275,"PM
2.5",1,2017-12-14
Bhiwadi,Poor,206,"PM
2.5",1,2017-12-17
Bhiwadi,Very Poor,356,"PM
2.5",1,2017-12-21
Bhiwadi,Very Poor,326,"PM
2.5",1,2017-12-22
Bhiwadi,Poor,258,"PM
2.5",1#,2017-12-23
Bhiwadi,Poor,265,"PM
2.5",1#,2017-12-24
Bhiwadi,Very Poor,330,"PM
2.5",1#,2017-12-26
Bhiwadi,Very Poor,326,"PM
2.5",1#,2017-12-27
Bhiwadi,Very Poor,380,"PM
2.5",1#,2017-12-28
Bhiwadi,Very Poor,391,"PM
2.5",1#,2017-12-29
Bhiwadi,Very Poor,393,"PM
2.5",1,2017-12-30
Bhiwadi,Very Poor,366,"PM
2.5",1,2017-12-31
Bhiwadi,Severe,411,"PM
2.5",1,2018-01-01
Bhiwadi,Very Poor,392,"PM
2.5",1,2018-01-02
Bhiwadi,Very Poor,342,"PM
2.5",1#,2018-01-03
Bhiwadi,Very Poor,337,"PM
2.5",1,2018-01-04
Bhiwadi,Very Poor,332,"PM
2.5",1#,2018-01-05
Bhiwadi,Very Poor,369,"PM
10",1#,2018-01-06
Bhiwadi,Satisfactory,67,"NO
2",1#,2018-01-07
Bhiwadi,Poor,282,"PM
2.5",1,2018-01-08
Bhiwadi,Very Poor,312,"PM
2.5",1,2018-01-09
Bhiwadi,Very Poor,361,"PM
10",1#,2018-01-11
Bhiwadi,Poor,292,"PM
2.5",1,2018-01-12
Bhiwadi,Very Poor,354,"PM
10",1,2018-01-13
Bhiwadi,Poor,228,"PM
10",1#,2018-01-16
Bhiwadi,Very Poor,364,"PM
10",1,2018-01-17
Bhiwadi,Very Poor,360,"PM
10",1,2018-01-18
Bhiwadi,Poor,295,"PM
2.5",1#,2018-01-23
Bhiwadi,Poor,205,"PM
2.5",1,2018-01-25
Bhiwadi,Severe,426,"PM
2.5",1,2018-01-26
Bhiwadi,Very Poor,309,"PM
2.5",1,2018-01-27
Bhiwadi,Very Poor,377,"PM
2.5",1,2018-01-28
Bhiwadi,Very Poor,355,PM2.5,1,2018-01-29
Bhiwadi,Very Poor,340,"PM
10",1,2018-02-01
Bhiwadi,Very Poor,348,"PM
2.5",1,2018-02-02
Bhiwadi,Very Poor,332,"PM
10",1,2018-02-05
Bhiwadi,Very Poor,362,"PM
2.5",1,2018-02-10
Bhiwadi,Very Poor,342,"PM
2.5",1,2018-02-11
Bhiwadi,Moderate,153,"PM
10",1,2018-02-12
Bhiwadi,Poor,207,"PM
2.5",1,2018-02-13
Bhiwadi,Very Poor,303,"PM
2.5",1,2018-02-14
Bhiwadi,Poor,225,"PM
2.5",1,2018-02-15
