City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Bhopal,Satisfactory,51,"PM
10",1,2019-09-23
Bhopal,Satisfactory,59,CO,1,2019-09-24
Bhopal,Satisfactory,58,CO,1,2019-09-25
Bhopal,Good,36,OZONE,1,2019-09-26
Bhopal,Good,40,CO,1,2019-09-27
Bhopal,Good,39,OZONE,1,2019-09-28
Bhopal,Good,36,OZONE,1,2019-09-29
Bhopal,Good,32,OZONE,1,2019-09-30
Bhopal,Good,47,OZONE,1,2019-10-01
Bhopal,Satisfactory,62,OZONE,1,2019-10-02
Bhopal,Satisfactory,94,"PM
10",1,2019-10-03
Bhopal,Moderate,110,"PM
10",1,2019-10-04
Bhopal,Moderate,115,"PM
10",1,2019-10-05
Bhopal,Satisfactory,82,"PM
10",1,2019-10-06
Bhopal,Moderate,105,"PM
10",1,2019-10-07
Bhopal,Moderate,136,OZONE,1,2019-10-08
Bhopal,Moderate,113,"PM
10",1,2019-10-09
Bhopal,Moderate,108,"PM
10",1,2019-10-10
Bhopal,Moderate,150,"PM
10",1,2019-10-11
Bhopal,Moderate,121,OZONE,1,2019-10-12
Bhopal,Moderate,187,"PM
10",1,2019-10-13
Bhopal,Moderate,171,"PM
10",1,2019-10-14
Bhopal,Moderate,146,"PM
10",1,2019-10-16
Bhopal,Moderate,163,"PM
10",1,2019-10-17
Bhopal,Moderate,159,"PM
10",1,2019-10-18
Bhopal,Moderate,155,"PM
2.5",1,2019-10-19
Bhopal,Moderate,145,"PM
2.5",1,2019-10-20
Bhopal,Poor,240,"PM
2.5",1,2019-10-21
Bhopal,Poor,203,"PM
2.5",1,2019-10-22
Bhopal,Moderate,120,"PM
10",1,2019-10-23
Bhopal,Moderate,112,"PM
10",1,2019-10-24
Bhopal,Poor,205,"PM
10",1,2019-10-25
Bhopal,Moderate,116,"PM
10",1,2019-10-26
Bhopal,Satisfactory,88,"PM
2.5",1,2019-10-27
Bhopal,Moderate,157,"PM
2.5",1,2019-10-28
Bhopal,Satisfactory,71,OZONE,1,2019-10-29
Bhopal,Satisfactory,87,"PM
10",1,2019-10-30
Bhopal,Moderate,128,"PM
2.5",1,2019-10-31
Bhopal,Moderate,184,"PM
2.5",1,2019-11-01
Bhopal,Moderate,157,"PM
2.5",1,2019-11-02
Bhopal,Satisfactory,75,"PM
10",1,2019-11-03
Bhopal,Moderate,143,"PM
2.5",1,2019-11-04
Bhopal,Moderate,128,"PM
10",1,2019-11-05
Bhopal,Moderate,151,"PM
2.5",1,2019-11-06
Bhopal,Moderate,194,"PM
2.5",1,2019-11-07
Bhopal,Satisfactory,71,"PM
10",1,2019-11-08
Bhopal,Moderate,199,"PM
2.5",1,2019-11-09
Bhopal,Poor,222,"PM
2.5",1,2019-11-10
Bhopal,Poor,207,"PM
2.5",1,2019-11-11
Bhopal,Moderate,181,"PM
2.5",1,2019-11-12
Bhopal,Poor,201,"PM
2.5",1,2019-11-13
Bhopal,Poor,228,"PM
2.5",1,2019-11-15
Bhopal,Poor,233,"PM
2.5",1,2019-11-16
Bhopal,Poor,242,"PM
2.5",1,2019-11-17
Bhopal,Moderate,182,"PM
10",1,2019-11-18
Bhopal,Moderate,167,"PM
10",1,2019-11-19
Bhopal,Moderate,171,"PM
10",1,2019-11-20
Bhopal,Poor,243,"PM
2.5",1,2019-11-21
Bhopal,Poor,235,"PM
2.5",1,2019-11-22
Bhopal,Poor,229,"PM
2.5",1,2019-11-23
Bhopal,Poor,241,"PM
2.5",1,2019-11-24
Bhopal,Poor,213,"PM
2.5",1,2019-11-25
Bhopal,Moderate,191,OZONE,1,2019-11-26
Bhopal,Poor,290,"PM
2.5",1,2019-11-27
Bhopal,Poor,264,"PM
2.5",1,2019-11-28
Bhopal,Poor,207,"PM
2.5",1,2019-11-29
Bhopal,Poor,237,"PM
2.5",1,2019-11-30
Bhopal,Poor,206,"PM
2.5",1,2019-12-01
Bhopal,Poor,243,"PM
2.5",1,2019-12-02
Bhopal,Poor,243,"PM
2.5",1,2019-12-03
Bhopal,Moderate,121,"PM
10",1,2019-12-04
Bhopal,Moderate,138,"PM
10",1,2019-12-05
Bhopal,Moderate,117,"PM
10",1,2019-12-06
Bhopal,Poor,212,"PM
2.5",1,2019-12-07
Bhopal,Poor,292,"PM
2.5",1,2019-12-08
Bhopal,Poor,277,"PM
2.5",1,2019-12-09
Bhopal,Poor,271,"PM
2.5",1,2019-12-10
Bhopal,Poor,274,"PM
2.5",1,2019-12-11
Bhopal,Poor,230,"PM
2.5",1,2019-12-12
Bhopal,Satisfactory,83,"O
3",1,2019-12-13
Bhopal,Moderate,137,"PM
2.5",1,2019-12-14
Bhopal,Moderate,119,"PM
2.5",1,2019-12-15
Bhopal,Moderate,134,"PM
2.5",1,2019-12-16
Bhopal,Poor,207,"PM
2.5",1,2019-12-17
Bhopal,Poor,203,"PM
2.5",1,2019-12-18
Bhopal,Moderate,131,"PM
2.5",1,2019-12-19
Bhopal,Poor,210,"PM
2.5",1,2019-12-20
Bhopal,Moderate,192,"PM
2.5",1,2019-12-21
Bhopal,Moderate,131,"PM
2.5",1,2019-12-22
Bhopal,Moderate,182,"PM
2.5",1,2019-12-23
Bhopal,Moderate,110,"PM
2.5",1,2019-12-24
Bhopal,Poor,260,"PM
2.5",1,2019-12-25
Bhopal,Poor,214,"PM
2.5",1,2019-12-26
Bhopal,Moderate,123,"PM
2.5",1,2019-12-27
Bhopal,Satisfactory,91,"PM
2.5",1,2019-12-28
Bhopal,Moderate,124,"PM
2.5",1,2019-12-29
Bhopal,Moderate,125,"PM
2.5",1,2019-12-30
Bhopal,Poor,208,"PM
2.5",1,2019-12-31
Bhopal,Poor,232,"PM
2.5",1,2020-01-01
Bhopal,Moderate,197,"PM
2.5",1,2020-01-02
Bhopal,Poor,210,"PM
2.5",1,2020-01-03
Bhopal,Moderate,178,"PM
2.5",1,2020-01-04
Bhopal,Moderate,181,"PM
2.5",1,2020-01-05
Bhopal,Satisfactory,100,"PM
2.5",1,2020-01-06
Bhopal,Moderate,114,"PM
10",1,2020-01-07
Bhopal,Moderate,158,"PM
2.5",1,2020-01-08
Bhopal,Moderate,195,"PM
2.5",1,2020-01-09
Bhopal,Moderate,118,"PM
2.5",1,2020-01-10
Bhopal,Moderate,115,"PM
2.5",1,2020-01-11
Bhopal,Moderate,126,"PM
2.5",1,2020-01-12
Bhopal,Moderate,147,"PM
10",1,2020-01-13
Bhopal,Moderate,166,"PM
2.5",1,2020-01-14
Bhopal,Moderate,199,"PM
2.5",1,2020-01-15
Bhopal,Very Poor,301,"PM
2.5",1,2020-01-16
Bhopal,Moderate,196,"PM
2.5",1,2020-01-17
Bhopal,Moderate,180,"PM
2.5",1,2020-01-18
Bhopal,Moderate,140,"PM
2.5",1,2020-01-19
Bhopal,Moderate,118,"PM
2.5",1,2020-01-20
Bhopal,Moderate,106,"PM
10",1,2020-01-21
Bhopal,Moderate,158,"PM
2.5",1,2020-01-22
Bhopal,Moderate,142,"PM
2.5",1,2020-01-23
Bhopal,Moderate,133,"PM
10",1,2020-01-24
Bhopal,Moderate,159,"PM
10",1,2020-01-25
Bhopal,Moderate,195,"PM
2.5",1,2020-01-26
Bhopal,Moderate,111,"PM
10",1,2020-01-27
Bhopal,Moderate,180,"PM
10",1,2020-01-28
Bhopal,Moderate,117,"PM
10",1,2020-01-29
Bhopal,Moderate,118,"PM
10",1,2020-01-30
Bhopal,Moderate,104,"PM
10",1,2020-01-31
Bhopal,Satisfactory,93,"PM
10",1,2020-02-01
Bhopal,Satisfactory,87,"PM
10",1,2020-02-02
Bhopal,Satisfactory,90,"PM
10",1,2020-02-03
Bhopal,Moderate,110,"PM
10",1,2020-02-04
Bhopal,Moderate,120,"PM
10",1,2020-02-05
Bhopal,Moderate,123,"PM
10",1,2020-02-06
Bhopal,Moderate,114,"PM
10",1,2020-02-07
Bhopal,Moderate,119,"PM
10",1,2020-02-08
Bhopal,Moderate,102,"O
3",1,2020-02-09
Bhopal,Satisfactory,97,"PM
10",1,2020-02-10
Bhopal,Moderate,102,"O
3",1,2020-02-11
Bhopal,Moderate,112,"PM
10",1,2020-02-12
Bhopal,Moderate,195,"PM
10",1,2020-02-13
Bhopal,Moderate,147,"PM
10",1,2020-02-14
Bhopal,Moderate,161,"PM
10",1,2020-02-15
Bhopal,Moderate,144,"PM
10",1,2020-02-16
Bhopal,Moderate,115,"PM
10",1,2020-02-17
Bhopal,Moderate,120,"PM
10",1,2020-02-18
Bhopal,Moderate,117,"PM
10",1,2020-02-19
Bhopal,Moderate,150,"O
3",1,2020-02-20
Bhopal,Moderate,121,"PM
10",1,2020-02-21
Bhopal,Moderate,145,"PM
10",1,2020-02-22
Bhopal,Moderate,156,"PM
2.5",1,2020-02-23
Bhopal,Moderate,128,"PM
2.5",1,2020-02-24
Bhopal,Moderate,109,"PM
10",1,2020-02-25
Bhopal,Moderate,141,"PM
10",1,2020-02-26
Bhopal,Moderate,161,"PM
10",1,2020-02-27
Bhopal,Moderate,142,"PM
10",1,2020-02-28
Bhopal,Moderate,132,"PM
10",1,2020-02-29
Bhopal,Moderate,149,"PM
10",1,2020-03-01
Bhopal,Moderate,112,"PM
10",1,2020-03-02
Bhopal,Moderate,116,"PM
10",1,2020-03-03
Bhopal,Moderate,130,"PM
10",1,2020-03-04
Bhopal,Moderate,129,"PM
10",1,2020-03-05
Bhopal,Moderate,136,"PM
10",1,2020-03-06
Bhopal,Moderate,123,"PM
10",1,2020-03-07
Bhopal,Satisfactory,96,"PM
10",1,2020-03-08
Bhopal,Satisfactory,83,"O
3",1,2020-03-09
Bhopal,Satisfactory,93,"PM
10",1,2020-03-10
Bhopal,Satisfactory,82,"O
3",1,2020-03-11
Bhopal,Satisfactory,89,"PM
10",1,2020-03-12
Bhopal,Satisfactory,87,"O
3",1,2020-03-13
Bhopal,Moderate,131,"PM
10",1,2020-03-14
Bhopal,Moderate,128,"PM
10",1,2020-03-15
Bhopal,Moderate,130,"PM
10",1,2020-03-16
Bhopal,Moderate,114,"PM
10",1,2020-03-17
Bhopal,Moderate,101,"O
3",1,2020-03-18
Bhopal,Moderate,102,"PM
10",1,2020-03-19
Bhopal,Moderate,115,"PM
10",1,2020-03-20
Bhopal,Moderate,116,"PM
10",1,2020-03-21
Bhopal,Moderate,139,"PM
10",1,2020-03-22
Bhopal,Moderate,105,"PM
10",1,2020-03-23
