City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Bidar,Moderate,138,"PM
2.5",1,2021-01-04
Bidar,Satisfactory,66,"PM
2.5",1,2021-01-05
Bidar,Satisfactory,58,"PM
2.5",1,2021-01-06
Bidar,Satisfactory,54,"PM
2.5",1,2021-01-07
Bidar,Moderate,122,"PM
2.5",1,2021-01-08
Bidar,Good,50,"PM
2.5",1,2021-01-09
Bidar,Good,41,"PM
2.5",1,2021-01-10
Bidar,Satisfactory,63,"PM
2.5",1,2021-01-11
Bidar,Satisfactory,67,"PM
2.5",1,2021-01-12
Bidar,Satisfactory,90,"PM
2.5",1,2021-01-13
Bidar,Satisfactory,81,"PM
2.5",1,2021-01-14
Bidar,Moderate,101,"PM
2.5",1,2021-01-15
Bidar,Moderate,113,"PM
2.5",1,2021-01-16
Bidar,Satisfactory,100,"PM
2.5",1,2021-01-17
Bidar,Satisfactory,79,"PM
2.5",1,2021-01-18
Bidar,Satisfactory,86,"PM
2.5",1,2021-01-19
Bidar,Satisfactory,74,"PM
2.5",1,2021-01-20
Bidar,Moderate,102,"PM
2.5",1,2021-01-21
Bidar,Satisfactory,90,"PM
2.5",1,2021-01-22
Bidar,Moderate,107,"PM
10",1,2021-01-23
Bidar,Moderate,106,"PM
10",1,2021-01-24
Bidar,Moderate,113,"PM
10",1,2021-01-25
Bidar,Satisfactory,93,"PM
10",1,2021-01-26
Bidar,Moderate,101,"PM
10",1,2021-01-27
Bidar,Satisfactory,99,"PM
10",1,2021-01-28
Bidar,Satisfactory,92,"PM
10",1,2021-02-12
Bidar,Moderate,104,"PM
10",1,2021-02-16
Bidar,Satisfactory,100,"PM
10",1,2021-02-17
Bidar,Satisfactory,98,"PM
10",1,2021-02-18
Bidar,Satisfactory,91,"PM
10",1,2021-02-19
Bidar,Satisfactory,75,"PM
10",1,2021-02-20
Bidar,Satisfactory,74,"PM
10",1,2021-02-21
Bidar,Satisfactory,91,"PM
10",1,2021-02-22
Bidar,Moderate,108,"PM
10",1,2021-02-23
Bidar,Moderate,101,"PM
10",1,2021-02-24
Bidar,Moderate,105,"PM
10",1,2021-02-27
Bidar,Moderate,116,"PM
10",1,2021-03-02
Bidar,Satisfactory,96,"PM
10",1,2021-03-03
Bidar,Satisfactory,90,"PM
10",1,2021-03-04
Bidar,Moderate,101,"PM
10",1,2021-03-05
Bidar,Satisfactory,97,"PM
10",1,2021-03-06
Bidar,Moderate,105,"PM
10",1,2021-03-07
Bidar,Satisfactory,96,"PM
10",1,2021-03-09
Bidar,Satisfactory,85,"PM
10",1,2021-03-10
Bidar,Satisfactory,61,"PM
10",1,2021-03-12
Bidar,Satisfactory,54,"PM
10",1,2021-03-14
Bidar,Satisfactory,70,"PM
10",1,2021-03-15
Bidar,Satisfactory,84,"PM
10",1,2021-03-16
Bidar,Moderate,108,"PM
2.5",1,2021-03-17
Bidar,Moderate,114,"PM
2.5",1,2021-03-18
Bidar,Moderate,112,"PM
10",1,2021-03-19
Bidar,Moderate,106,"PM
10",1,2021-03-20
Bidar,Moderate,116,"PM
10",1,2021-03-26
Bidar,Moderate,133,"PM
10",1,2021-03-27
Bidar,Moderate,123,"PM
10",1,2021-03-28
Bidar,Moderate,142,"PM
2.5",1,2021-03-29
Bidar,Moderate,111,"PM
10",1,2021-03-30
Bidar,Moderate,102,"PM
10",1,2021-03-31
Bidar,Moderate,157,"PM
10",1,2021-04-02
Bidar,Moderate,149,"PM
10",1,2021-04-03
Bidar,Moderate,158,"PM
10",1,2021-04-04
Bidar,Moderate,119,"PM
10",1,2021-04-06
Bidar,Moderate,110,"PM
10",1,2021-04-07
Bidar,Moderate,116,"PM
10",1,2021-04-08
Bidar,Moderate,141,"PM
10",1,2021-04-09
Bidar,Moderate,117,"PM
10",1,2021-04-10
Bidar,Satisfactory,54,"PM
10",1,2021-05-14
Bidar,Good,41,"PM
10",1,2021-05-18
Bidar,Moderate,118,"PM
10",1,2021-05-21
Bidar,Satisfactory,98,"PM
10",1,2021-05-23
Bidar,Moderate,113,"PM
10",1,2021-05-24
Bidar,Moderate,103,"PM
10",1,2021-05-25
Bidar,Moderate,112,"PM
10",1,2021-05-26
Bidar,Satisfactory,79,"PM
10",1,2021-05-27
Bidar,Good,41,"PM
10",1,2021-05-28
Bidar,Good,30,"PM
10",1,2021-06-01
Bidar,Good,29,"SO
2",1,2021-06-06
Bidar,Good,26,"PM
10",1,2021-06-07
Bidar,Satisfactory,53,"PM
10",1,2021-06-08
Bidar,Good,24,"SO
2",1,2021-06-12
Bidar,Good,30,"SO
2",1,2021-06-13
Bidar,Good,26,"SO
2",1,2021-06-15
Bidar,Good,25,"SO
2",1,2021-06-17
Bidar,Satisfactory,59,"PM
10",1,2021-06-18
Bidar,Good,42,"PM
10",1,2021-06-19
Bidar,Moderate,102,"PM
10",1,2021-06-22
Bidar,Satisfactory,92,"PM
10",1,2021-06-23
Bidar,Good,39,"PM
10",1,2021-06-26
Bidar,Good,36,CO,1,2021-06-30
Bidar,Good,33,CO,1,2021-07-01
Bidar,Good,44,"PM
10",1,2021-07-03
Bidar,Satisfactory,60,"PM
10",1,2021-07-04
Bidar,Satisfactory,54,"PM
10",1,2021-07-06
Bidar,Good,47,CO,1,2021-07-11
Bidar,Good,47,CO,1,2021-07-13
Bidar,Good,48,CO,1,2021-07-14
Bidar,Satisfactory,58,CO,1,2021-07-15
Bidar,Satisfactory,53,CO,1,2021-07-16
Bidar,Good,48,CO,1,2021-07-17
Bidar,Good,42,CO,1,2021-07-29
Bidar,Good,30,"PM
10",1,2021-08-03
Bidar,Good,34,"PM
10",1,2021-08-04
Bidar,Good,45,CO,1,2021-08-06
Bidar,Moderate,101,"SO
2",1,2021-08-07
Bidar,Moderate,111,"SO
2",1,2021-08-08
Bidar,Satisfactory,98,"SO
2",1,2021-08-09
Bidar,Satisfactory,94,"SO
2",1,2021-08-10
Bidar,Satisfactory,86,"SO
2",1,2021-08-11
Bidar,Satisfactory,75,"SO
2",1,2021-08-12
Bidar,Satisfactory,67,"SO
2",1,2021-08-14
Bidar,Satisfactory,63,"SO
2",1,2021-08-15
Bidar,Satisfactory,57,"SO
2",1,2021-08-16
Bidar,Satisfactory,64,"SO
2",1,2021-08-17
Bidar,Satisfactory,60,"SO
2",1,2021-08-21
Bidar,Satisfactory,52,"SO
2",1,2021-08-27
Bidar,Good,48,CO,1,2021-08-31
Bidar,Good,49,"SO
2",1,2021-09-01
Bidar,Good,47,"SO
2",1,2021-09-02
Bidar,Good,49,"SO
2",1,2021-09-03
Bidar,Good,49,CO,1,2021-09-04
Bidar,Good,47,"SO
2",1,2021-09-07
Bidar,Good,46,"SO
2",1,2021-09-08
