City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Bihar Sharif,Satisfactory,85,"NO
2",1,2021-07-23
Bihar Sharif,Satisfactory,58,"NO
2",1,2021-07-24
Bihar Sharif,Satisfactory,77,"NO
2",1,2021-07-25
Bihar Sharif,Satisfactory,71,"NO
2",1,2021-07-26
Bihar Sharif,Satisfactory,79,"PM
2.5",1,2021-07-27
Bihar Sharif,Satisfactory,78,"NO
2",1,2021-07-28
Bihar Sharif,Satisfactory,84,"NO
2",1,2021-07-29
Bihar Sharif,Satisfactory,66,"NO
2",1,2021-07-30
Bihar Sharif,Good,44,"NO
2",1,2021-07-31
Bihar Sharif,Satisfactory,53,"NO
2",1,2021-08-01
Bihar Sharif,Satisfactory,59,"NO
2",1,2021-08-02
Bihar Sharif,Moderate,102,"NO
2",1,2021-08-07
Bihar Sharif,Moderate,105,"PM
10",1,2021-08-10
Bihar Sharif,Severe,421,"PM
10",1,2021-11-30
Bihar Sharif,Very Poor,341,"PM
10",1,2021-12-01
Bihar Sharif,Very Poor,345,"PM
10",1,2021-12-02
Bihar Sharif,Severe,407,"PM
10",1,2021-12-03
Bihar Sharif,Very Poor,380,"PM
10",1,2021-12-04
Bihar Sharif,Poor,282,"PM
2.5",1,2021-12-05
Bihar Sharif,Poor,271,"PM
2.5",1,2021-12-06
Bihar Sharif,Poor,234,"PM
2.5",1,2021-12-07
Bihar Sharif,Very Poor,301,"PM
2.5",1,2021-12-08
Bihar Sharif,Poor,267,"PM
10",1,2021-12-09
Bihar Sharif,Poor,275,"PM
2.5",1,2021-12-10
Bihar Sharif,Very Poor,331,"PM
2.5",1,2021-12-11
Bihar Sharif,Very Poor,377,"PM
10",1,2021-12-12
Bihar Sharif,Severe,414,"PM
10",1,2021-12-13
Bihar Sharif,Very Poor,355,"PM
2.5",1,2021-12-14
Bihar Sharif,Very Poor,314,"PM
2.5",1,2021-12-15
Bihar Sharif,Very Poor,355,"PM
2.5",1,2021-12-16
Bihar Sharif,Very Poor,325,"PM
2.5",1,2021-12-17
Bihar Sharif,Very Poor,340,"PM
2.5",1,2021-12-18
Bihar Sharif,Poor,300,"PM
2.5",1,2021-12-19
Bihar Sharif,Very Poor,351,"PM
2.5",1,2021-12-20
Bihar Sharif,Very Poor,360,"PM
2.5",1,2021-12-21
Bihar Sharif,Very Poor,383,"PM
10",1,2021-12-22
Bihar Sharif,Very Poor,371,"PM
10",1,2021-12-23
Bihar Sharif,Severe,433,"PM
10",1,2021-12-24
Bihar Sharif,Very Poor,315,"PM
2.5",1,2021-12-26
Bihar Sharif,Very Poor,306,"PM
2.5",1,2021-12-27
Bihar Sharif,Poor,276,"PM
2.5",1,2021-12-28
Bihar Sharif,Moderate,111,"NO
2",1,2022-01-01
Bihar Sharif,Moderate,121,"PM
2.5",1,2022-01-02
Bihar Sharif,Poor,261,"PM
2.5",1,2022-01-03
Bihar Sharif,Poor,268,"PM
2.5",1,2022-01-04
Bihar Sharif,Poor,270,"PM
2.5",1,2022-01-05
Bihar Sharif,Very Poor,340,"PM
2.5",1,2022-01-06
Bihar Sharif,Very Poor,316,"PM
2.5",1,2022-01-07
Bihar Sharif,Poor,242,"PM
2.5",1,2022-01-08
Bihar Sharif,Moderate,138,"PM
2.5",1,2022-01-10
