City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Bikaner,Poor,258,"PM
10",1,2023-03-13
Bikaner,Poor,237,"PM
10",1,2023-03-14
Bikaner,Poor,224,"PM
10",1,2023-03-15
Bikaner,Moderate,195,"PM
10",1,2023-03-16
Bikaner,Poor,217,"PM
10",1,2023-03-17
Bikaner,Moderate,142,"PM
10",1,2023-03-18
Bikaner,Moderate,187,"PM
10",1,2023-03-19
Bikaner,Moderate,109,"PM
10",1,2023-03-20
Bikaner,Moderate,134,"PM
10",1,2023-03-21
Bikaner,Moderate,154,"PM
2.5",1,2023-03-22
Bikaner,Moderate,162,"PM
10",1,2023-03-23
Bikaner,Moderate,109,"PM
10",1,2023-03-24
Bikaner,Moderate,122,"PM
10",1,2023-03-25
Bikaner,Moderate,193,"PM
10",1,2023-03-26
Bikaner,Moderate,149,"PM
10",1,2023-03-27
Bikaner,Moderate,160,"PM
10",1,2023-03-28
Bikaner,Moderate,173,"PM
10",1,2023-03-29
Bikaner,Moderate,141,"PM
10",1,2023-03-30
Bikaner,Satisfactory,57,"PM
10",1,2023-03-31
Bikaner,Moderate,111,"PM
10",1,2023-04-01
Bikaner,Moderate,110,"PM
10",1,2023-04-02
Bikaner,Moderate,145,"PM
10",1,2023-04-03
Bikaner,Moderate,185,"PM
10",1,2023-04-04
Bikaner,Moderate,154,"PM
10",1,2023-04-05
Bikaner,Moderate,101,"PM
10",1,2023-04-06
Bikaner,Moderate,155,"PM
10",1,2023-04-07
Bikaner,Moderate,188,"PM
10",1,2023-04-08
Bikaner,Poor,207,"PM
10",1,2023-04-09
Bikaner,Moderate,177,"PM
10",1,2023-04-10
Bikaner,Poor,248,"PM
10",1,2023-04-11
Bikaner,Poor,201,"PM
10",1,2023-04-12
Bikaner,Moderate,175,"PM
10",1,2023-04-13
Bikaner,Moderate,195,"PM
10",1,2023-04-14
Bikaner,Moderate,148,"PM
10",1,2023-04-15
Bikaner,Moderate,130,"PM
10",1,2023-04-16
Bikaner,Moderate,154,"PM
10",1,2023-04-17
Bikaner,Poor,252,"PM
10",1,2023-04-18
Bikaner,Moderate,162,"PM
10",1,2023-04-19
Bikaner,Moderate,174,"PM
10",1,2023-04-20
Bikaner,Moderate,185,"PM
10",1,2023-04-21
Bikaner,Moderate,197,"PM
10",1,2023-04-22
Bikaner,Moderate,168,"PM
10",1,2023-04-26
Bikaner,Moderate,150,"O
3",1,2023-04-27
Bikaner,Poor,224,"PM
10",1,2023-04-28
Bikaner,Moderate,122,"PM
10",1,2023-04-29
Bikaner,Satisfactory,57,"O
3",1,2023-04-30
Bikaner,Satisfactory,77,"O
3",1,2023-05-01
Bikaner,Satisfactory,95,"PM
10",1,2023-05-02
Bikaner,Moderate,109,"PM
10",1,2023-05-03
Bikaner,Moderate,103,"PM
10",1,2023-05-04
Bikaner,Poor,251,"PM
10",1,2023-05-05
Bikaner,Moderate,144,"PM
10",1,2023-05-06
Bikaner,Moderate,124,"PM
10",1,2023-05-07
Bikaner,Moderate,194,"PM
10",1,2023-05-08
Bikaner,Moderate,177,"PM
10",1,2023-05-09
Bikaner,Moderate,152,"PM
10",1,2023-05-10
Bikaner,Moderate,196,"PM
10",1,2023-05-11
Bikaner,Moderate,179,"PM
10",1,2023-05-12
Bikaner,Moderate,193,"PM
10",1,2023-05-13
Bikaner,Poor,299,"PM
10",1,2023-05-14
Bikaner,Poor,230,"PM
10",1,2023-05-15
Bikaner,Poor,266,"PM
10",1,2023-05-16
Bikaner,Poor,251,"PM
10",1,2023-05-17
Bikaner,Very Poor,339,"PM
10",1,2023-05-18
Bikaner,Poor,250,"PM
10",1,2023-05-19
Bikaner,Poor,258,"PM
10",1,2023-05-20
Bikaner,Moderate,159,"PM
10",1,2023-05-21
Bikaner,Moderate,178,"PM
2.5",1,2023-05-22
Bikaner,Moderate,139,"PM
10",1,2023-05-23
Bikaner,Moderate,179,"PM
10",1,2023-05-24
Bikaner,Moderate,133,"PM
10",1,2023-05-25
Bikaner,Satisfactory,100,"PM
10",1,2023-05-26
Bikaner,Moderate,188,"PM
10",1,2023-05-27
Bikaner,Moderate,144,"PM
10",1,2023-05-28
Bikaner,Satisfactory,60,"O
3",1,2023-05-29
Bikaner,Moderate,142,"PM
10",1,2023-05-30
Bikaner,Satisfactory,86,"O
3",1,2023-05-31
Bikaner,Satisfactory,88,"PM
10",1,2023-06-01
Bikaner,Satisfactory,100,"PM
10",1,2023-06-02
Bikaner,Moderate,112,"PM
10",1,2023-06-03
Bikaner,Satisfactory,83,"O
3",1,2023-06-04
Bikaner,Satisfactory,68,"PM
10",1,2023-06-05
Bikaner,Satisfactory,91,"PM
10",1,2023-06-06
Bikaner,Poor,253,"PM
10",1,2023-06-07
Bikaner,Moderate,189,"PM
10",1,2023-06-08
Bikaner,Moderate,119,"PM
10",1,2023-06-09
Bikaner,Poor,253,"PM
10",1,2023-06-10
Bikaner,Moderate,120,"PM
10",1,2023-06-12
Bikaner,Satisfactory,97,"PM
10",1,2023-06-13
Bikaner,Moderate,127,"PM
10",1,2023-06-14
Bikaner,Moderate,136,"PM
10",1,2023-06-15
Bikaner,Moderate,141,"PM
10",1,2023-06-16
Bikaner,Moderate,116,"O
3",1,2023-06-17
Bikaner,Moderate,173,"O
3",1,2023-06-18
Bikaner,Moderate,126,"O
3",1,2023-06-19
Bikaner,Poor,202,"O
3",1,2023-06-20
Bikaner,Moderate,111,"PM
10",1,2023-06-21
Bikaner,Moderate,104,"PM
10",1,2023-06-22
Bikaner,Moderate,106,"PM
10",1,2023-06-23
Bikaner,Moderate,116,"O
3",1,2023-06-24
Bikaner,Moderate,120,"PM
10",1,2023-06-25
Bikaner,Very Poor,301,"O
3",1,2023-06-26
Bikaner,Satisfactory,82,"O
3",1,2023-06-27
Bikaner,Satisfactory,81,"O
3",1,2023-06-28
Bikaner,Satisfactory,64,"PM
10",1,2023-06-29
Bikaner,Satisfactory,65,"PM
10",1,2023-06-30
Bikaner,Satisfactory,83,"O
3",1,2023-07-01
Bikaner,Satisfactory,100,"PM
10",1,2023-07-02
Bikaner,Satisfactory,76,"PM
10",1,2023-07-03
Bikaner,Satisfactory,80,"PM
10",1,2023-07-04
Bikaner,Satisfactory,84,"PM
10",1,2023-07-05
Bikaner,Satisfactory,82,"PM
10",1,2023-07-06
Bikaner,Satisfactory,62,"PM
10",1,2023-07-07
Bikaner,Satisfactory,56,"PM
10",1,2023-07-08
Bikaner,Good,46,"O
3",1,2023-07-09
Bikaner,Satisfactory,67,"PM
10",1,2023-07-10
Bikaner,Satisfactory,90,"PM
10",1,2023-07-11
Bikaner,Moderate,120,"PM
10",1,2023-07-12
Bikaner,Moderate,108,"PM
10",1,2023-07-13
Bikaner,Moderate,122,"PM
10",1,2023-07-14
Bikaner,Moderate,163,"PM
10",1,2023-07-15
Bikaner,Satisfactory,88,"PM
10",1,2023-07-18
Bikaner,Satisfactory,86,"PM
10",1,2023-07-19
Bikaner,Moderate,107,"PM
10",1,2023-07-20
Bikaner,Satisfactory,66,"PM
10",1,2023-07-21
Bikaner,Satisfactory,84,"PM
10",1,2023-07-22
Bikaner,Moderate,123,"PM
10",1,2023-07-23
Bikaner,Satisfactory,96,"PM
10",1,2023-07-24
Bikaner,Satisfactory,81,"PM
10",1,2023-07-25
Bikaner,Satisfactory,62,"NO
2",1,2023-07-26
Bikaner,Good,45,"NO
2",1,2023-07-27
Bikaner,Good,27,"O
3",1,2023-07-28
Bikaner,Good,44,"PM
10",1,2023-07-29
Bikaner,Good,35,"PM
10",1,2023-07-30
Bikaner,Satisfactory,61,"PM
10",1,2023-07-31
Bikaner,Satisfactory,73,"PM
10",1,2023-08-01
Bikaner,Satisfactory,85,"PM
10",1,2023-08-02
Bikaner,Satisfactory,90,"PM
10",1,2023-08-03
Bikaner,Satisfactory,88,"PM
10",1,2023-08-04
Bikaner,Moderate,106,"PM
10",1,2023-08-05
Bikaner,Moderate,110,"PM
10",1,2023-08-06
Bikaner,Moderate,120,"PM
10",1,2023-08-07
Bikaner,Moderate,118,"PM
10",1,2023-08-08
Bikaner,Moderate,119,"PM
10",1,2023-08-09
Bikaner,Moderate,119,"PM
10",1,2023-08-10
Bikaner,Moderate,124,"PM
10",1,2023-08-11
Bikaner,Moderate,116,"PM
10",1,2023-08-12
Bikaner,Moderate,105,"PM
10",1,2023-08-13
Bikaner,Moderate,142,"PM
10",1,2023-08-14
Bikaner,Moderate,165,"PM
10",1,2023-08-15
Bikaner,Moderate,155,"PM
10",1,2023-08-16
Bikaner,Moderate,146,"PM
10",1,2023-08-17
Bikaner,Moderate,176,"PM
10",1,2023-08-18
Bikaner,Moderate,169,"PM
10",1,2023-08-19
Bikaner,Moderate,114,"PM
10",1,2023-08-20
Bikaner,Moderate,108,"PM
10",1,2023-08-21
