City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Bilaspur,Satisfactory,92,CO,1,2021-09-23
Bilaspur,Good,35,"PM
10",1,2021-09-24
Bilaspur,Satisfactory,53,"PM
10",1,2021-09-25
Bilaspur,Satisfactory,60,"PM
10",1,2021-09-26
Bilaspur,Good,47,"PM
10",1,2021-09-27
Bilaspur,Satisfactory,63,"PM
10",1,2021-09-28
Bilaspur,Satisfactory,62,"PM
10",1,2021-09-29
Bilaspur,Good,47,"PM
10",1,2021-09-30
Bilaspur,Satisfactory,63,"PM
10",1,2021-10-01
Bilaspur,Satisfactory,67,"PM
10",1,2021-10-02
Bilaspur,Satisfactory,58,"PM
10",1,2021-10-04
Bilaspur,Good,50,"PM
10",1,2021-10-05
Bilaspur,Satisfactory,78,CO,1,2021-10-06
Bilaspur,Satisfactory,88,"PM
10",1,2021-10-07
Bilaspur,Satisfactory,83,"PM
10",1,2021-10-08
Bilaspur,Satisfactory,75,"PM
10",1,2021-10-09
Bilaspur,Satisfactory,89,"PM
10",1,2021-10-10
Bilaspur,Satisfactory,89,"PM
10",1,2021-10-11
Bilaspur,Satisfactory,93,"PM
10",1,2021-10-12
Bilaspur,Satisfactory,82,"PM
10",1,2021-10-13
Bilaspur,Satisfactory,86,"PM
10",1,2021-10-14
Bilaspur,Satisfactory,96,"PM
10",1,2021-10-15
Bilaspur,Satisfactory,52,CO,1,2021-10-16
Bilaspur,Satisfactory,60,CO,1,2021-10-17
Bilaspur,Good,46,"PM
10",1,2021-10-18
Bilaspur,Satisfactory,74,CO,1,2021-10-19
Bilaspur,Satisfactory,65,"PM
10",1,2021-10-20
Bilaspur,Satisfactory,79,"PM
10",1,2021-10-21
Bilaspur,Satisfactory,95,"PM
10",1,2021-10-22
Bilaspur,Moderate,102,"PM
10",1,2021-10-23
Bilaspur,Moderate,111,"PM
10",1,2021-10-24
Bilaspur,Moderate,106,"PM
10",1,2021-10-25
Bilaspur,Moderate,103,"PM
10",1,2021-10-26
Bilaspur,Satisfactory,87,"PM
10",1,2021-10-27
Bilaspur,Satisfactory,86,"PM
10",1,2021-10-28
Bilaspur,Satisfactory,86,"PM
10",1,2021-10-29
Bilaspur,Satisfactory,97,"PM
10",1,2021-10-30
Bilaspur,Satisfactory,93,"PM
10",1,2021-11-01
Bilaspur,Satisfactory,91,"PM
10",1,2021-11-02
Bilaspur,Moderate,103,"PM
10",1,2021-11-03
Bilaspur,Moderate,111,"PM
10",1,2021-11-04
Bilaspur,Moderate,115,"PM
10",1,2021-11-05
Bilaspur,Satisfactory,74,"PM
10",1,2021-11-06
Bilaspur,Satisfactory,64,"PM
10",1,2021-11-07
Bilaspur,Satisfactory,76,CO,1,2021-11-08
Bilaspur,Satisfactory,65,"PM
10",1,2021-11-09
Bilaspur,Satisfactory,68,"PM
10",1,2021-11-10
Bilaspur,Satisfactory,62,"PM
10",1,2021-11-11
Bilaspur,Satisfactory,67,"PM
10",1,2021-11-12
Bilaspur,Satisfactory,51,"PM
10",1,2021-11-13
Bilaspur,Good,45,"PM
10",1,2021-11-14
Bilaspur,Satisfactory,66,CO,1,2021-11-15
Bilaspur,Satisfactory,67,"PM
10",1,2021-11-16
Bilaspur,Satisfactory,68,"PM
10",1,2021-11-17
