City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Boisar,Satisfactory,79,"PM
10",1/1,2024-03-01
Boisar,Satisfactory,76,"O
3",1/1,2024-03-03
Boisar,Satisfactory,69,"PM
10",1/1,2024-03-04
Boisar,Moderate,123,"PM
10",1/1,2024-03-08
Boisar,Moderate,125,"PM
10",1/1,2024-03-12
Boisar,Moderate,117,"PM
2.5",1/1,2024-03-13
Boisar,Moderate,106,"PM
2.5",1/1,2024-03-14
Boisar,Moderate,150,"PM
10",1/1,2024-03-15
Boisar,Moderate,155,"PM
2.5",1/1,2024-03-22
Boisar,Moderate,141,"PM
2.5",1/1,2024-03-23
Boisar,Moderate,131,"PM
2.5",1/1,2024-03-24
Boisar,Moderate,131,"PM
2.5",1/1,2024-03-27
Boisar,Moderate,105,"PM
2.5",1/1,2024-03-28
Boisar,Moderate,116,"PM
2.5",1/1,2024-03-29
Boisar,Moderate,106,"PM
10",1/1,2024-03-30
Boisar,Moderate,113,"PM
10",1/1,2024-03-31
Boisar,Moderate,108,"PM
10",1/1,2024-04-01
Boisar,Moderate,155,"PM
10",1/1,2024-04-02
Boisar,Moderate,107,"PM
10",1/1,2024-04-05
Boisar,Moderate,115,"PM
10",1/1,2024-04-06
Boisar,Moderate,106,"PM
10",1/1,2024-04-07
Boisar,Satisfactory,84,"PM
10",1/1,2024-04-08
Boisar,Satisfactory,73,"PM
10",1/1,2024-04-11
Boisar,Satisfactory,85,"PM
10",1/1,2024-04-12
Boisar,Satisfactory,75,"PM
10",1/1,2024-04-13
Boisar,Satisfactory,92,"PM
10",1/1,2024-04-14
Boisar,Moderate,139,"PM
2.5",1/1,2024-04-15
Boisar,Moderate,134,"PM
10",1/1,2024-04-16
Boisar,Moderate,117,"PM
2.5",1/1,2024-04-17
Boisar,Satisfactory,96,"PM
10",1/1,2024-04-19
Boisar,Moderate,115,"PM
10",1/1,2024-04-20
Boisar,Moderate,102,"PM
2.5",1/1,2024-04-21
Boisar,Satisfactory,85,"PM
10",1/1,2024-04-22
Boisar,Satisfactory,100,"PM
10",1/1,2024-04-23
Boisar,Moderate,124,"PM
2.5",1/1,2024-04-25
Boisar,Satisfactory,96,"PM
10",1/1,2024-04-26
Boisar,Moderate,103,"PM
10",1/1,2024-04-27
Boisar,Moderate,116,"PM
10",1/1,2024-04-28
Boisar,Moderate,123,"PM
10",1/1,2024-04-29
Boisar,Moderate,131,"PM
10",1/1,2024-04-30
Boisar,Moderate,116,"PM
10",1/1,2024-05-01
Boisar,Satisfactory,93,"PM
10",1/1,2024-05-02
Boisar,Moderate,127,"PM
10",1/1,2024-05-03
Boisar,Moderate,113,"PM
10",1/1,2024-05-04
Boisar,Moderate,110,"PM
10",1/1,2024-05-05
Boisar,Moderate,105,"PM
10",1/1,2024-05-06
Boisar,Satisfactory,85,"PM
10",1/1,2024-05-07
Boisar,Satisfactory,79,"PM
10",1/1,2024-05-08
Boisar,Satisfactory,78,"PM
10",1/1,2024-05-09
Boisar,Satisfactory,72,"PM
10",1/1,2024-05-10
Boisar,Satisfactory,83,"PM
10",1/1,2024-05-11
Boisar,Satisfactory,93,"PM
10",1/1,2024-05-12
Boisar,Satisfactory,90,"PM
10",1/1,2024-05-13
Boisar,Satisfactory,99,"PM
10",1/1,2024-05-14
Boisar,Satisfactory,97,"PM
10",1/1,2024-05-15
Boisar,Moderate,106,"PM
10",1/1,2024-05-16
Boisar,Moderate,122,"PM
10",1/1,2024-05-17
Boisar,Satisfactory,73,"PM
10",1/1,2024-05-18
Boisar,Satisfactory,95,"PM
10",1/1,2024-05-19
Boisar,Satisfactory,81,"PM
10",1/1,2024-05-20
Boisar,Satisfactory,76,"PM
10",1/1,2024-05-21
Boisar,Satisfactory,89,"PM
10",1/1,2024-05-25
Boisar,Satisfactory,98,"PM
10",1/1,2024-05-26
Boisar,Moderate,114,"PM
10",1/1,2024-05-27
Boisar,Moderate,105,"PM
10",1/1,2024-05-28
Boisar,Moderate,103,"PM
10",1/1,2024-05-29
Boisar,Moderate,108,"PM
10",1/1,2024-05-30
Boisar,Satisfactory,94,"PM
10",1/1,2024-05-31
Boisar,Satisfactory,76,"PM
10",1/1,2024-06-01
Boisar,Satisfactory,64,"PM
10",1/1,2024-06-02
Boisar,Satisfactory,94,"PM
10",1/1,2024-06-03
Boisar,Moderate,101,"PM
10",1/1,2024-06-04
Boisar,Satisfactory,96,"PM
10",1/1,2024-06-05
Boisar,Satisfactory,88,"PM
10",1/1,2024-06-06
Boisar,Moderate,117,"O
3",1/1,2024-06-07
Boisar,Satisfactory,80,"O
3",1/1,2024-06-08
Boisar,Moderate,114,"PM
2.5",1/1,2024-06-09
Boisar,Satisfactory,80,"O
3",1/1,2024-06-10
Boisar,Satisfactory,75,"O
3",1/1,2024-06-11
Boisar,Satisfactory,78,"PM
2.5",1/1,2024-06-14
Boisar,Satisfactory,60,"PM
10",1/1,2024-06-15
Boisar,Satisfactory,56,"PM
10",1/1,2024-06-16
Boisar,Satisfactory,75,"PM
10",1/1,2024-06-17
Boisar,Satisfactory,75,"PM
2.5",1/1,2024-06-18
Boisar,Satisfactory,75,"PM
2.5",1/1,2024-06-20
Boisar,Poor,206,"PM
2.5",1/1,2024-06-21
Boisar,Moderate,120,"PM
10",1/1,2024-06-22
Boisar,Satisfactory,77,"PM
10",1/1,2024-06-23
Boisar,Satisfactory,63,"PM
2.5",1/1,2024-06-24
Boisar,Good,38,"PM
10",1/1,2024-06-26
Boisar,Satisfactory,74,"PM
2.5",1/1,2024-06-30
Boisar,Satisfactory,65,"PM
2.5",1/1,2024-07-01
Boisar,Satisfactory,95,"O
3",1/1,2024-07-02
Boisar,Satisfactory,69,"PM
10",1/1,2024-07-03
Boisar,Satisfactory,93,"O
3",1/1,2024-07-04
Boisar,Satisfactory,67,"O
3",1/1,2024-07-05
Boisar,Satisfactory,71,"PM
10",1/1,2024-07-06
Boisar,Satisfactory,85,"PM
10",1/1,2024-07-07
Boisar,Satisfactory,66,"O
3",1/1,2024-07-08
Boisar,Good,30,"PM
2.5",1/1,2024-07-09
Boisar,Good,38,"PM
2.5",1/1,2024-07-10
Boisar,Good,31,"PM
10",1/1,2024-07-11
Boisar,Good,39,"PM
10",1/1,2024-07-12
Boisar,Good,40,"PM
2.5",1/1,2024-07-13
Boisar,Moderate,120,"PM
2.5",1/1,2024-07-14
Boisar,Satisfactory,60,"PM
10",1/1,2024-07-15
Boisar,Good,42,"PM
2.5",1/1,2024-07-16
Boisar,Good,37,"PM
10",1/1,2024-07-17
Boisar,Good,25,"PM
10",1/1,2024-07-18
Boisar,Good,42,"PM
10",1/1,2024-07-19
Boisar,Good,34,CO,1/1,2024-07-20
Boisar,Good,29,"PM
2.5",1/1,2024-07-21
Boisar,Good,50,"PM
10",1/1,2024-07-22
Boisar,Satisfactory,53,"PM
2.5",1/1,2024-07-23
Boisar,Satisfactory,53,"PM
10",1/1,2024-07-24
Boisar,Satisfactory,75,"PM
2.5",1/1,2024-07-25
Boisar,Satisfactory,66,"PM
10",1/1,2024-07-26
Boisar,Satisfactory,62,"PM
10",1/1,2024-07-27
Boisar,Satisfactory,64,"PM
10",1/1,2024-07-28
Boisar,Satisfactory,66,"PM
10",1/1,2024-07-29
Boisar,Satisfactory,55,"PM
10",1/1,2024-07-30
Boisar,Satisfactory,56,"PM
10",1/1,2024-07-31
Boisar,Satisfactory,59,"PM
10",1/1,2024-08-01
Boisar,Satisfactory,51,"PM
10",1/1,2024-08-02
Boisar,Good,42,"PM
10",1/1,2024-08-03
Boisar,Good,46,"PM
10",1/1,2024-08-04
Boisar,Good,38,"PM
10",1/1,2024-08-05
Boisar,Satisfactory,56,"PM
10",1/1,2024-08-06
Boisar,Good,27,"PM
2.5",1/1,2024-08-07
Boisar,Satisfactory,52,"PM
10",1/1,2024-08-08
Boisar,Good,48,"PM
10",1/1,2024-08-09
Boisar,Good,41,"PM
10",1/1,2024-08-10
Boisar,Good,45,"PM
10",1/1,2024-08-11
Boisar,Good,46,"PM
10",1/1,2024-08-12
Boisar,Good,36,"PM
10",1/1,2024-08-13
Boisar,Satisfactory,69,"PM
10",1/1,2024-08-14
Boisar,Satisfactory,80,"PM
10",1/1,2024-08-15
Boisar,Satisfactory,54,"PM
10",1/1,2024-08-16
Boisar,Satisfactory,57,"PM
10",1/1,2024-08-17
Boisar,Satisfactory,95,"PM
10",1/1,2024-08-18
Boisar,Moderate,103,"PM
10",1/1,2024-08-19
Boisar,Satisfactory,93,"PM
10",1/1,2024-08-20
Boisar,Satisfactory,55,"PM
10",1/1,2024-08-21
Boisar,Satisfactory,99,"PM
10",1/1,2024-08-22
Boisar,Satisfactory,57,"PM
10",1/1,2024-08-23
Boisar,Good,26,"PM
2.5",1/1,2024-08-24
Boisar,Satisfactory,51,"PM
10",1/1,2024-08-25
Boisar,Good,50,"PM
10",1/1,2024-08-26
Boisar,Satisfactory,52,"PM
10",1/1,2024-08-27
Boisar,Good,47,"PM
10",1/1,2024-08-29
Boisar,Good,42,"PM
10",1/1,2024-08-31
Boisar,Satisfactory,54,"PM
10",1/1,2024-09-01
Boisar,Satisfactory,87,"PM
10",1/1,2024-09-02
Boisar,Satisfactory,90,"PM
10",1/1,2024-09-03
Boisar,Satisfactory,60,"PM
10",1/1,2024-09-04
Boisar,Satisfactory,51,"PM
10",1/1,2024-09-05
Boisar,Satisfactory,66,"PM
10",1/1,2024-09-06
Boisar,Good,43,"PM
10",1/1,2024-09-07
Boisar,Satisfactory,51,"PM
10",1/1,2024-09-09
Boisar,Good,50,"PM
10",1/1,2024-09-10
Boisar,Good,41,"PM
10",1/1,2024-09-11
Boisar,Satisfactory,55,"PM
10",1/1,2024-09-12
Boisar,Good,47,"PM
10",1/1,2024-09-14
Boisar,Good,47,"PM
10",1/1,2024-09-15
Boisar,Satisfactory,73,"PM
10",1/1,2024-09-16
Boisar,Satisfactory,88,"PM
10",1/1,2024-09-17
Boisar,Satisfactory,86,"PM
10",1/1,2024-09-18
Boisar,Satisfactory,83,"PM
10",1/1,2024-09-19
Boisar,Moderate,104,"PM
10",1/1,2024-09-20
Boisar,Satisfactory,90,"PM
10",1/1,2024-09-21
Boisar,Satisfactory,100,"PM
10",1/1,2024-09-22
Boisar,Moderate,105,"PM
10",1/1,2024-09-23
Boisar,Satisfactory,79,"PM
10",1/1,2024-09-24
Boisar,Satisfactory,75,"PM
10",1/1,2024-09-25
Boisar,Good,50,"PM
2.5",1/1,2024-09-26
Boisar,Good,47,"PM
2.5",1/1,2024-09-27
Boisar,Satisfactory,68,"PM
2.5",1/1,2024-09-28
Boisar,Good,39,"PM
10",1/1,2024-09-29
Boisar,Satisfactory,54,"PM
10",1/1,2024-09-30
Boisar,Moderate,111,"PM
10",1/1,2024-10-01
Boisar,Moderate,121,"PM
10",1/1,2024-10-02
Boisar,Satisfactory,77,"PM
10",1/1,2024-10-03
Boisar,Satisfactory,72,"PM
10",1/1,2024-10-04
Boisar,Satisfactory,76,"PM
10",1/1,2024-10-05
Boisar,Moderate,106,"PM
10",1/1,2024-10-06
Boisar,Satisfactory,95,"PM
10",1/1,2024-10-07
