City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Brajrajnagar,Moderate,138,"PM
2.5",1,2018-02-15
Brajrajnagar,Moderate,131,"PM
2.5",1,2018-02-16
Brajrajnagar,Poor,254,"PM
2.5",1,2018-02-20
Brajrajnagar,Moderate,187,"PM
2.5",1,2018-02-21
Brajrajnagar,Moderate,178,"PM
10",1,2018-02-22
Brajrajnagar,Poor,251,"PM
2.5",1,2018-02-23
Brajrajnagar,Poor,232,"PM
2.5",1,2018-02-24
Brajrajnagar,Poor,246,"PM
2.5",1,2018-02-25
Brajrajnagar,Moderate,140,"PM
2.5",1,2018-02-26
Brajrajnagar,Moderate,160,"PM
10",1,2018-02-27
Brajrajnagar,Moderate,123,CO,1,2018-02-28
Brajrajnagar,Moderate,171,"PM
10",1,2018-03-01
Brajrajnagar,Poor,217,"PM
2.5",1,2018-03-02
Brajrajnagar,Poor,280,"PM
2.5",1,2018-03-03
Brajrajnagar,Poor,248,"PM
2.5",1,2018-03-04
Brajrajnagar,Poor,272,"PM
2.5",1,2018-03-05
Brajrajnagar,Moderate,187,"PM
2.5",1,2018-03-06
Brajrajnagar,Moderate,198,"PM
2.5",1,2018-03-07
Brajrajnagar,Poor,207,"PM
2.5",1,2018-03-08
Brajrajnagar,Moderate,122,CO,1,2018-03-09
Brajrajnagar,Poor,241,"PM
2.5",1,2018-03-10
Brajrajnagar,Very Poor,314,"PM
2.5",1,2018-03-11
Brajrajnagar,Very Poor,334,"PM
2.5",1,2018-03-12
Brajrajnagar,Poor,289,"PM
2.5",1,2018-03-13
Brajrajnagar,Poor,286,"PM
2.5",1,2018-03-14
Brajrajnagar,Very Poor,337,"PM
2.5",1,2018-03-15
Brajrajnagar,Moderate,185,"PM
2.5",1,2018-03-16
Brajrajnagar,Moderate,150,"PM
2.5",1,2018-03-17
Brajrajnagar,Moderate,190,"PM
2.5",1,2018-03-18
Brajrajnagar,Moderate,181,"PM
2.5",1,2018-03-19
Brajrajnagar,Poor,232,"PM
2.5",1,2018-03-20
Brajrajnagar,Very Poor,301,"PM
2.5",1,2018-03-21
Brajrajnagar,Poor,209,"PM
2.5",1,2018-03-22
Brajrajnagar,Poor,221,"PM
2.5",1,2018-03-23
Brajrajnagar,Poor,214,"PM
2.5",1,2018-03-24
Brajrajnagar,Poor,211,"PM
2.5",1,2018-03-25
Brajrajnagar,Poor,211,"PM
2.5",1,2018-03-26
Brajrajnagar,Poor,252,"PM
2.5",1,2018-03-27
Brajrajnagar,Very Poor,331,"PM
2.5",1,2018-03-28
