City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Bundi,Moderate,126,"PM
10",1,2023-05-16
Bundi,Moderate,104,"PM
10",1,2023-05-17
Bundi,Moderate,113,"PM
10",1,2023-05-19
Bundi,Moderate,148,"PM
10",1,2023-05-20
Bundi,Moderate,179,CO,1,2023-05-21
Bundi,Moderate,164,CO,1,2023-05-22
Bundi,Moderate,158,CO,1,2023-05-23
Bundi,Moderate,155,CO,1,2023-05-24
Bundi,Moderate,161,CO,1,2023-05-25
Bundi,Moderate,175,CO,1,2023-05-27
Bundi,Moderate,188,CO,1,2023-05-28
Bundi,Moderate,153,CO,1,2023-05-29
Bundi,Moderate,168,CO,1,2023-05-30
Bundi,Moderate,113,"O
3",1,2023-05-31
Bundi,Moderate,113,"PM
10",1,2023-06-01
Bundi,Moderate,104,"PM
10",1,2023-06-02
Bundi,Moderate,131,"PM
10",1,2023-06-03
Bundi,Moderate,157,"PM
10",1,2023-06-04
Bundi,Moderate,155,"O
3",1,2023-06-05
Bundi,Moderate,150,"O
3",1,2023-06-06
Bundi,Moderate,128,"O
3",1,2023-06-07
Bundi,Moderate,123,"PM
10",1,2023-06-08
Bundi,Moderate,121,"PM
10",1,2023-06-09
Bundi,Moderate,104,"PM
10",1,2023-06-10
Bundi,Satisfactory,79,"O
3",1,2023-06-11
Bundi,Satisfactory,85,"O
3",1,2023-06-12
Bundi,Moderate,102,"PM
10",1,2023-06-13
Bundi,Moderate,101,"PM
10",1,2023-06-14
Bundi,Moderate,102,"PM
10",1,2023-06-15
Bundi,Satisfactory,99,"PM
10",1,2023-06-16
Bundi,Moderate,108,"PM
10",1,2023-06-17
Bundi,Moderate,109,"PM
10",1,2023-06-18
Bundi,Satisfactory,97,"O
3",1,2023-06-20
Bundi,Moderate,146,"PM
2.5",1,2023-06-21
Bundi,Moderate,138,"PM
10",1,2023-06-22
Bundi,Moderate,136,"PM
10",1,2023-06-23
Bundi,Moderate,140,"PM
10",1,2023-06-24
Bundi,Moderate,133,"PM
10",1,2023-06-25
Bundi,Moderate,107,"PM
10",1,2023-06-27
Bundi,Good,44,"PM
10",1,2023-06-29
Bundi,Good,48,"O
3",1,2023-06-30
Bundi,Satisfactory,67,"PM
10",1,2023-07-01
Bundi,Satisfactory,92,"PM
10",1,2023-07-02
Bundi,Satisfactory,89,"PM
10",1,2023-07-03
Bundi,Moderate,120,"PM
10",1,2023-07-04
Bundi,Moderate,102,"PM
10",1,2023-07-05
Bundi,Satisfactory,97,"PM
10",1,2023-07-06
Bundi,Moderate,124,"PM
10",1,2023-07-07
Bundi,Moderate,175,"PM
10",1,2023-07-08
Bundi,Poor,209,"PM
10",1,2023-07-09
Bundi,Moderate,125,"PM
10",1,2023-07-10
Bundi,Satisfactory,96,"PM
10",1,2023-07-11
Bundi,Moderate,130,"PM
10",1,2023-07-12
Bundi,Moderate,146,"PM
10",1,2023-07-13
Bundi,Moderate,137,"PM
10",1,2023-07-14
Bundi,Moderate,166,"PM
10",1,2023-07-15
Bundi,Moderate,173,"PM
2.5",1,2023-07-16
Bundi,Moderate,181,"PM
10",1,2023-07-19
Bundi,Satisfactory,100,"PM
10",1,2023-07-22
Bundi,Satisfactory,88,"PM
2.5",1,2023-07-26
Bundi,Satisfactory,66,"O
3",1,2023-07-27
Bundi,Satisfactory,88,"PM
10",1,2023-07-29
Bundi,Satisfactory,70,"PM
10",1,2023-07-31
Bundi,Satisfactory,90,"PM
10",1,2023-08-01
Bundi,Satisfactory,86,"PM
10",1,2023-08-02
Bundi,Satisfactory,99,"PM
10",1,2023-08-03
Bundi,Moderate,113,"PM
10",1,2023-08-04
Bundi,Moderate,112,"PM
10",1,2023-08-06
Bundi,Moderate,116,"PM
10",1,2023-08-07
Bundi,Moderate,110,"PM
10",1,2023-08-08
Bundi,Poor,284,"O
3",1,2023-08-09
Bundi,Moderate,125,"PM
10",1,2023-08-10
Bundi,Moderate,110,"PM
10",1,2023-08-11
Bundi,Moderate,105,"PM
10",1,2023-08-12
Bundi,Moderate,123,"PM
10",1,2023-08-13
Bundi,Moderate,131,"PM
10",1,2023-08-14
Bundi,Moderate,132,"PM
10",1,2023-08-15
Bundi,Moderate,141,"PM
10",1,2023-08-16
Bundi,Moderate,140,"PM
10",1,2023-08-17
Bundi,Moderate,134,"PM
10",1,2023-08-18
Bundi,Moderate,120,"PM
10",1,2023-08-19
Bundi,Satisfactory,81,"PM
10",1,2023-08-20
Bundi,Satisfactory,66,"O
3",1,2023-08-21
Bundi,Satisfactory,87,"PM
10",1,2023-08-22
Bundi,Satisfactory,98,"PM
10",1,2023-08-23
Bundi,Moderate,103,"PM
10",1,2023-08-24
Bundi,Moderate,124,"PM
10",1,2023-08-25
Bundi,Moderate,158,"PM
10",1,2023-08-26
Bundi,Moderate,158,"PM
10",1,2023-08-27
Bundi,Moderate,128,"PM
10",1,2023-08-29
Bundi,Moderate,123,"PM
10",1,2023-08-30
Bundi,Moderate,127,"PM
10",1,2023-08-31
Bundi,Moderate,119,"PM
10",1,2023-09-01
Bundi,Moderate,114,"PM
10",1,2023-09-05
Bundi,Satisfactory,73,"O
3",1,2023-09-06
Bundi,Satisfactory,78,"O
3",1,2023-09-07
Bundi,Satisfactory,59,"O
3",1,2023-09-08
Bundi,Satisfactory,85,"O
3",1,2023-09-10
Bundi,Satisfactory,76,"PM
10",1,2023-09-11
Bundi,Satisfactory,61,"PM
10",1,2023-09-12
Bundi,Satisfactory,61,"O
3",1,2023-09-13
Bundi,Satisfactory,73,"O
3",1,2023-09-14
Bundi,Satisfactory,79,"O
3",1,2023-09-15
Bundi,Satisfactory,57,"O
3",1,2023-09-16
Bundi,Good,39,CO,1,2023-09-18
Bundi,Good,50,"PM
10",1,2023-09-19
Bundi,Satisfactory,63,"O
3",1,2023-09-20
Bundi,Satisfactory,76,"O
3",1,2023-09-21
Bundi,Satisfactory,77,"PM
10",1,2023-09-22
Bundi,Satisfactory,83,"O
3",1,2023-09-23
Bundi,Satisfactory,74,"O
3",1,2023-09-24
Bundi,Satisfactory,"72
* AQ","O
3
I is not calculated for today's bullet","1
in for Agartala, Ahmednagar,",2023-09-25
Bundi,Satisfactory,96,"O
3",1,2023-09-27
Bundi,Moderate,120,"PM
10",1,2023-09-29
Bundi,Moderate,124,"PM
10",1,2023-09-30
Bundi,Moderate,141,"PM
10",1,2023-10-01
Bundi,Moderate,110,"PM
10",1/1,2023-10-05
Bundi,Moderate,104,"PM
10",1/1,2023-10-06
Bundi,Moderate,116,"PM
10",1/1,2023-10-07
Bundi,Moderate,116,"PM
10",1/1,2023-10-08
Bundi,Moderate,118,"PM
10",1/1,2023-10-11
Bundi,Moderate,136,"PM
10",1/1,2023-10-12
Bundi,Moderate,129,"PM
10",1/1,2023-10-13
Bundi,Moderate,139,"PM
10",1/1,2023-10-14
Bundi,Moderate,124,"PM
10",1/1,2023-10-15
Bundi,Moderate,125,"PM
10",1/1,2023-10-16
Bundi,Moderate,126,"PM
10",1/1,2023-10-17
Bundi,Moderate,126,"O
3",1/1,2023-10-18
Bundi,Moderate,133,"O
3",1/1,2023-10-19
Bundi,Poor,201,"O
3",1/1,2023-10-21
Bundi,Poor,208,"O
3",1/1,2023-10-22
Bundi,Poor,268,"O
3",1/1,2023-10-23
Bundi,Moderate,160,"O
3",1/1,2023-10-24
Bundi,Moderate,162,"O
3",1/1,2023-10-25
Bundi,Moderate,168,"O
3",1/1,2023-10-26
Bundi,Moderate,168,"O
3",1/1,2023-10-27
Bundi,Poor,219,"O
3",1/1,2023-10-28
Bundi,Poor,230,"O
3",1/1,2023-10-29
Bundi,Poor,239,"O
3",1/1,2023-10-30
Bundi,Poor,209,"PM
10",1/1,2023-10-31
Bundi,Poor,209,"PM
10",1/1,2023-11-01
Bundi,Poor,216,"O
3",1/1,2023-11-02
Bundi,Moderate,178,"PM
10",1/1,2023-11-03
Bundi,Moderate,191,"PM
10",1/1,2023-11-04
Bundi,Moderate,184,"PM
10",1/1,2023-11-05
Bundi,Poor,233,"PM
10",1/1,2023-11-06
Bundi,Moderate,200,"PM
10",1/1,2023-11-07
