City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Buxar,Very Poor,388,"PM
2.5",1,2021-12-01
Buxar,Severe,403,"PM
2.5",1,2021-12-02
Buxar,Severe,427,"PM
2.5",1,2021-12-03
Buxar,Very Poor,393,"PM
10",1,2021-12-04
Buxar,Very Poor,302,"PM
10",1,2021-12-05
Buxar,Poor,214,"PM
10",1,2021-12-06
Buxar,Poor,228,"PM
10",1,2021-12-07
Buxar,Poor,252,"PM
10",1,2021-12-08
Buxar,Poor,261,"PM
2.5",1,2021-12-09
Buxar,Very Poor,343,"PM
2.5",1,2021-12-10
Buxar,Very Poor,389,"PM
2.5",1,2021-12-12
Buxar,Very Poor,359,"PM
2.5",1,2021-12-13
Buxar,Severe,454,"PM
10",1,2021-12-14
Buxar,Very Poor,373,"PM
10",1,2021-12-25
Buxar,Severe,414,"PM
10",1,2021-12-26
Buxar,Very Poor,370,"PM
2.5",1,2021-12-27
Buxar,Very Poor,327,"PM
2.5",1,2021-12-28
Buxar,Moderate,180,"PM
2.5",1,2021-12-30
Buxar,Moderate,162,"PM
2.5",1,2021-12-31
Buxar,Poor,249,"PM
2.5",1,2022-01-01
Buxar,Very Poor,302,"PM
2.5",1,2022-01-02
Buxar,Very Poor,357,"PM
10",1,2022-01-03
Buxar,Very Poor,370,"PM
2.5",1,2022-01-04
Buxar,Very Poor,375,"PM
10",1,2022-01-05
Buxar,Severe,454,"PM
10",1,2022-01-06
Buxar,Very Poor,357,"PM
10",1,2022-01-07
Buxar,Poor,247,"PM
2.5",1,2022-01-08
Buxar,Poor,254,"PM
2.5",1,2022-01-09
Buxar,Moderate,187,"PM
2.5",1,2022-01-10
Buxar,Poor,230,"PM
10",1,2022-01-11
Buxar,Poor,264,"PM
2.5",1,2022-01-12
Buxar,Moderate,187,"PM
2.5",1,2022-01-13
Buxar,Poor,284,"PM
2.5",1,2022-01-14
Buxar,Very Poor,335,"PM
2.5",1,2022-01-15
Buxar,Very Poor,317,"PM
2.5",1,2022-01-16
Buxar,Very Poor,347,"PM
10",1,2022-01-17
Buxar,Very Poor,348,"PM
2.5",1,2022-01-18
Buxar,Severe,408,"PM
10",1,2022-01-19
Buxar,Very Poor,398,"PM
10",1,2022-01-20
Buxar,Severe,431,"PM
10",1,2022-01-21
