City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Byasanagar,Satisfactory,100,"PM
2.5",1/1,2023-11-02
Byasanagar,Satisfactory,85,"PM
2.5",1/1,2023-11-03
Byasanagar,Satisfactory,67,"O
3",1/1,2023-11-04
Byasanagar,Moderate,170,"PM
2.5",1/1,2023-11-07
Byasanagar,Moderate,145,"PM
2.5",1/1,2023-11-08
Byasanagar,Moderate,134,"PM
2.5",1/1,2023-11-09
Byasanagar,Moderate,156,"PM
2.5",1/1,2023-11-10
Byasanagar,Moderate,159,"PM
2.5",1/1,2023-11-11
Byasanagar,Moderate,194,"PM
2.5",1/1,2023-11-12
Byasanagar,Very Poor,311,"PM
2.5",1/1,2023-11-13
Byasanagar,Poor,211,"PM
2.5",1/1,2023-11-14
Byasanagar,Moderate,156,"PM
2.5",1/1,2023-11-15
Byasanagar,Satisfactory,84,"PM
10",1/1,2023-11-16
Byasanagar,Satisfactory,58,"PM
2.5",1/1,2023-11-17
Byasanagar,Satisfactory,68,"PM
10",1/1,2023-11-18
Byasanagar,Satisfactory,83,CO,1/1,2023-11-19
Byasanagar,Satisfactory,79,CO,1/1,2023-11-20
Byasanagar,Satisfactory,94,CO,1/1,2023-11-21
Byasanagar,Moderate,124,"PM
2.5",1/1,2023-11-22
Byasanagar,Poor,218,"PM
2.5",1/1,2023-11-23
Byasanagar,Poor,240,"PM
2.5",1/1,2023-11-24
Byasanagar,Poor,242,"PM
2.5",1/1,2023-11-25
Byasanagar,Poor,233,"PM
2.5",1/1,2023-11-26
Byasanagar,Moderate,144,"PM
2.5",1/1,2023-11-27
Byasanagar,Moderate,176,"PM
2.5",1/1,2023-11-28
Byasanagar,Moderate,187,"PM
2.5",1/1,2023-11-29
Byasanagar,Moderate,172,"PM
2.5",1/1,2023-11-30
Byasanagar,Moderate,177,"PM
2.5",1/1,2023-12-01
Byasanagar,Moderate,164,"PM
2.5",1/1,2023-12-02
Byasanagar,Poor,232,"PM
2.5",1/1,2023-12-03
Byasanagar,Moderate,130,"PM
2.5",1/1,2023-12-05
Byasanagar,Satisfactory,71,CO,1/1,2023-12-06
Byasanagar,Satisfactory,85,CO,1/1,2023-12-07
Byasanagar,Satisfactory,77,CO,1/1,2023-12-08
Byasanagar,Satisfactory,94,CO,1/1,2023-12-09
Byasanagar,Satisfactory,85,CO,1/1,2023-12-10
Byasanagar,Satisfactory,94,CO,1/1,2023-12-11
Byasanagar,Moderate,118,"PM
2.5",1/1,2023-12-12
Byasanagar,Moderate,131,"PM
2.5",1/1,2023-12-13
Byasanagar,Moderate,128,"PM
2.5",1/1,2023-12-14
Byasanagar,Moderate,146,"PM
2.5",1/1,2023-12-15
Byasanagar,Moderate,128,"PM
2.5",1/1,2023-12-16
Byasanagar,Moderate,163,"PM
2.5",1/1,2023-12-17
Byasanagar,Moderate,178,"O
3",1/1,2023-12-18
Byasanagar,Poor,208,"PM
2.5",1/1,2023-12-19
Byasanagar,Moderate,126,"O
3",1/1,2023-12-20
Byasanagar,Moderate,150,"PM
2.5",1/1,2023-12-21
Byasanagar,Moderate,168,"PM
2.5",1/1,2023-12-22
Byasanagar,Moderate,172,"PM
2.5",1/1,2023-12-23
Byasanagar,Moderate,128,"PM
2.5",1/1,2023-12-25
Byasanagar,Moderate,150,"PM
2.5",1/1,2023-12-26
Byasanagar,Moderate,175,"PM
2.5",1/1,2023-12-27
Byasanagar,Poor,216,"PM
2.5",1/1,2023-12-28
Byasanagar,Poor,253,"PM
2.5",1/1,2023-12-29
Byasanagar,Poor,201,"PM
2.5",1/1,2023-12-30
Byasanagar,Poor,215,"PM
2.5",1/1,2023-12-31
Byasanagar,Poor,264,"PM
2.5",1/1,2024-01-01
Byasanagar,Poor,281,"PM
2.5",1/1,2024-01-02
Byasanagar,Poor,246,"PM
2.5",1/1,2024-01-03
Byasanagar,Poor,217,"PM
2.5",1/1,2024-01-04
Byasanagar,Poor,227,"PM
2.5",1/1,2024-01-05
Byasanagar,Poor,266,"PM
2.5",1/1,2024-01-06
Byasanagar,Poor,234,"PM
2.5",1/1,2024-01-07
Byasanagar,Poor,275,"PM
2.5",1/1,2024-01-08
Byasanagar,Poor,295,"PM
2.5",1/1,2024-01-09
Byasanagar,Poor,282,"PM
2.5",1/1,2024-01-10
Byasanagar,Poor,295,"PM
2.5",1/1,2024-01-11
Byasanagar,Poor,267,"PM
2.5",1/1,2024-01-12
Byasanagar,Poor,230,"PM
2.5",1/1,2024-01-13
Byasanagar,Poor,275,"PM
2.5",1/1,2024-01-14
Byasanagar,Poor,291,"PM
2.5",1/1,2024-01-15
Byasanagar,Very Poor,324,"PM
2.5",1/1,2024-01-16
Byasanagar,Poor,300,"PM
2.5",1/1,2024-01-17
Byasanagar,Moderate,172,"PM
2.5",1/1,2024-01-18
Byasanagar,Moderate,106,"PM
2.5",1/1,2024-01-19
Byasanagar,Moderate,186,"PM
2.5",1/1,2024-01-20
Byasanagar,Poor,240,"PM
2.5",1/1,2024-01-21
Byasanagar,Poor,218,"PM
2.5",1/1,2024-01-22
Byasanagar,Poor,210,"PM
2.5",1/1,2024-01-23
Byasanagar,Poor,236,"PM
2.5",1/1,2024-01-24
Byasanagar,Moderate,147,"PM
2.5",1/1,2024-01-25
Byasanagar,Moderate,157,"PM
2.5",1/1,2024-01-26
Byasanagar,Poor,206,"PM
2.5",1/1,2024-01-27
Byasanagar,Poor,238,"PM
2.5",1/1,2024-01-28
Byasanagar,Poor,242,"PM
2.5",1/1,2024-01-29
Byasanagar,Poor,239,"PM
2.5",1/1,2024-01-30
Byasanagar,Moderate,101,"PM
2.5",1/1,2024-01-31
Byasanagar,Satisfactory,92,"PM
2.5",1/1,2024-02-01
Byasanagar,Moderate,102,"PM
2.5",1/1,2024-02-02
Byasanagar,Moderate,101,"PM
2.5",1/1,2024-02-03
Byasanagar,Moderate,120,"PM
2.5",1/1,2024-02-04
Byasanagar,Moderate,187,"PM
2.5",1/1,2024-02-05
Byasanagar,Moderate,118,"PM
2.5",1/1,2024-02-06
Byasanagar,Poor,205,"PM
2.5",1/1,2024-02-07
Byasanagar,Moderate,198,"PM
2.5",1/1,2024-02-08
Byasanagar,Moderate,175,"O
3",1/1,2024-02-09
Byasanagar,Moderate,178,"O
3",1/1,2024-02-10
Byasanagar,Poor,201,"O
3",1/1,2024-02-11
Byasanagar,Poor,212,"PM
2.5",1/1,2024-02-12
Byasanagar,Moderate,181,"PM
2.5",1/1,2024-02-13
Byasanagar,Moderate,161,"PM
2.5",1/1,2024-02-14
Byasanagar,Moderate,173,"PM
2.5",1/1,2024-02-15
Byasanagar,Moderate,154,"O
3",1/1,2024-02-16
Byasanagar,Poor,278,"PM
2.5",1/1,2024-02-17
Byasanagar,Poor,257,"PM
2.5",1/1,2024-02-18
Byasanagar,Moderate,121,"PM
2.5",1/1,2024-02-19
Byasanagar,Satisfactory,95,"PM
10",1/1,2024-02-20
Byasanagar,Moderate,160,"O
3",1/1,2024-02-21
