City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Chandigarh,Satisfactory,99,"PM
10",1,2019-09-17
Chandigarh,Moderate,124,"PM
10",1,2019-09-18
Chandigarh,Satisfactory,71,"PM
10",1,2019-09-19
Chandigarh,Satisfactory,64,"PM
10",1,2019-09-20
Chandigarh,Satisfactory,64,"PM
10",1,2019-09-21
Chandigarh,Satisfactory,68,"PM
10",1,2019-09-22
Chandigarh,Good,48,"PM
10",1,2019-09-23
Chandigarh,Satisfactory,72,"PM
10",1,2019-09-24
Chandigarh,Moderate,101,"PM
10",1,2019-09-25
Chandigarh,Satisfactory,85,"PM
10",1,2019-09-26
Chandigarh,Satisfactory,56,"PM
10",1,2019-09-27
Chandigarh,Satisfactory,65,"PM
10",1,2019-09-28
Chandigarh,Satisfactory,55,"PM
10",1,2019-10-01
Chandigarh,Good,46,"PM
10",1,2019-10-02
Chandigarh,Satisfactory,61,"PM
10",1,2019-10-03
Chandigarh,Satisfactory,78,"PM
10",1,2019-10-04
Chandigarh,Satisfactory,69,"PM
10",1,2019-10-05
Chandigarh,Satisfactory,81,"PM
10",1,2019-10-06
Chandigarh,Satisfactory,100,"PM
10",1,2019-10-07
Chandigarh,Moderate,102,"PM
10",1,2019-10-08
Chandigarh,Moderate,108,"PM
10",1,2019-10-09
Chandigarh,Moderate,112,"PM
10",1,2019-10-10
Chandigarh,Moderate,105,"PM
10",1,2019-10-11
Chandigarh,Moderate,107,"PM
10",1,2019-10-12
Chandigarh,Satisfactory,90,"PM
2.5",1,2019-10-13
Chandigarh,Moderate,156,"PM
2.5",1,2019-10-14
Chandigarh,Moderate,135,"PM
2.5",1,2019-10-15
Chandigarh,Moderate,169,"PM
2.5",1,2019-10-16
Chandigarh,Moderate,186,"PM
2.5",1,2019-10-17
Chandigarh,Moderate,117,"PM
2.5",1,2019-10-18
Chandigarh,Moderate,110,"PM
2.5",1,2019-10-19
Chandigarh,Satisfactory,100,"PM
10",1,2019-10-20
Chandigarh,Moderate,113,"PM
10",1,2019-10-21
Chandigarh,Moderate,102,"PM
10",1,2019-10-22
Chandigarh,Moderate,102,"PM
10",1,2019-10-23
Chandigarh,Moderate,104,"PM
2.5",1,2019-10-24
Chandigarh,Moderate,191,"PM
2.5",1,2019-10-25
Chandigarh,Poor,232,"PM
2.5",1,2019-10-26
Chandigarh,Poor,248,"PM
2.5",1,2019-10-27
Chandigarh,Poor,267,"PM
2.5",1,2019-10-28
Chandigarh,Poor,232,"PM
2.5",1,2019-10-29
Chandigarh,Poor,256,"PM
2.5",1,2019-10-30
Chandigarh,Poor,241,"PM
2.5",1,2019-10-31
Chandigarh,Poor,254,"PM
2.5",1,2019-11-01
Chandigarh,Poor,279,"PM
2.5",1,2019-11-02
Chandigarh,Poor,254,"PM
2.5",1,2019-11-03
Chandigarh,Very Poor,315,"PM
2.5",1,2019-11-04
Chandigarh,Moderate,107,"PM
10",1,2019-11-05
Chandigarh,Moderate,118,"PM
10",1,2019-11-06
Chandigarh,Satisfactory,86,"PM
10",1,2019-11-07
Chandigarh,Satisfactory,94,"PM
2.5",1,2019-11-08
Chandigarh,Satisfactory,80,"PM
2.5",1,2019-11-09
Chandigarh,Moderate,109,"PM
2.5",1,2019-11-10
Chandigarh,Poor,216,"PM
2.5",1,2019-11-11
Chandigarh,Poor,274,"PM
2.5",1,2019-11-12
Chandigarh,Poor,242,"PM
2.5",1,2019-11-13
Chandigarh,Poor,214,"PM
2.5",1,2019-11-14
Chandigarh,Poor,248,"PM
2.5",1,2019-11-15
Chandigarh,Moderate,142,"PM
2.5",1,2019-11-16
Chandigarh,Satisfactory,85,"PM
2.5",1,2019-11-17
Chandigarh,Moderate,106,"PM
2.5",1,2019-11-18
Chandigarh,Moderate,147,"PM
2.5",1,2019-11-19
Chandigarh,Poor,220,"PM
2.5",1,2019-11-20
Chandigarh,Moderate,163,"PM
2.5",1,2019-11-21
Chandigarh,Poor,271,"PM
2.5",1,2019-11-22
Chandigarh,Poor,238,"PM
2.5",1,2019-11-23
Chandigarh,Satisfactory,86,"PM
10",1,2019-11-24
Chandigarh,Satisfactory,73,"PM
10",1,2019-11-25
Chandigarh,Moderate,116,"PM
2.5",1,2019-11-26
Chandigarh,Satisfactory,53,"PM
10",1,2019-11-27
Chandigarh,Satisfactory,88,"PM
10",1,2019-11-28
Chandigarh,Satisfactory,89,"PM
2.5",1,2019-11-29
Chandigarh,Satisfactory,93,"PM
10",1,2019-11-30
Chandigarh,Moderate,108,"PM
2.5",1,2019-12-01
Chandigarh,Moderate,143,"PM
2.5",1,2019-12-02
Chandigarh,Moderate,166,"PM
2.5",1,2019-12-03
Chandigarh,Moderate,196,"PM
2.5",1,2019-12-04
Chandigarh,Poor,201,"PM
2.5",1,2019-12-05
Chandigarh,Moderate,186,"PM
2.5",1,2019-12-06
Chandigarh,Moderate,139,"PM
2.5",1,2019-12-07
Chandigarh,Moderate,150,"PM
2.5",1,2019-12-08
Chandigarh,Moderate,182,"PM
2.5",1,2019-12-09
Chandigarh,Poor,216,"PM
2.5",1,2019-12-10
Chandigarh,Moderate,179,"PM
2.5",1,2019-12-11
Chandigarh,Poor,276,"PM
2.5",1,2019-12-12
Chandigarh,Satisfactory,90,"PM
2.5",1,2019-12-13
Chandigarh,Satisfactory,68,"PM
2.5",1,2019-12-15
Chandigarh,Satisfactory,66,"PM
2.5",1,2019-12-16
Chandigarh,Satisfactory,100,"PM
2.5",1,2019-12-17
Chandigarh,Satisfactory,98,"PM
2.5",1,2019-12-18
Chandigarh,Moderate,182,"PM
2.5",1,2019-12-19
Chandigarh,Poor,209,"PM
2.5",1,2019-12-20
Chandigarh,Moderate,184,"PM
2.5",1,2019-12-21
Chandigarh,Satisfactory,99,"PM
10",1,2019-12-22
Chandigarh,Satisfactory,76,"PM
10",1,2019-12-23
Chandigarh,Moderate,116,"PM
2.5",1,2019-12-24
Chandigarh,Satisfactory,80,"PM
10",1,2019-12-25
Chandigarh,Satisfactory,72,"PM
10",1,2019-12-26
Chandigarh,Moderate,104,"PM
10",1,2019-12-27
Chandigarh,Moderate,134,"PM
2.5",1,2019-12-28
Chandigarh,Moderate,152,"PM
2.5",1,2019-12-29
Chandigarh,Satisfactory,99,"PM
2.5",1,2019-12-30
Chandigarh,Poor,205,"PM
2.5",1,2019-12-31
Chandigarh,Moderate,127,"PM
10",1,2020-01-01
Chandigarh,Satisfactory,97,"PM
2.5",1,2020-01-02
Chandigarh,Moderate,102,"PM
10",1,2020-01-03
Chandigarh,Satisfactory,98,"PM
10",1,2020-01-04
Chandigarh,Moderate,106,"PM
10",1,2020-01-05
Chandigarh,Satisfactory,81,"PM
10",1,2020-01-06
Chandigarh,Satisfactory,53,"PM
2.5",1,2020-01-07
Chandigarh,Satisfactory,64,"PM
2.5",1,2020-01-08
Chandigarh,Good,39,"PM
2.5",1,2020-01-09
Chandigarh,Satisfactory,61,"PM
10",1,2020-01-10
Chandigarh,Satisfactory,87,"PM
10",1,2020-01-11
Chandigarh,Moderate,125,"PM
10",1,2020-01-12
Chandigarh,Moderate,185,"PM
2.5",1,2020-01-13
Chandigarh,Satisfactory,76,"PM
10",1,2020-01-14
Chandigarh,Satisfactory,79,"PM
10",1,2020-01-15
Chandigarh,Satisfactory,77,"PM
10",1,2020-01-16
Chandigarh,Satisfactory,85,"PM
10",1,2020-01-17
Chandigarh,Moderate,118,"PM
10",1,2020-01-18
Chandigarh,Moderate,101,"PM
10",1,2020-01-19
Chandigarh,Satisfactory,92,"PM
10",1,2020-01-20
Chandigarh,Moderate,143,"PM
2.5",1,2020-01-21
Chandigarh,Moderate,103,"PM
10",1,2020-01-22
Chandigarh,Satisfactory,69,"PM
10",1,2020-01-23
Chandigarh,Satisfactory,72,"PM
10",1,2020-01-24
Chandigarh,Moderate,105,"PM
10",1,2020-01-25
Chandigarh,Moderate,125,"PM
2.5",1,2020-01-26
Chandigarh,Moderate,104,"PM
2.5",1,2020-01-27
Chandigarh,Moderate,140,"PM
2.5",1,2020-01-28
Chandigarh,Satisfactory,64,"PM
10",1,2020-01-29
Chandigarh,Satisfactory,76,"PM
10",1,2020-01-30
Chandigarh,Good,47,"PM
10",1,2020-01-31
Chandigarh,Satisfactory,95,"PM
10",1,2020-02-01
Chandigarh,Satisfactory,73,"PM
10",1,2020-02-02
Chandigarh,Satisfactory,97,"PM
10",1,2020-02-03
Chandigarh,Moderate,114,"PM
10",1,2020-02-04
Chandigarh,Satisfactory,95,"PM
10",1,2020-02-05
Chandigarh,Satisfactory,79,"PM
10",1,2020-02-06
Chandigarh,Satisfactory,98,"PM
10",1,2020-02-07
Chandigarh,Moderate,102,"PM
2.5",1,2020-02-08
Chandigarh,Satisfactory,100,"PM
10",1,2020-02-09
Chandigarh,Moderate,118,"PM
2.5",1,2020-02-10
Chandigarh,Moderate,110,"PM
10",1,2020-02-11
Chandigarh,Moderate,108,"PM
10",1,2020-02-12
Chandigarh,Satisfactory,97,"PM
10",1,2020-02-13
Chandigarh,Satisfactory,93,"PM
10",1,2020-02-14
Chandigarh,Satisfactory,90,"PM
10",1,2020-02-15
Chandigarh,Satisfactory,99,"PM
10",1,2020-02-16
Chandigarh,Satisfactory,84,"PM
10",1,2020-02-17
Chandigarh,Satisfactory,96,"PM
10",1,2020-02-18
Chandigarh,Moderate,127,"PM
10",1,2020-02-19
Chandigarh,Moderate,108,"PM
10",1,2020-02-20
Chandigarh,Satisfactory,55,"PM
10",1,2020-02-21
Chandigarh,Satisfactory,54,"PM
10",1,2020-02-22
Chandigarh,Satisfactory,66,"PM
10",1,2020-02-23
Chandigarh,Satisfactory,60,"PM
10",1,2020-02-24
Chandigarh,Satisfactory,78,"PM
10",1,2020-02-25
Chandigarh,Satisfactory,80,"PM
10",1,2020-02-26
