City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Chandrapur,Good,32,"PM
10",1,2015-08-20
Chandrapur,Good,50,"PM
10",1,2015-08-21
Chandrapur,Satisfactory,76,"PM
10",1,2015-08-22
Chandrapur,Satisfactory,79,"PM
10",1,2015-08-23
Chandrapur,Satisfactory,78,"PM
10",1,2015-08-24
Chandrapur,Poor,206,"PM
10",1,2015-08-25
Chandrapur,Moderate,104,"PM
10",1,2015-08-26
Chandrapur,Moderate,146,"PM
10",1,2015-08-27
Chandrapur,Good,50,"PM
10",1,2015-08-29
Chandrapur,Satisfactory,71,"PM
10",1,2015-08-30
Chandrapur,Good,44,"PM
10",1,2015-08-31
Chandrapur,Good,46,"PM
10",1#,2015-09-01
Chandrapur,Satisfactory,97,"PM
10",1,2015-09-02
Chandrapur,Satisfactory,60,"PM
10",1#,2015-09-04
Chandrapur,Satisfactory,85,"PM
10",1,2015-09-05
Chandrapur,Satisfactory,93,"PM
10",1,2015-09-06
Chandrapur,Satisfactory,70,"PM
10",1,2015-09-07
Chandrapur,Satisfactory,58,"PM
10",1,2015-09-08
Chandrapur,Satisfactory,70,"PM
10",1,2015-09-09
Chandrapur,Satisfactory,74,"PM
10",1,2015-09-10
Chandrapur,Satisfactory,56,"PM
2.5",1#,2015-09-18
Chandrapur,Good,40,"PM
10",1,2015-09-19
Chandrapur,Satisfactory,74,"PM
10",1,2015-09-20
Chandrapur,Good,39,"PM
10",1,2015-09-21
Chandrapur,Satisfactory,66,"PM
10",1,2015-09-22
Chandrapur,Satisfactory,78,"PM
10",1,2015-09-23
Chandrapur,Moderate,110,"PM
10",1#,2015-09-24
Chandrapur,Poor,262,"PM
10",1,2015-09-26
Chandrapur,Poor,261,"PM
10",1,2015-09-27
Chandrapur,Severe,420,"PM
10",1,2015-09-28
Chandrapur,Moderate,139,"PM
10",1,2015-09-29
Chandrapur,Moderate,126,"PM
10",1,2015-09-30
Chandrapur,Moderate,120,"PM
10",1,2015-10-01
Chandrapur,Satisfactory,74,"PM
10",1,2015-10-02
Chandrapur,Poor,258,"PM
2.5",1,2015-10-03
Chandrapur,Moderate,134,"PM
10",1,2015-10-04
Chandrapur,Moderate,104,"PM
10",1,2015-10-05
Chandrapur,Moderate,171,"PM
10",1#,2015-10-06
Chandrapur,Moderate,137,"PM
10",1,2015-10-07
Chandrapur,Moderate,163,"PM
10",1,2015-10-08
Chandrapur,Moderate,157,"PM
10",1,2015-10-09
Chandrapur,Moderate,152,"PM
10",1,2015-10-10
Chandrapur,Poor,235,"PM
10",1,2015-10-12
Chandrapur,Moderate,156,"PM
10",1,2015-10-15
Chandrapur,Moderate,193,"PM
10",1,2015-10-16
Chandrapur,Moderate,124,"PM
2.5",1,2015-10-18
Chandrapur,Moderate,118,"PM
10",1,2015-10-19
Chandrapur,Poor,240,"PM
10",1#,2015-10-20
Chandrapur,Moderate,138,"PM
10",1,2015-10-21
Chandrapur,Moderate,128,"PM
10",1,2015-10-26
Chandrapur,Moderate,178,"PM
2.5",1#,2015-10-27
Chandrapur,Moderate,173,"PM
2.5",1#,2015-10-28
Chandrapur,Satisfactory,65,"PM
10",1,2015-10-30
Chandrapur,Satisfactory,71,"PM
10",1,2015-10-31
Chandrapur,Satisfactory,60,"PM
10",1,2015-11-01
Chandrapur,Satisfactory,67,"PM
10",1,2015-11-02
Chandrapur,Satisfactory,59,"PM
10",1,2015-11-03
Chandrapur,Satisfactory,78,"PM
10",1,2015-11-04
Chandrapur,Moderate,115,"PM
10",1,2015-11-05
Chandrapur,Moderate,104,"PM
10",1,2015-11-06
Chandrapur,Poor,223,"PM
10",1,2015-11-07
Chandrapur,Moderate,130,"PM
2.5",1,2015-11-08
Chandrapur,Satisfactory,91,"PM
10",1,2015-11-09
Chandrapur,Moderate,130,"PM
2.5",1,2015-11-10
Chandrapur,Poor,225,"PM
2.5",1,2015-11-11
Chandrapur,Poor,265,"PM
2.5",1,2015-11-12
Chandrapur,Poor,219,"PM
2.5",1,2015-11-13
Chandrapur,Moderate,167,"PM
2.5",1,2015-11-14
Chandrapur,Moderate,173,"PM
2.5",1,2015-11-15
Chandrapur,Moderate,164,"PM
2.5",1,2015-11-16
Chandrapur,Moderate,168,"PM
2.5",1,2015-11-17
Chandrapur,Moderate,149,"PM
2.5",1,2015-11-18
Chandrapur,Moderate,105,"PM
10",1#,2015-11-19
Chandrapur,Satisfactory,88,"PM
10",1#,2015-11-21
Chandrapur,Moderate,109,"PM
10",1,2015-11-24
Chandrapur,Moderate,176,"PM
2.5",1,2015-11-25
Chandrapur,Poor,260,"PM
2.5",1#,2015-11-26
Chandrapur,Moderate,135,"PM
2.5",1,2015-12-01
Chandrapur,Moderate,145,"PM
10",1,2015-12-02
Chandrapur,Satisfactory,80,"PM
10",1,2015-12-03
Chandrapur,Moderate,138,"PM
10",1,2015-12-04
Chandrapur,Moderate,137,"PM
2.5",1,2015-12-05
Chandrapur,Severe,415,"PM
10",1,2015-12-07
Chandrapur,Moderate,167,"PM
10",1,2015-12-08
Chandrapur,Moderate,176,"PM
2.5",1,2015-12-09
Chandrapur,Moderate,123,"PM
2.5",1,2015-12-10
Chandrapur,Satisfactory,95,"PM
10",1,2015-12-11
Chandrapur,Satisfactory,92,"PM
10",1,2015-12-12
Chandrapur,Satisfactory,93,"PM
10",1,2015-12-13
Chandrapur,Satisfactory,84,"PM
10",1,2015-12-14
Chandrapur,Moderate,138,"PM
2.5",1#,2015-12-15
Chandrapur,Satisfactory,73,"PM
10",1,2015-12-17
Chandrapur,Satisfactory,93,"PM
10",1,2015-12-18
Chandrapur,Moderate,112,"PM
10",1,2015-12-19
Chandrapur,Moderate,123,"PM
2.5",1,2015-12-20
Chandrapur,Satisfactory,76,"PM
10",1,2015-12-21
Chandrapur,Satisfactory,74,"PM
10",1,2015-12-22
Chandrapur,Moderate,131,"PM
2.5",1,2015-12-23
Chandrapur,Poor,246,"PM
2.5",1,2015-12-24
Chandrapur,Satisfactory,100,"PM
10",1,2015-12-26
Chandrapur,Moderate,182,"PM
2.5",1#,2015-12-28
Chandrapur,Poor,237,"PM
2.5",1,2015-12-30
Chandrapur,Moderate,171,"PM
2.5",1,2016-01-02
Chandrapur,Moderate,145,"PM
2.5",1,2016-01-03
Chandrapur,Moderate,123,"PM
2.5",1,2016-01-05
Chandrapur,Moderate,156,"PM
2.5",1,2016-01-06
Chandrapur,Moderate,120,"PM
2.5",1,2016-01-07
Chandrapur,Moderate,138,"PM
2.5",1,2016-01-20
Chandrapur,Satisfactory,84,"PM
10",1,2016-01-21
Chandrapur,Satisfactory,86,"PM
10",1,2016-01-22
Chandrapur,Moderate,109,"PM
10",1,2016-01-23
Chandrapur,Moderate,133,"PM
10",1,2016-01-24
Chandrapur,Moderate,159,"PM
2.5",1,2016-01-25
Chandrapur,Moderate,150,"PM
2.5",1,2016-01-26
Chandrapur,Moderate,122,"PM
2.5",1,2016-01-27
Chandrapur,Moderate,187,"PM
2.5",1,2016-01-28
Chandrapur,Moderate,166,"PM
10",1,2016-01-30
Chandrapur,Poor,203,"PM
2.5",1,2016-01-31
Chandrapur,Moderate,189,"PM
2.5",1,2016-02-01
Chandrapur,Poor,206,"PM
2.5",1,2016-02-02
Chandrapur,Moderate,175,"PM
10",1,2016-02-03
Chandrapur,Moderate,131,"PM
10",1,2016-02-04
Chandrapur,Moderate,115,"PM
10",1,2016-02-05
Chandrapur,Moderate,117,"PM
10",1,2016-02-06
Chandrapur,Moderate,130,"PM
10",1#,2016-02-08
Chandrapur,Moderate,127,"PM
10",1,2016-02-09
Chandrapur,Moderate,177,"PM
2.5",1,2016-02-12
Chandrapur,Moderate,105,"PM
10",1#,2016-02-15
Chandrapur,Moderate,133,"PM
10",1#,2016-02-16
Chandrapur,Moderate,192,"PM
2.5",1,2016-02-21
Chandrapur,Moderate,174,"PM
2.5",1,2016-02-22
Chandrapur,Moderate,135,"PM
2.5",1,2016-02-23
Chandrapur,Satisfactory,90,"PM
10",1,2016-02-24
Chandrapur,Satisfactory,79,"PM
10",1,2016-02-25
Chandrapur,Satisfactory,78,"PM
10",1,2016-02-26
Chandrapur,Satisfactory,59,"PM
10",1,2016-02-27
Chandrapur,Satisfactory,62,"PM
10",1,2016-02-28
Chandrapur,Satisfactory,76,"PM
10",1#,2016-02-29
Chandrapur,Good,42,"PM
10",1,2016-03-01
Chandrapur,Satisfactory,99,"PM
10",1,2016-03-02
Chandrapur,Moderate,117,"PM
10",1,2016-03-03
Chandrapur,Satisfactory,98,"PM
10",1#,2016-03-04
Chandrapur,Satisfactory,71,"PM
10",1#,2016-03-09
Chandrapur,Moderate,131,"PM
2.5",1,2016-03-11
Chandrapur,Moderate,116,"PM
2.5",1,2016-03-12
Chandrapur,Satisfactory,75,"PM
10",1,2016-03-13
Chandrapur,Poor,221,"PM
2.5",1,2016-03-14
Chandrapur,Satisfactory,92,"PM
2.5",1,2016-03-15
Chandrapur,Satisfactory,54,"PM
2.5",1,2016-03-16
Chandrapur,Satisfactory,69,"PM
10",1,2016-03-17
Chandrapur,Satisfactory,88,"PM
10",1#,2016-03-18
Chandrapur,Moderate,159,"PM
10",1,2016-03-19
Chandrapur,Poor,208,"PM
10",1,2016-03-20
Chandrapur,Very Poor,351,"PM
10",1,2016-03-21
Chandrapur,Poor,210,"PM
2.5",1#,2016-03-24
Chandrapur,Moderate,197,"PM
2.5",1,2016-03-26
Chandrapur,Moderate,110,"PM
10",1,2016-03-30
Chandrapur,Moderate,127,"PM
10",1,2016-03-31
Chandrapur,Moderate,127,"PM
10",1,2016-04-01
