City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Chengalpattu,Satisfactory,60,"SO
2",1,2022-08-13
Chengalpattu,Satisfactory,60,"SO
2",1,2022-08-17
Chengalpattu,Satisfactory,57,"SO
2",1,2022-08-24
Chengalpattu,Satisfactory,58,"SO
2",1,2022-08-25
Chengalpattu,Satisfactory,56,"SO
2",1,2022-08-27
Chengalpattu,Satisfactory,80,"PM
10",1,2022-08-30
Chengalpattu,Satisfactory,57,"SO
2",1,2022-09-03
Chengalpattu,Satisfactory,72,"SO
2",1,2022-09-16
Chengalpattu,Satisfactory,86,"PM
10",1,2022-09-29
Chengalpattu,Satisfactory,73,"SO
2",1,2022-09-30
Chengalpattu,Satisfactory,76,"PM
10",1,2022-10-04
Chengalpattu,Satisfactory,77,"SO
2",1,2022-10-12
Chengalpattu,Satisfactory,77,"SO
2",1,2022-10-13
Chengalpattu,Satisfactory,100,"PM
10",1,2022-10-20
Chengalpattu,Moderate,104,"PM
10",1,2022-10-27
Chengalpattu,Satisfactory,70,"SO
2",1,2022-11-01
Chengalpattu,Satisfactory,71,"SO
2",1,2022-11-02
Chengalpattu,Satisfactory,70,"SO
2",1,2022-11-03
Chengalpattu,Satisfactory,71,"SO
2",1,2022-11-04
Chengalpattu,Satisfactory,71,"SO
2",1,2022-11-05
Chengalpattu,Satisfactory,100,"PM
2.5",1,2022-11-09
Chengalpattu,Moderate,189,"PM
2.5",1,2022-11-18
Chengalpattu,Moderate,154,"PM
2.5",1,2022-11-19
Chengalpattu,Poor,262,"PM
2.5",1,2022-12-06
Chengalpattu,Poor,282,"PM
2.5",1,2022-12-07
Chengalpattu,Poor,260,"PM
2.5",1,2022-12-08
Chengalpattu,Good,33,CO,1,2022-12-11
Chengalpattu,Good,34,"PM
10",1,2022-12-13
Chengalpattu,Satisfactory,75,"PM
10",1,2022-12-14
Chengalpattu,Satisfactory,89,"PM
10",1,2022-12-15
Chengalpattu,Moderate,108,"PM
10",1,2022-12-16
Chengalpattu,Moderate,123,"PM
10",1,2022-12-17
Chengalpattu,Moderate,106,"PM
10",1,2022-12-20
Chengalpattu,Moderate,111,"PM
10",1,2022-12-21
Chengalpattu,Moderate,110,"PM
2.5",1,2022-12-22
Chengalpattu,Satisfactory,56,"PM
10",1,2022-12-27
Chengalpattu,Satisfactory,91,"PM
10",1,2022-12-29
Chengalpattu,Satisfactory,87,"PM
2.5",1,2023-01-03
Chengalpattu,Moderate,127,"PM
2.5",1,2023-01-04
Chengalpattu,Moderate,108,"PM
2.5",1,2023-01-12
Chengalpattu,Moderate,102,"PM
2.5",1,2023-01-13
Chengalpattu,Poor,207,"PM
2.5",1,2023-01-14
Chengalpattu,Satisfactory,91,"PM
10",1,2023-01-18
Chengalpattu,Moderate,109,"PM
2.5",1,2023-01-19
Chengalpattu,Moderate,106,"PM
2.5",1,2023-01-20
Chengalpattu,Satisfactory,76,"PM
10",1,2023-01-24
Chengalpattu,Satisfactory,95,"PM
10",1,2023-01-25
Chengalpattu,Moderate,167,"PM
2.5",1,2023-01-26
Chengalpattu,Moderate,115,"PM
2.5",1,2023-01-27
Chengalpattu,Moderate,101,"PM
10",1,2023-01-28
Chengalpattu,Moderate,122,"PM
2.5",1,2023-01-29
Chengalpattu,Satisfactory,94,"PM
10",1,2023-01-30
Chengalpattu,Moderate,110,"PM
10",1,2023-02-01
Chengalpattu,Satisfactory,90,"PM
10",1,2023-02-02
Chengalpattu,Satisfactory,94,"PM
10",1,2023-02-03
Chengalpattu,Satisfactory,95,"PM
10",1,2023-02-07
Chengalpattu,Moderate,108,"PM
10",1,2023-02-08
Chengalpattu,Moderate,102,"PM
10",1,2023-02-09
Chengalpattu,Satisfactory,100,"PM
10",1,2023-02-10
Chengalpattu,Satisfactory,94,"PM
2.5",1,2023-02-11
Chengalpattu,Moderate,141,"PM
10",1,2023-02-15
Chengalpattu,Moderate,124,"PM
10",1,2023-02-16
Chengalpattu,Moderate,141,"PM
10",1,2023-02-17
Chengalpattu,Moderate,116,"PM
10",1,2023-02-22
Chengalpattu,Moderate,128,"PM
10",1,2023-02-23
Chengalpattu,Satisfactory,83,"PM
10",1,2023-02-24
Chengalpattu,Satisfactory,92,"PM
10",1,2023-02-28
Chengalpattu,Satisfactory,92,"PM
10",1,2023-03-01
Chengalpattu,Satisfactory,92,"PM
10",1,2023-03-02
Chengalpattu,Satisfactory,95,"PM
2.5",1,2023-03-03
Chengalpattu,Satisfactory,100,"PM
2.5",1,2023-03-04
