City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Chhal,Satisfactory,94,"PM
10",1,2023-03-13
Chhal,Moderate,114,"PM
2.5",1,2023-03-14
Chhal,Moderate,190,"PM
2.5",1,2023-03-15
Chhal,Poor,230,"PM
2.5",1,2023-03-16
Chhal,Satisfactory,99,"PM
10",1,2023-03-17
Chhal,Satisfactory,67,"PM
10",1,2023-03-18
Chhal,Satisfactory,62,"PM
10",1,2023-03-19
Chhal,Good,45,"PM
10",1,2023-03-21
Chhal,Good,46,"PM
10",1,2023-03-22
Chhal,Satisfactory,55,"PM
10",1,2023-03-23
Chhal,Satisfactory,77,"PM
10",1,2023-03-24
Chhal,Satisfactory,90,"PM
10",1,2023-03-25
Chhal,Satisfactory,79,"PM
10",1,2023-03-26
Chhal,Satisfactory,57,"PM
10",1,2023-03-27
Chhal,Satisfactory,72,"PM
10",1,2023-03-28
Chhal,Moderate,122,"PM
10",1,2023-03-29
Chhal,Moderate,110,"PM
10",1,2023-03-30
Chhal,Good,49,"PM
10",1,2023-03-31
Chhal,Good,42,"O
3",1,2023-04-02
Chhal,Good,43,"PM
2.5",1,2023-04-03
Chhal,Moderate,105,"PM
10",1,2023-04-04
Chhal,Moderate,101,"PM
10",1,2023-04-05
Chhal,Satisfactory,76,"PM
10",1,2023-04-06
Chhal,Moderate,101,"PM
10",1,2023-04-07
Chhal,Satisfactory,95,"PM
10",1,2023-04-08
Chhal,Satisfactory,62,"PM
10",1,2023-04-09
Chhal,Satisfactory,85,"PM
10",1,2023-04-10
Chhal,Satisfactory,100,"PM
10",1,2023-04-11
Chhal,Satisfactory,88,"PM
10",1,2023-04-12
Chhal,Moderate,121,"PM
10",1,2023-04-13
Chhal,Moderate,125,"PM
10",1,2023-04-14
Chhal,Moderate,123,"PM
10",1,2023-04-15
Chhal,Satisfactory,88,"PM
10",1,2023-04-16
Chhal,Moderate,125,"PM
10",1,2023-04-17
Chhal,Moderate,110,"PM
10",1,2023-04-18
Chhal,Moderate,110,"PM
10",1,2023-04-19
Chhal,Moderate,112,"PM
10",1,2023-04-20
Chhal,Satisfactory,74,"PM
10",1,2023-04-21
Chhal,Satisfactory,80,"PM
10",1,2023-04-22
Chhal,Satisfactory,58,"O
3",1,2023-04-26
Chhal,Satisfactory,53,"O
3",1,2023-04-27
Chhal,Good,48,"PM
10",1,2023-04-28
Chhal,Good,37,"O
3",1,2023-04-29
Chhal,Good,39,"PM
10",1,2023-04-30
Chhal,Good,31,CO,1,2023-05-01
Chhal,Good,29,"PM
10",1,2023-05-02
Chhal,Good,30,"PM
10",1,2023-05-03
Chhal,Good,36,"PM
10",1,2023-05-04
Chhal,Good,38,"PM
10",1,2023-05-05
Chhal,Good,38,"O
3",1,2023-05-06
Chhal,Good,39,"O
3",1,2023-05-07
Chhal,Satisfactory,56,"PM
10",1,2023-05-08
Chhal,Good,49,"PM
10",1,2023-05-09
Chhal,Satisfactory,67,"PM
10",1,2023-05-10
Chhal,Satisfactory,61,"PM
10",1,2023-05-11
Chhal,Good,50,"PM
10",1,2023-05-12
Chhal,Satisfactory,74,"PM
10",1,2023-05-13
Chhal,Satisfactory,95,"PM
10",1,2023-05-14
Chhal,Satisfactory,84,"PM
10",1,2023-05-15
Chhal,Satisfactory,87,"PM
10",1,2023-05-16
Chhal,Satisfactory,82,"PM
10",1,2023-05-17
Chhal,Satisfactory,76,"PM
10",1,2023-05-18
Chhal,Satisfactory,78,"PM
10",1,2023-05-19
Chhal,Satisfactory,68,"PM
10",1,2023-05-20
Chhal,Satisfactory,94,"PM
10",1,2023-05-21
Chhal,Satisfactory,76,"PM
10",1,2023-05-22
Chhal,Satisfactory,57,"PM
10",1,2023-05-23
Chhal,Satisfactory,81,"PM
10",1,2023-05-24
Chhal,Satisfactory,64,"PM
10",1,2023-05-25
Chhal,Satisfactory,68,"PM
10",1,2023-05-26
Chhal,Satisfactory,51,"PM
10",1,2023-05-27
Chhal,Good,38,"O
3",1,2023-05-28
Chhal,Satisfactory,53,"PM
10",1,2023-05-29
Chhal,Satisfactory,99,"PM
10",1,2023-05-30
Chhal,Satisfactory,75,"PM
10",1,2023-05-31
Chhal,Satisfactory,65,"PM
10",1,2023-06-01
Chhal,Satisfactory,69,"PM
10",1,2023-06-02
Chhal,Satisfactory,78,"PM
10",1,2023-06-03
Chhal,Satisfactory,71,"PM
10",1,2023-06-04
Chhal,Satisfactory,61,"PM
10",1,2023-06-05
Chhal,Satisfactory,64,"O
3",1,2023-06-06
Chhal,Satisfactory,66,"PM
10",1,2023-06-07
Chhal,Satisfactory,64,"O
3",1,2023-06-08
Chhal,Satisfactory,63,"PM
10",1,2023-06-09
Chhal,Satisfactory,58,"PM
10",1,2023-06-10
Chhal,Satisfactory,65,"PM
10",1,2023-06-11
Chhal,Satisfactory,59,"PM
10",1,2023-06-13
Chhal,Good,50,"O
3",1,2023-06-14
Chhal,Satisfactory,59,"O
3",1,2023-06-15
Chhal,Good,49,"PM
10",1,2023-06-16
Chhal,Good,49,"PM
10",1,2023-06-17
Chhal,Satisfactory,63,"PM
10",1,2023-06-18
Chhal,Satisfactory,65,"PM
10",1,2023-06-19
Chhal,Satisfactory,72,"PM
10",1,2023-06-20
Chhal,Satisfactory,76,"O
3",1,2023-06-21
Chhal,Good,21,"PM
10",1,2023-06-23
Chhal,Good,48,"O
3",1,2023-06-24
Chhal,Good,33,CO,1,2023-06-25
Chhal,Good,39,CO,1,2023-06-26
Chhal,Good,44,CO,1,2023-06-27
Chhal,Good,32,CO,1,2023-06-28
Chhal,Good,43,CO,1,2023-06-29
Chhal,Good,43,CO,1,2023-06-30
Chhal,Good,44,"PM
10",1,2023-07-01
Chhal,Satisfactory,67,"PM
10",1,2023-07-04
Chhal,Good,47,"PM
10",1,2023-07-05
Chhal,Good,44,"PM
10",1,2023-07-06
Chhal,Good,29,CO,1,2023-07-07
Chhal,Good,28,CO,1,2023-07-08
Chhal,Good,29,"PM
10",1,2023-07-09
Chhal,Good,50,"PM
10",1,2023-07-10
Chhal,Good,50,"PM
10",1,2023-07-11
Chhal,Good,27,"PM
10",1,2023-07-12
Chhal,Good,40,"PM
10",1,2023-07-13
Chhal,Good,33,"PM
10",1,2023-07-14
Chhal,Good,37,"PM
10",1,2023-07-15
Chhal,Good,39,CO,1,2023-07-16
Chhal,Good,28,CO,1,2023-07-18
Chhal,Good,28,CO,1,2023-07-19
Chhal,Good,24,CO,1,2023-07-21
Chhal,Good,29,CO,1,2023-07-22
Chhal,Good,21,CO,1,2023-07-27
Chhal,Good,34,CO,1,2023-07-28
Chhal,Good,34,CO,1,2023-07-29
Chhal,Good,39,CO,1,2023-07-30
Chhal,Good,34,CO,1,2023-07-31
Chhal,Good,31,"O
3",1,2023-08-01
Chhal,Satisfactory,53,CO,1,2023-08-02
Chhal,Good,26,CO,1,2023-08-03
Chhal,Good,37,CO,1,2023-08-05
Chhal,Good,34,"PM
10",1,2023-08-06
Chhal,Good,36,"PM
10",1,2023-08-07
Chhal,Good,39,"PM
10",1,2023-08-08
Chhal,Satisfactory,59,"PM
10",1,2023-08-09
