City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Chhapra,Very Poor,304,"PM
2.5",1,2021-11-23
Chhapra,Very Poor,319,"PM
2.5",1,2021-11-24
Chhapra,Very Poor,350,"PM
2.5",1,2021-11-25
Chhapra,Very Poor,393,"PM
2.5",1,2021-11-26
Chhapra,Severe,431,"PM
2.5",1,2021-11-28
Chhapra,Very Poor,361,"PM
2.5",1,2021-11-30
Chhapra,Very Poor,346,"PM
2.5",1,2021-12-01
Chhapra,Very Poor,363,"PM
2.5",1,2021-12-02
Chhapra,Very Poor,381,"PM
2.5",1,2021-12-03
Chhapra,Very Poor,397,"PM
2.5",1,2021-12-04
Chhapra,Very Poor,328,"PM
2.5",1,2021-12-05
Chhapra,Poor,255,"PM
2.5",1,2021-12-06
Chhapra,Poor,279,"PM
2.5",1,2021-12-07
Chhapra,Poor,274,"PM
2.5",1,2021-12-08
Chhapra,Poor,284,"PM
2.5",1,2021-12-09
Chhapra,Very Poor,315,"PM
2.5",1,2021-12-10
Chhapra,Very Poor,353,"PM
2.5",1,2021-12-12
Chhapra,Very Poor,353,"PM
2.5",1,2021-12-13
Chhapra,Very Poor,373,"PM
2.5",1,2021-12-14
Chhapra,Very Poor,364,"PM
2.5",1,2021-12-15
Chhapra,Very Poor,333,"PM
2.5",1,2021-12-16
Chhapra,Very Poor,319,"PM
2.5",1,2021-12-17
Chhapra,Very Poor,306,"PM
2.5",1,2021-12-18
Chhapra,Poor,298,"PM
2.5",1,2021-12-19
Chhapra,Very Poor,386,"PM
2.5",1,2021-12-20
Chhapra,Severe,405,"PM
2.5",1,2021-12-21
Chhapra,Very Poor,389,"PM
2.5",1,2021-12-22
Chhapra,Very Poor,375,"PM
2.5",1,2021-12-23
Chhapra,Very Poor,380,"PM
2.5",1,2021-12-24
Chhapra,Poor,234,"PM
2.5",1,2021-12-29
Chhapra,Moderate,129,"PM
2.5",1,2021-12-30
Chhapra,Moderate,193,"PM
2.5",1,2021-12-31
Chhapra,Poor,288,"PM
2.5",1,2022-01-01
Chhapra,Very Poor,388,"PM
2.5",1,2022-01-03
Chhapra,Very Poor,365,"PM
2.5",1,2022-01-04
Chhapra,Severe,402,"PM
2.5",1,2022-01-05
Chhapra,Severe,414,"PM
2.5",1,2022-01-06
Chhapra,Very Poor,353,"PM
2.5",1,2022-01-07
Chhapra,Poor,260,"PM
2.5",1,2022-01-08
Chhapra,Poor,265,"PM
2.5",1,2022-01-09
Chhapra,Poor,259,"PM
2.5",1,2022-01-10
Chhapra,Poor,297,"PM
2.5",1,2022-01-11
Chhapra,Poor,247,"PM
2.5",1,2022-01-12
Chhapra,Moderate,189,CO,1,2022-01-13
Chhapra,Poor,272,"PM
2.5",1,2022-01-14
Chhapra,Poor,298,"PM
2.5",1,2022-01-16
Chhapra,Very Poor,334,"PM
2.5",1,2022-01-17
Chhapra,Very Poor,367,"PM
2.5",1,2022-01-18
Chhapra,Very Poor,360,"PM
2.5",1,2022-01-19
Chhapra,Very Poor,356,"PM
2.5",1,2022-01-20
Chhapra,Severe,417,"PM
2.5",1,2022-01-21
Chhapra,Severe,406,"PM
2.5",1,2022-01-22
Chhapra,Very Poor,366,"PM
2.5",1,2022-01-23
Chhapra,Very Poor,338,"PM
2.5",1,2022-01-24
Chhapra,Very Poor,347,"PM
2.5",1,2022-01-25
Chhapra,Poor,268,"PM
2.5",1,2022-01-26
Chhapra,Poor,268,"PM
2.5",1,2022-01-27
Chhapra,Very Poor,314,"PM
2.5",1,2022-01-28
Chhapra,Very Poor,337,"PM
2.5",1,2022-01-29
Chhapra,Very Poor,399,"PM
2.5",1,2022-01-31
Chhapra,Very Poor,367,"PM
2.5",1,2022-02-01
Chhapra,Very Poor,391,"PM
2.5",1,2022-02-02
Chhapra,Very Poor,352,"PM
2.5",1,2022-02-03
Chhapra,Satisfactory,70,"PM
2.5",1,2022-02-05
Chhapra,Poor,204,"PM
2.5",1,2022-02-06
Chhapra,Poor,253,"PM
2.5",1,2022-02-07
Chhapra,Poor,299,"PM
2.5",1,2022-02-08
