City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Chikkaballapur,Satisfactory,77,"PM
10",1,2018-07-05
Chikkaballapur,Satisfactory,73,"PM
10",1,2018-07-06
Chikkaballapur,Good,49,"PM
10",1,2018-07-07
Chikkaballapur,Satisfactory,56,"PM
10",1,2018-07-08
Chikkaballapur,Satisfactory,62,"PM
10",1,2018-07-09
Chikkaballapur,Satisfactory,55,CO,1,2018-07-10
Chikkaballapur,Satisfactory,69,CO,1,2018-07-11
Chikkaballapur,Good,44,"NO
2",1,2018-07-12
Chikkaballapur,Good,45,"NO
2",1,2018-07-13
Chikkaballapur,Satisfactory,55,"PM
10",1,2018-07-14
Chikkaballapur,Satisfactory,65,"PM
10",1,2018-07-15
Chikkaballapur,Satisfactory,55,"PM
10",1,2018-07-16
Chikkaballapur,Good,44,"NO
2",1,2018-07-19
Chikkaballapur,Good,44,"NO
2",1,2018-07-20
Chikkaballapur,Satisfactory,60,"PM
10",1,2018-07-22
Chikkaballapur,Satisfactory,70,"PM
10",1,2018-07-23
Chikkaballapur,Satisfactory,57,"PM
10",1,2018-07-24
Chikkaballapur,Good,45,"NO
2",1,2018-07-25
Chikkaballapur,Satisfactory,50,"PM
10",1,2018-07-26
Chikkaballapur,Satisfactory,66,"PM
10",1,2018-07-27
Chikkaballapur,Satisfactory,53,"PM
10",1,2018-07-28
Chikkaballapur,Satisfactory,78,"PM
10",1,2018-07-30
Chikkaballapur,Satisfactory,62,"PM
10",1,2018-07-31
Chikkaballapur,Satisfactory,69,"PM
10",1,2018-08-01
Chikkaballapur,Satisfactory,72,"PM
10",1,2018-08-02
Chikkaballapur,Satisfactory,99,"PM
10",1,2018-08-03
Chikkaballapur,Satisfactory,81,"PM
10",1,2018-08-04
Chikkaballapur,Satisfactory,69,"PM
10",1,2018-08-05
Chikkaballapur,Satisfactory,78,"PM
10",1,2018-08-06
Chikkaballapur,Good,49,"PM
10",1,2018-08-07
Chikkaballapur,Good,46,"NO
2",1,2018-08-08
Chikkaballapur,Good,44,"NO
2",1,2018-08-09
Chikkaballapur,Satisfactory,56,"PM
10",1,2018-08-10
Chikkaballapur,Good,46,"PM
10",1,2018-08-11
Chikkaballapur,Good,42,"NO
2",1,2018-08-12
Chikkaballapur,Good,42,"NO
2",1,2018-08-13
Chikkaballapur,Good,42,"NO
2",1,2018-08-14
Chikkaballapur,Good,43,"NO
2",1,2018-08-15
Chikkaballapur,Good,42,"NO
2",1,2018-08-16
Chikkaballapur,Satisfactory,59,"PM
10",1,2018-08-18
Chikkaballapur,Satisfactory,55,"PM
10",1,2018-08-19
Chikkaballapur,Satisfactory,69,"PM
10",1,2018-08-20
Chikkaballapur,Satisfactory,60,"PM
10",1,2018-08-21
Chikkaballapur,Satisfactory,63,"PM
10",1,2018-08-22
Chikkaballapur,Good,48,"PM
10",1,2018-08-23
Chikkaballapur,Good,45,"PM
10",1,2018-08-24
Chikkaballapur,Satisfactory,51,"PM
10",1,2018-08-25
Chikkaballapur,Satisfactory,59,"PM
10",1,2018-08-26
Chikkaballapur,Good,44,"NO
2",1,2018-08-27
Chikkaballapur,Good,44,"NO
2",1,2018-08-28
Chikkaballapur,Good,48,"PM
10",1,2018-08-29
Chikkaballapur,Good,44,"NO
2",1,2018-08-30
Chikkaballapur,Good,48,"PM
10",1,2018-08-31
Chikkaballapur,Satisfactory,50,"PM
10",1,2018-09-01
Chikkaballapur,Satisfactory,61,"PM
10",1,2018-09-02
Chikkaballapur,Satisfactory,64,"PM
10",1,2018-09-03
Chikkaballapur,Satisfactory,62,"PM
10",1,2018-09-04
Chikkaballapur,Satisfactory,63,"PM
10",1,2018-09-05
Chikkaballapur,Satisfactory,60,"NO
2",1,2018-09-11
Chikkaballapur,Good,48,"NO
2",1,2018-09-15
Chikkaballapur,Good,47,"NO
2",1,2018-09-18
Chikkaballapur,Good,49,"NO
2",1,2018-09-19
Chikkaballapur,Satisfactory,72,"PM
10",1,2018-09-20
