City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Churu,Moderate,120,"PM
10",1,2023-03-13
Churu,Moderate,125,"PM
10",1,2023-03-14
Churu,Moderate,116,"PM
10",1,2023-03-15
Churu,Moderate,153,"PM
10",1,2023-03-16
Churu,Moderate,105,"PM
10",1,2023-03-17
Churu,Satisfactory,80,"PM
10",1,2023-03-18
Churu,Moderate,102,"PM
10",1,2023-03-19
Churu,Satisfactory,92,"PM
10",1,2023-03-20
Churu,Moderate,123,"PM
10",1,2023-03-28
Churu,Moderate,135,"PM
10",1,2023-03-29
Churu,Moderate,141,"PM
10",1,2023-03-30
Churu,Satisfactory,91,"PM
10",1,2023-03-31
Churu,Satisfactory,80,"PM
10",1,2023-04-01
Churu,Satisfactory,85,"PM
10",1,2023-04-02
Churu,Moderate,151,"O
3",1,2023-04-03
Churu,Satisfactory,95,"O
3",1,2023-04-04
Churu,Satisfactory,98,"O
3",1,2023-04-05
Churu,Satisfactory,98,"O
3",1,2023-04-06
Churu,Satisfactory,100,"O
3",1,2023-04-07
Churu,Satisfactory,98,"O
3",1,2023-04-08
Churu,Satisfactory,95,"O
3",1,2023-04-09
Churu,Moderate,106,"O
3",1,2023-04-10
Churu,Moderate,104,"PM
10",1,2023-04-11
Churu,Moderate,103,"PM
10",1,2023-04-12
Churu,Moderate,173,"PM
10",1,2023-04-13
Churu,Moderate,135,"PM
10",1,2023-04-15
Churu,Satisfactory,98,"PM
10",1,2023-04-16
Churu,Moderate,130,"PM
10",1,2023-04-17
Churu,Moderate,165,"PM
10",1,2023-04-18
Churu,Poor,248,"PM
10",1,2023-04-19
Churu,Moderate,116,"PM
10",1,2023-04-20
Churu,Moderate,151,"PM
10",1,2023-04-21
Churu,Moderate,128,"PM
10",1,2023-04-22
Churu,Moderate,142,"PM
10",1,2023-04-23
Churu,Moderate,154,"O
3",1,2023-04-24
Churu,Moderate,178,"O
3",1,2023-04-26
Churu,Moderate,179,"O
3",1,2023-04-27
Churu,Moderate,147,"PM
10",1,2023-04-28
Churu,Satisfactory,95,"PM
10",1,2023-04-29
Churu,Satisfactory,70,"O
3",1,2023-04-30
Churu,Satisfactory,88,"O
3",1,2023-05-01
Churu,Satisfactory,82,"O
3",1,2023-05-02
Churu,Satisfactory,97,"PM
10",1,2023-05-03
Churu,Moderate,157,"O
3",1,2023-05-04
Churu,Moderate,153,"O
3",1,2023-05-05
Churu,Moderate,138,"O
3",1,2023-05-06
Churu,Satisfactory,91,"PM
10",1,2023-05-07
Churu,Poor,209,"PM
10",1,2023-05-08
Churu,Moderate,160,"PM
10",1,2023-05-09
Churu,Moderate,160,"O
3",1,2023-05-10
Churu,Moderate,159,"O
3",1,2023-05-11
Churu,Moderate,124,"O
3",1,2023-05-12
Churu,Moderate,152,"PM
10",1,2023-05-24
Churu,Satisfactory,68,"O
3",1,2023-05-25
Churu,Moderate,112,"O
3",1,2023-05-30
Churu,Moderate,108,"O
3",1,2023-05-31
Churu,Moderate,102,"O
3",1,2023-06-01
Churu,Moderate,114,"O
3",1,2023-06-02
Churu,Moderate,120,"O
3",1,2023-06-03
Churu,Moderate,108,"PM
10",1,2023-06-09
Churu,Moderate,112,"PM
10",1,2023-06-10
Churu,Poor,247,"PM
10",1,2023-06-11
Churu,Poor,236,"PM
10",1,2023-06-12
Churu,Satisfactory,94,"PM
10",1,2023-06-13
Churu,Satisfactory,97,"PM
10",1,2023-06-14
Churu,Satisfactory,90,"PM
10",1,2023-06-16
Churu,Satisfactory,70,"PM
10",1,2023-06-17
Churu,Good,42,"O
3",1,2023-06-18
Churu,Satisfactory,67,"O
3",1,2023-06-19
Churu,Satisfactory,95,"PM
10",1,2023-06-20
Churu,Moderate,104,CO,1,2023-06-21
Churu,Moderate,122,"PM
10",1,2023-06-22
Churu,Moderate,118,"PM
10",1,2023-06-23
Churu,Moderate,118,"PM
10",1,2023-06-24
Churu,Satisfactory,73,"PM
10",1,2023-06-25
Churu,Satisfactory,98,"O
3",1,2023-06-26
Churu,Satisfactory,93,"O
3",1,2023-06-27
Churu,Satisfactory,72,"O
3",1,2023-06-28
Churu,Satisfactory,98,"PM
10",1,2023-06-29
Churu,Satisfactory,80,"O
3",1,2023-06-30
Churu,Moderate,105,"O
3",1,2023-07-01
Churu,Satisfactory,91,"PM
10",1,2023-07-02
Churu,Satisfactory,59,"O
3",1,2023-07-03
Churu,Satisfactory,94,"PM
10",1,2023-07-04
Churu,Satisfactory,75,"O
3",1,2023-07-05
Churu,Satisfactory,71,"O
3",1,2023-07-06
Churu,Satisfactory,75,"O
3",1,2023-07-07
Churu,Satisfactory,60,"O
3",1,2023-07-08
Churu,Satisfactory,56,"O
3",1,2023-07-09
Churu,Good,47,"O
3",1,2023-07-10
Churu,Satisfactory,70,"O
3",1,2023-07-11
Churu,Satisfactory,73,"O
3",1,2023-07-12
Churu,Satisfactory,81,"PM
10",1,2023-07-13
Churu,Satisfactory,68,"O
3",1,2023-07-14
Churu,Satisfactory,94,"PM
10",1,2023-07-15
Churu,Satisfactory,84,"PM
10",1,2023-07-16
Churu,Satisfactory,82,"PM
10",1,2023-07-18
Churu,Satisfactory,57,"PM
10",1,2023-07-19
Churu,Satisfactory,61,"PM
10",1,2023-07-20
Churu,Satisfactory,79,"PM
10",1,2023-07-21
Churu,Satisfactory,68,"PM
10",1,2023-07-22
Churu,Satisfactory,69,"PM
10",1,2023-07-23
Churu,Satisfactory,62,"PM
10",1,2023-07-24
Churu,Satisfactory,78,"PM
10",1,2023-07-25
Churu,Satisfactory,76,"PM
10",1,2023-07-26
Churu,Good,46,"PM
10",1,2023-07-27
Churu,Good,46,"PM
10",1,2023-07-28
Churu,Good,38,"PM
10",1,2023-07-29
Churu,Good,50,"PM
10",1,2023-07-30
Churu,Satisfactory,91,"PM
10",1,2023-07-31
Churu,Satisfactory,67,"PM
10",1,2023-08-01
Churu,Satisfactory,79,"PM
10",1,2023-08-02
Churu,Satisfactory,89,"PM
10",1,2023-08-03
Churu,Satisfactory,93,"PM
10",1,2023-08-04
Churu,Satisfactory,94,"PM
10",1,2023-08-05
Churu,Satisfactory,89,"PM
10",1,2023-08-06
Churu,Satisfactory,88,"PM
10",1,2023-08-07
Churu,Satisfactory,90,"PM
10",1,2023-08-08
Churu,Moderate,102,"PM
10",1,2023-08-09
Churu,Moderate,101,"PM
10",1,2023-08-10
Churu,Moderate,107,"PM
10",1,2023-08-11
Churu,Satisfactory,99,"PM
10",1,2023-08-12
Churu,Satisfactory,70,"PM
10",1,2023-08-13
Churu,Good,43,"PM
10",1,2023-08-14
Churu,Good,49,"PM
10",1,2023-08-15
Churu,Satisfactory,55,"PM
10",1,2023-08-16
Churu,Satisfactory,69,"PM
10",1,2023-08-18
Churu,Satisfactory,72,"PM
10",1,2023-08-19
Churu,Satisfactory,53,"O
3",1,2023-08-20
Churu,Satisfactory,57,"O
3",1,2023-08-21
Churu,Satisfactory,54,"O
3",1,2023-08-22
Churu,Satisfactory,53,"PM
10",1,2023-08-23
Churu,Good,44,"PM
10",1,2023-08-24
Churu,Good,49,"PM
10",1,2023-08-25
Churu,Satisfactory,81,"PM
10",1,2023-08-26
Churu,Moderate,115,"PM
10",1,2023-08-27
Churu,Satisfactory,87,"PM
10",1,2023-08-28
Churu,Satisfactory,61,"PM
10",1,2023-08-29
Churu,Satisfactory,60,"PM
10",1,2023-08-30
Churu,Satisfactory,57,"PM
10",1,2023-08-31
Churu,Satisfactory,55,"PM
10",1,2023-09-01
Churu,Satisfactory,51,"PM
10",1,2023-09-02
Churu,Good,45,"PM
10",1,2023-09-03
Churu,Satisfactory,54,"O
3",1,2023-09-05
Churu,Satisfactory,84,"O
3",1,2023-09-06
Churu,Satisfactory,74,"O
3",1,2023-09-07
Churu,Satisfactory,82,"O
3",1,2023-09-08
