City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Cuddalore,Satisfactory,80,"NO
2",2,2023-03-14
Cuddalore,Moderate,109,"PM
2.5",2,2023-03-15
Cuddalore,Good,50,"PM
2.5",2,2023-03-16
Cuddalore,Good,46,"PM
2.5",1,2023-03-17
Cuddalore,Good,41,"PM
2.5",1,2023-03-18
Cuddalore,Satisfactory,52,"NO
2",2,2023-03-21
Cuddalore,Good,44,"NO
2",2,2023-03-22
Cuddalore,Good,44,"NO
2",2,2023-03-23
Cuddalore,Good,33,"PM
2.5",2,2023-03-24
Cuddalore,Good,48,"NO
2",2,2023-03-25
Cuddalore,Good,49,"NO
2",2,2023-03-26
Cuddalore,Good,50,"NO
2",2,2023-03-27
Cuddalore,Satisfactory,54,"NO
2",2,2023-03-28
Cuddalore,Satisfactory,58,"NO
2",2,2023-03-29
Cuddalore,Satisfactory,60,"NO
2",2,2023-03-30
Cuddalore,Good,27,"PM
2.5",2,2023-03-31
Cuddalore,Good,29,"PM
2.5",1,2023-04-01
Cuddalore,Good,23,"PM
2.5",1,2023-04-02
Cuddalore,Good,25,"PM
2.5",1,2023-04-03
Cuddalore,Good,18,"PM
2.5",1,2023-04-04
Cuddalore,Good,25,"PM
2.5",1,2023-04-05
Cuddalore,Satisfactory,54,"NO
2",2,2023-04-06
Cuddalore,Good,17,"PM
2.5",2,2023-04-07
Cuddalore,Satisfactory,62,"NO
2",2,2023-04-08
Cuddalore,Satisfactory,64,"NO
2",2,2023-04-09
Cuddalore,Satisfactory,96,"NO
2",1,2023-04-11
Cuddalore,Satisfactory,97,"NO
2",2,2023-04-12
Cuddalore,Moderate,101,"NO
2",1,2023-04-13
Cuddalore,Satisfactory,95,"NO
2",1,2023-04-16
Cuddalore,Moderate,101,"NO
2",1,2023-04-17
Cuddalore,Satisfactory,72,"NO
2",2,2023-04-18
Cuddalore,Good,40,"PM
2.5",2,2023-04-19
Cuddalore,Good,43,"PM
2.5",1,2023-04-20
Cuddalore,Satisfactory,76,"NO
2",2,2023-04-21
Cuddalore,Moderate,105,"NO
2",1,2023-04-26
Cuddalore,Satisfactory,54,"PM
2.5",2,2023-04-27
Cuddalore,Satisfactory,76,"NO
2",2,2023-04-28
Cuddalore,Satisfactory,77,"NO
2",2,2023-04-29
Cuddalore,Moderate,124,"NO
2",2,2023-04-30
Cuddalore,Good,20,"PM
2.5",2,2023-05-01
Cuddalore,Satisfactory,74,"NO
2",2,2023-05-02
Cuddalore,Moderate,109,"NO
2",1,2023-05-04
Cuddalore,Satisfactory,75,"NO
2",2,2023-05-05
Cuddalore,Satisfactory,76,"NO
2",2,2023-05-06
Cuddalore,Moderate,127,"NO
2",2,2023-05-07
Cuddalore,Satisfactory,86,"NO
2",2,2023-05-09
Cuddalore,Satisfactory,83,"PM
2.5",2,2023-05-10
Cuddalore,Satisfactory,66,"PM
2.5",1,2023-05-11
Cuddalore,Satisfactory,94,"NO
2",2,2023-05-12
Cuddalore,Satisfactory,90,"NO
2",2,2023-05-13
Cuddalore,Satisfactory,97,"NO
2",2,2023-05-14
Cuddalore,Satisfactory,92,"NO
2",2,2023-05-15
Cuddalore,Moderate,145,"NO
2",2,2023-05-16
Cuddalore,Satisfactory,98,"NO
2",2,2023-05-17
Cuddalore,Satisfactory,91,"NO
2",2,2023-05-18
Cuddalore,Satisfactory,96,"NO
2",2,2023-05-20
Cuddalore,Satisfactory,94,"NO
2",2,2023-05-21
Cuddalore,Satisfactory,90,"NO
2",2,2023-05-22
Cuddalore,Good,29,"PM
2.5",2,2023-05-23
Cuddalore,Good,25,"PM
2.5",1,2023-05-24
Cuddalore,Good,27,"PM
2.5",1,2023-05-25
Cuddalore,Satisfactory,91,"NO
2",2,2023-05-26
Cuddalore,Satisfactory,88,"NO
2",2,2023-05-30
Cuddalore,Moderate,153,"NO
2",2,2023-05-31
Cuddalore,Satisfactory,98,"NO
2",2,2023-06-01
Cuddalore,Satisfactory,98,"NO
2",2,2023-06-02
Cuddalore,Moderate,110,"NO
2",2,2023-06-03
Cuddalore,Satisfactory,98,"NO
2",2,2023-06-04
Cuddalore,Moderate,106,"NO
2",2,2023-06-05
Cuddalore,Moderate,176,"NO
2",2,2023-06-06
Cuddalore,Satisfactory,98,"NO
2",2,2023-06-07
Cuddalore,Satisfactory,92,"NO
2",2,2023-06-08
Cuddalore,Satisfactory,92,"NO
2",2,2023-06-09
Cuddalore,Good,13,"PM
2.5",2,2023-06-10
Cuddalore,Good,20,"PM
2.5",1,2023-06-11
Cuddalore,Good,15,"PM
2.5",1,2023-06-14
Cuddalore,Good,23,"PM
2.5",1,2023-06-15
Cuddalore,Good,26,"PM
2.5",1,2023-06-16
Cuddalore,Good,30,"PM
2.5",1,2023-06-17
Cuddalore,Moderate,136,"NO
2",1,2023-06-21
Cuddalore,Moderate,166,"NO
2",1,2023-06-22
Cuddalore,Moderate,177,"NO
2",1,2023-06-23
Cuddalore,Moderate,190,"NO
2",1,2023-06-24
Cuddalore,Moderate,190,"NO
2",1,2023-06-27
Cuddalore,Poor,218,"NO
2",1,2023-06-29
Cuddalore,Poor,211,"NO
2",1,2023-06-30
Cuddalore,Poor,217,"NO
2",1,2023-07-01
Cuddalore,Poor,231,"NO
2",1,2023-07-02
Cuddalore,Moderate,167,"NO
2",1,2023-07-03
Cuddalore,Moderate,151,"NO
2",1,2023-07-04
Cuddalore,Moderate,143,"NO
2",1,2023-07-05
Cuddalore,Moderate,136,"NO
2",1,2023-07-06
Cuddalore,Moderate,124,"NO
2",2,2023-07-07
Cuddalore,Moderate,169,"NO
2",2,2023-07-08
Cuddalore,Moderate,168,"NO
2",1,2023-07-09
Cuddalore,Moderate,169,"NO
2",1,2023-07-10
Cuddalore,Good,35,"PM
2.5",1,2023-07-12
Cuddalore,Moderate,168,"NO
2",1,2023-07-13
Cuddalore,Satisfactory,94,"NO
2",2,2023-07-14
Cuddalore,Moderate,181,"NO
2",2,2023-07-15
Cuddalore,Poor,205,"NO
2",1,2023-07-16
Cuddalore,Moderate,195,"NO
2",1,2023-07-17
Cuddalore,Moderate,115,"NO
2",2,2023-07-18
Cuddalore,Poor,206,"NO
2",2,2023-07-19
Cuddalore,Moderate,120,"NO
2",2,2023-07-20
Cuddalore,Moderate,146,"NO
2",2,2023-07-21
Cuddalore,Moderate,144,"NO
2",2,2023-07-22
Cuddalore,Moderate,124,"NO
2",2,2023-07-23
Cuddalore,Moderate,112,"NO
2",2,2023-07-24
Cuddalore,Moderate,113,"NO
2",2,2023-07-25
Cuddalore,Moderate,116,"NO
2",2,2023-07-26
Cuddalore,Moderate,124,"NO
2",2,2023-07-27
Cuddalore,Moderate,118,"NO
2",2,2023-07-28
Cuddalore,Moderate,122,"NO
2",2,2023-07-29
Cuddalore,Good,36,"PM
2.5",2,2023-07-30
Cuddalore,Good,41,"PM
2.5",1,2023-07-31
Cuddalore,Moderate,136,"NO
2",2,2023-08-01
Cuddalore,Moderate,144,"NO
2",2,2023-08-02
Cuddalore,Moderate,154,"NO
2",2,2023-08-03
Cuddalore,Moderate,160,"NO
2",2,2023-08-04
Cuddalore,Moderate,156,"NO
2",2,2023-08-05
Cuddalore,Moderate,158,"NO
2",2,2023-08-06
Cuddalore,Moderate,138,"NO
2",2,2023-08-07
Cuddalore,Moderate,150,"NO
2",2,2023-08-08
Cuddalore,Moderate,136,"NO
2",2,2023-08-09
Cuddalore,Good,30,"PM
2.5",1,2023-08-10
Cuddalore,Poor,234,"NO
2",1,2023-08-11
Cuddalore,Moderate,138,"NO
2",2,2023-08-12
Cuddalore,Moderate,127,"NO
2",2,2023-08-13
Cuddalore,Good,34,"PM
2.5",1,2023-08-14
Cuddalore,Good,38,"PM
2.5",1,2023-08-15
Cuddalore,Good,24,"PM
2.5",1,2023-08-16
Cuddalore,Moderate,138,"NO
2",2,2023-08-17
Cuddalore,Moderate,158,"NO
2",2,2023-08-18
Cuddalore,Good,21,"PM
2.5",1,2023-08-19
Cuddalore,Good,28,"PM
2.5",1,2023-08-21
Cuddalore,Good,37,"PM
2.5",1,2023-08-22
Cuddalore,Good,30,"PM
2.5",1,2023-08-23
Cuddalore,Good,40,"PM
2.5",1,2023-08-24
Cuddalore,Good,37,CO,1,2023-08-25
Cuddalore,Good,33,"PM
2.5",2,2023-08-26
Cuddalore,Good,38,"PM , CO
2.5",2,2023-08-27
Cuddalore,Good,42,"PM
2.5",2,2023-08-28
Cuddalore,Good,30,"PM
2.5",1,2023-08-29
Cuddalore,Good,48,"PM
2.5",1,2023-08-30
Cuddalore,Good,34,"PM
2.5",1,2023-09-01
Cuddalore,Good,25,"PM
2.5",1,2023-09-02
Cuddalore,Good,20,"PM
2.5",1,2023-09-04
Cuddalore,Poor,223,"NO
2",2,2023-09-05
Cuddalore,Poor,214,"NO
2",2,2023-09-06
Cuddalore,Poor,204,"NO
2",2,2023-09-07
Cuddalore,Poor,232,"NO
2",2,2023-09-08
Cuddalore,Good,33,"PM
2.5",1,2023-09-09
Cuddalore,Good,24,"NO
2",1,2023-09-12
Cuddalore,Good,21,"PM
2.5",1,2023-09-14
Cuddalore,Good,18,"PM
2.5",1,2023-09-15
Cuddalore,Good,18,"PM
2.5",1,2023-09-16
Cuddalore,Good,28,"PM
2.5",1,2023-09-20
Cuddalore,Good,35,"PM
2.5",1,2023-09-21
Cuddalore,Good,34,"PM
2.5",1,2023-09-22
Cuddalore,Good,29,"PM
2.5",1,2023-09-23
Cuddalore,Good,24,"PM
2.5",1,2023-09-24
Cuddalore,Good,32,"PM
2.5",1,2023-09-25
Cuddalore,Satisfactory,53,"NO
2",1,2023-09-26
Cuddalore,Satisfactory,69,"NO
2",1,2023-09-30
Cuddalore,Satisfactory,52,"NO
2",1,2023-10-01
Cuddalore,Good,23,"NO
2",1,2023-10-02
Cuddalore,Good,32,"PM
2.5",1,2023-10-03
Cuddalore,Good,43,"PM
2.5",1/2,2023-10-04
Cuddalore,Good,32,"PM
2.5",1/2,2023-10-05
Cuddalore,Good,35,"PM
2.5",1/2,2023-10-06
Cuddalore,Good,45,"NO
2",2/2,2023-10-07
Cuddalore,Good,40,"NO
2",2/2,2023-10-08
Cuddalore,Good,36,"NO
2",2/2,2023-10-09
Cuddalore,Good,38,"NO
2",2/2,2023-10-10
Cuddalore,Good,40,"NO
2",2/2,2023-10-11
Cuddalore,Satisfactory,59,"NO
2",2/2,2023-10-12
Cuddalore,Satisfactory,60,"NO
2",2/2,2023-10-13
Cuddalore,Satisfactory,54,"PM
10",2/2,2023-10-14
Cuddalore,Satisfactory,56,"PM
2.5",1/2,2023-10-15
