City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Cuttack,Moderate,112,"PM
10",1/1,2023-11-02
Cuttack,Satisfactory,73,"PM
10",1/1,2023-11-03
Cuttack,Satisfactory,59,"PM
10",1/1,2023-11-04
Cuttack,Satisfactory,52,"PM
2.5",1/1,2023-11-05
Cuttack,Moderate,108,"PM
2.5",1/1,2023-11-06
Cuttack,Poor,214,"PM
2.5",1/1,2023-11-07
Cuttack,Moderate,200,"PM
2.5",1/1,2023-11-08
Cuttack,Poor,207,"PM
2.5",1/1,2023-11-09
Cuttack,Poor,235,"PM
2.5",1/1,2023-11-10
Cuttack,Poor,242,"PM
2.5",1/1,2023-11-11
Cuttack,Poor,214,"PM
2.5",1/1,2023-11-12
Cuttack,Very Poor,355,"PM
2.5",1/1,2023-11-13
Cuttack,Poor,249,"PM
2.5",1/1,2023-11-14
Cuttack,Moderate,190,"PM
2.5",1/1,2023-11-15
Cuttack,Moderate,112,"PM
10",1/1,2023-11-16
Cuttack,Satisfactory,84,"PM
10",1/1,2023-11-17
Cuttack,Satisfactory,100,"PM
10",1/1,2023-11-18
Cuttack,Satisfactory,70,"PM
10",1/1,2023-11-19
Cuttack,Satisfactory,95,"PM
10",1/1,2023-11-20
Cuttack,Satisfactory,75,"PM
10",1/1,2023-11-21
Cuttack,Moderate,179,"PM
2.5",1/1,2023-11-22
Cuttack,Poor,272,"PM
2.5",1/1,2023-11-23
Cuttack,Very Poor,304,"PM
2.5",1/1,2023-11-24
Cuttack,Very Poor,301,"PM
2.5",1/1,2023-11-25
Cuttack,Poor,262,"PM
2.5",1/1,2023-11-26
Cuttack,Poor,239,"PM
2.5",1/1,2023-11-27
Cuttack,Poor,246,"PM
2.5",1/1,2023-11-28
Cuttack,Poor,281,"PM
2.5",1/1,2023-11-29
Cuttack,Poor,216,"PM
2.5",1/1,2023-11-30
Cuttack,Poor,221,"PM
2.5",1/1,2023-12-01
Cuttack,Moderate,155,"PM
2.5",1/1,2023-12-02
Cuttack,Poor,222,"PM
2.5",1/1,2023-12-03
Cuttack,Poor,222,"PM
2.5",1/1,2023-12-05
Cuttack,Satisfactory,69,"PM
10",1/1,2023-12-06
Cuttack,Satisfactory,58,"PM
2.5",1/1,2023-12-07
Cuttack,Good,48,"PM
10",1/1,2023-12-08
Cuttack,Satisfactory,65,"PM
10",1/1,2023-12-09
Cuttack,Moderate,135,"PM
2.5",1/1,2023-12-10
Cuttack,Moderate,151,"PM
2.5",1/1,2023-12-11
Cuttack,Moderate,194,"PM
2.5",1/1,2023-12-12
Cuttack,Poor,214,"PM
2.5",1/1,2023-12-13
Cuttack,Poor,212,"PM
2.5",1/1,2023-12-14
Cuttack,Poor,210,"PM
2.5",1/1,2023-12-15
Cuttack,Poor,226,"PM
2.5",1/1,2023-12-16
Cuttack,Poor,271,"PM
2.5",1/1,2023-12-17
Cuttack,Poor,240,"PM
2.5",1/1,2023-12-18
Cuttack,Poor,252,"PM
2.5",1/1,2023-12-19
Cuttack,Poor,287,"PM
2.5",1/1,2023-12-20
