City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Damoh,Poor,287,"PM
2.5",1,2019-01-08
Damoh,Poor,272,"PM
2.5",1,2019-01-09
Damoh,Poor,235,"PM
2.5",1,2019-01-10
Damoh,Moderate,187,"PM
10",1,2019-01-11
Damoh,Moderate,162,"PM
10",1,2019-01-12
Damoh,Poor,264,"PM
2.5",1,2019-01-13
Damoh,Very Poor,314,"PM
2.5",1,2019-01-14
Damoh,Moderate,162,"PM
2.5",1,2019-01-15
Damoh,Moderate,153,"PM
2.5",1,2019-01-16
Damoh,Moderate,177,"PM
10",1,2019-01-17
Damoh,Moderate,156,"PM
10",1,2019-01-18
Damoh,Moderate,195,"PM
2.5",1,2019-01-19
Damoh,Moderate,189,"PM
10",1,2019-01-20
Damoh,Moderate,122,"PM
10",1,2019-01-21
Damoh,Moderate,101,"PM
10",1,2019-01-22
Damoh,Moderate,159,"PM
2.5",1,2019-01-23
Damoh,Poor,231,"PM
2.5",1,2019-01-24
Damoh,Moderate,179,"PM
2.5",1,2019-01-25
Damoh,Moderate,130,"PM
2.5",1,2019-01-26
Damoh,Satisfactory,85,"PM
2.5",1,2019-01-27
Damoh,Moderate,113,"PM
2.5",1,2019-01-28
Damoh,Satisfactory,92,"PM
2.5",1,2019-01-29
Damoh,Moderate,125,"PM
2.5",1,2019-01-30
Damoh,Moderate,196,"PM
2.5",1,2019-01-31
Damoh,Satisfactory,94,"PM
2.5",1,2019-02-01
Damoh,Moderate,179,"PM
2.5",1,2019-02-02
Damoh,Poor,229,"PM
2.5",1,2019-02-03
Damoh,Poor,219,"PM
2.5",1,2019-02-04
Damoh,Poor,223,"PM
2.5",1,2019-02-05
Damoh,Poor,213,"PM
2.5",1,2019-02-06
Damoh,Moderate,122,"PM
2.5",1,2019-02-07
Damoh,Satisfactory,97,"PM
10",1,2019-02-08
Damoh,Moderate,103,"PM
10",1,2019-02-09
Damoh,Satisfactory,79,"PM
2.5",1,2019-02-10
Damoh,Satisfactory,83,"PM
10",1,2019-02-11
