City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Darbhanga,Satisfactory,85,"PM
10",1,2021-07-18
Darbhanga,Moderate,113,"PM
10",1,2021-07-19
Darbhanga,Good,42,"PM
2.5",1,2021-07-20
Darbhanga,Moderate,111,"PM
10",1,2021-07-21
Darbhanga,Satisfactory,96,"PM
10",1,2021-07-22
Darbhanga,Good,29,"PM
2.5",1,2021-07-23
Darbhanga,Satisfactory,79,"PM
10",1,2021-07-24
Darbhanga,Satisfactory,75,"PM
10",1,2021-07-25
Darbhanga,Moderate,143,"PM
10",1,2021-07-26
Darbhanga,Moderate,130,"PM
10",1,2021-07-27
Darbhanga,Good,38,"PM
2.5",1,2021-07-28
Darbhanga,Good,22,CO,1,2021-07-29
Darbhanga,Good,17,CO,1,2021-07-30
Darbhanga,Good,27,CO,1,2021-07-31
Darbhanga,Good,27,"PM
2.5",1,2021-08-01
Darbhanga,Satisfactory,61,CO,1,2021-08-02
Darbhanga,Poor,293,"PM
10",1,2021-08-03
Darbhanga,Moderate,119,"PM
10",1,2021-08-07
Darbhanga,Satisfactory,93,"PM
10",1,2021-08-09
Darbhanga,Moderate,178,"PM
10",1,2021-08-10
Darbhanga,Poor,252,"PM
2.5",1,2021-11-13
Darbhanga,Poor,271,"PM
2.5",1,2021-11-14
Darbhanga,Poor,235,"PM
10",1,2021-11-17
Darbhanga,Very Poor,302,"PM
2.5",1,2021-11-18
Darbhanga,Very Poor,366,"PM
2.5",1,2021-11-20
Darbhanga,Very Poor,390,"PM
2.5",1,2021-11-21
Darbhanga,Very Poor,379,"PM
2.5",1,2021-11-22
Darbhanga,Very Poor,369,"PM
2.5",1,2021-11-23
Darbhanga,Very Poor,377,"PM
2.5",1,2021-11-24
Darbhanga,Very Poor,366,"PM
2.5",1,2021-11-25
Darbhanga,Very Poor,351,"PM
2.5",1,2021-11-26
Darbhanga,Very Poor,332,"PM
2.5",1,2021-11-27
Darbhanga,Very Poor,331,"PM
2.5",1,2021-11-28
Darbhanga,Very Poor,356,"PM
2.5",1,2021-11-29
Darbhanga,Very Poor,390,"PM
2.5",1,2021-11-30
Darbhanga,Very Poor,326,"PM
2.5",1,2021-12-01
Darbhanga,Very Poor,308,"PM
2.5",1,2021-12-02
Darbhanga,Very Poor,328,"PM
2.5",1,2021-12-03
Darbhanga,Very Poor,351,"PM
2.5",1,2021-12-04
Darbhanga,Very Poor,304,"PM
2.5",1,2021-12-05
Darbhanga,Poor,215,"PM
2.5",1,2021-12-06
Darbhanga,Poor,298,"PM
2.5",1,2021-12-07
Darbhanga,Very Poor,323,"PM
2.5",1,2021-12-08
Darbhanga,Poor,262,"PM
2.5",1,2021-12-09
Darbhanga,Very Poor,310,"PM
2.5",1,2021-12-10
Darbhanga,Very Poor,324,"PM
2.5",1,2021-12-11
Darbhanga,Very Poor,338,"PM
2.5",1,2021-12-12
Darbhanga,Very Poor,376,"PM
2.5",1,2021-12-13
Darbhanga,Very Poor,386,"PM
2.5",1,2021-12-14
Darbhanga,Very Poor,372,"PM
2.5",1,2021-12-15
Darbhanga,Very Poor,335,"PM
2.5",1,2021-12-16
Darbhanga,Very Poor,350,"PM
2.5",1,2021-12-17
Darbhanga,Very Poor,391,"PM
2.5",1,2021-12-18
Darbhanga,Very Poor,313,"PM
2.5",1,2021-12-19
Darbhanga,Very Poor,380,"PM
2.5",1,2021-12-20
Darbhanga,Severe,424,"PM
2.5",1,2021-12-21
Darbhanga,Very Poor,389,"PM
2.5",1,2021-12-22
Darbhanga,Severe,413,"PM
2.5",1,2021-12-23
Darbhanga,Very Poor,392,"PM
2.5",1,2021-12-24
Darbhanga,Poor,263,"PM
2.5",1,2021-12-25
Darbhanga,Poor,238,"PM
2.5",1,2021-12-26
Darbhanga,Poor,275,"PM
2.5",1,2021-12-27
Darbhanga,Poor,257,"PM
2.5",1,2021-12-28
Darbhanga,Moderate,113,"PM
2.5",1,2021-12-29
Darbhanga,Satisfactory,69,"PM
10",1,2021-12-30
Darbhanga,Moderate,157,"PM
2.5",1,2021-12-31
Darbhanga,Poor,261,"PM
2.5",1,2022-01-01
Darbhanga,Poor,203,"PM
2.5",1,2022-01-02
Darbhanga,Poor,296,"PM
2.5",1,2022-01-03
Darbhanga,Very Poor,330,"PM
2.5",1,2022-01-04
Darbhanga,Very Poor,326,"PM
2.5",1,2022-01-05
Darbhanga,Very Poor,364,"PM
2.5",1,2022-01-06
Darbhanga,Very Poor,317,"PM
2.5",1,2022-01-07
Darbhanga,Moderate,199,"PM
2.5",1,2022-01-08
Darbhanga,Moderate,194,"PM
2.5",1,2022-01-09
Darbhanga,Poor,290,"PM
2.5",1,2022-01-10
Darbhanga,Very Poor,308,"PM
2.5",1,2022-01-11
Darbhanga,Poor,277,"PM
2.5",1,2022-01-12
Darbhanga,Moderate,120,"PM
2.5",1,2022-01-13
Darbhanga,Poor,260,"PM
2.5",1,2022-01-14
Darbhanga,Moderate,199,"PM
10",1,2022-01-15
Darbhanga,Poor,251,"PM
2.5",1,2022-01-16
Darbhanga,Poor,273,"PM
2.5",1,2022-01-17
Darbhanga,Poor,288,"PM
2.5",1,2022-01-18
Darbhanga,Poor,288,"PM
2.5",1,2022-01-19
Darbhanga,Poor,288,"PM
2.5",1,2022-01-20
Darbhanga,Very Poor,334,"PM
2.5",1,2022-01-21
Darbhanga,Very Poor,347,"PM
2.5",1,2022-01-22
Darbhanga,Very Poor,323,"PM
2.5",1,2022-01-23
