City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Dausa,Moderate,181,"PM
10",1,2023-03-13
Dausa,Moderate,133,"PM
10",1,2023-03-14
Dausa,Moderate,150,"PM
10",1,2023-03-15
Dausa,Moderate,169,"PM
10",1,2023-03-16
Dausa,Moderate,127,"PM
10",1,2023-03-17
Dausa,Satisfactory,91,CO,1,2023-03-18
Dausa,Moderate,179,"PM
2.5",1,2023-03-19
Dausa,Satisfactory,95,"PM
10",1,2023-03-20
Dausa,Moderate,101,"PM
10",1,2023-03-21
Dausa,Moderate,197,"PM
2.5",1,2023-03-22
Dausa,Moderate,122,"PM
10",1,2023-03-23
Dausa,Satisfactory,89,CO,1,2023-03-24
Dausa,Moderate,109,"PM
10",1,2023-03-25
Dausa,Moderate,128,"PM
10",1,2023-03-26
Dausa,Moderate,163,"PM
10",1,2023-03-27
Dausa,Moderate,148,"PM
10",1,2023-03-28
Dausa,Moderate,157,"PM
10",1,2023-03-29
Dausa,Moderate,199,"PM
10",1,2023-03-30
Dausa,Satisfactory,89,CO,1,2023-03-31
Dausa,Satisfactory,86,CO,1,2023-04-01
Dausa,Satisfactory,90,"PM
10",1,2023-04-02
Dausa,Moderate,139,"PM
10",1,2023-04-03
Dausa,Satisfactory,83,"PM
10",1,2023-04-04
Dausa,Moderate,104,CO,1,2023-04-05
Dausa,Moderate,128,"PM
10",1,2023-04-06
Dausa,Moderate,132,"PM
10",1,2023-04-07
Dausa,Moderate,170,"PM
10",1,2023-04-08
Dausa,Moderate,143,"PM
10",1,2023-04-09
Dausa,Moderate,164,"PM
10",1,2023-04-10
Dausa,Moderate,186,"PM
10",1,2023-04-11
Dausa,Moderate,187,"PM
10",1,2023-04-12
Dausa,Moderate,143,"PM
10",1,2023-04-13
Dausa,Moderate,181,"PM
10",1,2023-04-14
Dausa,Moderate,169,"PM
10",1,2023-04-15
Dausa,Moderate,129,"PM
10",1,2023-04-16
Dausa,Moderate,181,"PM
10",1,2023-04-17
Dausa,Moderate,194,"PM
10",1,2023-04-18
Dausa,Poor,279,"PM
10",1,2023-04-19
Dausa,Poor,207,"PM
10",1,2023-04-20
Dausa,Poor,206,"PM
10",1,2023-04-21
Dausa,Moderate,157,"PM
10",1,2023-04-22
Dausa,Poor,227,"PM
10",1,2023-04-23
Dausa,Moderate,101,"O
3",1,2023-04-24
Dausa,Moderate,114,"PM
10",1,2023-04-25
Dausa,Moderate,167,"PM
2.5",1,2023-04-26
Dausa,Moderate,144,"PM
2.5",1,2023-04-27
Dausa,Moderate,176,"PM
10",1,2023-04-28
Dausa,Moderate,173,"PM
10",1,2023-04-29
Dausa,Satisfactory,99,"PM
10",1,2023-04-30
Dausa,Satisfactory,85,CO,1,2023-05-01
Dausa,Moderate,105,"PM
10",1,2023-05-02
Dausa,Satisfactory,92,"PM
10",1,2023-05-03
Dausa,Satisfactory,89,"PM
10",1,2023-05-04
Dausa,Satisfactory,93,"PM
10",1,2023-05-05
Dausa,Moderate,133,"PM
10",1,2023-05-06
Dausa,Moderate,137,"PM
10",1,2023-05-07
Dausa,Moderate,154,"PM
10",1,2023-05-08
Dausa,Moderate,179,"PM
10",1,2023-05-09
Dausa,Moderate,153,"PM
10",1,2023-05-10
Dausa,Moderate,175,"PM
10",1,2023-05-12
Dausa,Moderate,195,"PM
10",1,2023-05-13
Dausa,Moderate,179,"PM
10",1,2023-05-14
Dausa,Moderate,142,"PM
10",1,2023-05-16
Dausa,Moderate,191,"PM
10",1,2023-05-17
Dausa,Moderate,150,"PM
10",1,2023-05-18
Dausa,Poor,206,"PM
10",1,2023-05-19
Dausa,Moderate,160,"PM
10",1,2023-05-20
Dausa,Moderate,174,"PM
10",1,2023-05-21
Dausa,Moderate,162,"PM
10",1,2023-05-22
Dausa,Moderate,142,"PM
10",1,2023-05-23
Dausa,Moderate,150,"PM
10",1,2023-05-24
Dausa,Satisfactory,87,CO,1,2023-05-25
Dausa,Moderate,108,"PM
10",1,2023-05-27
Dausa,Moderate,136,"PM
10",1,2023-05-28
Dausa,Moderate,111,"PM
10",1,2023-05-29
Dausa,Moderate,115,"PM
10",1,2023-05-30
Dausa,Moderate,101,"PM
10",1,2023-05-31
Dausa,Satisfactory,88,"PM
10",1,2023-06-01
Dausa,Satisfactory,97,"PM
10",1,2023-06-02
Dausa,Moderate,144,"PM
10",1,2023-06-03
Dausa,Moderate,114,"PM
10",1,2023-06-04
Dausa,Moderate,109,"PM
10",1,2023-06-05
Dausa,Moderate,122,"PM
10",1,2023-06-06
Dausa,Poor,224,"PM
10",1,2023-06-07
Dausa,Moderate,154,"PM
10",1,2023-06-08
Dausa,Moderate,138,"PM
10",1,2023-06-09
Dausa,Moderate,151,"PM
10",1,2023-06-10
Dausa,Moderate,140,"PM
10",1,2023-06-11
Dausa,Moderate,196,"PM
10",1,2023-06-12
Dausa,Moderate,127,"PM
10",1,2023-06-13
