City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Dehradun,Moderate,103,"PM
10",1,2022-04-23
Dehradun,Moderate,119,"PM
10",1,2022-04-24
Dehradun,Satisfactory,99,"PM
10",1,2022-04-25
Dehradun,Moderate,184,"PM
10",1,2022-04-26
Dehradun,Moderate,138,"PM
10",1,2022-04-27
Dehradun,Moderate,121,"PM
2.5",1,2022-04-28
Dehradun,Moderate,124,"PM
10",1,2022-05-01
Dehradun,Moderate,113,"PM
10",1,2022-05-02
Dehradun,Moderate,115,"PM
10",1,2022-05-03
Dehradun,Moderate,105,"PM
10",1,2022-05-06
Dehradun,Satisfactory,76,"PM
10",1,2022-05-08
Dehradun,Moderate,113,"PM
10",1,2022-05-09
Dehradun,Satisfactory,64,"PM
10",1,2022-05-11
Dehradun,Moderate,102,"PM
10",1,2022-05-12
Dehradun,Satisfactory,80,"PM
10",1,2022-05-13
Dehradun,Moderate,104,"PM
10",1,2022-05-14
Dehradun,Moderate,119,"PM
10",1,2022-05-15
Dehradun,Moderate,150,"O
3",1,2022-05-22
Dehradun,Good,34,"PM
10",1,2022-05-24
Dehradun,Good,47,"O
3",1,2022-05-25
Dehradun,Satisfactory,70,"PM
10",1,2022-05-26
Dehradun,Satisfactory,88,"PM
10",1,2022-05-27
Dehradun,Moderate,123,"PM
10",1,2022-05-28
Dehradun,Moderate,105,"PM
10",1,2022-05-29
Dehradun,Moderate,126,"PM
10",1,2022-05-30
Dehradun,Moderate,146,"PM
10",1,2022-05-31
Dehradun,Moderate,127,"PM
10",1,2022-06-01
Dehradun,Moderate,119,"PM
10",1,2022-06-02
Dehradun,Moderate,113,"PM
10",1,2022-06-03
Dehradun,Moderate,143,"O
3",1,2022-06-05
Dehradun,Moderate,127,"PM
10",1,2022-06-06
Dehradun,Moderate,193,"O
3",1,2022-06-07
Dehradun,Moderate,173,"O
3",1,2022-06-08
Dehradun,Poor,251,"O
3",1,2022-06-09
Dehradun,Moderate,175,"O
3",1,2022-06-10
Dehradun,Poor,204,"O
3",1,2022-06-11
Dehradun,Moderate,194,"PM
10",1,2022-06-13
Dehradun,Satisfactory,78,"PM
10",1,2022-06-16
Dehradun,Satisfactory,56,"PM
10",1,2022-06-17
Dehradun,Satisfactory,60,"PM
10",1,2022-06-18
Dehradun,Good,42,"O
3",1,2022-06-19
Dehradun,Good,44,"PM
10",1,2022-06-20
Dehradun,Good,49,"PM
10",1,2022-06-21
Dehradun,Good,41,"O
3",1,2022-06-22
Dehradun,Moderate,104,"PM
10",1,2022-06-23
Dehradun,Moderate,124,"PM
10",1,2022-06-24
Dehradun,Moderate,110,"PM
10",1,2022-06-25
Dehradun,Satisfactory,99,"PM
10",1,2022-06-26
Dehradun,Satisfactory,61,"PM
10",1,2022-06-27
Dehradun,Satisfactory,57,"PM
10",1,2022-06-28
Dehradun,Satisfactory,62,"PM
10",1,2022-06-29
Dehradun,Good,35,"O
3",1,2022-06-30
Dehradun,Good,37,"PM
10",1,2022-07-01
Dehradun,Good,35,"PM
10",1,2022-07-02
Dehradun,Good,21,"O
3",1,2022-07-03
Dehradun,Good,34,"PM
10",1,2022-07-04
Dehradun,Good,42,"PM
10",1,2022-07-05
Dehradun,Good,41,"PM
10",1,2022-07-06
Dehradun,Good,38,"O
3",1,2022-07-09
Dehradun,Good,29,"O
3",1,2022-07-10
Dehradun,Good,31,"PM
10",1,2022-07-11
Dehradun,Good,33,"PM
10",1,2022-07-12
Dehradun,Good,35,"PM
10",1,2022-07-13
Dehradun,Good,33,"PM
10",1,2022-07-14
Dehradun,Good,25,"PM
10",1,2022-07-17
Dehradun,Good,38,"PM
10",1,2022-07-18
Dehradun,Good,37,"PM
10",1,2022-07-19
Dehradun,Good,29,"O
3",1,2022-07-20
Dehradun,Good,28,CO,1,2022-07-22
Dehradun,Good,35,"O
3",1,2022-07-23
Dehradun,Good,40,"O
3",1,2022-07-24
Dehradun,Good,30,"O
3",1,2022-07-25
Dehradun,Good,31,CO,1,2022-07-26
Dehradun,Good,36,CO,1,2022-07-27
Dehradun,Good,33,"PM
10",1,2022-07-28
Dehradun,Good,35,"O
3",1,2022-07-29
Dehradun,Good,36,"PM
10",1,2022-08-05
Dehradun,Good,33,"PM
10",1,2022-08-06
Dehradun,Good,23,"PM
10",1,2022-08-07
Dehradun,Good,33,"PM
10",1,2022-08-08
Dehradun,Good,36,"PM
10",1,2022-08-09
Dehradun,Good,25,"PM
10",1,2022-08-10
Dehradun,Good,23,"PM
10",1,2022-08-12
Dehradun,Good,28,"O
3",1,2022-08-13
Dehradun,Good,32,"PM
10",1,2022-08-14
Dehradun,Good,18,CO,1,2022-08-15
Dehradun,Good,20,"PM
10",1,2022-08-16
Dehradun,Good,31,"PM
10",1,2022-08-17
Dehradun,Good,32,"PM
10",1,2022-08-18
Dehradun,Satisfactory,63,"PM
2.5",1,2022-08-19
Dehradun,Good,29,"PM
10",1,2022-08-20
Dehradun,Good,43,"O
3",1,2022-08-21
Dehradun,Good,40,"O
3",1,2022-08-22
Dehradun,Good,37,"O
3",1,2022-08-23
Dehradun,Good,29,"PM
10",1,2022-08-24
Dehradun,Good,35,"O
3",1,2022-08-25
Dehradun,Satisfactory,75,"PM
10",1,2022-08-27
Dehradun,Satisfactory,70,"PM
10",1,2022-08-28
Dehradun,Good,34,"O
3",1,2022-08-29
Dehradun,Satisfactory,66,"PM
10",1,2022-08-30
Dehradun,Satisfactory,91,"PM
10",1,2022-08-31
Dehradun,Satisfactory,60,"PM
10",1,2022-09-01
Dehradun,Satisfactory,57,"O
3",1,2022-09-02
Dehradun,Satisfactory,66,"O
3",1,2022-09-10
Dehradun,Satisfactory,66,"O
3",1,2022-09-11
Dehradun,Good,39,"PM
10",1,2022-09-12
Dehradun,Good,41,"O
3",1,2022-09-13
Dehradun,Satisfactory,86,"O
3",1,2022-09-14
Dehradun,Satisfactory,88,"O
3",1,2022-09-15
Dehradun,Satisfactory,83,"O
3",1,2022-09-16
Dehradun,Satisfactory,87,"O
3",1,2022-09-17
Dehradun,Moderate,125,"O
3",1,2022-09-20
Dehradun,Moderate,136,"O
3",1,2022-09-21
Dehradun,Good,23,"PM
2.5",1,2022-09-23
Dehradun,Good,44,"O
3",1,2022-09-24
Dehradun,Satisfactory,62,"O
3",1,2022-10-01
Dehradun,Satisfactory,93,"O
3",1,2022-10-04
Dehradun,Satisfactory,93,"O
3",1,2022-10-05
Dehradun,Moderate,181,"O
3",1,2022-10-06
Dehradun,Moderate,155,"O
3",1,2022-10-07
Dehradun,Good,29,"PM
10",1,2022-10-12
Dehradun,Satisfactory,56,"O
3",1,2022-10-13
Dehradun,Satisfactory,81,"PM
10",1,2022-10-23
Dehradun,Moderate,106,"O
3",1,2022-10-24
Dehradun,Poor,205,"PM
2.5",1,2022-10-25
Dehradun,Moderate,104,"O
3",1,2022-10-26
Dehradun,Satisfactory,73,"PM
10",1,2022-11-01
Dehradun,Satisfactory,88,"PM
2.5",1,2022-11-02
Dehradun,Moderate,103,"PM
10",1,2022-11-03
Dehradun,Satisfactory,94,"PM
2.5",1,2022-11-18
Dehradun,Satisfactory,77,"PM
10",1,2022-11-19
Dehradun,Satisfactory,79,"PM
10",1,2022-11-20
Dehradun,Satisfactory,68,"PM
10",1,2022-11-21
Dehradun,Satisfactory,84,"PM
10",1,2022-11-22
Dehradun,Moderate,104,"PM
2.5",1,2022-11-23
Dehradun,Satisfactory,98,"PM
2.5",1,2022-11-24
Dehradun,Satisfactory,97,"PM
2.5",1,2022-11-25
Dehradun,Moderate,185,"PM
2.5",1,2022-12-06
Dehradun,Moderate,131,"PM
2.5",1,2022-12-07
Dehradun,Satisfactory,81,"PM
2.5",1,2022-12-10
Dehradun,Satisfactory,72,"PM
10",1,2022-12-11
Dehradun,Satisfactory,71,"PM
10",1,2022-12-13
Dehradun,Satisfactory,86,"PM
10",1,2022-12-14
Dehradun,Moderate,160,"PM
2.5",1,2022-12-16
Dehradun,Satisfactory,98,"PM
2.5",1,2022-12-24
Dehradun,Moderate,189,"PM
2.5",1,2022-12-25
Dehradun,Poor,228,"PM
2.5",1,2022-12-26
Dehradun,Poor,202,"PM
2.5",1,2022-12-27
Dehradun,Poor,228,"PM
2.5",1,2022-12-28
Dehradun,Poor,296,"PM
2.5",1,2022-12-29
Dehradun,Poor,215,"PM
2.5",1,2022-12-30
Dehradun,Moderate,150,"PM
2.5",1,2022-12-31
Dehradun,Poor,268,"PM
2.5",1,2023-01-01
Dehradun,Moderate,196,"PM
2.5",1,2023-01-02
Dehradun,Moderate,174,"PM
2.5",1,2023-01-03
Dehradun,Poor,235,"PM
2.5",1,2023-01-11
Dehradun,Moderate,141,"PM
10",1,2023-01-15
Dehradun,Satisfactory,51,"PM
10",1,2023-01-25
Dehradun,Satisfactory,56,"PM
10",1,2023-01-26
Dehradun,Satisfactory,97,"PM
10",1,2023-02-02
Dehradun,Moderate,105,"PM
10",1,2023-02-03
Dehradun,Satisfactory,97,"PM
10",1,2023-02-09
Dehradun,Satisfactory,90,"PM
10",1,2023-02-10
Dehradun,Moderate,112,"PM
10",1,2023-02-12
Dehradun,Satisfactory,76,"PM
10",1,2023-02-13
Dehradun,Moderate,103,"PM
10",1,2023-02-14
Dehradun,Moderate,125,"PM
10",1,2023-02-15
Dehradun,Moderate,136,"PM
10",1,2023-02-16
Dehradun,Moderate,109,"PM
10",1,2023-02-17
Dehradun,Moderate,138,"PM
10",1,2023-02-20
Dehradun,Moderate,114,"PM
10",1,2023-02-21
Dehradun,Satisfactory,69,"PM
10",1,2023-02-22
Dehradun,Satisfactory,79,"PM
10",1,2023-02-23
Dehradun,Satisfactory,90,"PM
10",1,2023-02-24
Dehradun,Moderate,101,"PM
10",1,2023-02-26
Dehradun,Moderate,108,"PM
10",1,2023-02-27
Dehradun,Satisfactory,100,"PM
10",1,2023-02-28
Dehradun,Satisfactory,73,"PM
10",1,2023-03-01
Dehradun,Satisfactory,61,"PM
10",1,2023-03-02
Dehradun,Satisfactory,85,"PM
10",1,2023-03-03
Dehradun,Satisfactory,79,"PM
10",1,2023-03-04
Dehradun,Satisfactory,69,"PM
10",1,2023-03-05
Dehradun,Satisfactory,72,"PM
10",1,2023-03-06
Dehradun,Satisfactory,90,"PM
10",1,2023-03-07
Dehradun,Satisfactory,95,"PM
10",1,2023-03-08
Dehradun,Satisfactory,69,"O
3",1,2023-03-09
Dehradun,Satisfactory,87,"PM
10",1,2023-03-10
Dehradun,Satisfactory,99,"PM
10",1,2023-03-11
Dehradun,Moderate,118,"PM
10",1,2023-03-12
Dehradun,Moderate,118,"PM
10",1,2023-03-13
Dehradun,Satisfactory,96,"PM
10",1,2023-03-14
Dehradun,Satisfactory,84,"PM
10",1,2023-03-15
Dehradun,Satisfactory,85,"PM
10",1,2023-03-16
Dehradun,Satisfactory,87,"PM
10",1,2023-03-17
Dehradun,Good,34,"PM
10",1,2023-03-18
Dehradun,Satisfactory,52,"O
3",1,2023-03-19
Dehradun,Satisfactory,56,"O
3",1,2023-03-20
Dehradun,Good,28,"O
3",1,2023-03-21
Dehradun,Good,44,"O
3",1,2023-03-22
Dehradun,Satisfactory,65,"PM
10",1,2023-03-23
Dehradun,Satisfactory,76,"PM
10",1,2023-03-24
Dehradun,Satisfactory,58,"PM
10",1,2023-03-25
Dehradun,Satisfactory,52,"O
3",1,2023-03-26
Dehradun,Satisfactory,93,"PM
10",1,2023-03-27
Dehradun,Satisfactory,78,"PM
10",1,2023-03-28
Dehradun,Satisfactory,72,"PM
10",1,2023-03-29
Dehradun,Satisfactory,84,"O
3",1,2023-03-30
Dehradun,Good,50,"O
3",1,2023-03-31
Dehradun,Good,48,"O
3",1,2023-04-02
Dehradun,Satisfactory,60,"PM
10",1,2023-04-03
Dehradun,Satisfactory,64,"PM
10",1,2023-04-04
Dehradun,Satisfactory,66,"O
3",1,2023-04-05
Dehradun,Satisfactory,76,"PM
10",1,2023-04-06
Dehradun,Satisfactory,69,"PM
10",1,2023-04-07
Dehradun,Satisfactory,78,"O
3",1,2023-04-08
Dehradun,Satisfactory,80,"O
3",1,2023-04-09
Dehradun,Satisfactory,78,"O
3",1,2023-04-10
Dehradun,Satisfactory,69,"PM
10",1,2023-04-11
Dehradun,Satisfactory,90,"PM
10",1,2023-04-12
Dehradun,Satisfactory,97,"PM
10",1,2023-04-13
Dehradun,Moderate,102,"PM
10",1,2023-04-14
Dehradun,Moderate,111,CO,1,2023-04-15
Dehradun,Moderate,116,CO,1,2023-04-16
Dehradun,Moderate,119,"PM
10",1,2023-04-17
Dehradun,Moderate,119,"PM
10",1,2023-04-18
Dehradun,Moderate,113,CO,1,2023-04-19
Dehradun,Moderate,118,CO,1,2023-04-20
Dehradun,Moderate,118,CO,1,2023-04-21
Dehradun,Moderate,119,CO,1,2023-04-22
Dehradun,Moderate,123,CO,1,2023-04-23
Dehradun,Moderate,124,CO,1,2023-04-24
Dehradun,Moderate,123,CO,1,2023-04-25
Dehradun,Moderate,127,CO,1,2023-04-26
Dehradun,Moderate,124,CO,1,2023-04-27
Dehradun,Satisfactory,79,"PM
10",1,2023-04-28
Dehradun,Satisfactory,79,"PM
10",1,2023-04-29
Dehradun,Satisfactory,96,"PM
2.5",1,2023-04-30
Dehradun,Satisfactory,53,CO,1,2023-05-01
Dehradun,Satisfactory,68,CO,1,2023-05-03
Dehradun,Satisfactory,73,CO,1,2023-05-04
Dehradun,Satisfactory,77,CO,1,2023-05-05
Dehradun,Satisfactory,84,CO,1,2023-05-06
Dehradun,Satisfactory,98,CO,1,2023-05-07
Dehradun,Satisfactory,94,CO,1,2023-05-08
Dehradun,Satisfactory,89,CO,1,2023-05-09
Dehradun,Satisfactory,86,CO,1,2023-05-10
Dehradun,Satisfactory,85,CO,1,2023-05-11
Dehradun,Satisfactory,85,CO,1,2023-05-12
Dehradun,Satisfactory,96,"O
3",1,2023-05-13
Dehradun,Moderate,113,"PM
10",1,2023-05-14
Dehradun,Moderate,101,"PM
10",1,2023-05-15
Dehradun,Satisfactory,99,"PM
10",1,2023-05-16
Dehradun,Moderate,169,"PM
10",1,2023-05-17
Dehradun,Satisfactory,98,"PM
10",1,2023-05-18
Dehradun,Satisfactory,72,"PM
10",1,2023-05-19
Dehradun,Satisfactory,84,"PM
10",1,2023-05-20
Dehradun,Satisfactory,89,"PM
10",1,2023-05-21
Dehradun,Satisfactory,97,"PM
10",1,2023-05-22
Dehradun,Moderate,117,"PM
10",1,2023-05-23
Dehradun,Satisfactory,68,"PM
10",1,2023-05-24
Dehradun,Good,27,"PM
10",1,2023-05-25
Dehradun,Good,41,"PM
10",1,2023-05-26
Dehradun,Moderate,112,"O
3",1,2023-05-27
Dehradun,Satisfactory,90,"O
3",1,2023-05-28
Dehradun,Satisfactory,88,"O
3",1,2023-05-29
Dehradun,Satisfactory,86,"O
3",1,2023-05-30
Dehradun,Satisfactory,66,"O
3",1,2023-05-31
Dehradun,Satisfactory,72,"O
3",1,2023-06-01
Dehradun,Moderate,101,"O
3",1,2023-06-02
Dehradun,Satisfactory,96,"O
3",1,2023-06-03
Dehradun,Satisfactory,91,"O
3",1,2023-06-04
Dehradun,Satisfactory,84,"PM
10",1,2023-06-05
Dehradun,Satisfactory,52,"O
3",1,2023-06-06
Dehradun,Satisfactory,57,"O
3",1,2023-06-07
Dehradun,Satisfactory,59,"PM
10",1,2023-06-08
Dehradun,Satisfactory,55,"PM
10",1,2023-06-09
Dehradun,Satisfactory,68,"PM
10",1,2023-06-10
Dehradun,Satisfactory,91,"PM
10",1,2023-06-11
Dehradun,Satisfactory,71,"PM
10",1,2023-06-12
Dehradun,Satisfactory,85,"PM
10",1,2023-06-13
Dehradun,Satisfactory,99,"PM
10",1,2023-06-14
Dehradun,Satisfactory,80,"PM
10",1,2023-06-15
Dehradun,Satisfactory,67,"PM
10",1,2023-06-16
Dehradun,Satisfactory,84,"PM
10",1,2023-06-17
Dehradun,Satisfactory,84,"PM
10",1,2023-06-18
