City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Dewas,Moderate,108,"PM
2.5",1,2017-11-25
Dewas,Moderate,114,"PM
10",1,2017-11-26
Dewas,Satisfactory,94,"PM
10",1,2017-11-27
Dewas,Satisfactory,85,"PM
10",1,2017-11-28
Dewas,Satisfactory,97,"PM
10",1,2017-11-29
Dewas,Satisfactory,100,"PM
10",1,2017-11-30
Dewas,Moderate,103,"PM
10",1,2017-12-01
Dewas,Moderate,104,"PM
10",1,2017-12-02
Dewas,Moderate,111,"PM
10",1,2017-12-03
Dewas,Moderate,175,"PM
2.5",1,2017-12-04
Dewas,Moderate,156,"PM
2.5",1,2017-12-05
Dewas,Poor,209,"PM
2.5",1,2017-12-06
Dewas,Poor,300,"PM
2.5",1,2017-12-07
Dewas,Poor,242,"PM
2.5",1,2017-12-08
Dewas,Moderate,147,"PM
2.5",1,2017-12-09
Dewas,Moderate,108,"O
3",1,2017-12-10
Dewas,Moderate,109,"O
3",1,2017-12-11
Dewas,Moderate,152,"PM
2.5",1#,2017-12-12
Dewas,Moderate,196,"PM
2.5",1,2017-12-14
Dewas,Poor,277,"PM
2.5",1,2017-12-15
Dewas,Poor,254,"PM
2.5",1,2017-12-16
Dewas,Moderate,122,"PM
2.5",1,2017-12-17
Dewas,Satisfactory,93,"PM
10",1,2017-12-18
Dewas,Satisfactory,90,"O
3",1,2017-12-19
Dewas,Moderate,102,"PM
10",1,2017-12-20
Dewas,Moderate,192,"PM
2.5",1,2017-12-21
Dewas,Poor,225,"PM
2.5",1,2017-12-22
Dewas,Poor,245,"PM
2.5",1,2017-12-23
Dewas,Poor,201,"O
3",1,2017-12-24
Dewas,Moderate,120,"PM
10",1,2017-12-25
Dewas,Moderate,108,"O
3",1,2017-12-26
Dewas,Moderate,119,"O
3",1,2017-12-27
Dewas,Moderate,159,"O
3",1,2017-12-28
Dewas,Moderate,193,"O
3",1,2017-12-29
Dewas,Moderate,176,"O
3",1,2017-12-30
Dewas,Moderate,181,"O
3",1,2017-12-31
Dewas,Poor,222,"PM
2.5",1,2018-01-01
Dewas,Moderate,166,"PM
2.5",1,2018-01-02
Dewas,Moderate,107,"O
3",1,2018-01-03
Dewas,Moderate,181,"O
3",1,2018-01-04
Dewas,Moderate,180,"O
3",1,2018-01-05
Dewas,Moderate,169,"O
3",1,2018-01-06
Dewas,Moderate,119,"O
3",1,2018-01-09
Dewas,Moderate,111,"O
3",1,2018-01-10
Dewas,Moderate,129,"PM
10",1,2018-01-11
Dewas,Moderate,122,"O
3",1,2018-01-12
Dewas,Moderate,105,"PM
10",1,2018-01-13
Dewas,Moderate,118,"O
3",1,2018-01-14
Dewas,Moderate,114,"PM
10",1,2018-01-15
Dewas,Moderate,129,"O
3",1,2018-01-16
Dewas,Satisfactory,95,"PM
10",1,2018-01-17
Dewas,Satisfactory,96,"O
3",1,2018-01-18
Dewas,Moderate,105,"PM
10",1,2018-01-19
