City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Dhanbad,Poor,236,"PM
2.5",1,2023-02-28
Dhanbad,Moderate,180,"PM
2.5",1,2023-03-02
Dhanbad,Moderate,157,"PM
2.5",1,2023-03-03
Dhanbad,Moderate,139,"PM
10",1,2023-03-04
Dhanbad,Satisfactory,100,"PM
10",1,2023-03-05
Dhanbad,Satisfactory,94,"PM
10",1,2023-03-06
Dhanbad,Moderate,166,"PM
2.5",1,2023-03-07
Dhanbad,Moderate,192,"PM
2.5",1,2023-03-08
Dhanbad,Moderate,188,"PM
2.5",1,2023-03-09
Dhanbad,Moderate,109,"PM
2.5",1,2023-03-10
Dhanbad,Poor,230,"PM
2.5",1,2023-03-11
Dhanbad,Poor,266,"O
3",1,2023-03-12
Dhanbad,Poor,209,"PM
2.5",1,2023-03-13
Dhanbad,Poor,209,"PM
2.5",1,2023-03-14
Dhanbad,Moderate,179,"PM
2.5",1,2023-03-15
Dhanbad,Moderate,163,"PM
2.5",1,2023-03-16
Dhanbad,Poor,216,"PM
2.5",1,2023-03-17
Dhanbad,Very Poor,350,"PM
2.5",1,2023-03-18
Dhanbad,Poor,223,"PM
2.5",1,2023-03-19
Dhanbad,Moderate,138,"PM
2.5",1,2023-03-22
Dhanbad,Moderate,148,"PM
2.5",1,2023-03-23
Dhanbad,Moderate,148,"PM
2.5",1,2023-03-24
Dhanbad,Poor,220,"PM
2.5",1,2023-03-25
Dhanbad,Poor,238,"PM
2.5",1,2023-03-26
Dhanbad,Moderate,166,"PM
2.5",1,2023-03-27
Dhanbad,Moderate,166,"O
3",1,2023-03-28
Dhanbad,Moderate,176,"PM
2.5",1,2023-03-29
Dhanbad,Poor,214,"PM
2.5",1,2023-03-30
Dhanbad,Moderate,192,"PM
2.5",1,2023-04-05
Dhanbad,Moderate,162,"PM
2.5",1,2023-04-06
Dhanbad,Poor,208,"PM
2.5",1,2023-04-07
Dhanbad,Moderate,193,"PM
2.5",1,2023-04-08
Dhanbad,Poor,202,"PM
2.5",1,2023-04-09
Dhanbad,Poor,210,"PM
2.5",1,2023-04-10
Dhanbad,Moderate,197,"PM
2.5",1,2023-04-11
Dhanbad,Poor,219,"PM
2.5",1,2023-04-12
Dhanbad,Poor,255,"PM
2.5",1,2023-04-13
Dhanbad,Very Poor,325,"PM
2.5",1,2023-04-18
Dhanbad,Very Poor,383,"PM
2.5",1,2023-04-19
Dhanbad,Poor,298,"PM
2.5",1,2023-04-20
Dhanbad,Moderate,170,"PM
2.5",1,2023-04-21
Dhanbad,Moderate,191,"PM
2.5",1,2023-04-22
Dhanbad,Moderate,156,"PM
2.5",1,2023-04-23
Dhanbad,Moderate,120,"PM
2.5",1,2023-04-24
Dhanbad,Moderate,147,"PM
2.5",1,2023-04-25
Dhanbad,Poor,233,"PM
2.5",1,2023-04-26
Dhanbad,Poor,275,"PM
2.5",1,2023-04-27
Dhanbad,Poor,228,"PM
2.5",1,2023-04-28
Dhanbad,Poor,242,"PM
2.5",1,2023-04-29
Dhanbad,Poor,249,"PM
2.5",1,2023-04-30
Dhanbad,Poor,212,"PM
2.5",1,2023-05-01
Dhanbad,Moderate,147,"PM
2.5",1,2023-05-02
Dhanbad,Moderate,197,"PM
2.5",1,2023-05-03
Dhanbad,Moderate,181,"PM
2.5",1,2023-05-04
Dhanbad,Poor,202,"PM
2.5",1,2023-05-09
Dhanbad,Moderate,182,"PM
2.5",1,2023-05-10
Dhanbad,Moderate,192,"PM
2.5",1,2023-05-11
Dhanbad,Poor,219,"PM
2.5",1,2023-05-12
Dhanbad,Poor,236,"PM
2.5",1,2023-05-15
Dhanbad,Poor,222,"PM
2.5",1,2023-05-16
Dhanbad,Moderate,178,"PM
2.5",1,2023-05-19
Dhanbad,Moderate,154,CO,1,2023-05-21
Dhanbad,Moderate,176,CO,1,2023-05-24
Dhanbad,Moderate,198,CO,1,2023-05-25
Dhanbad,Moderate,175,CO,1,2023-05-26
Dhanbad,Moderate,160,CO,1,2023-05-27
Dhanbad,Moderate,163,CO,1,2023-05-28
Dhanbad,Moderate,158,CO,1,2023-05-29
Dhanbad,Moderate,140,CO,1,2023-05-30
Dhanbad,Moderate,190,"PM
2.5",1,2023-05-31
Dhanbad,Poor,202,"PM
2.5",1,2023-06-03
Dhanbad,Poor,215,"PM
2.5",1,2023-06-06
Dhanbad,Moderate,197,"PM
2.5",1,2023-06-07
Dhanbad,Satisfactory,97,"PM
10",1,2023-06-08
Dhanbad,Moderate,156,CO,1,2023-06-09
Dhanbad,Moderate,153,CO,1,2023-06-11
Dhanbad,Moderate,150,CO,1,2023-06-12
Dhanbad,Moderate,151,CO,1,2023-06-13
Dhanbad,Moderate,150,CO,1,2023-06-14
Dhanbad,Moderate,160,CO,1,2023-06-16
Dhanbad,Moderate,175,CO,1,2023-06-17
Dhanbad,Moderate,168,CO,1,2023-06-27
Dhanbad,Moderate,172,CO,1,2023-06-28
Dhanbad,Moderate,186,"PM
2.5",1,2023-07-01
Dhanbad,Moderate,178,CO,1,2023-07-02
Dhanbad,Moderate,197,"PM
2.5",1,2023-07-03
Dhanbad,Moderate,173,CO,1,2023-07-04
Dhanbad,Moderate,174,CO,1,2023-07-05
Dhanbad,Moderate,175,CO,1,2023-07-06
Dhanbad,Moderate,187,CO,1,2023-07-07
Dhanbad,Moderate,183,CO,1,2023-07-08
Dhanbad,Moderate,185,CO,1,2023-07-11
Dhanbad,Moderate,186,CO,1,2023-07-12
Dhanbad,Moderate,188,CO,1,2023-07-13
Dhanbad,Moderate,195,CO,1,2023-07-14
Dhanbad,Moderate,184,CO,1,2023-07-15
Dhanbad,Moderate,193,CO,1,2023-07-16
Dhanbad,Moderate,183,CO,1,2023-07-18
Dhanbad,Moderate,185,CO,1,2023-07-19
Dhanbad,Moderate,185,CO,1,2023-07-20
Dhanbad,Moderate,186,CO,1,2023-07-21
Dhanbad,Moderate,192,CO,1,2023-07-22
Dhanbad,Moderate,188,CO,1,2023-07-23
Dhanbad,Moderate,188,CO,1,2023-07-24
Dhanbad,Moderate,190,CO,1,2023-08-08
Dhanbad,Moderate,194,CO,1,2023-08-09
Dhanbad,Moderate,195,CO,1,2023-08-10
Dhanbad,Moderate,191,CO,1,2023-08-11
Dhanbad,Moderate,196,CO,1,2023-08-12
Dhanbad,Moderate,168,CO,1,2023-08-13
Dhanbad,Moderate,106,"NO
2",1,2023-08-14
Dhanbad,Moderate,188,CO,1,2023-08-17
Dhanbad,Moderate,187,CO,1,2023-08-18
Dhanbad,Moderate,187,CO,1,2023-08-19
Dhanbad,Moderate,188,CO,1,2023-08-20
Dhanbad,Moderate,190,CO,1,2023-08-21
Dhanbad,Moderate,184,CO,1,2023-08-22
Dhanbad,Moderate,168,CO,1,2023-08-23
Dhanbad,Satisfactory,81,"PM
2.5",1,2023-08-24
Dhanbad,Moderate,192,CO,1,2023-08-25
