City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Dharuhera,Moderate,152,"PM
2.5",1,2019-01-22
Dharuhera,Moderate,158,"PM
2.5",1,2019-01-23
Dharuhera,Poor,260,"PM
2.5",1,2019-01-24
Dharuhera,Moderate,113,"PM
2.5",1,2019-01-25
Dharuhera,Moderate,190,"PM
2.5",1,2019-01-26
Dharuhera,Poor,201,"PM
2.5",1,2019-01-27
Dharuhera,Moderate,148,"PM
2.5",1,2019-01-28
Dharuhera,Moderate,128,"PM
2.5",1,2019-01-29
Dharuhera,Poor,243,"PM
2.5",1,2019-01-30
Dharuhera,Poor,238,"PM
2.5",1,2019-01-31
Dharuhera,Poor,252,"PM
2.5",1,2019-02-01
Dharuhera,Poor,256,"PM
2.5",1,2019-02-02
Dharuhera,Poor,237,"PM
10",1,2019-02-03
Dharuhera,Poor,257,"PM
2.5",1,2019-02-04
Dharuhera,Very Poor,318,"PM
10",1,2019-02-05
Dharuhera,Poor,248,"PM
2.5",1,2019-02-06
Dharuhera,Moderate,144,"PM
2.5",1,2019-02-07
Dharuhera,Moderate,137,"PM
10",1,2019-02-08
Dharuhera,Satisfactory,97,"PM
10",1,2019-02-09
Dharuhera,Poor,206,"PM
2.5",1,2019-02-10
Dharuhera,Poor,261,"PM
2.5",1,2019-02-11
Dharuhera,Poor,286,"PM
2.5",1,2019-02-12
Dharuhera,Poor,300,"PM
2.5",1,2019-02-13
Dharuhera,Poor,262,"PM
2.5",1,2019-02-14
Dharuhera,Moderate,189,"PM
2.5",1,2019-02-15
Dharuhera,Moderate,167,"PM
2.5",1,2019-02-16
Dharuhera,Moderate,102,"PM
2.5",1,2019-02-17
Dharuhera,Moderate,196,"PM
2.5",1,2019-02-18
Dharuhera,Satisfactory,99,"PM
10",1,2019-02-19
Dharuhera,Poor,225,"PM
2.5",1,2019-02-20
Dharuhera,Moderate,121,"PM
2.5",1,2019-02-21
Dharuhera,Moderate,143,"PM
2.5",1,2019-02-22
Dharuhera,Satisfactory,96,CO,1,2019-02-23
Dharuhera,Moderate,101,CO,1,2019-02-24
Dharuhera,Poor,202,"PM
2.5",1,2019-02-25
Dharuhera,Moderate,110,"PM
10",1,2019-02-26
Dharuhera,Moderate,101,CO,1,2019-02-27
Dharuhera,Moderate,125,"PM
2.5",1,2019-02-28
Dharuhera,Moderate,131,"PM
10",1,2019-03-01
Dharuhera,Moderate,178,"PM
10",1,2019-03-02
Dharuhera,Moderate,101,CO,1,2019-03-04
Dharuhera,Satisfactory,92,CO,1,2019-03-05
Dharuhera,Moderate,107,"PM
2.5",1,2019-03-06
Dharuhera,Poor,205,"PM
2.5",1,2019-03-07
Dharuhera,Moderate,142,"PM
2.5",1,2019-03-08
Dharuhera,Moderate,122,"PM
2.5",1,2019-03-09
Dharuhera,Satisfactory,95,"PM
2.5",1,2019-03-10
Dharuhera,Moderate,107,"PM
2.5",1,2019-03-11
Dharuhera,Moderate,186,"PM
2.5",1,2019-03-13
Dharuhera,Poor,262,"PM
2.5",1,2019-03-14
Dharuhera,Satisfactory,95,CO,1,2019-03-15
Dharuhera,Moderate,159,"PM
2.5",1,2019-03-17
Dharuhera,Moderate,174,"PM
2.5",1,2019-03-18
Dharuhera,Moderate,182,"PM
2.5",1,2019-03-19
Dharuhera,Moderate,102,CO,1,2019-03-20
Dharuhera,Moderate,167,"PM
2.5",1,2019-03-21
Dharuhera,Moderate,103,CO,1,2019-03-22
Dharuhera,Moderate,104,CO,1,2019-03-23
Dharuhera,Moderate,106,CO,1,2019-03-24
Dharuhera,Moderate,104,CO,1,2019-03-25
Dharuhera,Moderate,123,"PM
10",1,2019-03-26
Dharuhera,Moderate,158,"PM
2.5",1,2019-03-27
Dharuhera,Moderate,180,"PM
2.5",1,2019-03-28
Dharuhera,Poor,205,"PM
2.5",1,2019-03-29
Dharuhera,Poor,219,"PM
2.5",1,2019-03-30
Dharuhera,Moderate,135,"PM
2.5",1,2019-04-02
Dharuhera,Moderate,127,"PM
10",1,2019-04-03
Dharuhera,Moderate,176,"PM
2.5",1,2019-04-04
Dharuhera,Poor,212,"PM
10",1,2019-04-05
Dharuhera,Moderate,149,"PM
10",1,2019-04-06
Dharuhera,Moderate,151,"PM
10",1,2019-04-09
Dharuhera,Poor,204,"PM
2.5",1,2019-04-10
Dharuhera,Moderate,179,"PM
10",1,2019-04-12
Dharuhera,Moderate,140,"PM
10",1,2019-04-13
Dharuhera,Moderate,138,"PM
10",1,2019-04-14
Dharuhera,Moderate,173,"PM
10",1,2019-04-15
Dharuhera,Moderate,171,"PM
10",1,2019-04-16
Dharuhera,Satisfactory,69,"PM
10",1,2019-04-17
Dharuhera,Moderate,126,"PM
10",1,2019-04-19
Dharuhera,Moderate,132,"PM
2.5",1,2019-04-20
Dharuhera,Moderate,160,"PM
2.5",1,2019-04-21
Dharuhera,Moderate,162,"PM
2.5",1,2019-04-22
Dharuhera,Moderate,168,"PM
2.5",1,2019-04-23
Dharuhera,Moderate,173,"PM
10",1,2019-04-24
Dharuhera,Moderate,169,"PM
10",1,2019-04-26
Dharuhera,Moderate,163,"PM
10",1,2019-04-27
Dharuhera,Poor,236,"PM
10",1,2019-04-29
Dharuhera,Poor,286,"PM
10",1,2019-04-30
Dharuhera,Moderate,187,"PM
10",1,2019-05-01
Dharuhera,Moderate,179,"PM
2.5",1,2019-05-02
Dharuhera,Moderate,138,"PM
10",1,2019-05-03
Dharuhera,Moderate,123,"PM
10",1,2019-05-04
Dharuhera,Moderate,155,"PM
10",1,2019-05-05
Dharuhera,Moderate,175,"PM
2.5",1,2019-05-06
Dharuhera,Poor,285,"PM
10",1,2019-05-08
Dharuhera,Very Poor,322,"PM
10",1,2019-05-09
Dharuhera,Poor,236,"PM
10",1,2019-05-10
Dharuhera,Moderate,155,"PM
10",1,2019-05-11
Dharuhera,Very Poor,322,"PM
10",1,2019-05-12
Dharuhera,Moderate,188,"PM
2.5",1,2019-05-13
Dharuhera,Moderate,108,"PM
10",1,2019-05-14
Dharuhera,Moderate,167,"PM
10",1,2019-05-15
Dharuhera,Moderate,140,"PM
10",1,2019-05-16
Dharuhera,Moderate,174,"PM
10",1,2019-05-17
Dharuhera,Moderate,113,"PM
10",1,2019-05-19
Dharuhera,Moderate,156,"PM
2.5",1,2019-05-20
Dharuhera,Moderate,116,"PM
10",1,2019-05-23
Dharuhera,Moderate,105,"PM
10",1,2019-05-24
Dharuhera,Satisfactory,99,"PM
10",1,2019-05-25
Dharuhera,Satisfactory,99,"PM
10",1,2019-05-26
Dharuhera,Moderate,153,"PM
10",1,2019-05-27
Dharuhera,Moderate,149,"PM
10",1,2019-05-29
Dharuhera,Moderate,165,"PM
2.5",1,2019-05-30
Dharuhera,Moderate,165,"PM
10",1,2019-05-31
Dharuhera,Moderate,170,"PM
10",1,2019-06-01
Dharuhera,Moderate,152,"PM
10",1,2019-06-02
Dharuhera,Moderate,194,"PM
10",1,2019-06-03
Dharuhera,Moderate,160,"PM
10",1,2019-06-04
Dharuhera,Moderate,152,"PM
10",1,2019-06-05
Dharuhera,Moderate,147,"PM
10",1,2019-06-06
Dharuhera,Moderate,152,"PM
10",1,2019-06-07
Dharuhera,Moderate,144,"PM
10",1,2019-06-08
Dharuhera,Moderate,194,"PM
10",1,2019-06-09
Dharuhera,Moderate,179,"PM
10",1,2019-06-10
Dharuhera,Very Poor,308,"PM
10",1,2019-06-11
Dharuhera,Poor,275,"PM
10",1,2019-06-12
Dharuhera,Moderate,188,"PM
10",1,2019-06-15
Dharuhera,Moderate,150,"PM
10",1,2019-06-16
Dharuhera,Satisfactory,95,"PM
10",1,2019-06-17
Dharuhera,Moderate,108,"PM
10",1,2019-06-18
Dharuhera,Moderate,116,"PM
10",1,2019-06-19
Dharuhera,Moderate,160,"PM
10",1,2019-06-21
Dharuhera,Moderate,135,"PM
10",1,2019-06-22
Dharuhera,Satisfactory,93,"PM
10",1,2019-06-24
Dharuhera,Moderate,109,"PM
10",1,2019-06-25
Dharuhera,Moderate,117,"PM
10",1,2019-06-26
Dharuhera,Moderate,183,"PM
10",1,2019-06-27
Dharuhera,Poor,205,"PM
10",1,2019-06-28
Dharuhera,Poor,256,"PM
10",1,2019-06-29
Dharuhera,Poor,244,"PM
10",1,2019-06-30
Dharuhera,Satisfactory,80,"PM
2.5",1,2019-07-01
Dharuhera,Poor,260,"PM
10",1,2019-07-02
Dharuhera,Moderate,141,"PM
10",1,2019-07-03
Dharuhera,Satisfactory,82,"PM
10",1,2019-07-04
Dharuhera,Satisfactory,73,CO,1,2019-07-05
Dharuhera,Satisfactory,77,"PM
10",1,2019-07-06
