City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Dharwad,Moderate,116,"PM
10",1,2022-11-22
Dharwad,Moderate,146,"PM
2.5",1,2022-11-23
Dharwad,Satisfactory,100,"PM
10",1,2022-11-24
Dharwad,Satisfactory,88,"PM
10",1,2022-11-25
Dharwad,Moderate,124,"PM
10",1,2022-11-26
Dharwad,Moderate,164,"PM
2.5",1,2022-11-29
Dharwad,Poor,218,"PM
2.5",1,2022-11-30
Dharwad,Moderate,148,"PM
10",1,2022-12-01
Dharwad,Moderate,180,"PM
2.5",1,2022-12-02
Dharwad,Satisfactory,60,"PM
2.5",1,2023-03-22
Dharwad,Satisfactory,60,"PM
10",1,2023-03-23
Dharwad,Satisfactory,72,"PM
10",1,2023-03-27
Dharwad,Satisfactory,86,"PM
10",1,2023-03-28
Dharwad,Satisfactory,95,"PM
10",1,2023-03-29
Dharwad,Satisfactory,96,"PM
10",1,2023-03-30
Dharwad,Satisfactory,82,"PM
10",1,2023-03-31
Dharwad,Satisfactory,80,"PM
10",1,2023-04-01
Dharwad,Satisfactory,84,"PM
10",1,2023-04-02
Dharwad,Satisfactory,81,"PM
10",1,2023-04-04
Dharwad,Satisfactory,75,"PM
10",1,2023-04-05
Dharwad,Satisfactory,89,"PM
10",1,2023-04-06
Dharwad,Satisfactory,90,"PM
10",1,2023-04-07
Dharwad,Satisfactory,78,"PM
10",1,2023-04-08
Dharwad,Moderate,134,"PM
2.5",1,2023-04-11
Dharwad,Satisfactory,82,"PM
2.5",1,2023-04-12
Dharwad,Moderate,104,"PM
2.5",1,2023-04-13
Dharwad,Moderate,140,"PM
2.5",1,2023-04-14
Dharwad,Satisfactory,82,"PM
2.5",1,2023-04-15
Dharwad,Moderate,152,"PM
2.5",1,2023-04-16
Dharwad,Moderate,120,"PM
2.5",1,2023-04-17
Dharwad,Moderate,102,"PM
10",1,2023-04-18
Dharwad,Moderate,108,"PM
2.5",1,2023-04-19
Dharwad,Moderate,133,"PM
2.5",1,2023-04-20
Dharwad,Satisfactory,98,"PM
10",1,2023-04-21
Dharwad,Satisfactory,80,"PM
2.5",1,2023-04-22
Dharwad,Good,48,"PM
10",1,2023-04-23
Dharwad,Satisfactory,63,"PM
10",1,2023-04-24
Dharwad,Satisfactory,72,"PM
10",1,2023-04-25
Dharwad,Satisfactory,64,"PM
10",1,2023-04-26
Dharwad,Satisfactory,84,"PM
10",1,2023-04-27
Dharwad,Satisfactory,74,"PM
10",1,2023-04-28
Dharwad,Satisfactory,64,"PM
10",1,2023-04-29
Dharwad,Satisfactory,54,"PM
10",1,2023-04-30
Dharwad,Satisfactory,61,"PM
10",1,2023-05-03
Dharwad,Satisfactory,57,"PM
10",1,2023-05-04
Dharwad,Satisfactory,53,"PM
10",1,2023-05-05
Dharwad,Satisfactory,55,"PM
10",1,2023-05-06
Dharwad,Satisfactory,53,"PM
10",1,2023-05-07
Dharwad,Satisfactory,58,"PM
10",1,2023-05-08
Dharwad,Satisfactory,88,"PM
2.5",1,2023-05-09
Dharwad,Satisfactory,62,"PM
10",1,2023-05-10
Dharwad,Satisfactory,90,"PM
10",1,2023-05-12
Dharwad,Satisfactory,77,"PM
10",1,2023-05-13
Dharwad,Moderate,114,"PM
2.5",1,2023-05-14
Dharwad,Satisfactory,74,"PM
10",1,2023-05-17
Dharwad,Satisfactory,57,"PM
10",1,2023-05-18
Dharwad,Satisfactory,57,"PM
10",1,2023-05-19
Dharwad,Satisfactory,73,"PM
2.5",1,2023-05-20
Dharwad,Satisfactory,61,"PM
10",1,2023-05-21
Dharwad,Satisfactory,68,"PM
10",1,2023-05-23
Dharwad,Satisfactory,63,"PM
10",1,2023-05-25
Dharwad,Satisfactory,65,"PM
10",1,2023-05-26
Dharwad,Good,45,"PM
10",1,2023-05-27
Dharwad,Satisfactory,58,"PM
10",1,2023-05-28
Dharwad,Satisfactory,59,"PM
10",1,2023-05-29
Dharwad,Satisfactory,72,"PM
2.5",1,2023-05-31
Dharwad,Satisfactory,80,CO,1,2023-06-01
Dharwad,Satisfactory,67,"PM
10",1,2023-06-02
Dharwad,Satisfactory,68,"PM
10",1,2023-06-03
Dharwad,Satisfactory,51,"PM
10",1,2023-06-04
Dharwad,Good,45,"PM
10",1,2023-06-05
Dharwad,Satisfactory,60,"PM
10",1,2023-06-06
Dharwad,Satisfactory,66,"PM
10",1,2023-06-07
Dharwad,Good,49,"PM
10",1,2023-06-09
Dharwad,Satisfactory,58,"PM
10",1,2023-06-10
Dharwad,Satisfactory,86,"PM
10",1,2023-06-13
Dharwad,Moderate,106,"PM
10",1,2023-06-14
Dharwad,Satisfactory,88,"PM
10",1,2023-06-15
Dharwad,Satisfactory,95,"PM
10",1,2023-06-16
Dharwad,Satisfactory,72,"PM
10",1,2023-06-17
Dharwad,Moderate,114,"PM
10",1,2023-06-21
Dharwad,Moderate,102,"PM
10",1,2023-06-22
Dharwad,Satisfactory,66,"PM
10",1,2023-06-23
Dharwad,Good,45,"PM
10",1,2023-06-24
Dharwad,Good,42,"PM
10",1,2023-06-25
Dharwad,Satisfactory,71,"PM
10",1,2023-06-27
Dharwad,Satisfactory,51,"O
3",1,2023-06-28
Dharwad,Satisfactory,53,"O
3",1,2023-06-29
Dharwad,Satisfactory,52,"O
3",1,2023-06-30
Dharwad,Good,38,CO,1,2023-07-01
Dharwad,Good,40,"PM
10",1,2023-07-02
Dharwad,Good,39,"PM
10",1,2023-07-04
Dharwad,Good,42,CO,1,2023-07-05
Dharwad,Satisfactory,54,"PM
10",1,2023-07-11
Dharwad,Satisfactory,61,"PM
10",1,2023-07-12
Dharwad,Good,48,"PM
10",1,2023-07-13
Dharwad,Good,30,"PM
10",1,2023-07-14
Dharwad,Good,37,"PM
10",1,2023-07-15
Dharwad,Good,43,"PM
10",1,2023-07-16
Dharwad,Good,37,"PM
10",1,2023-07-18
Dharwad,Good,36,CO,1,2023-07-19
Dharwad,Good,23,"PM
10",1,2023-07-22
Dharwad,Good,35,"PM
10",1,2023-07-25
Dharwad,Good,27,CO,1,2023-07-26
Dharwad,Good,30,"PM
10",1,2023-07-28
Dharwad,Satisfactory,68,"PM
10",1,2023-07-29
Dharwad,Satisfactory,54,"PM
2.5",1,2023-07-31
Dharwad,Good,44,"PM
10",1,2023-08-01
Dharwad,Good,31,"PM
10",1,2023-08-02
Dharwad,Good,35,"PM
10",1,2023-08-03
Dharwad,Satisfactory,55,"PM
10",1,2023-08-04
Dharwad,Satisfactory,76,"PM
10",1,2023-08-05
Dharwad,Satisfactory,68,"PM
10",1,2023-08-08
Dharwad,Moderate,102,"PM
10",1,2023-08-12
Dharwad,Moderate,115,"PM
2.5",1,2023-08-13
Dharwad,Satisfactory,92,"PM
2.5",1,2023-08-14
Dharwad,Moderate,129,"PM
2.5",1,2023-08-15
Dharwad,Satisfactory,99,"PM
10",1,2023-08-17
Dharwad,Moderate,104,"PM
2.5",1,2023-08-18
Dharwad,Good,39,"PM
10",1,2023-08-20
Dharwad,Moderate,129,"PM
10",1,2023-08-21
Dharwad,Good,39,"PM
2.5",1,2023-08-22
Dharwad,Good,45,"PM
2.5",1,2023-08-23
Dharwad,Satisfactory,68,"PM
10",1,2023-09-03
Dharwad,Satisfactory,84,"PM
10",1,2023-09-04
Dharwad,Satisfactory,97,"PM
10",1,2023-09-05
Dharwad,Good,50,"PM
10",1,2023-09-06
Dharwad,Satisfactory,90,"PM
2.5",1,2023-09-07
Dharwad,Satisfactory,97,"PM
2.5",1,2023-09-08
Dharwad,Good,34,"O
3",1,2023-09-12
Dharwad,Good,32,"O
3",1,2023-09-15
Dharwad,Good,34,CO,1,2023-09-16
Dharwad,Good,30,"O
3",1,2023-09-17
Dharwad,Good,34,CO,1,2023-09-18
Dharwad,Good,41,CO,1,2023-09-20
Dharwad,Moderate,135,"PM
10",1,2023-09-21
Dharwad,Good,48,"PM
10",1,2023-09-22
Dharwad,Good,50,"PM
10",1,2023-09-23
Dharwad,Good,48,"PM
10",1,2023-09-24
Dharwad,Good,40,"PM
10",1,2023-09-25
Dharwad,Good,49,"PM
10",1,2023-09-26
Dharwad,Satisfactory,52,CO,1,2023-09-27
Dharwad,Good,45,"PM
10",1,2023-09-28
Dharwad,Satisfactory,53,CO,1,2023-09-29
Dharwad,Satisfactory,72,CO,1,2023-09-30
Dharwad,Good,45,"PM
10",1,2023-10-01
Dharwad,Satisfactory,67,"O
3",1,2023-10-02
Dharwad,Satisfactory,59,"PM
10",1,2023-10-03
Dharwad,Satisfactory,66,"PM
10",1/1,2023-10-04
Dharwad,Satisfactory,66,"PM
10",1/1,2023-10-05
Dharwad,Satisfactory,66,"O
3",1/1,2023-10-06
Dharwad,Satisfactory,70,"PM
10",1/1,2023-10-07
Dharwad,Satisfactory,71,"PM
10",1/1,2023-10-08
Dharwad,Satisfactory,79,"PM
10",1/1,2023-10-09
Dharwad,Satisfactory,75,"PM
10",1/1,2023-10-10
Dharwad,Satisfactory,74,"O
3",1/1,2023-10-11
Dharwad,Satisfactory,69,CO,1/1,2023-10-12
Dharwad,Satisfactory,68,CO,1/1,2023-10-13
Dharwad,Satisfactory,66,"O
3",1/1,2023-10-14
Dharwad,Satisfactory,97,CO,1/1,2023-10-15
Dharwad,Satisfactory,80,CO,1/1,2023-10-16
Dharwad,Satisfactory,84,CO,1/1,2023-10-17
Dharwad,Satisfactory,81,"O
3",1/1,2023-10-22
Dharwad,Satisfactory,82,"O
3",1/1,2023-10-23
Dharwad,Satisfactory,100,"O
3",1/1,2023-10-24
Dharwad,Satisfactory,97,"O
3",1/1,2023-10-25
Dharwad,Satisfactory,91,"O
3",1/1,2023-10-26
Dharwad,Satisfactory,95,"O
3",1/1,2023-10-27
Dharwad,Satisfactory,88,"O
3",1/1,2023-10-28
Dharwad,Satisfactory,72,"O
3",1/1,2023-10-29
Dharwad,Satisfactory,82,CO,1/1,2023-10-30
Dharwad,Satisfactory,62,CO,1/1,2023-10-31
Dharwad,Satisfactory,70,CO,1/1,2023-11-01
Dharwad,Satisfactory,73,CO,1/1,2023-11-02
Dharwad,Moderate,102,"PM
10",1/1,2023-11-03
Dharwad,Satisfactory,68,"PM
10",1/1,2023-11-04
Dharwad,Satisfactory,66,CO,1/1,2023-11-05
Dharwad,Satisfactory,56,CO,1/1,2023-11-07
Dharwad,Satisfactory,69,"PM
10",1/1,2023-11-08
Dharwad,Satisfactory,58,CO,1/1,2023-11-09
Dharwad,Satisfactory,74,CO,1/1,2023-11-10
Dharwad,Satisfactory,81,"O
3",1/1,2023-11-11
Dharwad,Satisfactory,94,"O
3",1/1,2023-11-12
Dharwad,Satisfactory,70,"PM
10",1/1,2023-11-13
Dharwad,Moderate,104,"PM
10",1/1,2023-11-14
Dharwad,Moderate,105,"PM
10",1/1,2023-11-15
Dharwad,Satisfactory,84,"PM
10",1/1,2023-11-16
Dharwad,Moderate,102,"PM
10",1/1,2023-11-17
Dharwad,Moderate,103,"PM
10",1/1,2023-11-18
Dharwad,Satisfactory,67,CO,1/1,2023-11-19
Dharwad,Satisfactory,75,CO,1/1,2023-11-20
Dharwad,Satisfactory,96,"PM
10",1/1,2023-11-21
Dharwad,Satisfactory,81,"PM
10",1/1,2023-11-22
Dharwad,Satisfactory,63,CO,1/1,2023-11-23
Dharwad,Satisfactory,62,"PM
10",1/1,2023-11-24
Dharwad,Satisfactory,69,"PM
10",1/1,2023-11-25
Dharwad,Satisfactory,77,"PM
10",1/1,2023-11-26
Dharwad,Moderate,104,"PM
10",1/1,2023-11-27
Dharwad,Satisfactory,77,"PM
10",1/1,2023-11-28
Dharwad,Satisfactory,67,CO,1/1,2023-11-29
Dharwad,Satisfactory,59,"PM
10",1/1,2023-11-30
Dharwad,Satisfactory,59,CO,1/1,2023-12-01
Dharwad,Satisfactory,76,"PM
10",1/1,2023-12-02
Dharwad,Satisfactory,81,"PM
10",1/1,2023-12-03
Dharwad,Satisfactory,76,"PM
10",1/1,2023-12-05
Dharwad,Satisfactory,77,"PM
10",1/1,2023-12-06
Dharwad,Satisfactory,72,"PM
10",1/1,2023-12-07
Dharwad,Satisfactory,85,"PM
10",1/1,2023-12-08
Dharwad,Satisfactory,80,"PM
10",1/1,2023-12-09
Dharwad,Satisfactory,53,"PM
10",1/1,2023-12-10
Dharwad,Satisfactory,70,CO,1/1,2023-12-11
Dharwad,Satisfactory,83,"PM
10",1/1,2023-12-13
Dharwad,Satisfactory,77,CO,1/1,2023-12-14
Dharwad,Satisfactory,67,CO,1/1,2023-12-15
Dharwad,Satisfactory,70,"PM
10",1/1,2023-12-16
Dharwad,Satisfactory,69,CO,1/1,2023-12-17
Dharwad,Satisfactory,69,"PM
10",1/1,2023-12-19
Dharwad,Satisfactory,89,CO,1/1,2023-12-20
Dharwad,Moderate,109,"PM
10",1/1,2023-12-21
Dharwad,Moderate,103,"PM
10",1/1,2023-12-22
Dharwad,Moderate,104,"PM
10",1/1,2023-12-23
Dharwad,Satisfactory,93,"PM
10",1/1,2023-12-24
Dharwad,Satisfactory,80,"PM
10",1/1,2023-12-25
Dharwad,Satisfactory,77,"PM
10",1/1,2023-12-26
Dharwad,Satisfactory,80,CO,1/1,2023-12-27
Dharwad,Satisfactory,78,CO,1/1,2023-12-28
Dharwad,Satisfactory,84,CO,1/1,2023-12-29
Dharwad,Satisfactory,71,"PM
10",1/1,2023-12-30
Dharwad,Satisfactory,61,CO,1/1,2023-12-31
Dharwad,Moderate,103,"PM
10",1/1,2024-01-01
Dharwad,Satisfactory,84,"PM
10",1/1,2024-01-02
Dharwad,Satisfactory,87,"PM
10",1/1,2024-01-03
Dharwad,Satisfactory,85,CO,1/1,2024-01-04
Dharwad,Satisfactory,85,"PM
10",1/1,2024-01-05
Dharwad,Satisfactory,79,CO,1/1,2024-01-06
Dharwad,Satisfactory,60,CO,1/1,2024-01-07
Dharwad,Satisfactory,71,"PM
10",1/1,2024-01-08
Dharwad,Satisfactory,81,CO,1/1,2024-01-09
Dharwad,Satisfactory,96,"PM
10",1/1,2024-01-10
Dharwad,Satisfactory,85,"PM
10",1/1,2024-01-11
Dharwad,Satisfactory,97,"PM
10",1/1,2024-01-12
Dharwad,Moderate,106,"PM
10",1/1,2024-01-13
Dharwad,Satisfactory,77,"PM
10",1/1,2024-01-14
Dharwad,Satisfactory,76,"PM
10",1/1,2024-01-15
Dharwad,Satisfactory,93,"PM
10",1/1,2024-01-16
Dharwad,Satisfactory,90,CO,1/1,2024-01-17
Dharwad,Satisfactory,85,"PM
10",1/1,2024-01-18
Dharwad,Satisfactory,86,"PM
10",1/1,2024-01-19
Dharwad,Satisfactory,85,CO,1/1,2024-01-20
Dharwad,Satisfactory,78,"PM
10",1/1,2024-01-21
Dharwad,Satisfactory,79,"PM
10",1/1,2024-01-22
Dharwad,Satisfactory,91,"PM
10",1/1,2024-01-24
Dharwad,Satisfactory,95,"PM
10",1/1,2024-01-25
Dharwad,Moderate,113,"PM
10",1/1,2024-01-26
Dharwad,Satisfactory,91,"PM
10",1/1,2024-01-27
Dharwad,Satisfactory,93,"PM
10",1/1,2024-01-28
Dharwad,Moderate,107,"PM
10",1/1,2024-01-29
Dharwad,Moderate,105,"PM
10",1/1,2024-01-30
Dharwad,Moderate,103,"PM
10",1/1,2024-01-31
Dharwad,Satisfactory,94,"PM
10",1/1,2024-02-01
Dharwad,Satisfactory,75,"PM
10",1/1,2024-02-02
Dharwad,Satisfactory,93,"PM
10",1/1,2024-02-03
Dharwad,Moderate,113,"PM
10",1/1,2024-02-04
Dharwad,Moderate,104,"PM
10",1/1,2024-02-05
Dharwad,Satisfactory,92,"PM
10",1/1,2024-02-06
Dharwad,Moderate,103,"PM
10",1/1,2024-02-08
Dharwad,Moderate,111,"PM
10",1/1,2024-02-09
Dharwad,Moderate,107,"PM
10",1/1,2024-02-10
Dharwad,Moderate,112,"PM
10",1/1,2024-02-11
Dharwad,Moderate,105,"PM
10",1/1,2024-02-12
Dharwad,Moderate,114,"PM
10",1/1,2024-02-13
Dharwad,Satisfactory,90,"PM
10",1/1,2024-02-14
Dharwad,Satisfactory,95,"PM
10",1/1,2024-02-15
Dharwad,Satisfactory,82,"PM
10",1/1,2024-02-16
Dharwad,Satisfactory,91,"PM
10",1/1,2024-02-17
Dharwad,Satisfactory,99,"PM
10",1/1,2024-02-18
Dharwad,Satisfactory,95,"PM
10",1/1,2024-02-19
Dharwad,Satisfactory,97,"PM
10",1/1,2024-02-20
Dharwad,Satisfactory,89,"PM
10",1/1,2024-02-21
Dharwad,Satisfactory,83,"PM
10",1/1,2024-02-22
Dharwad,Satisfactory,98,"PM
10",1/1,2024-02-23
Dharwad,Satisfactory,85,"PM
10",1/1,2024-02-24
Dharwad,Satisfactory,82,"PM
10",1/1,2024-02-25
Dharwad,Satisfactory,86,"PM
10",1/1,2024-02-26
Dharwad,Satisfactory,92,"PM
10",1/1,2024-02-27
Dharwad,Satisfactory,87,"PM
10",1/1,2024-02-28
Dharwad,Satisfactory,88,"PM
10",1/1,2024-02-29
Dharwad,Satisfactory,90,"PM
10",1/1,2024-03-01
Dharwad,Satisfactory,80,"PM
10",1/1,2024-03-02
Dharwad,Satisfactory,70,"PM
10",1/1,2024-03-04
Dharwad,Satisfactory,94,"PM
10",1/1,2024-03-05
Dharwad,Satisfactory,95,"PM
10",1/1,2024-03-06
Dharwad,Satisfactory,79,"PM
10",1/1,2024-03-07
Dharwad,Satisfactory,80,"PM
10",1/1,2024-03-08
Dharwad,Satisfactory,84,"PM
10",1/1,2024-03-09
Dharwad,Satisfactory,75,"PM
10",1/1,2024-03-10
Dharwad,Satisfactory,82,"PM
10",1/1,2024-03-11
Dharwad,Moderate,111,"PM
10",1/1,2024-03-12
Dharwad,Satisfactory,93,"PM
10",1/1,2024-03-13
Dharwad,Satisfactory,82,"PM
10",1/1,2024-03-14
Dharwad,Satisfactory,88,"PM
10",1/1,2024-03-15
Dharwad,Moderate,102,"PM
10",1/1,2024-03-16
Dharwad,Moderate,106,"PM
10",1/1,2024-03-17
Dharwad,Satisfactory,68,"PM
10",1/1,2024-03-18
Dharwad,Satisfactory,69,"PM
10",1/1,2024-03-19
Dharwad,Satisfactory,73,"PM
10",1/1,2024-03-20
Dharwad,Satisfactory,74,"PM
10",1/1,2024-03-21
