City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Dholpur,Moderate,130,"PM
2.5",1,2023-03-13
Dholpur,Moderate,166,"PM
2.5",1,2023-03-14
Dholpur,Satisfactory,85,"PM
10",1,2023-03-15
Dholpur,Satisfactory,95,"PM
2.5",1,2023-03-16
Dholpur,Satisfactory,66,"PM
10",1,2023-03-18
Dholpur,Poor,221,"PM
2.5",1,2023-03-19
Dholpur,Moderate,120,"PM
2.5",1,2023-03-22
Dholpur,Moderate,118,"PM
2.5",1,2023-03-25
Dholpur,Moderate,134,"PM
2.5",1,2023-03-26
Dholpur,Moderate,124,"PM
2.5",1,2023-03-27
Dholpur,Moderate,124,"PM
2.5",1,2023-03-28
Dholpur,Satisfactory,87,"PM
10",1,2023-03-29
Dholpur,Satisfactory,76,"PM
10",1,2023-03-30
Dholpur,Satisfactory,77,"PM
10",1,2023-03-31
Dholpur,Good,46,"PM
10",1,2023-04-01
Dholpur,Satisfactory,54,"PM
10",1,2023-04-04
Dholpur,Moderate,106,"PM
2.5",1,2023-04-05
Dholpur,Satisfactory,95,"PM
2.5",1,2023-04-06
Dholpur,Satisfactory,97,"PM
2.5",1,2023-04-07
Dholpur,Moderate,117,"PM
2.5",1,2023-04-08
Dholpur,Satisfactory,95,"PM
10",1,2023-04-10
Dholpur,Satisfactory,89,"PM
10",1,2023-04-13
Dholpur,Satisfactory,84,"PM
10",1,2023-04-14
Dholpur,Moderate,121,"PM
2.5",1,2023-04-15
Dholpur,Satisfactory,71,CO,1,2023-04-18
Dholpur,Satisfactory,78,CO,1,2023-04-19
Dholpur,Satisfactory,63,"PM
10",1,2023-04-20
Dholpur,Satisfactory,94,"O
3",1,2023-04-21
Dholpur,Satisfactory,100,"O
3",1,2023-04-22
Dholpur,Satisfactory,97,"O
3",1,2023-04-23
Dholpur,Moderate,111,"O
3",1,2023-04-24
Dholpur,Moderate,186,"O
3",1,2023-04-25
Dholpur,Moderate,156,"O
3",1,2023-04-26
Dholpur,Moderate,154,"O
3",1,2023-04-27
Dholpur,Satisfactory,93,"O
3",1,2023-04-28
Dholpur,Satisfactory,68,"O
3",1,2023-04-29
Dholpur,Satisfactory,78,"PM
2.5",1,2023-04-30
Dholpur,Satisfactory,96,"PM
2.5",1,2023-05-01
Dholpur,Satisfactory,66,"O
3",1,2023-05-02
Dholpur,Satisfactory,85,"O
3",1,2023-05-03
Dholpur,Satisfactory,97,"O
3",1,2023-05-04
Dholpur,Moderate,161,"O
3",1,2023-05-05
Dholpur,Moderate,138,"O
3",1,2023-05-06
Dholpur,Satisfactory,92,"O
3",1,2023-05-07
Dholpur,Satisfactory,97,"O
3",1,2023-05-08
Dholpur,Moderate,120,"O
3",1,2023-05-09
Dholpur,Moderate,163,"O
3",1,2023-05-10
Dholpur,Moderate,158,"O
3",1,2023-05-11
Dholpur,Moderate,148,"O
3",1,2023-05-12
Dholpur,Moderate,126,"O
3",1,2023-05-13
Dholpur,Satisfactory,98,"O
3",1,2023-05-14
Dholpur,Satisfactory,83,"O
3",1,2023-05-15
Dholpur,Satisfactory,82,"O
3",1,2023-05-16
Dholpur,Satisfactory,63,"PM
10",1,2023-05-17
Dholpur,Satisfactory,86,"O
3",1,2023-05-18
Dholpur,Moderate,126,"PM
2.5",1,2023-05-19
Dholpur,Moderate,124,"O
3",1,2023-05-20
Dholpur,Satisfactory,67,"O
3",1,2023-05-21
Dholpur,Satisfactory,63,"O
3",1,2023-05-22
Dholpur,Satisfactory,63,"O
3",1,2023-05-23
Dholpur,Satisfactory,100,"O
3",1,2023-05-24
Dholpur,Satisfactory,80,"O
3",1,2023-05-25
Dholpur,Satisfactory,72,"O
3",1,2023-05-27
Dholpur,Satisfactory,76,"O
3",1,2023-05-28
