City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Dindigul,Good,46,"SO
2",1,2022-09-13
Dindigul,Good,45,"SO
2",1,2022-09-14
Dindigul,Good,45,"SO
2",1,2022-09-15
Dindigul,Good,45,"SO
2",1,2022-09-17
Dindigul,Good,42,"SO
2",1,2022-09-18
Dindigul,Good,45,"SO
2",1,2022-09-19
Dindigul,Good,45,"SO
2",1,2022-09-20
Dindigul,Good,45,"SO
2",1,2022-09-21
Dindigul,Good,44,"SO
2",1,2022-09-22
Dindigul,Good,45,"SO
2",1,2022-09-23
Dindigul,Good,45,"SO
2",1,2022-09-25
Dindigul,Good,45,"SO
2",1,2022-09-29
Dindigul,Good,45,"SO
2",1,2022-09-30
Dindigul,Good,45,"SO
2",1,2022-10-01
Dindigul,Good,40,"PM
10",1,2022-10-05
Dindigul,Good,46,"PM
10",1,2022-10-06
Dindigul,Good,39,"SO
2",1,2022-10-14
Dindigul,Good,41,"SO
2",1,2022-10-16
Dindigul,Good,44,"SO
2",1,2022-10-17
Dindigul,Good,44,"SO
2",1,2022-10-18
Dindigul,Good,44,"SO
2",1,2022-10-19
Dindigul,Good,44,"SO
2",1,2022-10-21
Dindigul,Good,44,"SO
2",1,2022-10-22
Dindigul,Satisfactory,53,"PM
2.5",1,2022-10-23
Dindigul,Satisfactory,88,"PM
2.5",1,2022-10-24
Dindigul,Moderate,128,"PM
2.5",1,2022-10-25
Dindigul,Moderate,116,"PM
2.5",1,2022-10-26
Dindigul,Satisfactory,75,"PM
2.5",1,2022-10-27
Dindigul,Satisfactory,86,"PM
2.5",1,2022-10-28
Dindigul,Good,45,"PM
10",1,2022-10-29
Dindigul,Good,38,"SO
2",1,2022-11-04
Dindigul,Good,42,"SO
2",1,2022-11-05
Dindigul,Good,46,"PM
10",1,2022-11-07
Dindigul,Satisfactory,51,"PM
10",1,2022-11-08
Dindigul,Good,42,"SO
2",1,2022-11-09
Dindigul,Good,42,"SO
2",1,2022-11-10
Dindigul,Good,42,"SO
2",1,2022-11-11
Dindigul,Good,42,"SO
2",1,2022-11-12
Dindigul,Good,42,"SO
2",1,2022-11-13
Dindigul,Good,42,"SO
2",1,2022-11-14
Dindigul,Good,42,"SO
2",1,2022-11-15
Dindigul,Moderate,110,"PM
2.5",1,2022-11-16
Dindigul,Moderate,136,"PM
2.5",1,2022-11-17
Dindigul,Satisfactory,63,"PM
2.5",1,2022-11-25
Dindigul,Satisfactory,66,"PM
2.5",1,2022-11-27
Dindigul,Satisfactory,69,"PM
2.5",1,2022-11-28
Dindigul,Poor,269,"NO
2",1,2022-12-18
Dindigul,Poor,201,"NO
2",1,2022-12-19
Dindigul,Poor,208,"NO
2",1,2022-12-20
Dindigul,Moderate,187,"NO
2",1,2022-12-21
Dindigul,Moderate,190,"NO
2",1,2022-12-22
Dindigul,Moderate,198,"NO
2",1,2022-12-23
Dindigul,Poor,212,"NO
2",1,2022-12-24
