City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Dungarpur,Moderate,105,"PM
10",1/1,2024-03-01
Dungarpur,Moderate,113,"PM
10",1/1,2024-03-02
Dungarpur,Satisfactory,64,"O
3",1/1,2024-03-03
Dungarpur,Good,48,"O
3",1/1,2024-03-04
Dungarpur,Satisfactory,66,"PM
10",1/1,2024-03-05
Dungarpur,Moderate,104,"PM
10",1/1,2024-03-06
Dungarpur,Moderate,120,"PM
10",1/1,2024-03-07
Dungarpur,Satisfactory,68,"PM
10",1/1,2024-03-08
Dungarpur,Satisfactory,71,"O
3",1/1,2024-03-09
Dungarpur,Satisfactory,90,"O
3",1/1,2024-03-10
Dungarpur,Moderate,117,"PM
10",1/1,2024-03-11
Dungarpur,Satisfactory,59,"PM
10",1/1,2024-03-12
Dungarpur,Satisfactory,62,"PM
10",1/1,2024-03-13
Dungarpur,Moderate,106,"PM
10",1/1,2024-03-14
Dungarpur,Moderate,119,"PM
10",1/1,2024-03-15
Dungarpur,Moderate,118,"PM
10",1/1,2024-03-16
Dungarpur,Moderate,104,"PM
10",1/1,2024-03-17
Dungarpur,Satisfactory,98,"PM
10",1/1,2024-03-18
Dungarpur,Satisfactory,90,"PM
10",1/1,2024-03-19
Dungarpur,Satisfactory,82,"PM
10",1/1,2024-03-20
Dungarpur,Satisfactory,86,"PM
10",1/1,2024-03-21
Dungarpur,Moderate,104,"PM
10",1/1,2024-03-22
Dungarpur,Satisfactory,91,"PM
10",1/1,2024-03-23
Dungarpur,Satisfactory,90,"PM
10",1/1,2024-03-24
Dungarpur,Satisfactory,97,"PM
10",1/1,2024-03-25
Dungarpur,Satisfactory,85,"PM
10",1/1,2024-03-26
Dungarpur,Moderate,107,"PM
10",1/1,2024-03-27
Dungarpur,Satisfactory,85,"PM
10",1/1,2024-03-28
Dungarpur,Satisfactory,99,"PM
10",1/1,2024-03-29
Dungarpur,Moderate,106,"PM
10",1/1,2024-03-30
Dungarpur,Satisfactory,71,"PM
10",1/1,2024-03-31
Dungarpur,Moderate,131,"PM
10",1/1,2024-04-01
Dungarpur,Moderate,127,"PM
10",1/1,2024-04-02
Dungarpur,Moderate,116,"PM
10",1/1,2024-04-03
Dungarpur,Satisfactory,88,"PM
10",1/1,2024-04-04
Dungarpur,Satisfactory,86,"PM
10",1/1,2024-04-05
Dungarpur,Satisfactory,83,"PM
10",1/1,2024-04-06
Dungarpur,Satisfactory,99,"PM
10",1/1,2024-04-07
Dungarpur,Satisfactory,84,"PM
10",1/1,2024-04-08
Dungarpur,Satisfactory,92,"PM
10",1/1,2024-04-09
Dungarpur,Satisfactory,83,"PM
10",1/1,2024-04-12
Dungarpur,Satisfactory,90,"PM
10",1/1,2024-04-13
Dungarpur,Moderate,101,"PM
10",1/1,2024-04-14
Dungarpur,Satisfactory,64,"PM
10",1/1,2024-04-15
Dungarpur,Satisfactory,66,"PM
10",1/1,2024-04-16
Dungarpur,Satisfactory,72,"PM
10",1/1,2024-04-18
Dungarpur,Satisfactory,93,"PM
10",1/1,2024-04-19
Dungarpur,Satisfactory,94,"PM
10",1/1,2024-04-20
Dungarpur,Satisfactory,60,"PM
10",1/1,2024-04-21
Dungarpur,Moderate,176,CO,1/1,2024-04-22
Dungarpur,Moderate,106,CO,1/1,2024-04-23
Dungarpur,Satisfactory,84,"PM
10",1/1,2024-04-25
Dungarpur,Satisfactory,91,"PM
10",1/1,2024-04-26
Dungarpur,Satisfactory,80,"PM
10",1/1,2024-04-28
Dungarpur,Satisfactory,77,"PM
10",1/1,2024-04-29
Dungarpur,Moderate,113,"PM
10",1/1,2024-04-30
Dungarpur,Satisfactory,57,"O
3",1/1,2024-05-01
Dungarpur,Satisfactory,61,"O
3",1/1,2024-05-02
Dungarpur,Satisfactory,75,"PM
10",1/1,2024-05-03
Dungarpur,Satisfactory,64,"PM
10",1/1,2024-05-04
Dungarpur,Good,45,"O
3",1/1,2024-05-05
Dungarpur,Good,41,"O
3",1/1,2024-05-06
Dungarpur,Moderate,107,"PM
10",1/1,2024-05-07
Dungarpur,Moderate,111,"PM
10",1/1,2024-05-08
Dungarpur,Moderate,113,"PM
10",1/1,2024-05-09
