City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Durgapur,Severe,451,"O
3",1#,2016-09-25
Durgapur,Severe,451,"O
3",1#,2016-09-27
Durgapur,Severe,451,"O
3",1#,2016-09-30
Durgapur,Good,43,CO,1,2016-10-04
Durgapur,Good,50,CO,1#,2016-10-05
Durgapur,Good,41,CO,1,2016-10-07
Durgapur,Good,28,"NO
2",1,2016-10-08
Durgapur,Good,45,CO,1#,2016-10-09
Durgapur,Good,32,CO,1,2016-10-10
Durgapur,Good,50,"NO
2",1,2016-10-11
Durgapur,Good,45,CO,1#,2016-10-12
Durgapur,Satisfactory,67,"PM
10",1#,2016-10-13
Durgapur,Good,33,"PM
10",1,2016-10-15
Durgapur,Satisfactory,57,"PM
10",1,2016-10-16
Durgapur,Good,48,"NO
2",1#,2016-10-17
Durgapur,Satisfactory,74,CO,1,2016-10-18
Durgapur,Good,34,"PM
10",1,2016-10-19
Durgapur,Good,42,"PM
10",1,2016-10-20
Durgapur,Good,44,"PM
10",1,2016-10-21
Durgapur,Good,50,"PM
10",1,2016-10-22
Durgapur,Satisfactory,51,"PM
10",1,2016-10-23
Durgapur,Satisfactory,61,CO,1,2016-10-24
Durgapur,Satisfactory,57,"PM
10",1,2016-10-25
Durgapur,Good,50,"PM
10",1,2016-10-26
Durgapur,Good,29,"PM
10",1,2016-10-27
Durgapur,Good,47,CO,1#,2016-10-28
Durgapur,Satisfactory,51,"NO
2",1#,2016-10-29
Durgapur,Satisfactory,53,"NO
2",1,2016-10-30
Durgapur,Good,34,"PM
10",1,2016-10-31
Durgapur,Good,38,CO,1,2016-11-01
Durgapur,Good,39,CO,1,2016-11-02
Durgapur,Good,34,CO,1,2016-11-03
Durgapur,Good,41,"NO
2",1,2016-11-04
Durgapur,Good,50,"NO
2",1#,2016-11-05
Durgapur,Satisfactory,53,"PM
10",1,2016-11-06
Durgapur,Satisfactory,74,"PM
10",1,2016-11-15
Durgapur,Severe,451,"O
3",1,2016-11-16
Durgapur,Satisfactory,86,"PM
10",1,2016-11-18
Durgapur,Satisfactory,78,"PM
10",1,2016-11-19
Durgapur,Satisfactory,90,"PM
10",1,2016-11-20
Durgapur,Satisfactory,80,"PM
10",1#,2016-11-23
Durgapur,Moderate,112,"PM
10",1#,2016-11-24
Durgapur,Moderate,128,"PM
10",1,2016-11-25
Durgapur,Moderate,163,"PM
10",1#,2016-11-26
Durgapur,Good,46,CO,1,2016-11-28
Durgapur,Very Poor,352,"PM
10",1#,2016-11-29
Durgapur,Moderate,179,"PM
10",1#,2016-11-30
Durgapur,Moderate,133,"PM
10",1,2016-12-01
Durgapur,Moderate,178,"PM
10",1,2016-12-02
Durgapur,Moderate,199,"PM
10",1,2016-12-03
Durgapur,Poor,231,"PM
10",1,2016-12-04
Durgapur,Poor,226,"PM
10",1,2016-12-05
Durgapur,Poor,244,"PM
10",1#,2016-12-06
Durgapur,Severe,451,"O
3",1#,2016-12-07
Durgapur,Poor,206,"PM
10",1,2016-12-08
Durgapur,Moderate,190,"PM
10",1,2016-12-09
Durgapur,Poor,226,"PM
10",1,2016-12-10
Durgapur,Poor,207,"PM
10",1,2016-12-11
Durgapur,Poor,241,"PM
10",1#,2016-12-12
Durgapur,Poor,236,"PM
10",1#,2016-12-13
Durgapur,Poor,242,"PM
10",1,2016-12-14
Durgapur,Poor,279,"PM
10",1,2016-12-15
Durgapur,Poor,219,"PM
10",1#,2016-12-16
Durgapur,Poor,263,"PM
10",1,2016-12-17
Durgapur,Very Poor,316,"PM
10",1,2016-12-20
Durgapur,Very Poor,351,"PM
10",1#,2016-12-23
Durgapur,Poor,290,"PM
10",1,2016-12-27
Durgapur,Poor,267,"PM
10",1,2017-01-03
Durgapur,Poor,239,"PM
10",1,2017-01-20
Durgapur,Moderate,187,"PM
10",1,2017-01-21
Durgapur,Poor,262,"PM
10",1#,2017-01-24
Durgapur,Poor,245,"PM
10",1,2017-02-02
Durgapur,Poor,231,"PM
10",1#,2017-02-03
Durgapur,Poor,235,"PM
10",1,2017-02-04
Durgapur,Poor,250,"PM
10",1#,2017-02-05
Durgapur,Poor,298,"PM
10",1#,2017-02-06
Durgapur,Poor,296,"PM
10",1#,2017-02-07
Durgapur,Poor,222,"PM
10",1,2017-02-08
Durgapur,Moderate,190,"PM
10",1#,2017-02-09
Durgapur,Poor,242,"PM
10",1#,2017-02-10
Durgapur,Poor,208,"PM
10",1,2017-02-11
Durgapur,Moderate,158,"PM
10",1#,2017-02-12
Durgapur,Very Poor,321,"PM
10",1,2017-02-13
Durgapur,Very Poor,306,"PM
10",1#,2017-02-14
Durgapur,Poor,216,"PM
10",1,2017-02-15
Durgapur,Poor,207,"PM
10",1#,2017-02-16
Durgapur,Poor,206,"PM
10",1,2017-02-17
Durgapur,Poor,242,"PM
10",1#,2017-02-18
Durgapur,Poor,231,"PM
10",1#,2017-02-19
